"Sample Name","Reservoir","Site","DateTime","Depth_m","Rep","Dilution"
"20241014_CC4_30SEP24_9R1.csv","CCR",88,2024-09-30,9,1,1
"20241014_CC4_30SEP24_BOTR2.csv","CCR",88,2024-09-30,11,2,1
"20241014_CP1_30SEP24_01R2.csv","CCR",98,2024-09-30,0.1,2,1
"20241014_CP2_30SEP24_01R1.csv","CCR",96,2024-09-30,0.1,1,1
"20241014_CS1_30SEP24_01R1.csv","CCR",101,2024-09-30,0.1,1,1
"20241014_CS2_30SEP24_01R2.csv","CCR",100,2024-09-30,0.1,2,1
"20241118_C50_19JUN24_01R2.csv","CCR",50,2024-06-19,0.1,2,1
"20241118_C50_19JUN24_15R2.csv","CCR",50,2024-06-19,1.5,2,1
"20241118_C50_19JUN24_20R2.csv","CCR",50,2024-06-19,20,2,1
"20241118_C50_19JUN24_6R1.csv","CCR",50,2024-06-19,6,1,1
"20241118_C50_19JUN24_9R2.csv","CCR",50,2024-06-19,9,2,1
"20241118_C50_22MAY24_01R2.csv","CCR",50,2024-05-22,0.1,2,1
"20241118_C50_22MAY24_15R2.csv","CCR",50,2024-05-22,1.5,2,1
"20241118_C50_22MAY24_20R1.csv","CCR",50,2024-05-22,20,1,1
"20241118_C50_22MAY24_6R1.csv","CCR",50,2024-05-22,6,1,1
"20241118_C50_22MAY24_9R2.csv","CCR",50,2024-05-22,9,2,1
"20241118_CC4_19JUN24_6R2.csv","CCR",88,2024-06-19,6,2,1
"20241118_CS1_19JUN24_01R1.csv","CCR",101,2024-06-19,0.1,1,1
"20241118_CS2_22MAY24_01R1.csv","CCR",100,2024-05-22,0.1,1,1
"20241219_CC2_28oct24_01R1.csv","CCR",92,2024-10-28,0.1,1,1
"20241219_CC2_28oct24_BOTR2.csv","CCR",92,2024-10-28,0.5,2,1
"20241219_CC3_28oct24_01R2.csv","CCR",90,2024-10-28,0.1,2,1
"20241219_CC3_28oct24_15R2.csv","CCR",90,2024-10-28,1.5,2,1
"20241219_CC3_28oct24_BOTR1.csv","CCR",90,2024-10-28,4,1,1
"20241219_CC4_28oct24_01R1.csv","CCR",88,2024-10-28,0.1,1,1
"20241219_CC4_28oct24_15R1.csv","CCR",88,2024-10-28,1.5,1,1
"20241219_CC4_28oct24_9R2.csv","CCR",88,2024-10-28,9,2,1
"20241219_CC4_28oct24_BOTR1.csv","CCR",88,2024-10-28,11,1,1
"20241219_CC4_30sep24_6R1.csv","CCR",88,2024-09-30,6,1,1
"20241219_CP1_28oct24_01R1.csv","CCR",98,2024-10-28,0.1,1,1
"20241219_CP2_28oct24_01R2.csv","CCR",96,2024-10-28,0.1,2,1
"20241219_CS1_28oct24_01R1.csv","CCR",101,2024-10-28,0.1,1,1
"20241219_CS1_28oct24_01R2.csv","CCR",101,2024-10-28,0.1,2,1
"20241219_CS2_28oct24_01R1.csv","CCR",100,2024-10-28,0.1,1,1
"20241223_C50_11jul24_01R1.csv","CCR",50,2024-07-11,0.1,1,1
"20241223_C50_11jul24_15R1.csv","CCR",50,2024-07-11,1.5,1,1
"20241223_C50_11jul24_20R2.csv","CCR",50,2024-07-11,20,2,1
"20241223_C50_11jul24_6R2.csv","CCR",50,2024-07-11,6,2,1
"20241223_C50_11jul24_9R1.csv","CCR",50,2024-07-11,9,1,1
"20241223_C50_15aug24_01R2.csv","CCR",50,2024-08-14,0.1,2,1
"20241223_C50_15aug24_15R2.csv","CCR",50,2024-08-14,1.5,2,1
"20241223_C50_15aug24_20R2.csv","CCR",50,2024-08-14,20,2,1
"20241223_C50_15aug24_6R2.csv","CCR",50,2024-08-14,6,2,1
"20241223_C50_15aug24_9R2.csv","CCR",50,2024-08-14,9,2,1
"20241223_C50_16sep24_01R1.csv","CCR",50,2024-09-16,0.1,1,1
