Sample Name,File Name,Reservoir,Site,DateTime,Depth_m,Rep,Dilution
20230125_C29sep22_21m_r1.csv,p_20230125_C29sep22_21m_r1.csv,CCR,50,9/29/2022,21,1,1
20230308_C29sep22_0_1m_r2.csv,p_20230308_C29sep22_0_1m_r2.csv,CCR,50,9/29/2022,0.1,2,1
20230308_C29sep22_1_5m_r2.csv,p_20230308_C29sep22_1_5m_r2.csv,CCR,50,9/29/2022,1.5,2,1
20230308_C29sep22_SMB_r1.csv,p_20230308_C29sep22_SMB_r1.csv,CCR,301,9/29/2022,0.1,1,1
20230308_C29sep22_CCS_r2.csv,p_20230308_C29sep22_CCS_r2.csv,CCR,201,9/29/2022,0.1,2,1
20230308_C14oct22_1_5m_r1.csv,p_20230308_C14oct22_1_5m_r1.csv,CCR,50,10/14/2022,1.5,1,1
20230308_C14oct22_6m_r2.csv,p_20230308_C14oct22_6m_r2.csv,CCR,50,10/14/2022,6,2,1
20230308_C14oct22_9m_r1.csv,p_20230308_C14oct22_9m_r1.csv,CCR,50,10/14/2022,9,1,1
20230308_C14oct22_SMB_r1.csv,p_20230308_C14oct22_SMB_r1.csv,CCR,301,10/14/2022,0.1,1,1
20230309_C14oct22_0_1m_r1.csv,p_20230309_C14oct22_0_1m_r1.csv,CCR,50,10/14/2022,0.1,1,1
20230309_C14oct22_CCS_r2.csv,p_20230309_C14oct22_CCS_r2.csv,CCR,201,10/14/2022,0.1,2,1
20230309_C17nov22_0_1m_r2.csv,p_20230309_C17nov22_0_1m_r2.csv,CCR,50,11/17/2022,0.1,2,1
20230309_C17nov22_1_5m_r1.csv,p_20230309_C17nov22_1_5m_r1.csv,CCR,50,11/17/2022,1.5,1,1
20230309_C17nov22_1_5m_r2.csv,p_20230309_C17nov22_1_5m_r2.csv,CCR,50,11/17/2022,1.5,2,1
20230309_C17nov22_6m_r2.csv,p_20230309_C17nov22_6m_r2.csv,CCR,50,11/17/2022,6,2,1
20230309_C17nov22_9m_r2.csv,p_20230309_C17nov22_9m_r2.csv,CCR,50,11/17/2022,9,2,1
20230309_C17nov22_21m_r1.csv,p_20230309_C17nov22_21m_r1.csv,CCR,50,11/17/2022,21,1,1
20230309_C17nov22_CCS_r2.csv,p_20230309_C17nov22_CCS_r2.csv,CCR,201,11/17/2022,0.1,2,1
20230309_C17nov22_SMB_r2.csv,p_20230309_C17nov22_SMB_r2.csv,CCR,301,11/17/2022,0.1,2,1
20230615_C50_1JUN23_6m_r1.csv,p_20230615_C50_1JUN23_6m_r1.csv,CCR,50,6/1/2023,6,1,1
20230615_C50_1JUN23_6m_r2.csv,p_20230615_C50_1JUN23_6m_r2.csv,CCR,50,6/1/2023,6,2,1
20230615_C50_1JUN23_9m_r1.csv,p_20230615_C50_1JUN23_9m_r1.csv,CCR,50,6/1/2023,9,1,1
20230615_C50_1JUN23_20m_r2.csv,p_20230615_C50_1JUN23_20m_r2.csv,CCR,50,6/1/2023,20,2,1
20230615_C100_1JUN23_0_1m_r1.csv,p_20230615_C100_1JUN23_0_1m_r1.csv,CCR,100,6/1/2023,0.1,1,1
20230615_C300_1JUN23_0_1m_r2.csv,p_20230615_C300_1JUN23_0_1m_r2.csv,CCR,300,6/1/2023,0.1,2,1
20230622_C50_1JUN23_0_1_r2.csv,p_20230622_C50_1JUN23_0_1_r2.csv,CCR,50,6/1/2023,0.1,2,1
20230622_C50_1JUN23_0_1m_r1.csv,p_20230622_C50_1JUN23_0_1m_r1.csv,CCR,50,6/1/2023,0.1,1,1
20230622_C50_1JUN23_1_5m_r2.csv,p_20230622_C50_1JUN23_1_5m_r2.csv,CCR,50,6/1/2023,1.5,2,1
20230622_C50_4MAY23_0_1_r1.csv,p_20230622_C50_4MAY23_0_1_r1.csv,CCR,50,5/4/2023,0.1,1,1
20230622_C50_4MAY23_9m_r2.csv,p_20230622_C50_4MAY23_9m_r2.csv,CCR,50,5/4/2023,9,2,1
20230622_C301_4MAY23_0_1_r1.csv,p_20230622_C301_4MAY23_0_1_r1.csv,CCR,301,5/4/2023,0.1,1,1
20230908_C50_9AUG23_0_1m_r2.csv,p_20230908_C50_9AUG23_0_1m_r2.csv,CCR,50,8/9/2023,0.1,2,1
20230908_C50_9AUG23_1_5m_r1.csv,p_20230908_C50_9AUG23_1_5m_r1.csv,CCR,50,8/9/2023,1.5,1,1
20230908_C50_9AUG23_9m_r1.csv,p_20230908_C50_9AUG23_9m_r1.csv,CCR,50,8/9/2023,9,1,1
20231030_C50_9AUG23_0_1m_r1.csv,p_20231030_C50_9AUG23_0_1m_r1.csv,CCR,50,8/9/2023,0.1,1,1
20231030_C50_9AUG23_1_5m_r2.csv,p_20231030_C50_9AUG23_1_5m_r2.csv,CCR,50,8/9/2023,1.5,2,1
20231030_C50_9AUG23_6m_r1.csv,p_20231030_C50_9AUG23_6m_r1.csv,CCR,50,8/9/2023,6,1,1
20231030_C50_9AUG23_6m_r2.csv,p_20231030_C50_9AUG23_6m_r2.csv,CCR,50,8/9/2023,6,2,1
20231030_C50_9AUG23_9m_r2.csv,p_20231030_C50_9AUG23_9m_r2.csv,CCR,50,8/9/2023,9,2,1
20231030_C50_9AUG23_20m_r1.csv,p_20231030_C50_9AUG23_20m_r1.csv,CCR,50,8/9/2023,20,1,1
20231030_C101_30JUN23_0_1m_r1.csv,p_20231030_C101_30JUN23_0_1m_r1.csv,CCR,101,6/30/2023,0.1,1,1
20231106_C50_4MAY23_1_5m_r2.csv,p_20231106_C50_4MAY23_1_5m_r2.csv,CCR,50,5/4/2023,1.5,2,1
20231106_C50_4MAY23_6_m_r1.csv,p_20231106_C50_4MAY23_6_m_r1.csv,CCR,50,5/4/2023,6,1,1
20231106_C50_4MAY23_20_m_r1.csv,p_20231106_C50_4MAY23_20_m_r1.csv,CCR,50,5/4/2023,20,1,1
20231106_C201_4MAY23_CCS_r2.csv,p_20231106_C201_4MAY23_CCS_r2.csv,CCR,201,5/4/2023,0.1,2,1
20231106_C500_4MAY23_CCT_r2.csv,p_20231106_C500_4MAY23_CCT_r2.csv,CCR,500,5/4/2023,0.1,2,1
20240206_sample6.csv,p_20240206_sample6.csv,CCR,50,6/30/2023,0.1,1,1
20240206_sample4.csv,p_20240206_sample4.csv,CCR,50,6/30/2023,1.5,2,1
20240206_sample12.csv,p_20240206_sample12.csv,CCR,50,6/30/2023,6,2,1
20240206_sample11.csv,p_20240206_sample11.csv,CCR,50,6/30/2023,20,2,1
20240614_CC1_22may24_BOTr1.csv,p_20240614_CC1_22may24_BOTr1.csv,CCR,94,5/22/2024,1.5,1,1
20240614_CS1_22may24_01r2.csv,p_20240614_CS1_22may24_01r2.csv,CCR,101,5/22/2024,0.1,2,1
