Wavelenght,MilliQ,C14jul22_CCS_r1,C30jun22_9m_r2,C14jul22_20m_r1,C30jun22_SMB_r2,C30jun22_0_1m_r1,C30jun22_1_5m_r1,C30jun22_CCS_r1,C14jul22_6m_r1,C14jul22_9m_r1,C30jun22_6m_r2
328,-0.005,0.009,0.008,0.02,0.012,0.009,0.008,0.009,0.011,0.008,0.012
329,-0.004,0.009,0.008,0.02,0.013,0.009,0.008,0.009,0.011,0.008,0.012
330,-0.004,0.009,0.008,0.019,0.012,0.009,0.008,0.008,0.01,0.008,0.011
331,-0.004,0.009,0.007,0.019,0.012,0.008,0.007,0.008,0.01,0.008,0.011
332,-0.004,0.008,0.007,0.019,0.012,0.008,0.007,0.008,0.01,0.008,0.011
333,-0.004,0.008,0.007,0.018,0.012,0.008,0.007,0.008,0.01,0.008,0.011
334,-0.004,0.008,0.007,0.018,0.012,0.008,0.007,0.008,0.01,0.008,0.01
335,-0.004,0.008,0.007,0.018,0.012,0.008,0.007,0.008,0.009,0.007,0.01
336,-0.004,0.008,0.007,0.018,0.012,0.008,0.007,0.008,0.009,0.007,0.01
337,-0.004,0.008,0.007,0.018,0.011,0.007,0.006,0.008,0.009,0.007,0.009
338,-0.004,0.008,0.007,0.018,0.011,0.007,0.006,0.007,0.009,0.007,0.01
339,-0.004,0.008,0.007,0.017,0.011,0.008,0.006,0.008,0.009,0.007,0.01
340,-0.002,0.009,0.008,0.019,0.013,0.009,0.008,0.009,0.01,0.008,0.011
341,-0.004,0.008,0.006,0.017,0.011,0.007,0.006,0.007,0.008,0.007,0.009
342,-0.004,0.007,0.006,0.017,0.01,0.007,0.006,0.007,0.008,0.006,0.009
343,-0.004,0.007,0.006,0.017,0.011,0.007,0.006,0.007,0.008,0.006,0.009
344,-0.004,0.007,0.006,0.017,0.011,0.007,0.006,0.007,0.008,0.006,0.008
345,-0.004,0.007,0.005,0.016,0.01,0.006,0.005,0.007,0.008,0.006,0.008
346,-0.004,0.006,0.005,0.016,0.01,0.006,0.005,0.006,0.007,0.005,0.008
347,-0.004,0.007,0.005,0.016,0.01,0.006,0.005,0.006,0.007,0.005,0.008
348,-0.004,0.006,0.005,0.016,0.01,0.006,0.005,0.006,0.007,0.005,0.008
349,-0.004,0.007,0.005,0.015,0.01,0.006,0.005,0.006,0.007,0.005,0.008
350,-0.004,0.007,0.005,0.015,0.01,0.006,0.005,0.006,0.007,0.005,0.007
351,-0.004,0.007,0.005,0.015,0.01,0.006,0.005,0.006,0.007,0.005,0.007
352,-0.004,0.007,0.005,0.015,0.009,0.006,0.005,0.006,0.007,0.005,0.007
353,-0.004,0.006,0.004,0.015,0.009,0.005,0.004,0.006,0.006,0.004,0.007
354,-0.004,0.006,0.004,0.014,0.009,0.005,0.004,0.006,0.006,0.005,0.007
355,-0.003,0.006,0.004,0.015,0.01,0.006,0.005,0.006,0.006,0.005,0.007
356,-0.003,0.006,0.004,0.015,0.009,0.005,0.005,0.006,0.006,0.005,0.007
357,-0.003,0.006,0.004,0.014,0.009,0.005,0.004,0.005,0.006,0.005,0.006
358,-0.004,0.006,0.004,0.014,0.009,0.005,0.004,0.005,0.006,0.004,0.006
359,-0.004,0.006,0.004,0.014,0.009,0.005,0.004,0.005,0.006,0.004,0.006
360,-0.004,0.006,0.004,0.014,0.009,0.005,0.004,0.005,0.005,0.004,0.006
361,-0.004,0.005,0.004,0.014,0.008,0.005,0.004,0.005,0.005,0.004,0.006
362,-0.003,0.006,0.004,0.014,0.008,0.005,0.004,0.005,0.005,0.004,0.006
363,-0.003,0.006,0.004,0.014,0.008,0.005,0.004,0.005,0.005,0.004,0.006
364,-0.003,0.006,0.004,0.014,0.008,0.005,0.004,0.005,0.005,0.004,0.006
365,-0.003,0.006,0.004,0.013,0.008,0.005,0.003,0.005,0.005,0.004,0.006
366,-0.003,0.006,0.004,0.013,0.008,0.005,0.004,0.005,0.005,0.004,0.006
367,-0.003,0.005,0.003,0.013,0.008,0.005,0.003,0.005,0.005,0.003,0.006
368,-0.003,0.005,0.003,0.013,0.008,0.004,0.003,0.005,0.005,0.003,0.005
369,-0.003,0.005,0.003,0.013,0.008,0.005,0.003,0.005,0.005,0.003,0.005
370,-0.003,0.005,0.003,0.013,0.008,0.005,0.003,0.005,0.005,0.003,0.005
371,-0.003,0.005,0.003,0.013,0.008,0.004,0.003,0.005,0.005,0.003,0.005
372,-0.003,0.005,0.003,0.013,0.007,0.004,0.003,0.005,0.004,0.003,0.005
373,-0.003,0.005,0.003,0.012,0.008,0.004,0.003,0.005,0.004,0.003,0.005
374,-0.003,0.005,0.003,0.012,0.008,0.004,0.003,0.005,0.004,0.003,0.005
375,-0.003,0.005,0.003,0.012,0.008,0.004,0.003,0.004,0.004,0.003,0.005
376,-0.003,0.005,0.003,0.012,0.008,0.004,0.003,0.004,0.004,0.003,0.004
377,-0.003,0.005,0.003,0.012,0.007,0.004,0.003,0.004,0.004,0.003,0.004
378,-0.003,0.005,0.003,0.012,0.007,0.004,0.003,0.004,0.004,0.003,0.004
379,-0.003,0.005,0.003,0.012,0.007,0.004,0.003,0.004,0.004,0.003,0.004
380,-0.003,0.004,0.003,0.012,0.007,0.004,0.003,0.004,0.004,0.003,0.004
381,-0.003,0.004,0.003,0.011,0.007,0.003,0.002,0.004,0.004,0.002,0.004
382,-0.003,0.004,0.003,0.011,0.007,0.003,0.002,0.004,0.004,0.002,0.004
383,-0.003,0.004,0.003,0.011,0.007,0.003,0.003,0.004,0.004,0.003,0.004
384,-0.002,0.004,0.003,0.011,0.007,0.003,0.002,0.004,0.004,0.003,0.004
385,-0.002,0.004,0.002,0.011,0.007,0.003,0.002,0.004,0.003,0.002,0.004
386,-0.002,0.004,0.002,0.011,0.007,0.003,0.002,0.004,0.003,0.002,0.004
387,-0.002,0.004,0.002,0.011,0.007,0.003,0.002,0.004,0.003,0.002,0.003
388,-0.002,0.004,0.002,0.011,0.007,0.003,0.002,0.004,0.003,0.002,0.004
389,-0.002,0.004,0.002,0.011,0.007,0.003,0.002,0.004,0.003,0.002,0.004
390,-0.002,0.004,0.002,0.01,0.007,0.003,0.002,0.004,0.003,0.002,0.003
391,-0.002,0.004,0.002,0.01,0.007,0.003,0.002,0.004,0.003,0.002,0.003
392,-0.002,0.004,0.002,0.01,0.007,0.003,0.002,0.004,0.003,0.002,0.003
393,-0.002,0.004,0.002,0.01,0.007,0.003,0.002,0.004,0.003,0.002,0.003
394,-0.002,0.004,0.002,0.01,0.006,0.003,0.002,0.004,0.003,0.002,0.003
395,-0.002,0.004,0.002,0.01,0.006,0.003,0.002,0.004,0.003,0.002,0.003
396,-0.002,0.003,0.002,0.01,0.006,0.003,0.002,0.004,0.003,0.002,0.003
397,-0.002,0.004,0.002,0.01,0.006,0.003,0.002,0.004,0.003,0.002,0.003
398,-0.002,0.004,0.002,0.01,0.006,0.003,0.002,0.004,0.003,0.002,0.003
399,-0.002,0.003,0.002,0.01,0.006,0.003,0.002,0.003,0.003,0.002,0.003
400,-0.002,0.004,0.002,0.01,0.006,0.003,0.002,0.003,0.003,0.002,0.003
401,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
402,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
403,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
404,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
405,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.002
406,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
407,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
