,Blank,F27Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
211,-0.036,0.15,0.186,42.8358,3.757374202,,0.059,0.095,43.757,3.7786516,,0.191,0.227,52.2781,3.956577545,,0.086,0.122,56.1932,4.028795753,,0.05,0.086,19.8058,2.985974824,,0.153,0.189,43.5267,3.773374543,,0.052,0.088,40.5328,3.702111523,,0.232,0.268,61.7204,4.122614508,,0.089,0.125,57.575,4.053088446,,0.304,0.34,78.302,4.360573145,,0.056,0.092,42.3752,3.746563285,
212,-0.034,0.145,0.179,41.2237,3.719013334,,0.058,0.092,42.3752,3.746563285,,0.19,0.224,51.5872,3.94327358,,0.086,0.12,55.272,4.012266451,,0.049,0.083,19.1149,2.950468136,,0.149,0.183,42.1449,3.741113681,,0.051,0.085,39.151,3.667425965,,0.231,0.265,61.0295,4.111357354,,0.09,0.124,57.1144,4.045056274,,0.302,0.336,77.3808,4.348738688,,0.056,0.09,41.454,3.724584379,
213,-0.033,0.141,0.174,40.0722,3.690682827,,0.056,0.089,40.9934,3.713411078,,0.189,0.222,51.1266,3.93430491,,0.086,0.119,54.8114,4.003898202,,0.048,0.081,18.6543,2.926076683,,0.145,0.178,40.9934,3.713411078,,0.049,0.082,37.7692,3.631493956,,0.23,0.263,60.5689,4.10378156,,0.089,0.122,56.1932,4.028795753,,0.299,0.332,76.4596,4.336762497,,0.057,0.09,41.454,3.724584379,
214,-0.032,0.137,0.169,38.9207,3.661526243,,0.054,0.086,39.6116,3.679122005,,0.188,0.22,50.666,3.925255074,,0.086,0.118,54.3508,3.995459333,,0.048,0.08,18.424,2.913654163,,0.141,0.173,39.8419,3.684919122,,0.048,0.08,36.848,3.606801343,,0.229,0.261,60.1083,4.096147935,,0.09,0.122,56.1932,4.028795753,,0.298,0.33,75.999,4.330720182,,0.057,0.089,40.9934,3.713411078,
215,-0.031,0.134,0.165,37.9995,3.637573002,,0.053,0.084,38.6904,3.655591507,,0.187,0.218,50.2054,3.916122591,,0.086,0.117,53.8902,3.986948643,,0.048,0.079,18.1937,2.90107538,,0.138,0.169,38.9207,3.661526243,,0.047,0.078,35.9268,3.581483535,,0.228,0.259,59.6477,4.08845559,,0.09,0.121,55.7326,4.020565254,,0.296,0.327,75.3081,4.321587699,,0.057,0.088,40.5328,3.702111523,
216,-0.03,0.13,0.16,36.848,3.606801343,,0.052,0.082,37.7692,3.631493956,,0.186,0.216,49.7448,3.906905936,,0.086,0.116,53.4296,3.9783649,,0.047,0.077,17.7331,2.87543295,,0.134,0.164,37.7692,3.631493956,,0.046,0.076,35.0056,3.555508049,,0.226,0.256,58.9568,4.076804972,,0.09,0.12,55.272,4.012266451,,0.294,0.324,74.6172,4.312371044,,0.058,0.088,40.5328,3.702111523,
217,-0.029,0.127,0.156,35.9268,3.581483535,,0.051,0.08,36.848,3.606801343,,0.186,0.215,49.5145,3.902265556,,0.086,0.115,52.969,3.969706837,,0.047,0.076,17.5028,2.862360868,,0.131,0.16,36.848,3.606801343,,0.046,0.075,34.545,3.542262822,,0.225,0.254,58.4962,4.068961795,,0.09,0.119,54.8114,4.003898202,,0.293,0.322,74.1566,4.306179073,,0.058,0.087,40.0722,3.690682827,
218,-0.028,0.125,0.153,35.2359,3.562065449,,0.05,0.078,35.9268,3.581483535,,0.185,0.213,49.0539,3.892919694,,0.087,0.115,52.969,3.969706837,,0.046,0.074,17.0422,2.835692621,,0.129,0.157,36.1571,3.587873333,,0.045,0.073,33.6238,3.51523415,,0.224,0.252,58.0356,4.061056615,,0.09,0.118,54.3508,3.995459333,,0.291,0.319,73.4657,4.296818631,,0.058,0.086,39.6116,3.679122005,
219,-0.027,0.122,0.149,34.3147,3.535573834,,0.05,0.077,35.4662,3.56858013,,0.184,0.211,48.5933,3.883485661,,0.087,0.114,52.5084,3.960973157,,0.046,0.073,16.8119,2.822086969,,0.126,0.153,35.2359,3.562065449,,0.044,0.071,32.7026,3.487454585,,0.223,0.25,57.575,4.053088446,,0.09,0.117,53.8902,3.986948643,,0.29,0.317,73.0051,4.290529302,,0.059,0.086,39.6116,3.679122005,
220,-0.026,0.12,0.146,33.6238,3.51523415,,0.049,0.075,34.545,3.542262822,,0.184,0.21,48.363,3.878735059,,0.087,0.113,52.0478,3.952162527,,0.046,0.072,16.5816,2.808293647,,0.124,0.15,34.545,3.542262822,,0.044,0.07,32.242,3.47326995,,0.222,0.248,57.1144,4.045056274,,0.09,0.116,53.4296,3.9783649,,0.289,0.315,72.5445,4.284200167,,0.059,0.085,39.151,3.667425965,
