,Blank,F17Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_WET_R1_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
229,-0.003,0.1,0.103,23.7209,3.166356516,,0.037,0.04,18.424,2.913654163,,0.04,0.043,9.9029,2.292827644,,0.056,0.059,13.5877,2.609164972,,0.023,0.026,11.9756,2.482871246,,0.081,0.084,19.3452,2.962444327,,0.039,0.042,19.3452,2.962444327,
230,-0.003,0.099,0.102,23.4906,3.156600341,,0.036,0.039,17.9634,2.888336355,,0.039,0.042,9.6726,2.269297146,,0.053,0.056,12.8968,2.556979219,,0.021,0.024,11.0544,2.402828539,,0.08,0.083,19.1149,2.950468136,,0.038,0.041,18.8846,2.938346775,
231,-0.003,0.097,0.1,23.03,3.136797714,,0.036,0.039,17.9634,2.888336355,,0.037,0.04,9.212,2.220506982,,0.051,0.054,12.4362,2.520611574,,0.02,0.023,10.5938,2.360268924,,0.078,0.081,18.6543,2.926076683,,0.037,0.04,18.424,2.913654163,
232,-0.003,0.095,0.098,22.5694,3.116595007,,0.035,0.038,17.5028,2.862360868,,0.036,0.039,8.9817,2.195189174,,0.048,0.051,11.7453,2.463453161,,0.018,0.021,9.6726,2.269297146,,0.076,0.079,18.1937,2.90107538,,0.036,0.039,17.9634,2.888336355,
233,-0.003,0.094,0.097,22.3391,3.106338506,,0.034,0.037,17.0422,2.835692621,,0.035,0.038,8.7514,2.169213688,,0.046,0.049,11.2847,2.423447826,,0.017,0.02,9.212,2.220506982,,0.075,0.078,17.9634,2.888336355,,0.036,0.039,17.9634,2.888336355,
234,-0.003,0.093,0.096,22.1088,3.095975719,,0.034,0.037,17.0422,2.835692621,,0.034,0.037,8.5211,2.14254544,,0.044,0.047,10.8241,2.38177513,,0.016,0.019,8.7514,2.169213688,,0.074,0.077,17.7331,2.87543295,,0.035,0.038,17.5028,2.862360868,
235,-0.003,0.092,0.095,21.8785,3.085504419,,0.033,0.036,16.5816,2.808293647,,0.033,0.036,8.2908,2.115146466,,0.043,0.046,10.5938,2.360268924,,0.015,0.018,8.2908,2.115146466,,0.072,0.075,17.2725,2.849115641,,0.034,0.037,17.0422,2.835692621,
236,-0.003,0.09,0.093,21.4179,3.064227021,,0.032,0.035,16.121,2.78012277,,0.033,0.036,8.2908,2.115146466,,0.041,0.044,10.1332,2.315817162,,0.015,0.018,8.2908,2.115146466,,0.071,0.074,17.0422,2.835692621,,0.033,0.036,16.5816,2.808293647,
237,-0.003,0.089,0.092,21.1876,3.053416105,,0.032,0.035,16.121,2.78012277,,0.032,0.035,8.0605,2.086975589,,0.04,0.043,9.9029,2.292827644,,0.014,0.017,7.8302,2.057988052,,0.07,0.073,16.8119,2.822086969,,0.033,0.036,16.5816,2.808293647,
238,-0.003,0.088,0.091,20.9573,3.042487034,,0.031,0.034,15.6604,2.751135233,,0.031,0.034,7.8302,2.057988052,,0.039,0.042,9.6726,2.269297146,,0.013,0.016,7.3696,1.997363431,,0.069,0.072,16.5816,2.808293647,,0.032,0.035,16.121,2.78012277,
239,-0.003,0.087,0.09,20.727,3.031437198,,0.031,0.034,15.6604,2.751135233,,0.031,0.034,7.8302,2.057988052,,0.038,0.041,9.4423,2.245199595,,0.013,0.016,7.3696,1.997363431,,0.068,0.071,16.3513,2.794307405,,0.032,0.035,16.121,2.78012277,
240,-0.003,0.086,0.089,20.4967,3.020263898,,0.03,0.033,15.1998,2.72128227,,0.03,0.033,7.5999,2.028135089,,0.037,0.04,9.212,2.220506982,,0.012,0.015,6.909,1.93282491,,0.067,0.07,16.121,2.78012277,,0.031,0.034,15.6604,2.751135233,
241,-0.003,0.085,0.088,20.2664,3.008964342,,0.03,0.033,15.1998,2.72128227,,0.029,0.032,7.3696,1.997363431,,0.036,0.039,8.9817,2.195189174,,0.012,0.015,6.909,1.93282491,,0.066,0.069,15.8907,2.765734032,,0.031,0.034,15.6604,2.751135233,
242,-0.003,0.085,0.088,20.2664,3.008964342,,0.03,0.033,15.1998,2.72128227,,0.029,0.032,7.3696,1.997363431,,0.035,0.038,8.7514,2.169213688,,0.012,0.015,6.909,1.93282491,,0.065,0.068,15.6604,2.751135233,,0.031,0.034,15.6604,2.751135233,
243,-0.003,0.084,0.087,20.0361,2.997535646,,0.029,0.032,14.7392,2.690510611,,0.029,0.032,7.3696,1.997363431,,0.035,0.038,8.7514,2.169213688,,0.011,0.014,6.4484,1.863832038,,0.064,0.067,15.4301,2.736320147,,0.03,0.033,15.1998,2.72128227,
244,-0.003,0.083,0.086,19.8058,2.985974824,,0.029,0.032,14.7392,2.690510611,,0.028,0.031,7.1393,1.965614732,,0.034,0.037,8.5211,2.14254544,,0.011,0.014,6.4484,1.863832038,,0.064,0.067,15.4301,2.736320147,,0.03,0.033,15.1998,2.72128227,
245,-0.003,0.082,0.085,19.5755,2.974278784,,0.029,0.032,14.7392,2.690510611,,0.028,0.031,7.1393,1.965614732,,0.033,0.036,8.2908,2.115146466,,0.01,0.013,5.9878,1.789724066,,0.063,0.066,15.1998,2.72128227,,0.029,0.032,14.7392,2.690510611,
246,-0.003,0.082,0.085,19.5755,2.974278784,,0.028,0.031,14.2786,2.658761913,,0.027,0.03,6.909,1.93282491,,0.033,0.036,8.2908,2.115146466,,0.01,0.013,5.9878,1.789724066,,0.062,0.065,14.9695,2.706014798,,0.029,0.032,14.7392,2.690510611,
247,-0.003,0.081,0.084,19.3452,2.962444327,,0.028,0.031,14.2786,2.658761913,,0.027,0.03,6.909,1.93282491,,0.032,0.035,8.0605,2.086975589,,0.01,0.013,5.9878,1.789724066,,0.061,0.064,14.7392,2.690510611,,0.029,0.032,14.7392,2.690510611,
248,-0.003,0.08,0.083,19.1149,2.950468136,,0.028,0.031,14.2786,2.658761913,,0.026,0.029,6.6787,1.898923358,,0.032,0.035,8.0605,2.086975589,,0.01,0.013,5.9878,1.789724066,,0.061,0.064,14.7392,2.690510611,,0.028,0.031,14.2786,2.658761913,
249,-0.003,0.08,0.083,19.1149,2.950468136,,0.027,0.03,13.818,2.62597209,,0.026,0.029,6.6787,1.898923358,,0.031,0.034,7.8302,2.057988052,,0.009,0.012,5.5272,1.709681358,,0.06,0.063,14.5089,2.674762254,,0.028,0.031,14.2786,2.658761913,
250,-0.002,0.079,0.081,18.6543,2.926076683,,0.027,0.029,13.3574,2.592070538,,0.026,0.028,6.4484,1.863832038,,0.031,0.033,7.5999,2.028135089,,0.009,0.011,5.0666,1.622669981,,0.06,0.062,14.2786,2.658761913,,0.028,0.03,13.818,2.62597209,
