,MilliQ,B20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
219,0,0.107,0.107,24.6421,3.204456362,,0.15,0.15,34.545,3.542262822,,0.108,0.108,24.8724,3.213758755,,0.101,0.101,23.2603,3.146748045,,0.123,0.123,28.3269,3.343811883,,0.098,0.098,22.5694,3.116595007,,0.108,0.108,24.8724,3.213758755,,0.126,0.126,29.0178,3.367909435,,0.152,0.152,35.0056,3.555508049,,0.149,0.149,34.3147,3.535573834,,0.079,0.079,18.1937,2.90107538,,0.061,0.061,14.0483,2.642501392,,0.244,0.244,56.1932,4.028795753,
220,0,0.105,0.105,24.1815,3.185587878,,0.147,0.147,33.8541,3.522060115,,0.106,0.106,24.4118,3.195066622,,0.098,0.098,22.5694,3.116595007,,0.117,0.117,26.9451,3.293801463,,0.096,0.096,22.1088,3.095975719,,0.105,0.105,24.1815,3.185587878,,0.123,0.123,28.3269,3.343811883,,0.149,0.149,34.3147,3.535573834,,0.146,0.146,33.6238,3.51523415,,0.078,0.078,17.9634,2.888336355,,0.06,0.06,13.818,2.62597209,,0.242,0.242,55.7326,4.020565254,
221,0,0.103,0.103,23.7209,3.166356516,,0.144,0.144,33.1632,3.501440827,,0.104,0.104,23.9512,3.176018427,,0.097,0.097,22.3391,3.106338506,,0.112,0.112,25.7936,3.250126399,,0.095,0.095,21.8785,3.085504419,,0.104,0.104,23.9512,3.176018427,,0.121,0.121,27.8663,3.327418073,,0.146,0.146,33.6238,3.51523415,,0.144,0.144,33.1632,3.501440827,,0.078,0.078,17.9634,2.888336355,,0.06,0.06,13.818,2.62597209,,0.241,0.241,55.5023,4.016424461,
222,0,0.102,0.102,23.4906,3.156600341,,0.141,0.141,32.4723,3.480387418,,0.102,0.102,23.4906,3.156600341,,0.095,0.095,21.8785,3.085504419,,0.108,0.108,24.8724,3.213758755,,0.093,0.093,21.4179,3.064227021,,0.102,0.102,23.4906,3.156600341,,0.119,0.119,27.4057,3.310751021,,0.144,0.144,33.1632,3.501440827,,0.142,0.142,32.7026,3.487454585,,0.077,0.077,17.7331,2.87543295,,0.059,0.059,13.5877,2.609164972,,0.239,0.239,55.0417,4.00809108,
223,0,0.1,0.1,23.03,3.136797714,,0.139,0.139,32.0117,3.466101461,,0.101,0.101,23.2603,3.146748045,,0.094,0.094,21.6482,3.07492231,,0.103,0.103,23.7209,3.166356516,,0.092,0.092,21.1876,3.053416105,,0.1,0.1,23.03,3.136797714,,0.117,0.117,26.9451,3.293801463,,0.141,0.141,32.4723,3.480387418,,0.14,0.14,32.242,3.47326995,,0.076,0.076,17.5028,2.862360868,,0.058,0.058,13.3574,2.592070538,,0.237,0.237,54.5811,3.999687669,
224,0,0.099,0.099,22.7997,3.126747378,,0.136,0.136,31.3208,3.444282414,,0.099,0.099,22.7997,3.126747378,,0.092,0.092,21.1876,3.053416105,,0.099,0.099,22.7997,3.126747378,,0.09,0.09,20.727,3.031437198,,0.099,0.099,22.7997,3.126747378,,0.115,0.115,26.4845,3.276559656,,0.139,0.139,32.0117,3.466101461,,0.138,0.138,31.7814,3.458881213,,0.076,0.076,17.5028,2.862360868,,0.057,0.057,13.1271,2.574678796,,0.236,0.236,54.3508,3.995459333,
225,0,0.097,0.097,22.3391,3.106338506,,0.134,0.134,30.8602,3.429467328,,0.097,0.097,22.3391,3.106338506,,0.091,0.091,20.9573,3.042487034,,0.095,0.095,21.8785,3.085504419,,0.089,0.089,20.4967,3.020263898,,0.097,0.097,22.3391,3.106338506,,0.113,0.113,26.0239,3.259015347,,0.137,0.137,31.5511,3.451608454,,0.136,0.136,31.3208,3.444282414,,0.075,0.075,17.2725,2.849115641,,0.056,0.056,12.8968,2.556979219,,0.234,0.234,53.8902,3.986948643,
226,0,0.096,0.096,22.1088,3.095975719,,0.132,0.132,30.3996,3.41442945,,0.096,0.096,22.1088,3.095975719,,0.089,0.089,20.4967,3.020263898,,0.092,0.092,21.1876,3.053416105,,0.087,0.087,20.0361,2.997535646,,0.096,0.096,22.1088,3.095975719,,0.111,0.111,25.5633,3.241157729,,0.134,0.134,30.8602,3.429467328,,0.134,0.134,30.8602,3.429467328,,0.074,0.074,17.0422,2.835692621,,0.056,0.056,12.8968,2.556979219,,0.233,0.233,53.6599,3.982665981,
227,0,0.094,0.094,21.6482,3.07492231,,0.13,0.13,29.939,3.399161978,,0.094,0.094,21.6482,3.07492231,,0.088,0.088,20.2664,3.008964342,,0.088,0.088,20.2664,3.008964342,,0.086,0.086,19.8058,2.985974824,,0.094,0.094,21.6482,3.07492231,,0.109,0.109,25.1027,3.22297541,,0.132,0.132,30.3996,3.41442945,,0.132,0.132,30.3996,3.41442945,,0.073,0.073,16.8119,2.822086969,,0.055,0.055,12.6665,2.538960713,,0.231,0.231,53.1993,3.974045238,
228,0,0.093,0.093,21.4179,3.064227021,,0.127,0.127,29.2481,3.375814614,,0.092,0.092,21.1876,3.053416105,,0.087,0.087,20.0361,2.997535646,,0.085,0.085,19.5755,2.974278784,,0.085,0.085,19.5755,2.974278784,,0.093,0.093,21.4179,3.064227021,,0.107,0.107,24.6421,3.204456362,,0.13,0.13,29.939,3.399161978,,0.13,0.13,29.939,3.399161978,,0.073,0.073,16.8119,2.822086969,,0.054,0.054,12.4362,2.520611574,,0.229,0.229,52.7387,3.965349531,
