,MilliQ,B20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
551,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.052,0.052,11.9756,2.482871246,
552,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.052,0.052,11.9756,2.482871246,
553,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.052,0.052,11.9756,2.482871246,
554,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.052,0.052,11.9756,2.482871246,
555,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.051,0.051,11.7453,2.463453161,
556,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.051,0.051,11.7453,2.463453161,
557,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.051,0.051,11.7453,2.463453161,
558,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.051,0.051,11.7453,2.463453161,
559,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.051,0.051,11.7453,2.463453161,
560,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.051,0.051,11.7453,2.463453161,
561,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.051,0.051,11.7453,2.463453161,
562,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.051,0.051,11.7453,2.463453161,
563,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.051,0.051,11.7453,2.463453161,
564,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.05,0.05,11.515,2.443650533,
565,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.05,0.05,11.515,2.443650533,
566,0,0.006,0.006,1.3818,0.323386997,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.05,0.05,11.515,2.443650533,
567,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.05,0.05,11.515,2.443650533,
568,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.05,0.05,11.515,2.443650533,
569,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.05,0.05,11.515,2.443650533,
570,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.05,0.05,11.515,2.443650533,
571,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
572,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
573,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
574,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
575,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
576,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
577,0,0.005,0.005,1.1515,0.14106544,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
578,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
579,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
580,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.049,0.049,11.2847,2.423447826,
581,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.048,0.048,11.0544,2.402828539,
582,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.048,0.048,11.0544,2.402828539,
583,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.048,0.048,11.0544,2.402828539,
584,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.048,0.048,11.0544,2.402828539,
585,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.048,0.048,11.0544,2.402828539,
586,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.048,0.048,11.0544,2.402828539,
587,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.048,0.048,11.0544,2.402828539,
588,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.048,0.048,11.0544,2.402828539,
589,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
590,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
591,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
592,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
593,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
594,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
595,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
596,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
597,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
598,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
599,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.047,0.047,10.8241,2.38177513,
600,0,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.046,0.046,10.5938,2.360268924,
