,Blank,Blank,Blank,Blank,F3Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20May19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F20May19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20May19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
231,-0.001,0.049,0.015,0.011,0.049,0.038,8.7514,2.169213688,,0.064,0.053,12.2059,2.501919441,,0.056,0.045,10.3635,2.338290018,,0.06,0.049,11.2847,2.423447826,,0.048,0.037,8.5211,2.14254544,,0.065,0.054,12.4362,2.520611574,,0.03,0.019,8.7514,2.169213688,
232,0,0.049,0.014,0.011,0.048,0.037,8.5211,2.14254544,,0.063,0.052,11.9756,2.482871246,,0.055,0.044,10.1332,2.315817162,,0.059,0.048,11.0544,2.402828539,,0.047,0.036,8.2908,2.115146466,,0.064,0.053,12.2059,2.501919441,,0.029,0.018,8.2908,2.115146466,
233,0,0.049,0.014,0.011,0.048,0.037,8.5211,2.14254544,,0.062,0.051,11.7453,2.463453161,,0.054,0.043,9.9029,2.292827644,,0.058,0.047,10.8241,2.38177513,,0.046,0.035,8.0605,2.086975589,,0.063,0.052,11.9756,2.482871246,,0.029,0.018,8.2908,2.115146466,
234,0,0.049,0.014,0.011,0.047,0.036,8.2908,2.115146466,,0.061,0.05,11.515,2.443650533,,0.053,0.042,9.6726,2.269297146,,0.057,0.046,10.5938,2.360268924,,0.045,0.034,7.8302,2.057988052,,0.062,0.051,11.7453,2.463453161,,0.029,0.018,8.2908,2.115146466,
235,0,0.049,0.013,0.01,0.046,0.036,8.2908,2.115146466,,0.06,0.05,11.515,2.443650533,,0.052,0.042,9.6726,2.269297146,,0.056,0.046,10.5938,2.360268924,,0.045,0.035,8.0605,2.086975589,,0.061,0.051,11.7453,2.463453161,,0.028,0.018,8.2908,2.115146466,
236,0,0.049,0.013,0.01,0.046,0.036,8.2908,2.115146466,,0.059,0.049,11.2847,2.423447826,,0.051,0.041,9.4423,2.245199595,,0.056,0.046,10.5938,2.360268924,,0.044,0.034,7.8302,2.057988052,,0.06,0.05,11.515,2.443650533,,0.028,0.018,8.2908,2.115146466,
237,0,0.049,0.013,0.009,0.045,0.036,8.2908,2.115146466,,0.058,0.049,11.2847,2.423447826,,0.05,0.041,9.4423,2.245199595,,0.055,0.046,10.5938,2.360268924,,0.043,0.034,7.8302,2.057988052,,0.059,0.05,11.515,2.443650533,,0.027,0.018,8.2908,2.115146466,
238,0,0.049,0.013,0.009,0.044,0.035,8.0605,2.086975589,,0.057,0.048,11.0544,2.402828539,,0.05,0.041,9.4423,2.245199595,,0.054,0.045,10.3635,2.338290018,,0.042,0.033,7.5999,2.028135089,,0.058,0.049,11.2847,2.423447826,,0.026,0.017,7.8302,2.057988052,
239,0,0.049,0.013,0.009,0.044,0.035,8.0605,2.086975589,,0.056,0.047,10.8241,2.38177513,,0.049,0.04,9.212,2.220506982,,0.054,0.045,10.3635,2.338290018,,0.042,0.033,7.5999,2.028135089,,0.057,0.048,11.0544,2.402828539,,0.026,0.017,7.8302,2.057988052,
240,0,0.049,0.012,0.009,0.043,0.034,7.8302,2.057988052,,0.056,0.047,10.8241,2.38177513,,0.048,0.039,8.9817,2.195189174,,0.053,0.044,10.1332,2.315817162,,0.041,0.032,7.3696,1.997363431,,0.056,0.047,10.8241,2.38177513,,0.026,0.017,7.8302,2.057988052,
241,0,0.049,0.012,0.009,0.043,0.034,7.8302,2.057988052,,0.055,0.046,10.5938,2.360268924,,0.048,0.039,8.9817,2.195189174,,0.052,0.043,9.9029,2.292827644,,0.041,0.032,7.3696,1.997363431,,0.055,0.046,10.5938,2.360268924,,0.025,0.016,7.3696,1.997363431,
242,-0.001,0.049,0.012,0.009,0.042,0.033,7.5999,2.028135089,,0.054,0.045,10.3635,2.338290018,,0.047,0.038,8.7514,2.169213688,,0.051,0.042,9.6726,2.269297146,,0.04,0.031,7.1393,1.965614732,,0.055,0.046,10.5938,2.360268924,,0.025,0.016,7.3696,1.997363431,
243,0,0.049,0.012,0.008,0.042,0.034,7.8302,2.057988052,,0.054,0.046,10.5938,2.360268924,,0.046,0.038,8.7514,2.169213688,,0.051,0.043,9.9029,2.292827644,,0.04,0.032,7.3696,1.997363431,,0.054,0.046,10.5938,2.360268924,,0.025,0.017,7.8302,2.057988052,
244,0,0.049,0.012,0.008,0.041,0.033,7.5999,2.028135089,,0.053,0.045,10.3635,2.338290018,,0.046,0.038,8.7514,2.169213688,,0.051,0.043,9.9029,2.292827644,,0.039,0.031,7.1393,1.965614732,,0.054,0.046,10.5938,2.360268924,,0.025,0.017,7.8302,2.057988052,
245,0,0.049,0.012,0.008,0.041,0.033,7.5999,2.028135089,,0.053,0.045,10.3635,2.338290018,,0.046,0.038,8.7514,2.169213688,,0.05,0.042,9.6726,2.269297146,,0.039,0.031,7.1393,1.965614732,,0.053,0.045,10.3635,2.338290018,,0.024,0.016,7.3696,1.997363431,
246,0,0.049,0.011,0.008,0.041,0.033,7.5999,2.028135089,,0.052,0.044,10.1332,2.315817162,,0.045,0.037,8.5211,2.14254544,,0.05,0.042,9.6726,2.269297146,,0.038,0.03,6.909,1.93282491,,0.052,0.044,10.1332,2.315817162,,0.024,0.016,7.3696,1.997363431,
247,-0.001,0.049,0.011,0.008,0.04,0.032,7.3696,1.997363431,,0.051,0.043,9.9029,2.292827644,,0.044,0.036,8.2908,2.115146466,,0.049,0.041,9.4423,2.245199595,,0.038,0.03,6.909,1.93282491,,0.052,0.044,10.1332,2.315817162,,0.024,0.016,7.3696,1.997363431,
248,-0.001,0.049,0.011,0.008,0.04,0.032,7.3696,1.997363431,,0.051,0.043,9.9029,2.292827644,,0.044,0.036,8.2908,2.115146466,,0.048,0.04,9.212,2.220506982,,0.037,0.029,6.6787,1.898923358,,0.051,0.043,9.9029,2.292827644,,0.023,0.015,6.909,1.93282491,
249,0,0.049,0.011,0.008,0.04,0.032,7.3696,1.997363431,,0.05,0.042,9.6726,2.269297146,,0.044,0.036,8.2908,2.115146466,,0.048,0.04,9.212,2.220506982,,0.037,0.029,6.6787,1.898923358,,0.051,0.043,9.9029,2.292827644,,0.023,0.015,6.909,1.93282491,
250,0,0.049,0.011,0.007,0.039,0.032,7.3696,1.997363431,,0.05,0.043,9.9029,2.292827644,,0.043,0.036,8.2908,2.115146466,,0.048,0.041,9.4423,2.245199595,,0.037,0.03,6.909,1.93282491,,0.05,0.043,9.9029,2.292827644,,0.023,0.016,7.3696,1.997363431,
251,0,0.049,0.011,0.007,0.039,0.032,7.3696,1.997363431,,0.05,0.043,9.9029,2.292827644,,0.043,0.036,8.2908,2.115146466,,0.047,0.04,9.212,2.220506982,,0.037,0.03,6.909,1.93282491,,0.05,0.043,9.9029,2.292827644,,0.023,0.016,7.3696,1.997363431,
