,Blank,F19Aug19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_45_R2,A(CDOM),a(CDOM),ln(a),Sr
211,-0.004,0.186,0.19,43.757,3.7786516,,0.115,0.119,27.4057,3.310751021,,0.067,0.071,16.3513,2.794307405,,0.103,0.107,24.6421,3.204456362,,0.132,0.136,31.3208,3.444282414,,0.194,0.198,45.5994,3.819894559,,0.163,0.167,38.4601,3.64962134,,0.143,0.147,33.8541,3.522060115,
212,-0.004,0.182,0.186,42.8358,3.757374202,,0.111,0.115,26.4845,3.276559656,,0.066,0.07,16.121,2.78012277,,0.102,0.106,24.4118,3.195066622,,0.128,0.132,30.3996,3.41442945,,0.188,0.192,44.2176,3.7891229,,0.157,0.161,37.0783,3.613031893,,0.138,0.142,32.7026,3.487454585,
213,-0.004,0.177,0.181,41.6843,3.730124559,,0.106,0.11,25.333,3.232107894,,0.064,0.068,15.6604,2.751135233,,0.101,0.105,24.1815,3.185587878,,0.124,0.128,29.4784,3.383657792,,0.182,0.186,42.8358,3.757374202,,0.152,0.156,35.9268,3.581483535,,0.133,0.137,31.5511,3.451608454,
214,-0.003,0.173,0.176,40.5328,3.702111523,,0.102,0.105,24.1815,3.185587878,,0.063,0.066,15.1998,2.72128227,,0.1,0.103,23.7209,3.166356516,,0.12,0.123,28.3269,3.343811883,,0.175,0.178,40.9934,3.713411078,,0.147,0.15,34.545,3.542262822,,0.129,0.132,30.3996,3.41442945,
215,-0.003,0.17,0.173,39.8419,3.684919122,,0.098,0.101,23.2603,3.146748045,,0.062,0.065,14.9695,2.706014798,,0.1,0.103,23.7209,3.166356516,,0.117,0.12,27.636,3.319119271,,0.169,0.172,39.6116,3.679122005,,0.142,0.145,33.3935,3.50836127,,0.125,0.128,29.4784,3.383657792,
216,-0.002,0.167,0.169,38.9207,3.661526243,,0.093,0.095,21.8785,3.085504419,,0.061,0.063,14.5089,2.674762254,,0.099,0.101,23.2603,3.146748045,,0.114,0.116,26.7148,3.285217719,,0.163,0.165,37.9995,3.637573002,,0.138,0.14,32.242,3.47326995,,0.121,0.123,28.3269,3.343811883,
217,-0.002,0.164,0.166,38.2298,3.643615316,,0.089,0.091,20.9573,3.042487034,,0.06,0.062,14.2786,2.658761913,,0.098,0.1,23.03,3.136797714,,0.11,0.112,25.7936,3.250126399,,0.157,0.159,36.6177,3.60053173,,0.134,0.136,31.3208,3.444282414,,0.117,0.119,27.4057,3.310751021,
218,-0.002,0.161,0.163,37.5389,3.625377729,,0.084,0.086,19.8058,2.985974824,,0.059,0.061,14.0483,2.642501392,,0.098,0.1,23.03,3.136797714,,0.107,0.109,25.1027,3.22297541,,0.151,0.153,35.2359,3.562065449,,0.13,0.132,30.3996,3.41442945,,0.113,0.115,26.4845,3.276559656,
219,-0.002,0.158,0.16,36.848,3.606801343,,0.08,0.082,18.8846,2.938346775,,0.058,0.06,13.818,2.62597209,,0.097,0.099,22.7997,3.126747378,,0.104,0.106,24.4118,3.195066622,,0.146,0.148,34.0844,3.528839802,,0.126,0.128,29.4784,3.383657792,,0.109,0.111,25.5633,3.241157729,
220,-0.002,0.156,0.158,36.3874,3.594222561,,0.076,0.078,17.9634,2.888336355,,0.057,0.059,13.5877,2.609164972,,0.096,0.098,22.5694,3.116595007,,0.102,0.104,23.9512,3.176018427,,0.141,0.143,32.9329,3.494472158,,0.122,0.124,28.5572,3.351909093,,0.106,0.108,24.8724,3.213758755,
221,-0.001,0.153,0.154,35.4662,3.56858013,,0.072,0.073,16.8119,2.822086969,,0.057,0.058,13.3574,2.592070538,,0.096,0.097,22.3391,3.106338506,,0.099,0.1,23.03,3.136797714,,0.135,0.136,31.3208,3.444282414,,0.118,0.119,27.4057,3.310751021,,0.103,0.104,23.9512,3.176018427,
222,-0.001,0.151,0.152,35.0056,3.555508049,,0.069,0.07,16.121,2.78012277,,0.056,0.057,13.1271,2.574678796,,0.095,0.096,22.1088,3.095975719,,0.096,0.097,22.3391,3.106338506,,0.131,0.132,30.3996,3.41442945,,0.115,0.116,26.7148,3.285217719,,0.1,0.101,23.2603,3.146748045,
223,-0.001,0.149,0.15,34.545,3.542262822,,0.066,0.067,15.4301,2.736320147,,0.055,0.056,12.8968,2.556979219,,0.095,0.096,22.1088,3.095975719,,0.094,0.095,21.8785,3.085504419,,0.126,0.127,29.2481,3.375814614,,0.111,0.112,25.7936,3.250126399,,0.097,0.098,22.5694,3.116595007,
224,-0.001,0.147,0.148,34.0844,3.528839802,,0.063,0.064,14.7392,2.690510611,,0.054,0.055,12.6665,2.538960713,,0.094,0.095,21.8785,3.085504419,,0.092,0.093,21.4179,3.064227021,,0.122,0.123,28.3269,3.343811883,,0.108,0.109,25.1027,3.22297541,,0.094,0.095,21.8785,3.085504419,
225,0,0.145,0.145,33.3935,3.50836127,,0.06,0.06,13.818,2.62597209,,0.054,0.054,12.4362,2.520611574,,0.093,0.093,21.4179,3.064227021,,0.09,0.09,20.727,3.031437198,,0.118,0.118,27.1754,3.302312152,,0.105,0.105,24.1815,3.185587878,,0.091,0.091,20.9573,3.042487034,
226,-0.001,0.143,0.144,33.1632,3.501440827,,0.057,0.058,13.3574,2.592070538,,0.053,0.054,12.4362,2.520611574,,0.093,0.094,21.6482,3.07492231,,0.088,0.089,20.4967,3.020263898,,0.114,0.115,26.4845,3.276559656,,0.103,0.104,23.9512,3.176018427,,0.089,0.09,20.727,3.031437198,
227,-0.001,0.141,0.142,32.7026,3.487454585,,0.054,0.055,12.6665,2.538960713,,0.052,0.053,12.2059,2.501919441,,0.092,0.093,21.4179,3.064227021,,0.085,0.086,19.8058,2.985974824,,0.11,0.111,25.5633,3.241157729,,0.1,0.101,23.2603,3.146748045,,0.086,0.087,20.0361,2.997535646,
228,0,0.139,0.139,32.0117,3.466101461,,0.052,0.052,11.9756,2.482871246,,0.052,0.052,11.9756,2.482871246,,0.091,0.091,20.9573,3.042487034,,0.083,0.083,19.1149,2.950468136,,0.107,0.107,24.6421,3.204456362,,0.097,0.097,22.3391,3.106338506,,0.084,0.084,19.3452,2.962444327,
229,0,0.137,0.137,31.5511,3.451608454,,0.05,0.05,11.515,2.443650533,,0.051,0.051,11.7453,2.463453161,,0.091,0.091,20.9573,3.042487034,,0.082,0.082,18.8846,2.938346775,,0.103,0.103,23.7209,3.166356516,,0.094,0.094,21.6482,3.07492231,,0.082,0.082,18.8846,2.938346775,
230,0,0.136,0.136,31.3208,3.444282414,,0.048,0.048,11.0544,2.402828539,,0.05,0.05,11.515,2.443650533,,0.09,0.09,20.727,3.031437198,,0.08,0.08,18.424,2.913654163,,0.1,0.1,23.03,3.136797714,,0.092,0.092,21.1876,3.053416105,,0.08,0.08,18.424,2.913654163,
231,0,0.134,0.134,30.8602,3.429467328,,0.047,0.047,10.8241,2.38177513,,0.05,0.05,11.515,2.443650533,,0.09,0.09,20.727,3.031437198,,0.078,0.078,17.9634,2.888336355,,0.098,0.098,22.5694,3.116595007,,0.09,0.09,20.727,3.031437198,,0.078,0.078,17.9634,2.888336355,
232,0,0.132,0.132,30.3996,3.41442945,,0.046,0.046,10.5938,2.360268924,,0.049,0.049,11.2847,2.423447826,,0.089,0.089,20.4967,3.020263898,,0.077,0.077,17.7331,2.87543295,,0.095,0.095,21.8785,3.085504419,,0.088,0.088,20.2664,3.008964342,,0.076,0.076,17.5028,2.862360868,
233,0,0.13,0.13,29.939,3.399161978,,0.044,0.044,10.1332,2.315817162,,0.049,0.049,11.2847,2.423447826,,0.088,0.088,20.2664,3.008964342,,0.075,0.075,17.2725,2.849115641,,0.093,0.093,21.4179,3.064227021,,0.086,0.086,19.8058,2.985974824,,0.074,0.074,17.0422,2.835692621,
234,0,0.129,0.129,29.7087,3.391439932,,0.043,0.043,9.9029,2.292827644,,0.048,0.048,11.0544,2.402828539,,0.088,0.088,20.2664,3.008964342,,0.074,0.074,17.0422,2.835692621,,0.091,0.091,20.9573,3.042487034,,0.084,0.084,19.3452,2.962444327,,0.073,0.073,16.8119,2.822086969,
235,0,0.127,0.127,29.2481,3.375814614,,0.042,0.042,9.6726,2.269297146,,0.048,0.048,11.0544,2.402828539,,0.087,0.087,20.0361,2.997535646,,0.072,0.072,16.5816,2.808293647,,0.089,0.089,20.4967,3.020263898,,0.082,0.082,18.8846,2.938346775,,0.071,0.071,16.3513,2.794307405,
236,0,0.125,0.125,28.7875,3.359941265,,0.041,0.041,9.4423,2.245199595,,0.047,0.047,10.8241,2.38177513,,0.086,0.086,19.8058,2.985974824,,0.071,0.071,16.3513,2.794307405,,0.087,0.087,20.0361,2.997535646,,0.08,0.08,18.424,2.913654163,,0.07,0.07,16.121,2.78012277,
237,0,0.124,0.124,28.5572,3.351909093,,0.04,0.04,9.212,2.220506982,,0.047,0.047,10.8241,2.38177513,,0.086,0.086,19.8058,2.985974824,,0.07,0.07,16.121,2.78012277,,0.085,0.085,19.5755,2.974278784,,0.079,0.079,18.1937,2.90107538,,0.069,0.069,15.8907,2.765734032,
238,0,0.122,0.122,28.0966,3.335648573,,0.04,0.04,9.212,2.220506982,,0.046,0.046,10.5938,2.360268924,,0.085,0.085,19.5755,2.974278784,,0.069,0.069,15.8907,2.765734032,,0.084,0.084,19.3452,2.962444327,,0.078,0.078,17.9634,2.888336355,,0.067,0.067,15.4301,2.736320147,
239,0,0.121,0.121,27.8663,3.327418073,,0.039,0.039,8.9817,2.195189174,,0.046,0.046,10.5938,2.360268924,,0.085,0.085,19.5755,2.974278784,,0.068,0.068,15.6604,2.751135233,,0.083,0.083,19.1149,2.950468136,,0.076,0.076,17.5028,2.862360868,,0.066,0.066,15.1998,2.72128227,
240,0,0.12,0.12,27.636,3.319119271,,0.038,0.038,8.7514,2.169213688,,0.046,0.046,10.5938,2.360268924,,0.084,0.084,19.3452,2.962444327,,0.067,0.067,15.4301,2.736320147,,0.082,0.082,18.8846,2.938346775,,0.075,0.075,17.2725,2.849115641,,0.065,0.065,14.9695,2.706014798,
241,0,0.119,0.119,27.4057,3.310751021,,0.038,0.038,8.7514,2.169213688,,0.045,0.045,10.3635,2.338290018,,0.084,0.084,19.3452,2.962444327,,0.066,0.066,15.1998,2.72128227,,0.081,0.081,18.6543,2.926076683,,0.074,0.074,17.0422,2.835692621,,0.064,0.064,14.7392,2.690510611,
