,MilliQ,F22Aug19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_20_r1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_102_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_45_r1,A(CDOM),a(CDOM),ln(a),Sr
210,0.006,0.189,0.183,42.1449,3.741113681,,0.163,0.157,36.1571,3.587873333,,0.17,0.164,37.7692,3.631493956,,0.197,0.191,43.9873,3.783900956,,0.259,0.253,58.2659,4.065017017,,0.119,0.113,26.0239,3.259015347,,0.203,0.197,45.3691,3.814831257,,0.121,0.115,26.4845,3.276559656,,0.126,0.12,27.636,3.319119271,,0.118,0.112,25.7936,3.250126399,,0.12,0.114,26.2542,3.267825976,,0.117,0.111,25.5633,3.241157729,
211,0.006,0.183,0.177,40.7631,3.70777726,,0.16,0.154,35.4662,3.56858013,,0.166,0.16,36.848,3.606801343,,0.191,0.185,42.6055,3.751983353,,0.249,0.243,55.9629,4.024688971,,0.117,0.111,25.5633,3.241157729,,0.196,0.19,43.757,3.7786516,,0.118,0.112,25.7936,3.250126399,,0.121,0.115,26.4845,3.276559656,,0.115,0.109,25.1027,3.22297541,,0.117,0.111,25.5633,3.241157729,,0.114,0.108,24.8724,3.213758755,
212,0.005,0.176,0.171,39.3813,3.673291084,,0.158,0.153,35.2359,3.562065449,,0.162,0.157,36.1571,3.587873333,,0.186,0.181,41.6843,3.730124559,,0.239,0.234,53.8902,3.986948643,,0.115,0.11,25.333,3.232107894,,0.189,0.184,42.3752,3.746563285,,0.115,0.11,25.333,3.232107894,,0.116,0.111,25.5633,3.241157729,,0.112,0.107,24.6421,3.204456362,,0.114,0.109,25.1027,3.22297541,,0.111,0.106,24.4118,3.195066622,
213,0.005,0.169,0.164,37.7692,3.631493956,,0.156,0.151,34.7753,3.548907365,,0.157,0.152,35.0056,3.555508049,,0.181,0.176,40.5328,3.702111523,,0.227,0.222,51.1266,3.93430491,,0.112,0.107,24.6421,3.204456362,,0.181,0.176,40.5328,3.702111523,,0.112,0.107,24.6421,3.204456362,,0.11,0.105,24.1815,3.185587878,,0.109,0.104,23.9512,3.176018427,,0.111,0.106,24.4118,3.195066622,,0.109,0.104,23.9512,3.176018427,
214,0.004,0.162,0.158,36.3874,3.594222561,,0.154,0.15,34.545,3.542262822,,0.153,0.149,34.3147,3.535573834,,0.177,0.173,39.8419,3.684919122,,0.216,0.212,48.8236,3.888213803,,0.11,0.106,24.4118,3.195066622,,0.173,0.169,38.9207,3.661526243,,0.11,0.106,24.4118,3.195066622,,0.105,0.101,23.2603,3.146748045,,0.107,0.103,23.7209,3.166356516,,0.109,0.105,24.1815,3.185587878,,0.106,0.102,23.4906,3.156600341,
215,0.004,0.156,0.152,35.0056,3.555508049,,0.152,0.148,34.0844,3.528839802,,0.149,0.145,33.3935,3.50836127,,0.172,0.168,38.6904,3.655591507,,0.205,0.201,46.2903,3.834932436,,0.107,0.103,23.7209,3.166356516,,0.165,0.161,37.0783,3.613031893,,0.107,0.103,23.7209,3.166356516,,0.099,0.095,21.8785,3.085504419,,0.104,0.1,23.03,3.136797714,,0.107,0.103,23.7209,3.166356516,,0.104,0.1,23.03,3.136797714,
216,0.004,0.149,0.145,33.3935,3.50836127,,0.15,0.146,33.6238,3.51523415,,0.145,0.141,32.4723,3.480387418,,0.168,0.164,37.7692,3.631493956,,0.194,0.19,43.757,3.7786516,,0.105,0.101,23.2603,3.146748045,,0.157,0.153,35.2359,3.562065449,,0.105,0.101,23.2603,3.146748045,,0.094,0.09,20.727,3.031437198,,0.102,0.098,22.5694,3.116595007,,0.104,0.1,23.03,3.136797714,,0.101,0.097,22.3391,3.106338506,
217,0.004,0.142,0.138,31.7814,3.458881213,,0.148,0.144,33.1632,3.501440827,,0.141,0.137,31.5511,3.451608454,,0.165,0.161,37.0783,3.613031893,,0.184,0.18,41.454,3.724584379,,0.103,0.099,22.7997,3.126747378,,0.149,0.145,33.3935,3.50836127,,0.103,0.099,22.7997,3.126747378,,0.088,0.084,19.3452,2.962444327,,0.1,0.096,22.1088,3.095975719,,0.102,0.098,22.5694,3.116595007,,0.099,0.095,21.8785,3.085504419,
218,0.004,0.136,0.132,30.3996,3.41442945,,0.146,0.142,32.7026,3.487454585,,0.138,0.134,30.8602,3.429467328,,0.162,0.158,36.3874,3.594222561,,0.174,0.17,39.151,3.667425965,,0.101,0.097,22.3391,3.106338506,,0.142,0.138,31.7814,3.458881213,,0.1,0.096,22.1088,3.095975719,,0.083,0.079,18.1937,2.90107538,,0.098,0.094,21.6482,3.07492231,,0.101,0.097,22.3391,3.106338506,,0.097,0.093,21.4179,3.064227021,
219,0.003,0.13,0.127,29.2481,3.375814614,,0.145,0.142,32.7026,3.487454585,,0.134,0.131,30.1693,3.406824851,,0.159,0.156,35.9268,3.581483535,,0.164,0.161,37.0783,3.613031893,,0.099,0.096,22.1088,3.095975719,,0.135,0.132,30.3996,3.41442945,,0.099,0.096,22.1088,3.095975719,,0.078,0.075,17.2725,2.849115641,,0.096,0.093,21.4179,3.064227021,,0.099,0.096,22.1088,3.095975719,,0.096,0.093,21.4179,3.064227021,
