,MilliQ,MilliQ2,F15Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F27May19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F03Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_0.1mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27May19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9mR2_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F03Jul19_0.1mR1_Flt,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9mR2_1:2a,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F15Jul19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_0.1mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR2_1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,MilliQ_Final
210,0.006,0.006,0.076,0.07,16.121,2.78012277,,0.073,0.067,15.4301,2.736320147,,0.093,0.087,20.0361,2.997535646,,0.082,0.076,17.5028,2.862360868,,0.136,0.13,29.939,3.399161978,,0.066,0.06,27.636,3.319119271,,0.109,0.103,23.7209,3.166356516,,0.056,0.05,23.03,3.136797714,,0.169,0.163,37.5389,3.625377729,,0.056,0.05,23.03,3.136797714,,0.159,0.153,35.2359,3.562065449,,0.079,0.073,33.6238,3.51523415,,0.105,0.099,22.7997,3.126747378,,0.053,0.047,21.6482,3.07492231,,0.07,0.064,14.7392,2.690510611,,0.109,0.103,23.7209,3.166356516,,0.057,0.051,23.4906,3.156600341,,0
211,0.006,0.006,0.075,0.069,15.8907,2.765734032,,0.072,0.066,15.1998,2.72128227,,0.091,0.085,19.5755,2.974278784,,0.081,0.075,17.2725,2.849115641,,0.132,0.126,29.0178,3.367909435,,0.064,0.058,26.7148,3.285217719,,0.106,0.1,23.03,3.136797714,,0.054,0.048,22.1088,3.095975719,,0.165,0.159,36.6177,3.60053173,,0.054,0.048,22.1088,3.095975719,,0.154,0.148,34.0844,3.528839802,,0.077,0.071,32.7026,3.487454585,,0.103,0.097,22.3391,3.106338506,,0.052,0.046,21.1876,3.053416105,,0.068,0.062,14.2786,2.658761913,,0.106,0.1,23.03,3.136797714,,0.055,0.049,22.5694,3.116595007,,0
212,0.006,0.006,0.073,0.067,15.4301,2.736320147,,0.071,0.065,14.9695,2.706014798,,0.089,0.083,19.1149,2.950468136,,0.079,0.073,16.8119,2.822086969,,0.129,0.123,28.3269,3.343811883,,0.063,0.057,26.2542,3.267825976,,0.102,0.096,22.1088,3.095975719,,0.052,0.046,21.1876,3.053416105,,0.161,0.155,35.6965,3.575052645,,0.053,0.047,21.6482,3.07492231,,0.15,0.144,33.1632,3.501440827,,0.075,0.069,31.7814,3.458881213,,0.101,0.095,21.8785,3.085504419,,0.051,0.045,20.727,3.031437198,,0.066,0.06,13.818,2.62597209,,0.104,0.098,22.5694,3.116595007,,0.054,0.048,22.1088,3.095975719,,0
213,0.005,0.005,0.072,0.067,15.4301,2.736320147,,0.069,0.064,14.7392,2.690510611,,0.087,0.082,18.8846,2.938346775,,0.078,0.073,16.8119,2.822086969,,0.125,0.12,27.636,3.319119271,,0.061,0.056,25.7936,3.250126399,,0.099,0.094,21.6482,3.07492231,,0.051,0.046,21.1876,3.053416105,,0.157,0.152,35.0056,3.555508049,,0.051,0.046,21.1876,3.053416105,,0.146,0.141,32.4723,3.480387418,,0.073,0.068,31.3208,3.444282414,,0.098,0.093,21.4179,3.064227021,,0.049,0.044,20.2664,3.008964342,,0.065,0.06,13.818,2.62597209,,0.101,0.096,22.1088,3.095975719,,0.052,0.047,21.6482,3.07492231,,0
214,0.005,0.005,0.07,0.065,14.9695,2.706014798,,0.068,0.063,14.5089,2.674762254,,0.085,0.08,18.424,2.913654163,,0.076,0.071,16.3513,2.794307405,,0.122,0.117,26.9451,3.293801463,,0.06,0.055,25.333,3.232107894,,0.096,0.091,20.9573,3.042487034,,0.049,0.044,20.2664,3.008964342,,0.153,0.148,34.0844,3.528839802,,0.049,0.044,20.2664,3.008964342,,0.143,0.138,31.7814,3.458881213,,0.071,0.066,30.3996,3.41442945,,0.096,0.091,20.9573,3.042487034,,0.048,0.043,19.8058,2.985974824,,0.064,0.059,13.5877,2.609164972,,0.098,0.093,21.4179,3.064227021,,0.051,0.046,21.1876,3.053416105,,0
215,0.005,0.004,0.069,0.065,14.9695,2.706014798,,0.067,0.063,14.5089,2.674762254,,0.084,0.08,18.424,2.913654163,,0.075,0.071,16.3513,2.794307405,,0.12,0.116,26.7148,3.285217719,,0.058,0.054,24.8724,3.213758755,,0.093,0.089,20.4967,3.020263898,,0.048,0.044,20.2664,3.008964342,,0.15,0.146,33.6238,3.51523415,,0.048,0.044,20.2664,3.008964342,,0.139,0.135,31.0905,3.436902306,,0.069,0.065,29.939,3.399161978,,0.094,0.09,20.727,3.031437198,,0.047,0.043,19.8058,2.985974824,,0.062,0.058,13.3574,2.592070538,,0.096,0.092,21.1876,3.053416105,,0.05,0.046,21.1876,3.053416105,,0
216,0.004,0.004,0.068,0.064,14.7392,2.690510611,,0.065,0.061,14.0483,2.642501392,,0.082,0.078,17.9634,2.888336355,,0.074,0.07,16.121,2.78012277,,0.117,0.113,26.0239,3.259015347,,0.057,0.053,24.4118,3.195066622,,0.09,0.086,19.8058,2.985974824,,0.046,0.042,19.3452,2.962444327,,0.146,0.142,32.7026,3.487454585,,0.046,0.042,19.3452,2.962444327,,0.136,0.132,30.3996,3.41442945,,0.067,0.063,29.0178,3.367909435,,0.092,0.088,20.2664,3.008964342,,0.046,0.042,19.3452,2.962444327,,0.061,0.057,13.1271,2.574678796,,0.094,0.09,20.727,3.031437198,,0.049,0.045,20.727,3.031437198,,0
217,0.004,0.004,0.067,0.063,14.5089,2.674762254,,0.064,0.06,13.818,2.62597209,,0.08,0.076,17.5028,2.862360868,,0.072,0.068,15.6604,2.751135233,,0.114,0.11,25.333,3.232107894,,0.055,0.051,23.4906,3.156600341,,0.087,0.083,19.1149,2.950468136,,0.044,0.04,18.424,2.913654163,,0.143,0.139,32.0117,3.466101461,,0.045,0.041,18.8846,2.938346775,,0.133,0.129,29.7087,3.391439932,,0.066,0.062,28.5572,3.351909093,,0.09,0.086,19.8058,2.985974824,,0.045,0.041,18.8846,2.938346775,,0.06,0.056,12.8968,2.556979219,,0.091,0.087,20.0361,2.997535646,,0.047,0.043,19.8058,2.985974824,,0
218,0.004,0.004,0.066,0.062,14.2786,2.658761913,,0.063,0.059,13.5877,2.609164972,,0.079,0.075,17.2725,2.849115641,,0.071,0.067,15.4301,2.736320147,,0.112,0.108,24.8724,3.213758755,,0.054,0.05,23.03,3.136797714,,0.084,0.08,18.424,2.913654163,,0.043,0.039,17.9634,2.888336355,,0.141,0.137,31.5511,3.451608454,,0.043,0.039,17.9634,2.888336355,,0.13,0.126,29.0178,3.367909435,,0.064,0.06,27.636,3.319119271,,0.088,0.084,19.3452,2.962444327,,0.044,0.04,18.424,2.913654163,,0.059,0.055,12.6665,2.538960713,,0.089,0.085,19.5755,2.974278784,,0.046,0.042,19.3452,2.962444327,,0
219,0.004,0.003,0.065,0.062,14.2786,2.658761913,,0.062,0.059,13.5877,2.609164972,,0.078,0.075,17.2725,2.849115641,,0.07,0.067,15.4301,2.736320147,,0.11,0.107,24.6421,3.204456362,,0.053,0.05,23.03,3.136797714,,0.082,0.079,18.1937,2.90107538,,0.042,0.039,17.9634,2.888336355,,0.138,0.135,31.0905,3.436902306,,0.042,0.039,17.9634,2.888336355,,0.128,0.125,28.7875,3.359941265,,0.063,0.06,27.636,3.319119271,,0.087,0.084,19.3452,2.962444327,,0.044,0.041,18.8846,2.938346775,,0.058,0.055,12.6665,2.538960713,,0.088,0.085,19.5755,2.974278784,,0.046,0.043,19.8058,2.985974824,,0
