,Blank,F29Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dup,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F29Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
210,0.023,0.128,0.105,24.1815,3.185587878,,0.106,0.083,19.1149,2.950468136,,0.059,0.036,16.5816,2.808293647,,0.093,0.07,16.121,2.78012277,,0.352,0.329,75.7687,4.327685279,,0.098,0.075,34.545,3.542262822,,0.152,0.129,29.7087,3.391439932,,0.079,0.056,25.7936,3.250126399,,0.16,0.137,31.5511,3.451608454,,0.076,0.053,24.4118,3.195066622,,0.296,0.273,62.8719,4.141099323,,0.075,0.052,23.9512,3.176018427,
211,0.022,0.124,0.102,23.4906,3.156600341,,0.104,0.082,18.8846,2.938346775,,0.058,0.036,16.5816,2.808293647,,0.09,0.068,15.6604,2.751135233,,0.348,0.326,75.0778,4.318524909,,0.097,0.075,34.545,3.542262822,,0.149,0.127,29.2481,3.375814614,,0.077,0.055,25.333,3.232107894,,0.156,0.134,30.8602,3.429467328,,0.074,0.052,23.9512,3.176018427,,0.294,0.272,62.6416,4.137429594,,0.075,0.053,24.4118,3.195066622,
212,0.021,0.121,0.1,23.03,3.136797714,,0.101,0.08,18.424,2.913654163,,0.057,0.036,16.5816,2.808293647,,0.087,0.066,15.1998,2.72128227,,0.343,0.322,74.1566,4.306179073,,0.095,0.074,34.0844,3.528839802,,0.146,0.125,28.7875,3.359941265,,0.076,0.055,25.333,3.232107894,,0.152,0.131,30.1693,3.406824851,,0.072,0.051,23.4906,3.156600341,,0.292,0.271,62.4113,4.133746349,,0.074,0.053,24.4118,3.195066622,
213,0.019,0.118,0.099,22.7997,3.126747378,,0.099,0.08,18.424,2.913654163,,0.056,0.037,17.0422,2.835692621,,0.085,0.066,15.1998,2.72128227,,0.338,0.319,73.4657,4.296818631,,0.093,0.074,34.0844,3.528839802,,0.142,0.123,28.3269,3.343811883,,0.074,0.055,25.333,3.232107894,,0.149,0.13,29.939,3.399161978,,0.071,0.052,23.9512,3.176018427,,0.289,0.27,62.181,4.130049487,,0.074,0.055,25.333,3.232107894,
214,0.019,0.115,0.096,22.1088,3.095975719,,0.097,0.078,17.9634,2.888336355,,0.054,0.035,16.121,2.78012277,,0.082,0.063,14.5089,2.674762254,,0.334,0.315,72.5445,4.284200167,,0.092,0.073,33.6238,3.51523415,,0.139,0.12,27.636,3.319119271,,0.072,0.053,24.4118,3.195066622,,0.146,0.127,29.2481,3.375814614,,0.069,0.05,23.03,3.136797714,,0.288,0.269,61.9507,4.126338907,,0.073,0.054,24.8724,3.213758755,
215,0.018,0.113,0.095,21.8785,3.085504419,,0.095,0.077,17.7331,2.87543295,,0.053,0.035,16.121,2.78012277,,0.08,0.062,14.2786,2.658761913,,0.33,0.312,71.8536,4.274630716,,0.091,0.073,33.6238,3.51523415,,0.137,0.119,27.4057,3.310751021,,0.071,0.053,24.4118,3.195066622,,0.143,0.125,28.7875,3.359941265,,0.068,0.05,23.03,3.136797714,,0.286,0.268,61.7204,4.122614508,,0.073,0.055,25.333,3.232107894,
216,0.017,0.11,0.093,21.4179,3.064227021,,0.093,0.076,17.5028,2.862360868,,0.052,0.035,16.121,2.78012277,,0.078,0.061,14.0483,2.642501392,,0.326,0.309,71.1627,4.264968805,,0.09,0.073,33.6238,3.51523415,,0.134,0.117,26.9451,3.293801463,,0.069,0.052,23.9512,3.176018427,,0.14,0.123,28.3269,3.343811883,,0.066,0.049,22.5694,3.116595007,,0.284,0.267,61.4901,4.118876186,,0.072,0.055,25.333,3.232107894,
217,0.016,0.108,0.092,21.1876,3.053416105,,0.091,0.075,17.2725,2.849115641,,0.051,0.035,16.121,2.78012277,,0.076,0.06,13.818,2.62597209,,0.322,0.306,70.4718,4.25521263,,0.088,0.072,33.1632,3.501440827,,0.131,0.115,26.4845,3.276559656,,0.068,0.052,23.9512,3.176018427,,0.137,0.121,27.8663,3.327418073,,0.065,0.049,22.5694,3.116595007,,0.283,0.267,61.4901,4.118876186,,0.072,0.056,25.7936,3.250126399,
218,0.016,0.106,0.09,20.727,3.031437198,,0.089,0.073,16.8119,2.822086969,,0.05,0.034,15.6604,2.751135233,,0.074,0.058,13.3574,2.592070538,,0.319,0.303,69.7809,4.245360333,,0.087,0.071,32.7026,3.487454585,,0.129,0.113,26.0239,3.259015347,,0.067,0.051,23.4906,3.156600341,,0.135,0.119,27.4057,3.310751021,,0.064,0.048,22.1088,3.095975719,,0.281,0.265,61.0295,4.111357354,,0.071,0.055,25.333,3.232107894,
219,0.015,0.104,0.089,20.4967,3.020263898,,0.088,0.073,16.8119,2.822086969,,0.049,0.034,15.6604,2.751135233,,0.073,0.058,13.3574,2.592070538,,0.315,0.3,69.09,4.235410003,,0.086,0.071,32.7026,3.487454585,,0.127,0.112,25.7936,3.250126399,,0.066,0.051,23.4906,3.156600341,,0.133,0.118,27.1754,3.302312152,,0.063,0.048,22.1088,3.095975719,,0.28,0.265,61.0295,4.111357354,,0.071,0.056,25.7936,3.250126399,
