,Blank,F29Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dup,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F29Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
536,0.002,0.013,0.011,2.5333,0.929522801,,0.008,0.006,1.3818,0.323386997,,0.004,0.002,0.9212,-0.082078111,,0.011,0.009,2.0727,0.728852105,,0.066,0.064,14.7392,2.690510611,,0.016,0.014,6.4484,1.863832038,,0.003,0.001,0.2303,-1.468372472,,0,-0.002,-0.9212,#NUM!,,0,-0.002,-0.4606,#NUM!,,-0.002,-0.004,-1.8424,#NUM!,,0.062,0.06,13.818,2.62597209,,0.012,0.01,4.606,1.527359801,
537,0.001,0.012,0.011,2.5333,0.929522801,,0.008,0.007,1.6121,0.477537677,,0.003,0.002,0.9212,-0.082078111,,0.01,0.009,2.0727,0.728852105,,0.065,0.064,14.7392,2.690510611,,0.016,0.015,6.909,1.93282491,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.061,0.06,13.818,2.62597209,,0.011,0.01,4.606,1.527359801,
538,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.065,0.064,14.7392,2.690510611,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.061,0.06,13.818,2.62597209,,0.011,0.01,4.606,1.527359801,
539,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.065,0.064,14.7392,2.690510611,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.06,0.059,13.5877,2.609164972,,0.011,0.01,4.606,1.527359801,
540,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.065,0.064,14.7392,2.690510611,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.06,0.059,13.5877,2.609164972,,0.011,0.01,4.606,1.527359801,
541,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.064,0.063,14.5089,2.674762254,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.06,0.059,13.5877,2.609164972,,0.011,0.01,4.606,1.527359801,
542,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.064,0.063,14.5089,2.674762254,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.06,0.059,13.5877,2.609164972,,0.011,0.01,4.606,1.527359801,
543,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.064,0.063,14.5089,2.674762254,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.06,0.059,13.5877,2.609164972,,0.011,0.01,4.606,1.527359801,
544,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.064,0.063,14.5089,2.674762254,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.059,0.058,13.3574,2.592070538,,0.011,0.01,4.606,1.527359801,
545,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.063,0.062,14.2786,2.658761913,,0.015,0.014,6.4484,1.863832038,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.059,0.058,13.3574,2.592070538,,0.01,0.009,4.1454,1.421999286,
546,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.063,0.062,14.2786,2.658761913,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.059,0.058,13.3574,2.592070538,,0.01,0.009,4.1454,1.421999286,
547,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.063,0.062,14.2786,2.658761913,,0.015,0.014,6.4484,1.863832038,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.059,0.058,13.3574,2.592070538,,0.01,0.009,4.1454,1.421999286,
548,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.063,0.062,14.2786,2.658761913,,0.015,0.014,6.4484,1.863832038,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.059,0.058,13.3574,2.592070538,,0.011,0.01,4.606,1.527359801,
549,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.062,0.061,14.0483,2.642501392,,0.015,0.014,6.4484,1.863832038,,0.002,0.001,0.2303,-1.468372472,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.058,0.057,13.1271,2.574678796,,0.01,0.009,4.1454,1.421999286,
550,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.062,0.061,14.0483,2.642501392,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.058,0.057,13.1271,2.574678796,,0.01,0.009,4.1454,1.421999286,
551,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.062,0.061,14.0483,2.642501392,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.058,0.057,13.1271,2.574678796,,0.01,0.009,4.1454,1.421999286,
552,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.062,0.061,14.0483,2.642501392,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.058,0.057,13.1271,2.574678796,,0.01,0.009,4.1454,1.421999286,
553,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.062,0.061,14.0483,2.642501392,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.001,-0.002,-0.4606,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.058,0.057,13.1271,2.574678796,,0.01,0.009,4.1454,1.421999286,
554,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.062,0.061,14.0483,2.642501392,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.058,0.057,13.1271,2.574678796,,0.01,0.009,4.1454,1.421999286,
555,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.061,0.06,13.818,2.62597209,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.057,0.056,12.8968,2.556979219,,0.01,0.009,4.1454,1.421999286,
556,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.061,0.06,13.818,2.62597209,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.057,0.056,12.8968,2.556979219,,0.01,0.009,4.1454,1.421999286,
557,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.061,0.06,13.818,2.62597209,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.057,0.056,12.8968,2.556979219,,0.01,0.009,4.1454,1.421999286,
558,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.061,0.06,13.818,2.62597209,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.057,0.056,12.8968,2.556979219,,0.01,0.009,4.1454,1.421999286,
559,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.061,0.06,13.818,2.62597209,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.057,0.056,12.8968,2.556979219,,0.01,0.009,4.1454,1.421999286,
560,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.06,0.059,13.5877,2.609164972,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.057,0.056,12.8968,2.556979219,,0.01,0.009,4.1454,1.421999286,
561,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.06,0.059,13.5877,2.609164972,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.057,0.056,12.8968,2.556979219,,0.01,0.009,4.1454,1.421999286,
562,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.06,0.059,13.5877,2.609164972,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.056,0.055,12.6665,2.538960713,,0.01,0.009,4.1454,1.421999286,
563,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.06,0.059,13.5877,2.609164972,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.056,0.055,12.6665,2.538960713,,0.01,0.009,4.1454,1.421999286,
564,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.06,0.059,13.5877,2.609164972,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.056,0.055,12.6665,2.538960713,,0.01,0.009,4.1454,1.421999286,
565,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.059,0.058,13.3574,2.592070538,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.056,0.055,12.6665,2.538960713,,0.01,0.009,4.1454,1.421999286,
566,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.059,0.058,13.3574,2.592070538,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.056,0.055,12.6665,2.538960713,,0.01,0.009,4.1454,1.421999286,
567,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.059,0.058,13.3574,2.592070538,,0.014,0.013,5.9878,1.789724066,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.056,0.055,12.6665,2.538960713,,0.01,0.009,4.1454,1.421999286,
568,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.059,0.058,13.3574,2.592070538,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.055,0.054,12.4362,2.520611574,,0.01,0.009,4.1454,1.421999286,
569,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.059,0.058,13.3574,2.592070538,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.055,0.054,12.4362,2.520611574,,0.009,0.008,3.6848,1.30421625,
570,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.058,0.057,13.1271,2.574678796,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.055,0.054,12.4362,2.520611574,,0.01,0.009,4.1454,1.421999286,
571,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.058,0.057,13.1271,2.574678796,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.055,0.054,12.4362,2.520611574,,0.01,0.009,4.1454,1.421999286,
572,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.058,0.057,13.1271,2.574678796,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.055,0.054,12.4362,2.520611574,,0.009,0.008,3.6848,1.30421625,
573,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.058,0.057,13.1271,2.574678796,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.055,0.054,12.4362,2.520611574,,0.009,0.008,3.6848,1.30421625,
574,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.008,0.007,1.6121,0.477537677,,0.058,0.057,13.1271,2.574678796,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.054,0.053,12.2059,2.501919441,,0.009,0.008,3.6848,1.30421625,
575,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.008,0.007,1.6121,0.477537677,,0.057,0.056,12.8968,2.556979219,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.054,0.053,12.2059,2.501919441,,0.009,0.008,3.6848,1.30421625,
576,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.057,0.056,12.8968,2.556979219,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.054,0.053,12.2059,2.501919441,,0.009,0.008,3.6848,1.30421625,
577,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.057,0.056,12.8968,2.556979219,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.054,0.053,12.2059,2.501919441,,0.009,0.008,3.6848,1.30421625,
578,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.057,0.056,12.8968,2.556979219,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.054,0.053,12.2059,2.501919441,,0.009,0.008,3.6848,1.30421625,
579,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.057,0.056,12.8968,2.556979219,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.054,0.053,12.2059,2.501919441,,0.009,0.008,3.6848,1.30421625,
580,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.057,0.056,12.8968,2.556979219,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.054,0.053,12.2059,2.501919441,,0.009,0.008,3.6848,1.30421625,
581,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.057,0.056,12.8968,2.556979219,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.054,0.053,12.2059,2.501919441,,0.009,0.008,3.6848,1.30421625,
582,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.056,0.055,12.6665,2.538960713,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.001,-0.002,-0.9212,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.003,-0.004,-1.8424,#NUM!,,0.053,0.052,11.9756,2.482871246,,0.009,0.008,3.6848,1.30421625,
583,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.008,0.007,1.6121,0.477537677,,0.056,0.055,12.6665,2.538960713,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.053,0.052,11.9756,2.482871246,,0.009,0.008,3.6848,1.30421625,
584,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.008,0.007,1.6121,0.477537677,,0.056,0.055,12.6665,2.538960713,,0.013,0.012,5.5272,1.709681358,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.053,0.052,11.9756,2.482871246,,0.009,0.008,3.6848,1.30421625,
585,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.008,0.007,1.6121,0.477537677,,0.056,0.055,12.6665,2.538960713,,0.012,0.011,5.0666,1.622669981,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.053,0.052,11.9756,2.482871246,,0.009,0.008,3.6848,1.30421625,
586,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.008,0.007,1.6121,0.477537677,,0.056,0.055,12.6665,2.538960713,,0.012,0.011,5.0666,1.622669981,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.053,0.052,11.9756,2.482871246,,0.009,0.008,3.6848,1.30421625,
587,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.008,0.007,1.6121,0.477537677,,0.055,0.054,12.4362,2.520611574,,0.012,0.011,5.0666,1.622669981,,0.001,0,0,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.053,0.052,11.9756,2.482871246,,0.009,0.008,3.6848,1.30421625,
588,0.001,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.002,0.001,0.4606,-0.775225292,,0.008,0.007,1.6121,0.477537677,,0.055,0.054,12.4362,2.520611574,,0.012,0.011,5.0666,1.622669981,,0,-0.001,-0.2303,#NUM!,,-0.002,-0.003,-1.3818,#NUM!,,-0.002,-0.003,-0.6909,#NUM!,,-0.004,-0.005,-2.303,#NUM!,,0.053,0.052,11.9756,2.482871246,,0.009,0.008,3.6848,1.30421625,
