,Blank,F2Sep19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_5mR1_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_SurfR2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
494,0,0.017,0.017,3.9151,1.364840872,,0.011,0.011,5.0666,1.622669981,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.05,0.05,11.515,2.443650533,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
495,0,0.017,0.017,3.9151,1.364840872,,0.011,0.011,5.0666,1.622669981,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.05,0.05,11.515,2.443650533,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
496,0.001,0.017,0.016,3.6848,1.30421625,,0.011,0.01,4.606,1.527359801,,0.006,0.005,1.1515,0.14106544,,0.001,0,0,#NUM!,,0.016,0.015,3.4545,1.239677729,,0.007,0.006,2.7636,1.016534178,,0.05,0.049,11.2847,2.423447826,,0.014,0.013,5.9878,1.789724066,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.018,0.017,3.9151,1.364840872,,0.008,0.007,3.2242,1.170684857,
497,0,0.017,0.017,3.9151,1.364840872,,0.01,0.01,4.606,1.527359801,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.05,0.05,11.515,2.443650533,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
498,0,0.017,0.017,3.9151,1.364840872,,0.011,0.011,5.0666,1.622669981,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.05,0.05,11.515,2.443650533,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
499,0,0.017,0.017,3.9151,1.364840872,,0.01,0.01,4.606,1.527359801,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.049,0.049,11.2847,2.423447826,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
500,0,0.017,0.017,3.9151,1.364840872,,0.01,0.01,4.606,1.527359801,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.049,0.049,11.2847,2.423447826,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
501,0,0.017,0.017,3.9151,1.364840872,,0.01,0.01,4.606,1.527359801,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,,0.049,0.049,11.2847,2.423447826,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
502,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.049,0.049,11.2847,2.423447826,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
503,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.049,0.049,11.2847,2.423447826,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
504,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.048,0.048,11.0544,2.402828539,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
505,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.048,0.048,11.0544,2.402828539,,0.014,0.014,6.4484,1.863832038,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,
506,0.001,0.016,0.015,3.4545,1.239677729,,0.01,0.009,4.1454,1.421999286,,0.006,0.005,1.1515,0.14106544,,0.001,0,0,#NUM!,,0.015,0.014,3.2242,1.170684857,,0.007,0.006,2.7636,1.016534178,,0.048,0.047,10.8241,2.38177513,,0.014,0.013,5.9878,1.789724066,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.018,0.017,3.9151,1.364840872,,0.008,0.007,3.2242,1.170684857,
507,0.001,0.016,0.015,3.4545,1.239677729,,0.01,0.009,4.1454,1.421999286,,0.005,0.004,0.9212,-0.082078111,,0.001,0,0,#NUM!,,0.015,0.014,3.2242,1.170684857,,0.007,0.006,2.7636,1.016534178,,0.048,0.047,10.8241,2.38177513,,0.014,0.013,5.9878,1.789724066,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.018,0.017,3.9151,1.364840872,,0.008,0.007,3.2242,1.170684857,
508,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.048,0.048,11.0544,2.402828539,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
509,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.047,0.047,10.8241,2.38177513,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
510,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.047,0.047,10.8241,2.38177513,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
511,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.047,0.047,10.8241,2.38177513,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
512,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.047,0.047,10.8241,2.38177513,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
513,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.047,0.047,10.8241,2.38177513,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
514,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.047,0.047,10.8241,2.38177513,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
515,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.046,0.046,10.5938,2.360268924,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
516,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.046,0.046,10.5938,2.360268924,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
517,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.046,0.046,10.5938,2.360268924,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
518,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.046,0.046,10.5938,2.360268924,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
519,0,0.016,0.016,3.6848,1.30421625,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.007,0.007,3.2242,1.170684857,,0.046,0.046,10.5938,2.360268924,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
520,0,0.015,0.015,3.4545,1.239677729,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.046,0.046,10.5938,2.360268924,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
521,0,0.015,0.015,3.4545,1.239677729,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.045,0.045,10.3635,2.338290018,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
522,0,0.015,0.015,3.4545,1.239677729,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.045,0.045,10.3635,2.338290018,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
523,0,0.015,0.015,3.4545,1.239677729,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.045,0.045,10.3635,2.338290018,,0.013,0.013,5.9878,1.789724066,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
524,0,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.045,0.045,10.3635,2.338290018,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
525,0,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.045,0.045,10.3635,2.338290018,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,
526,0,0.015,0.015,3.4545,1.239677729,,0.01,0.01,4.606,1.527359801,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.045,0.045,10.3635,2.338290018,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
527,0,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.044,0.044,10.1332,2.315817162,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
528,0,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.044,0.044,10.1332,2.315817162,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
529,0,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.044,0.044,10.1332,2.315817162,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.008,0.008,3.6848,1.30421625,
530,0,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.044,0.044,10.1332,2.315817162,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,
531,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.044,0.044,10.1332,2.315817162,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
532,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.044,0.044,10.1332,2.315817162,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
533,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.006,0.006,2.7636,1.016534178,,0.043,0.043,9.9029,2.292827644,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
534,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,,0.043,0.043,9.9029,2.292827644,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
535,0.001,0.014,0.013,2.9939,1.096576885,,0.009,0.008,3.6848,1.30421625,,0.005,0.004,0.9212,-0.082078111,,0.001,0,0,#NUM!,,0.014,0.013,2.9939,1.096576885,,0.007,0.006,2.7636,1.016534178,,0.043,0.042,9.6726,2.269297146,,0.012,0.011,5.0666,1.622669981,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.017,0.016,3.6848,1.30421625,,0.008,0.007,3.2242,1.170684857,
536,0.002,0.015,0.013,2.9939,1.096576885,,0.01,0.008,3.6848,1.30421625,,0.005,0.003,0.6909,-0.369760183,,0.002,0,0,#NUM!,,0.015,0.013,2.9939,1.096576885,,0.008,0.006,2.7636,1.016534178,,0.044,0.042,9.6726,2.269297146,,0.013,0.011,5.0666,1.622669981,,0.006,0.004,0.9212,-0.082078111,,0.003,0.001,0.4606,-0.775225292,,0.017,0.015,3.4545,1.239677729,,0.009,0.007,3.2242,1.170684857,
537,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,,0.043,0.043,9.9029,2.292827644,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.008,0.008,3.6848,1.30421625,
538,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
539,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
540,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
541,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
542,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
543,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
544,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.042,0.042,9.6726,2.269297146,,0.012,0.012,5.5272,1.709681358,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
545,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.041,0.041,9.4423,2.245199595,,0.011,0.011,5.0666,1.622669981,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
546,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.041,0.041,9.4423,2.245199595,,0.011,0.011,5.0666,1.622669981,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
547,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.041,0.041,9.4423,2.245199595,,0.011,0.011,5.0666,1.622669981,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
548,0,0.014,0.014,3.2242,1.170684857,,0.009,0.009,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.013,0.013,2.9939,1.096576885,,0.006,0.006,2.7636,1.016534178,,0.041,0.041,9.4423,2.245199595,,0.011,0.011,5.0666,1.622669981,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.016,0.016,3.6848,1.30421625,,0.007,0.007,3.2242,1.170684857,
