,Blank,F2Sep19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_5mR1_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_SurfR2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
210,0.007,0.133,0.126,29.0178,3.367909435,,0.076,0.069,31.7814,3.458881213,,0.197,0.19,43.757,3.7786516,,0.097,0.09,41.454,3.724584379,,0.193,0.186,42.8358,3.757374202,,0.1,0.093,42.8358,3.757374202,,0.286,0.279,64.2537,4.16283931,,0.074,0.067,30.8602,3.429467328,,0.057,0.05,11.515,2.443650533,,0.029,0.022,10.1332,2.315817162,,0.09,0.083,19.1149,2.950468136,,0.044,0.037,17.0422,2.835692621,
211,0.007,0.13,0.123,28.3269,3.343811883,,0.075,0.068,31.3208,3.444282414,,0.192,0.185,42.6055,3.751983353,,0.094,0.087,40.0722,3.690682827,,0.188,0.181,41.6843,3.730124559,,0.097,0.09,41.454,3.724584379,,0.284,0.277,63.7931,4.155645034,,0.073,0.066,30.3996,3.41442945,,0.055,0.048,11.0544,2.402828539,,0.028,0.021,9.6726,2.269297146,,0.088,0.081,18.6543,2.926076683,,0.043,0.036,16.5816,2.808293647,
212,0.007,0.127,0.12,27.636,3.319119271,,0.074,0.067,30.8602,3.429467328,,0.187,0.18,41.454,3.724584379,,0.092,0.085,39.151,3.667425965,,0.183,0.176,40.5328,3.702111523,,0.094,0.087,40.0722,3.690682827,,0.282,0.275,63.3325,4.148398626,,0.073,0.066,30.3996,3.41442945,,0.054,0.047,10.8241,2.38177513,,0.027,0.02,9.212,2.220506982,,0.087,0.08,18.424,2.913654163,,0.042,0.035,16.121,2.78012277,
213,0.007,0.125,0.118,27.1754,3.302312152,,0.072,0.065,29.939,3.399161978,,0.182,0.175,40.3025,3.696413502,,0.089,0.082,37.7692,3.631493956,,0.178,0.171,39.3813,3.673291084,,0.092,0.085,39.151,3.667425965,,0.28,0.273,62.8719,4.141099323,,0.072,0.065,29.939,3.399161978,,0.052,0.045,10.3635,2.338290018,,0.027,0.02,9.212,2.220506982,,0.085,0.078,17.9634,2.888336355,,0.041,0.034,15.6604,2.751135233,
214,0.007,0.122,0.115,26.4845,3.276559656,,0.071,0.064,29.4784,3.383657792,,0.178,0.171,39.3813,3.673291084,,0.087,0.08,36.848,3.606801343,,0.174,0.167,38.4601,3.64962134,,0.09,0.083,38.2298,3.643615316,,0.278,0.271,62.4113,4.133746349,,0.072,0.065,29.939,3.399161978,,0.051,0.044,10.1332,2.315817162,,0.026,0.019,8.7514,2.169213688,,0.083,0.076,17.5028,2.862360868,,0.041,0.034,15.6604,2.751135233,
215,0.007,0.12,0.113,26.0239,3.259015347,,0.07,0.063,29.0178,3.367909435,,0.174,0.167,38.4601,3.64962134,,0.085,0.078,35.9268,3.581483535,,0.17,0.163,37.5389,3.625377729,,0.088,0.081,37.3086,3.619223863,,0.277,0.27,62.181,4.130049487,,0.072,0.065,29.939,3.399161978,,0.05,0.043,9.9029,2.292827644,,0.026,0.019,8.7514,2.169213688,,0.082,0.075,17.2725,2.849115641,,0.04,0.033,15.1998,2.72128227,
216,0.007,0.118,0.111,25.5633,3.241157729,,0.069,0.062,28.5572,3.351909093,,0.17,0.163,37.5389,3.625377729,,0.084,0.077,35.4662,3.56858013,,0.166,0.159,36.6177,3.60053173,,0.086,0.079,36.3874,3.594222561,,0.275,0.268,61.7204,4.122614508,,0.071,0.064,29.4784,3.383657792,,0.049,0.042,9.6726,2.269297146,,0.025,0.018,8.2908,2.115146466,,0.081,0.074,17.0422,2.835692621,,0.04,0.033,15.1998,2.72128227,
217,0.007,0.116,0.109,25.1027,3.22297541,,0.067,0.06,27.636,3.319119271,,0.166,0.159,36.6177,3.60053173,,0.082,0.075,34.545,3.542262822,,0.162,0.155,35.6965,3.575052645,,0.084,0.077,35.4662,3.56858013,,0.274,0.267,61.4901,4.118876186,,0.071,0.064,29.4784,3.383657792,,0.048,0.041,9.4423,2.245199595,,0.024,0.017,7.8302,2.057988052,,0.08,0.073,16.8119,2.822086969,,0.039,0.032,14.7392,2.690510611,
218,0.006,0.114,0.108,24.8724,3.213758755,,0.067,0.061,28.0966,3.335648573,,0.163,0.157,36.1571,3.587873333,,0.08,0.074,34.0844,3.528839802,,0.159,0.153,35.2359,3.562065449,,0.082,0.076,35.0056,3.555508049,,0.272,0.266,61.2598,4.115123837,,0.07,0.064,29.4784,3.383657792,,0.047,0.041,9.4423,2.245199595,,0.024,0.018,8.2908,2.115146466,,0.079,0.073,16.8119,2.822086969,,0.038,0.032,14.7392,2.690510611,
219,0.006,0.112,0.106,24.4118,3.195066622,,0.066,0.06,27.636,3.319119271,,0.16,0.154,35.4662,3.56858013,,0.079,0.073,33.6238,3.51523415,,0.155,0.149,34.3147,3.535573834,,0.08,0.074,34.0844,3.528839802,,0.271,0.265,61.0295,4.111357354,,0.07,0.064,29.4784,3.383657792,,0.046,0.04,9.212,2.220506982,,0.023,0.017,7.8302,2.057988052,,0.078,0.072,16.5816,2.808293647,,0.038,0.032,14.7392,2.690510611,
