,Blank,F3Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
345,0.001,0.018,0.017,3.9151,1.364840872,,0.046,0.045,10.3635,2.338290018,,0.019,0.018,8.2908,2.115146466,,0.018,0.017,3.9151,1.364840872,,0.01,0.009,4.1454,1.421999286,,0.016,0.015,3.4545,1.239677729,,0.023,0.022,5.0666,1.622669981,,0.012,0.011,5.0666,1.622669981,
346,0,0.018,0.018,4.1454,1.421999286,,0.045,0.045,10.3635,2.338290018,,0.019,0.019,8.7514,2.169213688,,0.018,0.018,4.1454,1.421999286,,0.01,0.01,4.606,1.527359801,,0.016,0.016,3.6848,1.30421625,,0.023,0.023,5.2969,1.667121744,,0.012,0.012,5.5272,1.709681358,
347,0,0.018,0.018,4.1454,1.421999286,,0.045,0.045,10.3635,2.338290018,,0.018,0.018,8.2908,2.115146466,,0.018,0.018,4.1454,1.421999286,,0.01,0.01,4.606,1.527359801,,0.016,0.016,3.6848,1.30421625,,0.022,0.022,5.0666,1.622669981,,0.012,0.012,5.5272,1.709681358,
348,0,0.018,0.018,4.1454,1.421999286,,0.044,0.044,10.1332,2.315817162,,0.018,0.018,8.2908,2.115146466,,0.017,0.017,3.9151,1.364840872,,0.01,0.01,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.022,0.022,5.0666,1.622669981,,0.012,0.012,5.5272,1.709681358,
349,0.001,0.018,0.017,3.9151,1.364840872,,0.044,0.043,9.9029,2.292827644,,0.018,0.017,7.8302,2.057988052,,0.017,0.016,3.6848,1.30421625,,0.01,0.009,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.022,0.021,4.8363,1.576149966,,0.012,0.011,5.0666,1.622669981,
350,0.001,0.018,0.017,3.9151,1.364840872,,0.044,0.043,9.9029,2.292827644,,0.018,0.017,7.8302,2.057988052,,0.017,0.016,3.6848,1.30421625,,0.01,0.009,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.022,0.021,4.8363,1.576149966,,0.012,0.011,5.0666,1.622669981,
351,0.001,0.018,0.017,3.9151,1.364840872,,0.044,0.043,9.9029,2.292827644,,0.018,0.017,7.8302,2.057988052,,0.017,0.016,3.6848,1.30421625,,0.01,0.009,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.022,0.021,4.8363,1.576149966,,0.012,0.011,5.0666,1.622669981,
352,0,0.017,0.017,3.9151,1.364840872,,0.043,0.043,9.9029,2.292827644,,0.018,0.018,8.2908,2.115146466,,0.017,0.017,3.9151,1.364840872,,0.01,0.01,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,
353,0,0.017,0.017,3.9151,1.364840872,,0.043,0.043,9.9029,2.292827644,,0.018,0.018,8.2908,2.115146466,,0.017,0.017,3.9151,1.364840872,,0.01,0.01,4.606,1.527359801,,0.015,0.015,3.4545,1.239677729,,0.021,0.021,4.8363,1.576149966,,0.011,0.011,5.0666,1.622669981,
354,0.001,0.017,0.016,3.6848,1.30421625,,0.043,0.042,9.6726,2.269297146,,0.018,0.017,7.8302,2.057988052,,0.017,0.016,3.6848,1.30421625,,0.01,0.009,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,
355,0.001,0.017,0.016,3.6848,1.30421625,,0.043,0.042,9.6726,2.269297146,,0.018,0.017,7.8302,2.057988052,,0.017,0.016,3.6848,1.30421625,,0.01,0.009,4.1454,1.421999286,,0.015,0.014,3.2242,1.170684857,,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,
356,0.001,0.017,0.016,3.6848,1.30421625,,0.042,0.041,9.4423,2.245199595,,0.017,0.016,7.3696,1.997363431,,0.017,0.016,3.6848,1.30421625,,0.01,0.009,4.1454,1.421999286,,0.014,0.013,2.9939,1.096576885,,0.021,0.02,4.606,1.527359801,,0.011,0.01,4.606,1.527359801,
357,0.001,0.017,0.016,3.6848,1.30421625,,0.042,0.041,9.4423,2.245199595,,0.017,0.016,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.009,0.008,3.6848,1.30421625,,0.014,0.013,2.9939,1.096576885,,0.02,0.019,4.3757,1.476066507,,0.011,0.01,4.606,1.527359801,
358,0,0.017,0.017,3.9151,1.364840872,,0.041,0.041,9.4423,2.245199595,,0.017,0.017,7.8302,2.057988052,,0.016,0.016,3.6848,1.30421625,,0.009,0.009,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.02,0.02,4.606,1.527359801,,0.011,0.011,5.0666,1.622669981,
359,0,0.017,0.017,3.9151,1.364840872,,0.041,0.041,9.4423,2.245199595,,0.017,0.017,7.8302,2.057988052,,0.016,0.016,3.6848,1.30421625,,0.009,0.009,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.02,0.02,4.606,1.527359801,,0.011,0.011,5.0666,1.622669981,
360,0,0.016,0.016,3.6848,1.30421625,,0.041,0.041,9.4423,2.245199595,,0.017,0.017,7.8302,2.057988052,,0.016,0.016,3.6848,1.30421625,,0.009,0.009,4.1454,1.421999286,,0.014,0.014,3.2242,1.170684857,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,
361,0,0.016,0.016,3.6848,1.30421625,,0.041,0.041,9.4423,2.245199595,,0.017,0.017,7.8302,2.057988052,,0.016,0.016,3.6848,1.30421625,,0.009,0.009,4.1454,1.421999286,,0.013,0.013,2.9939,1.096576885,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,
362,0.001,0.016,0.015,3.4545,1.239677729,,0.041,0.04,9.212,2.220506982,,0.017,0.016,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.009,0.008,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.011,0.01,4.606,1.527359801,
363,0.001,0.016,0.015,3.4545,1.239677729,,0.04,0.039,8.9817,2.195189174,,0.017,0.016,7.3696,1.997363431,,0.016,0.015,3.4545,1.239677729,,0.01,0.009,4.1454,1.421999286,,0.014,0.013,2.9939,1.096576885,,0.019,0.018,4.1454,1.421999286,,0.011,0.01,4.606,1.527359801,
364,0.001,0.016,0.015,3.4545,1.239677729,,0.04,0.039,8.9817,2.195189174,,0.016,0.015,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.009,0.008,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,
365,0.001,0.016,0.015,3.4545,1.239677729,,0.04,0.039,8.9817,2.195189174,,0.016,0.015,6.909,1.93282491,,0.016,0.015,3.4545,1.239677729,,0.009,0.008,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,
366,0.001,0.016,0.015,3.4545,1.239677729,,0.039,0.038,8.7514,2.169213688,,0.016,0.015,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.009,0.008,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,
367,0.001,0.016,0.015,3.4545,1.239677729,,0.039,0.038,8.7514,2.169213688,,0.016,0.015,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.009,0.008,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,
368,0,0.015,0.015,3.4545,1.239677729,,0.039,0.039,8.9817,2.195189174,,0.016,0.016,7.3696,1.997363431,,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.013,0.013,2.9939,1.096576885,,0.018,0.018,4.1454,1.421999286,,0.01,0.01,4.606,1.527359801,
369,0,0.015,0.015,3.4545,1.239677729,,0.039,0.039,8.9817,2.195189174,,0.016,0.016,7.3696,1.997363431,,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.012,0.012,2.7636,1.016534178,,0.018,0.018,4.1454,1.421999286,,0.01,0.01,4.606,1.527359801,
370,0.001,0.015,0.014,3.2242,1.170684857,,0.039,0.038,8.7514,2.169213688,,0.016,0.015,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.009,0.008,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.018,0.017,3.9151,1.364840872,,0.01,0.009,4.1454,1.421999286,
371,0.001,0.015,0.014,3.2242,1.170684857,,0.038,0.037,8.5211,2.14254544,,0.016,0.015,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.009,0.008,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.018,0.017,3.9151,1.364840872,,0.01,0.009,4.1454,1.421999286,
372,0.001,0.015,0.014,3.2242,1.170684857,,0.038,0.037,8.5211,2.14254544,,0.016,0.015,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.009,0.008,3.6848,1.30421625,,0.013,0.012,2.7636,1.016534178,,0.018,0.017,3.9151,1.364840872,,0.01,0.009,4.1454,1.421999286,
373,0.001,0.015,0.014,3.2242,1.170684857,,0.038,0.037,8.5211,2.14254544,,0.016,0.015,6.909,1.93282491,,0.015,0.014,3.2242,1.170684857,,0.009,0.008,3.6848,1.30421625,,0.012,0.011,2.5333,0.929522801,,0.018,0.017,3.9151,1.364840872,,0.01,0.009,4.1454,1.421999286,
374,0,0.015,0.015,3.4545,1.239677729,,0.038,0.038,8.7514,2.169213688,,0.016,0.016,7.3696,1.997363431,,0.015,0.015,3.4545,1.239677729,,0.009,0.009,4.1454,1.421999286,,0.012,0.012,2.7636,1.016534178,,0.017,0.017,3.9151,1.364840872,,0.009,0.009,4.1454,1.421999286,
375,0.001,0.015,0.014,3.2242,1.170684857,,0.037,0.036,8.2908,2.115146466,,0.015,0.014,6.4484,1.863832038,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.012,0.011,2.5333,0.929522801,,0.017,0.016,3.6848,1.30421625,,0.009,0.008,3.6848,1.30421625,
376,0.001,0.015,0.014,3.2242,1.170684857,,0.037,0.036,8.2908,2.115146466,,0.015,0.014,6.4484,1.863832038,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.012,0.011,2.5333,0.929522801,,0.017,0.016,3.6848,1.30421625,,0.009,0.008,3.6848,1.30421625,
377,0.001,0.015,0.014,3.2242,1.170684857,,0.037,0.036,8.2908,2.115146466,,0.015,0.014,6.4484,1.863832038,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.012,0.011,2.5333,0.929522801,,0.017,0.016,3.6848,1.30421625,,0.009,0.008,3.6848,1.30421625,
378,0.001,0.014,0.013,2.9939,1.096576885,,0.037,0.036,8.2908,2.115146466,,0.015,0.014,6.4484,1.863832038,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.012,0.011,2.5333,0.929522801,,0.017,0.016,3.6848,1.30421625,,0.009,0.008,3.6848,1.30421625,
379,0,0.014,0.014,3.2242,1.170684857,,0.036,0.036,8.2908,2.115146466,,0.015,0.015,6.909,1.93282491,,0.014,0.014,3.2242,1.170684857,,0.008,0.008,3.6848,1.30421625,,0.011,0.011,2.5333,0.929522801,,0.017,0.017,3.9151,1.364840872,,0.009,0.009,4.1454,1.421999286,
380,0,0.014,0.014,3.2242,1.170684857,,0.036,0.036,8.2908,2.115146466,,0.015,0.015,6.909,1.93282491,,0.014,0.014,3.2242,1.170684857,,0.008,0.008,3.6848,1.30421625,,0.011,0.011,2.5333,0.929522801,,0.016,0.016,3.6848,1.30421625,,0.009,0.009,4.1454,1.421999286,
381,0,0.014,0.014,3.2242,1.170684857,,0.036,0.036,8.2908,2.115146466,,0.015,0.015,6.909,1.93282491,,0.014,0.014,3.2242,1.170684857,,0.008,0.008,3.6848,1.30421625,,0.011,0.011,2.5333,0.929522801,,0.016,0.016,3.6848,1.30421625,,0.009,0.009,4.1454,1.421999286,
382,0,0.014,0.014,3.2242,1.170684857,,0.036,0.036,8.2908,2.115146466,,0.015,0.015,6.909,1.93282491,,0.014,0.014,3.2242,1.170684857,,0.008,0.008,3.6848,1.30421625,,0.011,0.011,2.5333,0.929522801,,0.016,0.016,3.6848,1.30421625,,0.009,0.009,4.1454,1.421999286,
383,0,0.014,0.014,3.2242,1.170684857,,0.036,0.036,8.2908,2.115146466,,0.015,0.015,6.909,1.93282491,,0.014,0.014,3.2242,1.170684857,,0.008,0.008,3.6848,1.30421625,,0.011,0.011,2.5333,0.929522801,,0.016,0.016,3.6848,1.30421625,,0.009,0.009,4.1454,1.421999286,
384,0.001,0.014,0.013,2.9939,1.096576885,,0.035,0.034,7.8302,2.057988052,,0.015,0.014,6.4484,1.863832038,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.011,0.01,2.303,0.834212621,,0.016,0.015,3.4545,1.239677729,,0.009,0.008,3.6848,1.30421625,
385,0.001,0.014,0.013,2.9939,1.096576885,,0.035,0.034,7.8302,2.057988052,,0.015,0.014,6.4484,1.863832038,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.011,0.01,2.303,0.834212621,,0.016,0.015,3.4545,1.239677729,,0.009,0.008,3.6848,1.30421625,
386,0.001,0.013,0.012,2.7636,1.016534178,,0.035,0.034,7.8302,2.057988052,,0.014,0.013,5.9878,1.789724066,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,,0.011,0.01,2.303,0.834212621,,0.016,0.015,3.4545,1.239677729,,0.008,0.007,3.2242,1.170684857,
387,0.001,0.013,0.012,2.7636,1.016534178,,0.034,0.033,7.5999,2.028135089,,0.014,0.013,5.9878,1.789724066,,0.013,0.012,2.7636,1.016534178,,0.008,0.007,3.2242,1.170684857,,0.011,0.01,2.303,0.834212621,,0.016,0.015,3.4545,1.239677729,,0.008,0.007,3.2242,1.170684857,
388,0,0.013,0.013,2.9939,1.096576885,,0.034,0.034,7.8302,2.057988052,,0.014,0.014,6.4484,1.863832038,,0.013,0.013,2.9939,1.096576885,,0.008,0.008,3.6848,1.30421625,,0.011,0.011,2.5333,0.929522801,,0.015,0.015,3.4545,1.239677729,,0.008,0.008,3.6848,1.30421625,
389,0.001,0.013,0.012,2.7636,1.016534178,,0.034,0.033,7.5999,2.028135089,,0.014,0.013,5.9878,1.789724066,,0.013,0.012,2.7636,1.016534178,,0.008,0.007,3.2242,1.170684857,,0.011,0.01,2.303,0.834212621,,0.015,0.014,3.2242,1.170684857,,0.008,0.007,3.2242,1.170684857,
390,0.001,0.013,0.012,2.7636,1.016534178,,0.034,0.033,7.5999,2.028135089,,0.014,0.013,5.9878,1.789724066,,0.013,0.012,2.7636,1.016534178,,0.008,0.007,3.2242,1.170684857,,0.01,0.009,2.0727,0.728852105,,0.015,0.014,3.2242,1.170684857,,0.008,0.007,3.2242,1.170684857,
391,0.001,0.013,0.012,2.7636,1.016534178,,0.034,0.033,7.5999,2.028135089,,0.014,0.013,5.9878,1.789724066,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,,0.01,0.009,2.0727,0.728852105,,0.015,0.014,3.2242,1.170684857,,0.008,0.007,3.2242,1.170684857,
392,0,0.013,0.013,2.9939,1.096576885,,0.033,0.033,7.5999,2.028135089,,0.014,0.014,6.4484,1.863832038,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,,0.01,0.01,2.303,0.834212621,,0.015,0.015,3.4545,1.239677729,,0.008,0.008,3.6848,1.30421625,
393,0,0.013,0.013,2.9939,1.096576885,,0.033,0.033,7.5999,2.028135089,,0.014,0.014,6.4484,1.863832038,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,,0.01,0.01,2.303,0.834212621,,0.015,0.015,3.4545,1.239677729,,0.008,0.008,3.6848,1.30421625,
394,0,0.013,0.013,2.9939,1.096576885,,0.033,0.033,7.5999,2.028135089,,0.014,0.014,6.4484,1.863832038,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,,0.01,0.01,2.303,0.834212621,,0.015,0.015,3.4545,1.239677729,,0.008,0.008,3.6848,1.30421625,
395,0,0.013,0.013,2.9939,1.096576885,,0.033,0.033,7.5999,2.028135089,,0.014,0.014,6.4484,1.863832038,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,,0.01,0.01,2.303,0.834212621,,0.015,0.015,3.4545,1.239677729,,0.008,0.008,3.6848,1.30421625,
396,0.001,0.013,0.012,2.7636,1.016534178,,0.032,0.031,7.1393,1.965614732,,0.014,0.013,5.9878,1.789724066,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,,0.01,0.009,2.0727,0.728852105,,0.015,0.014,3.2242,1.170684857,,0.008,0.007,3.2242,1.170684857,
397,0.001,0.013,0.012,2.7636,1.016534178,,0.032,0.031,7.1393,1.965614732,,0.014,0.013,5.9878,1.789724066,,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,,0.01,0.009,2.0727,0.728852105,,0.014,0.013,2.9939,1.096576885,,0.008,0.007,3.2242,1.170684857,
398,0,0.012,0.012,2.7636,1.016534178,,0.032,0.032,7.3696,1.997363431,,0.014,0.014,6.4484,1.863832038,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.01,0.01,2.303,0.834212621,,0.014,0.014,3.2242,1.170684857,,0.008,0.008,3.6848,1.30421625,
399,0,0.012,0.012,2.7636,1.016534178,,0.031,0.031,7.1393,1.965614732,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.01,0.01,2.303,0.834212621,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,
400,0,0.012,0.012,2.7636,1.016534178,,0.031,0.031,7.1393,1.965614732,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.01,0.01,2.303,0.834212621,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,
401,0,0.012,0.012,2.7636,1.016534178,,0.031,0.031,7.1393,1.965614732,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,
402,0,0.012,0.012,2.7636,1.016534178,,0.031,0.031,7.1393,1.965614732,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,
403,0,0.012,0.012,2.7636,1.016534178,,0.031,0.031,7.1393,1.965614732,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,
404,0,0.012,0.012,2.7636,1.016534178,,0.03,0.03,6.909,1.93282491,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.014,0.014,3.2242,1.170684857,,0.007,0.007,3.2242,1.170684857,
405,0,0.012,0.012,2.7636,1.016534178,,0.03,0.03,6.909,1.93282491,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,
406,0.001,0.012,0.011,2.5333,0.929522801,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,,0.009,0.008,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,
407,0,0.012,0.012,2.7636,1.016534178,,0.03,0.03,6.909,1.93282491,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,
408,0,0.012,0.012,2.7636,1.016534178,,0.03,0.03,6.909,1.93282491,,0.013,0.013,5.9878,1.789724066,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,
409,0.001,0.012,0.011,2.5333,0.929522801,,0.03,0.029,6.6787,1.898923358,,0.013,0.012,5.5272,1.709681358,,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,,0.009,0.008,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,
410,0.001,0.012,0.011,2.5333,0.929522801,,0.029,0.028,6.4484,1.863832038,,0.013,0.012,5.5272,1.709681358,,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,,0.009,0.008,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,
411,0,0.012,0.012,2.7636,1.016534178,,0.029,0.029,6.6787,1.898923358,,0.013,0.013,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,
412,0,0.012,0.012,2.7636,1.016534178,,0.029,0.029,6.6787,1.898923358,,0.013,0.013,5.9878,1.789724066,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,3.2242,1.170684857,,0.009,0.009,2.0727,0.728852105,,0.013,0.013,2.9939,1.096576885,,0.007,0.007,3.2242,1.170684857,
413,0.001,0.012,0.011,2.5333,0.929522801,,0.029,0.028,6.4484,1.863832038,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.007,0.006,2.7636,1.016534178,,0.009,0.008,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,
414,0.001,0.012,0.011,2.5333,0.929522801,,0.029,0.028,6.4484,1.863832038,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.009,0.008,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,
415,0.001,0.012,0.011,2.5333,0.929522801,,0.029,0.028,6.4484,1.863832038,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.009,0.008,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,
416,0.001,0.012,0.011,2.5333,0.929522801,,0.029,0.028,6.4484,1.863832038,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.009,0.008,1.8424,0.61106907,,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,
417,0.001,0.011,0.01,2.303,0.834212621,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.009,0.008,1.8424,0.61106907,,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,
418,0,0.011,0.011,2.5333,0.929522801,,0.028,0.028,6.4484,1.863832038,,0.012,0.012,5.5272,1.709681358,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,3.2242,1.170684857,
419,0,0.011,0.011,2.5333,0.929522801,,0.028,0.028,6.4484,1.863832038,,0.012,0.012,5.5272,1.709681358,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,2.7636,1.016534178,
420,0.001,0.011,0.01,2.303,0.834212621,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.009,0.008,1.8424,0.61106907,,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,
421,0.001,0.011,0.01,2.303,0.834212621,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.009,0.008,1.8424,0.61106907,,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,
422,0.001,0.011,0.01,2.303,0.834212621,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.008,0.007,1.6121,0.477537677,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,
423,0.001,0.011,0.01,2.303,0.834212621,,0.028,0.027,6.2181,1.827464394,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.008,0.007,1.6121,0.477537677,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,
424,0.001,0.011,0.01,2.303,0.834212621,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.008,0.007,1.6121,0.477537677,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,
425,0.001,0.011,0.01,2.303,0.834212621,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.008,0.007,1.6121,0.477537677,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,
426,0,0.011,0.011,2.5333,0.929522801,,0.027,0.027,6.2181,1.827464394,,0.012,0.012,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.006,0.006,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,2.7636,1.016534178,
427,0.001,0.011,0.01,2.303,0.834212621,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.008,0.007,1.6121,0.477537677,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,
