,Blank,F3Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
235,0.001,0.049,0.048,11.0544,2.402828539,,0.1,0.099,22.7997,3.126747378,,0.044,0.043,19.8058,2.985974824,,0.052,0.051,11.7453,2.463453161,,0.027,0.026,11.9756,2.482871246,,0.052,0.051,11.7453,2.463453161,,0.071,0.07,16.121,2.78012277,,0.039,0.038,17.5028,2.862360868,
236,0.001,0.048,0.047,10.8241,2.38177513,,0.099,0.098,22.5694,3.116595007,,0.043,0.042,19.3452,2.962444327,,0.051,0.05,11.515,2.443650533,,0.026,0.025,11.515,2.443650533,,0.051,0.05,11.515,2.443650533,,0.071,0.07,16.121,2.78012277,,0.038,0.037,17.0422,2.835692621,
237,0.001,0.047,0.046,10.5938,2.360268924,,0.098,0.097,22.3391,3.106338506,,0.043,0.042,19.3452,2.962444327,,0.05,0.049,11.2847,2.423447826,,0.026,0.025,11.515,2.443650533,,0.051,0.05,11.515,2.443650533,,0.07,0.069,15.8907,2.765734032,,0.038,0.037,17.0422,2.835692621,
238,0.001,0.047,0.046,10.5938,2.360268924,,0.097,0.096,22.1088,3.095975719,,0.043,0.042,19.3452,2.962444327,,0.05,0.049,11.2847,2.423447826,,0.026,0.025,11.515,2.443650533,,0.05,0.049,11.2847,2.423447826,,0.069,0.068,15.6604,2.751135233,,0.038,0.037,17.0422,2.835692621,
239,0.001,0.046,0.045,10.3635,2.338290018,,0.096,0.095,21.8785,3.085504419,,0.042,0.041,18.8846,2.938346775,,0.049,0.048,11.0544,2.402828539,,0.025,0.024,11.0544,2.402828539,,0.049,0.048,11.0544,2.402828539,,0.068,0.067,15.4301,2.736320147,,0.037,0.036,16.5816,2.808293647,
240,0.001,0.045,0.044,10.1332,2.315817162,,0.096,0.095,21.8785,3.085504419,,0.041,0.04,18.424,2.913654163,,0.049,0.048,11.0544,2.402828539,,0.025,0.024,11.0544,2.402828539,,0.049,0.048,11.0544,2.402828539,,0.067,0.066,15.1998,2.72128227,,0.037,0.036,16.5816,2.808293647,
241,0.001,0.045,0.044,10.1332,2.315817162,,0.095,0.094,21.6482,3.07492231,,0.041,0.04,18.424,2.913654163,,0.048,0.047,10.8241,2.38177513,,0.025,0.024,11.0544,2.402828539,,0.048,0.047,10.8241,2.38177513,,0.066,0.065,14.9695,2.706014798,,0.036,0.035,16.121,2.78012277,
242,0.001,0.044,0.043,9.9029,2.292827644,,0.094,0.093,21.4179,3.064227021,,0.041,0.04,18.424,2.913654163,,0.048,0.047,10.8241,2.38177513,,0.024,0.023,10.5938,2.360268924,,0.048,0.047,10.8241,2.38177513,,0.065,0.064,14.7392,2.690510611,,0.036,0.035,16.121,2.78012277,
243,0.001,0.044,0.043,9.9029,2.292827644,,0.093,0.092,21.1876,3.053416105,,0.04,0.039,17.9634,2.888336355,,0.047,0.046,10.5938,2.360268924,,0.024,0.023,10.5938,2.360268924,,0.047,0.046,10.5938,2.360268924,,0.065,0.064,14.7392,2.690510611,,0.035,0.034,15.6604,2.751135233,
244,0.001,0.043,0.042,9.6726,2.269297146,,0.092,0.091,20.9573,3.042487034,,0.04,0.039,17.9634,2.888336355,,0.047,0.046,10.5938,2.360268924,,0.024,0.023,10.5938,2.360268924,,0.047,0.046,10.5938,2.360268924,,0.064,0.063,14.5089,2.674762254,,0.035,0.034,15.6604,2.751135233,
245,0.001,0.043,0.042,9.6726,2.269297146,,0.092,0.091,20.9573,3.042487034,,0.039,0.038,17.5028,2.862360868,,0.047,0.046,10.5938,2.360268924,,0.024,0.023,10.5938,2.360268924,,0.046,0.045,10.3635,2.338290018,,0.064,0.063,14.5089,2.674762254,,0.035,0.034,15.6604,2.751135233,
246,0.001,0.042,0.041,9.4423,2.245199595,,0.091,0.09,20.727,3.031437198,,0.039,0.038,17.5028,2.862360868,,0.046,0.045,10.3635,2.338290018,,0.024,0.023,10.5938,2.360268924,,0.046,0.045,10.3635,2.338290018,,0.063,0.062,14.2786,2.658761913,,0.034,0.033,15.1998,2.72128227,
247,0.001,0.042,0.041,9.4423,2.245199595,,0.091,0.09,20.727,3.031437198,,0.039,0.038,17.5028,2.862360868,,0.046,0.045,10.3635,2.338290018,,0.024,0.023,10.5938,2.360268924,,0.046,0.045,10.3635,2.338290018,,0.063,0.062,14.2786,2.658761913,,0.034,0.033,15.1998,2.72128227,
248,0.001,0.042,0.041,9.4423,2.245199595,,0.09,0.089,20.4967,3.020263898,,0.038,0.037,17.0422,2.835692621,,0.046,0.045,10.3635,2.338290018,,0.023,0.022,10.1332,2.315817162,,0.045,0.044,10.1332,2.315817162,,0.062,0.061,14.0483,2.642501392,,0.034,0.033,15.1998,2.72128227,
249,0.001,0.041,0.04,9.212,2.220506982,,0.089,0.088,20.2664,3.008964342,,0.038,0.037,17.0422,2.835692621,,0.046,0.045,10.3635,2.338290018,,0.023,0.022,10.1332,2.315817162,,0.045,0.044,10.1332,2.315817162,,0.062,0.061,14.0483,2.642501392,,0.033,0.032,14.7392,2.690510611,
250,0.001,0.041,0.04,9.212,2.220506982,,0.089,0.088,20.2664,3.008964342,,0.038,0.037,17.0422,2.835692621,,0.046,0.045,10.3635,2.338290018,,0.023,0.022,10.1332,2.315817162,,0.045,0.044,10.1332,2.315817162,,0.061,0.06,13.818,2.62597209,,0.033,0.032,14.7392,2.690510611,
251,0.001,0.041,0.04,9.212,2.220506982,,0.088,0.087,20.0361,2.997535646,,0.038,0.037,17.0422,2.835692621,,0.045,0.044,10.1332,2.315817162,,0.023,0.022,10.1332,2.315817162,,0.045,0.044,10.1332,2.315817162,,0.061,0.06,13.818,2.62597209,,0.033,0.032,14.7392,2.690510611,
252,0.001,0.041,0.04,9.212,2.220506982,,0.088,0.087,20.0361,2.997535646,,0.038,0.037,17.0422,2.835692621,,0.045,0.044,10.1332,2.315817162,,0.023,0.022,10.1332,2.315817162,,0.044,0.043,9.9029,2.292827644,,0.061,0.06,13.818,2.62597209,,0.033,0.032,14.7392,2.690510611,
253,0.001,0.04,0.039,8.9817,2.195189174,,0.087,0.086,19.8058,2.985974824,,0.037,0.036,16.5816,2.808293647,,0.045,0.044,10.1332,2.315817162,,0.023,0.022,10.1332,2.315817162,,0.044,0.043,9.9029,2.292827644,,0.06,0.059,13.5877,2.609164972,,0.032,0.031,14.2786,2.658761913,
254,0.001,0.04,0.039,8.9817,2.195189174,,0.087,0.086,19.8058,2.985974824,,0.037,0.036,16.5816,2.808293647,,0.045,0.044,10.1332,2.315817162,,0.023,0.022,10.1332,2.315817162,,0.044,0.043,9.9029,2.292827644,,0.06,0.059,13.5877,2.609164972,,0.032,0.031,14.2786,2.658761913,
255,0,0.04,0.04,9.212,2.220506982,,0.086,0.086,19.8058,2.985974824,,0.037,0.037,17.0422,2.835692621,,0.044,0.044,10.1332,2.315817162,,0.022,0.022,10.1332,2.315817162,,0.043,0.043,9.9029,2.292827644,,0.059,0.059,13.5877,2.609164972,,0.032,0.032,14.7392,2.690510611,
256,0,0.039,0.039,8.9817,2.195189174,,0.086,0.086,19.8058,2.985974824,,0.037,0.037,17.0422,2.835692621,,0.044,0.044,10.1332,2.315817162,,0.022,0.022,10.1332,2.315817162,,0.043,0.043,9.9029,2.292827644,,0.059,0.059,13.5877,2.609164972,,0.032,0.032,14.7392,2.690510611,
257,0.001,0.039,0.038,8.7514,2.169213688,,0.085,0.084,19.3452,2.962444327,,0.036,0.035,16.121,2.78012277,,0.044,0.043,9.9029,2.292827644,,0.022,0.021,9.6726,2.269297146,,0.043,0.042,9.6726,2.269297146,,0.059,0.058,13.3574,2.592070538,,0.032,0.031,14.2786,2.658761913,
258,0.001,0.039,0.038,8.7514,2.169213688,,0.085,0.084,19.3452,2.962444327,,0.036,0.035,16.121,2.78012277,,0.044,0.043,9.9029,2.292827644,,0.022,0.021,9.6726,2.269297146,,0.043,0.042,9.6726,2.269297146,,0.058,0.057,13.1271,2.574678796,,0.031,0.03,13.818,2.62597209,
259,0.001,0.038,0.037,8.5211,2.14254544,,0.084,0.083,19.1149,2.950468136,,0.036,0.035,16.121,2.78012277,,0.044,0.043,9.9029,2.292827644,,0.022,0.021,9.6726,2.269297146,,0.042,0.041,9.4423,2.245199595,,0.058,0.057,13.1271,2.574678796,,0.031,0.03,13.818,2.62597209,
260,0.001,0.038,0.037,8.5211,2.14254544,,0.084,0.083,19.1149,2.950468136,,0.036,0.035,16.121,2.78012277,,0.044,0.043,9.9029,2.292827644,,0.022,0.021,9.6726,2.269297146,,0.042,0.041,9.4423,2.245199595,,0.058,0.057,13.1271,2.574678796,,0.031,0.03,13.818,2.62597209,
261,0.001,0.038,0.037,8.5211,2.14254544,,0.083,0.082,18.8846,2.938346775,,0.036,0.035,16.121,2.78012277,,0.043,0.042,9.6726,2.269297146,,0.022,0.021,9.6726,2.269297146,,0.042,0.041,9.4423,2.245199595,,0.057,0.056,12.8968,2.556979219,,0.031,0.03,13.818,2.62597209,
262,0.001,0.038,0.037,8.5211,2.14254544,,0.083,0.082,18.8846,2.938346775,,0.035,0.034,15.6604,2.751135233,,0.043,0.042,9.6726,2.269297146,,0.022,0.021,9.6726,2.269297146,,0.042,0.041,9.4423,2.245199595,,0.057,0.056,12.8968,2.556979219,,0.031,0.03,13.818,2.62597209,
