,MilliQ,F27Jun19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_99_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_100_R1,A(CDOM),a(CDOM),ln(a),Sr
210,-0.003,0.16,0.163,37.5389,3.625377729,,0.094,0.097,22.3391,3.106338506,,0.089,0.092,21.1876,3.053416105,,0.131,0.134,30.8602,3.429467328,,0.126,0.129,29.7087,3.391439932,,0.084,0.087,20.0361,2.997535646,,0.095,0.098,22.5694,3.116595007,,0.107,0.11,25.333,3.232107894,
211,-0.003,0.154,0.157,36.1571,3.587873333,,0.091,0.094,21.6482,3.07492231,,0.087,0.09,20.727,3.031437198,,0.127,0.13,29.939,3.399161978,,0.122,0.125,28.7875,3.359941265,,0.082,0.085,19.5755,2.974278784,,0.092,0.095,21.8785,3.085504419,,0.105,0.108,24.8724,3.213758755,
212,-0.003,0.149,0.152,35.0056,3.555508049,,0.089,0.092,21.1876,3.053416105,,0.085,0.088,20.2664,3.008964342,,0.122,0.125,28.7875,3.359941265,,0.118,0.121,27.8663,3.327418073,,0.08,0.083,19.1149,2.950468136,,0.09,0.093,21.4179,3.064227021,,0.103,0.106,24.4118,3.195066622,
213,-0.003,0.143,0.146,33.6238,3.51523415,,0.087,0.09,20.727,3.031437198,,0.083,0.086,19.8058,2.985974824,,0.117,0.12,27.636,3.319119271,,0.113,0.116,26.7148,3.285217719,,0.078,0.081,18.6543,2.926076683,,0.088,0.091,20.9573,3.042487034,,0.101,0.104,23.9512,3.176018427,
214,-0.003,0.137,0.14,32.242,3.47326995,,0.085,0.088,20.2664,3.008964342,,0.081,0.084,19.3452,2.962444327,,0.112,0.115,26.4845,3.276559656,,0.108,0.111,25.5633,3.241157729,,0.077,0.08,18.424,2.913654163,,0.086,0.089,20.4967,3.020263898,,0.099,0.102,23.4906,3.156600341,
215,-0.003,0.131,0.134,30.8602,3.429467328,,0.084,0.087,20.0361,2.997535646,,0.079,0.082,18.8846,2.938346775,,0.107,0.11,25.333,3.232107894,,0.103,0.106,24.4118,3.195066622,,0.075,0.078,17.9634,2.888336355,,0.084,0.087,20.0361,2.997535646,,0.097,0.1,23.03,3.136797714,
216,-0.003,0.125,0.128,29.4784,3.383657792,,0.082,0.085,19.5755,2.974278784,,0.077,0.08,18.424,2.913654163,,0.102,0.105,24.1815,3.185587878,,0.098,0.101,23.2603,3.146748045,,0.073,0.076,17.5028,2.862360868,,0.082,0.085,19.5755,2.974278784,,0.095,0.098,22.5694,3.116595007,
217,-0.003,0.119,0.122,28.0966,3.335648573,,0.081,0.084,19.3452,2.962444327,,0.075,0.078,17.9634,2.888336355,,0.098,0.101,23.2603,3.146748045,,0.094,0.097,22.3391,3.106338506,,0.072,0.075,17.2725,2.849115641,,0.08,0.083,19.1149,2.950468136,,0.093,0.096,22.1088,3.095975719,
218,-0.002,0.114,0.116,26.7148,3.285217719,,0.079,0.081,18.6543,2.926076683,,0.074,0.076,17.5028,2.862360868,,0.093,0.095,21.8785,3.085504419,,0.09,0.092,21.1876,3.053416105,,0.071,0.073,16.8119,2.822086969,,0.078,0.08,18.424,2.913654163,,0.092,0.094,21.6482,3.07492231,
219,-0.002,0.109,0.111,25.5633,3.241157729,,0.078,0.08,18.424,2.913654163,,0.073,0.075,17.2725,2.849115641,,0.089,0.091,20.9573,3.042487034,,0.086,0.088,20.2664,3.008964342,,0.07,0.072,16.5816,2.808293647,,0.077,0.079,18.1937,2.90107538,,0.09,0.092,21.1876,3.053416105,
