,MilliQ,F27Jun19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_99_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_100_R1,A(CDOM),a(CDOM),ln(a),Sr
338,-0.002,0.017,0.019,4.3757,1.476066507,,0.02,0.022,5.0666,1.622669981,,0.018,0.02,4.606,1.527359801,,0.012,0.014,3.2242,1.170684857,,0.012,0.014,3.2242,1.170684857,,0.015,0.017,3.9151,1.364840872,,0.016,0.018,4.1454,1.421999286,,0.026,0.028,6.4484,1.863832038,
339,-0.001,0.017,0.018,4.1454,1.421999286,,0.02,0.021,4.8363,1.576149966,,0.018,0.019,4.3757,1.476066507,,0.012,0.013,2.9939,1.096576885,,0.012,0.013,2.9939,1.096576885,,0.016,0.017,3.9151,1.364840872,,0.016,0.017,3.9151,1.364840872,,0.027,0.028,6.4484,1.863832038,
340,0,0.018,0.018,4.1454,1.421999286,,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.013,0.013,2.9939,1.096576885,,0.013,0.013,2.9939,1.096576885,,0.016,0.016,3.6848,1.30421625,,0.017,0.017,3.9151,1.364840872,,0.027,0.027,6.2181,1.827464394,
341,-0.001,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.012,0.013,2.9939,1.096576885,,0.012,0.013,2.9939,1.096576885,,0.015,0.016,3.6848,1.30421625,,0.016,0.017,3.9151,1.364840872,,0.026,0.027,6.2181,1.827464394,
342,-0.002,0.016,0.018,4.1454,1.421999286,,0.019,0.021,4.8363,1.576149966,,0.017,0.019,4.3757,1.476066507,,0.011,0.013,2.9939,1.096576885,,0.011,0.013,2.9939,1.096576885,,0.015,0.017,3.9151,1.364840872,,0.015,0.017,3.9151,1.364840872,,0.026,0.028,6.4484,1.863832038,
343,-0.001,0.016,0.017,3.9151,1.364840872,,0.019,0.02,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.012,0.013,2.9939,1.096576885,,0.011,0.012,2.7636,1.016534178,,0.014,0.015,3.4545,1.239677729,,0.015,0.016,3.6848,1.30421625,,0.025,0.026,5.9878,1.789724066,
344,-0.002,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.016,0.018,4.1454,1.421999286,,0.011,0.013,2.9939,1.096576885,,0.011,0.013,2.9939,1.096576885,,0.014,0.016,3.6848,1.30421625,,0.015,0.017,3.9151,1.364840872,,0.025,0.027,6.2181,1.827464394,
345,-0.002,0.015,0.017,3.9151,1.364840872,,0.019,0.021,4.8363,1.576149966,,0.016,0.018,4.1454,1.421999286,,0.011,0.013,2.9939,1.096576885,,0.011,0.013,2.9939,1.096576885,,0.014,0.016,3.6848,1.30421625,,0.015,0.017,3.9151,1.364840872,,0.025,0.027,6.2181,1.827464394,
346,-0.001,0.015,0.016,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.017,0.018,4.1454,1.421999286,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.025,0.026,5.9878,1.789724066,
347,-0.001,0.015,0.016,3.6848,1.30421625,,0.019,0.02,4.606,1.527359801,,0.016,0.017,3.9151,1.364840872,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.025,0.026,5.9878,1.789724066,
348,-0.001,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.016,0.017,3.9151,1.364840872,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.025,0.026,5.9878,1.789724066,
349,-0.001,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.016,0.017,3.9151,1.364840872,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.025,0.026,5.9878,1.789724066,
350,-0.001,0.015,0.016,3.6848,1.30421625,,0.018,0.019,4.3757,1.476066507,,0.016,0.017,3.9151,1.364840872,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.024,0.025,5.7575,1.750503353,
351,-0.001,0.014,0.015,3.4545,1.239677729,,0.018,0.019,4.3757,1.476066507,,0.016,0.017,3.9151,1.364840872,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.013,0.014,3.2242,1.170684857,,0.014,0.015,3.4545,1.239677729,,0.024,0.025,5.7575,1.750503353,
352,-0.001,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.013,0.014,3.2242,1.170684857,,0.014,0.015,3.4545,1.239677729,,0.024,0.025,5.7575,1.750503353,
353,-0.001,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.013,0.014,3.2242,1.170684857,,0.013,0.014,3.2242,1.170684857,,0.024,0.025,5.7575,1.750503353,
354,-0.001,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.013,0.014,3.2242,1.170684857,,0.013,0.014,3.2242,1.170684857,,0.024,0.025,5.7575,1.750503353,
355,-0.001,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.013,0.014,3.2242,1.170684857,,0.013,0.014,3.2242,1.170684857,,0.024,0.025,5.7575,1.750503353,
356,-0.001,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.013,0.014,3.2242,1.170684857,,0.013,0.014,3.2242,1.170684857,,0.023,0.024,5.5272,1.709681358,
357,-0.001,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.015,0.016,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.012,0.013,2.9939,1.096576885,,0.013,0.014,3.2242,1.170684857,,0.024,0.025,5.7575,1.750503353,
358,-0.001,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.014,0.015,3.4545,1.239677729,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.012,0.013,2.9939,1.096576885,,0.013,0.014,3.2242,1.170684857,,0.023,0.024,5.5272,1.709681358,
359,-0.001,0.014,0.015,3.4545,1.239677729,,0.017,0.018,4.1454,1.421999286,,0.014,0.015,3.4545,1.239677729,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.012,0.013,2.9939,1.096576885,,0.012,0.013,2.9939,1.096576885,,0.023,0.024,5.5272,1.709681358,
360,-0.001,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.014,0.015,3.4545,1.239677729,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.012,0.013,2.9939,1.096576885,,0.012,0.013,2.9939,1.096576885,,0.023,0.024,5.5272,1.709681358,
361,-0.001,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.014,0.015,3.4545,1.239677729,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.012,0.013,2.9939,1.096576885,,0.012,0.013,2.9939,1.096576885,,0.023,0.024,5.5272,1.709681358,
362,-0.001,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.014,0.015,3.4545,1.239677729,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.012,0.013,2.9939,1.096576885,,0.012,0.013,2.9939,1.096576885,,0.023,0.024,5.5272,1.709681358,
363,-0.001,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.014,0.015,3.4545,1.239677729,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.012,0.013,2.9939,1.096576885,,0.012,0.013,2.9939,1.096576885,,0.023,0.024,5.5272,1.709681358,
364,-0.001,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.022,0.023,5.2969,1.667121744,
365,-0.001,0.013,0.014,3.2242,1.170684857,,0.016,0.017,3.9151,1.364840872,,0.014,0.015,3.4545,1.239677729,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.012,0.013,2.9939,1.096576885,,0.012,0.013,2.9939,1.096576885,,0.023,0.024,5.5272,1.709681358,
366,-0.001,0.013,0.014,3.2242,1.170684857,,0.015,0.016,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.012,0.013,2.9939,1.096576885,,0.023,0.024,5.5272,1.709681358,
367,-0.001,0.012,0.013,2.9939,1.096576885,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.023,0.024,5.5272,1.709681358,
368,-0.001,0.012,0.013,2.9939,1.096576885,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.023,0.024,5.5272,1.709681358,
369,-0.001,0.012,0.013,2.9939,1.096576885,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.022,0.023,5.2969,1.667121744,
370,-0.001,0.012,0.013,2.9939,1.096576885,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.022,0.023,5.2969,1.667121744,
371,-0.001,0.012,0.013,2.9939,1.096576885,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.011,0.012,2.7636,1.016534178,,0.011,0.012,2.7636,1.016534178,,0.022,0.023,5.2969,1.667121744,
372,-0.001,0.012,0.013,2.9939,1.096576885,,0.014,0.015,3.4545,1.239677729,,0.013,0.014,3.2242,1.170684857,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.011,0.012,2.7636,1.016534178,,0.022,0.023,5.2969,1.667121744,
373,-0.001,0.012,0.013,2.9939,1.096576885,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.022,0.023,5.2969,1.667121744,
374,-0.001,0.012,0.013,2.9939,1.096576885,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.022,0.023,5.2969,1.667121744,
375,-0.001,0.012,0.013,2.9939,1.096576885,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.022,0.023,5.2969,1.667121744,
376,-0.001,0.011,0.012,2.7636,1.016534178,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.022,0.023,5.2969,1.667121744,
377,-0.001,0.011,0.012,2.7636,1.016534178,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.021,0.022,5.0666,1.622669981,
378,-0.001,0.011,0.012,2.7636,1.016534178,,0.013,0.014,3.2242,1.170684857,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.021,0.022,5.0666,1.622669981,
379,-0.001,0.011,0.012,2.7636,1.016534178,,0.013,0.014,3.2242,1.170684857,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.021,0.022,5.0666,1.622669981,
380,-0.001,0.011,0.012,2.7636,1.016534178,,0.013,0.014,3.2242,1.170684857,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.021,0.022,5.0666,1.622669981,
381,-0.001,0.011,0.012,2.7636,1.016534178,,0.013,0.014,3.2242,1.170684857,,0.012,0.013,2.9939,1.096576885,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.021,0.022,5.0666,1.622669981,
382,-0.001,0.011,0.012,2.7636,1.016534178,,0.013,0.014,3.2242,1.170684857,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.021,0.022,5.0666,1.622669981,
383,-0.001,0.011,0.012,2.7636,1.016534178,,0.013,0.014,3.2242,1.170684857,,0.011,0.012,2.7636,1.016534178,,0.008,0.009,2.0727,0.728852105,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.021,0.022,5.0666,1.622669981,
384,-0.001,0.01,0.011,2.5333,0.929522801,,0.012,0.013,2.9939,1.096576885,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.021,0.022,5.0666,1.622669981,
385,-0.001,0.01,0.011,2.5333,0.929522801,,0.012,0.013,2.9939,1.096576885,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.021,0.022,5.0666,1.622669981,
386,-0.001,0.01,0.011,2.5333,0.929522801,,0.012,0.013,2.9939,1.096576885,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.021,0.022,5.0666,1.622669981,
387,-0.001,0.01,0.011,2.5333,0.929522801,,0.012,0.013,2.9939,1.096576885,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.021,0.022,5.0666,1.622669981,
388,-0.001,0.01,0.011,2.5333,0.929522801,,0.012,0.013,2.9939,1.096576885,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.02,0.021,4.8363,1.576149966,
389,-0.001,0.01,0.011,2.5333,0.929522801,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.02,0.021,4.8363,1.576149966,
390,-0.001,0.01,0.011,2.5333,0.929522801,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.02,0.021,4.8363,1.576149966,
391,-0.001,0.01,0.011,2.5333,0.929522801,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.02,0.021,4.8363,1.576149966,
392,-0.001,0.01,0.011,2.5333,0.929522801,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.02,0.021,4.8363,1.576149966,
393,-0.001,0.01,0.011,2.5333,0.929522801,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.02,0.021,4.8363,1.576149966,
394,-0.001,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.02,0.021,4.8363,1.576149966,
395,-0.001,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.007,0.008,1.8424,0.61106907,,0.02,0.021,4.8363,1.576149966,
396,-0.001,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.007,0.008,1.8424,0.61106907,,0.019,0.02,4.606,1.527359801,
397,-0.001,0.009,0.01,2.303,0.834212621,,0.011,0.012,2.7636,1.016534178,,0.01,0.011,2.5333,0.929522801,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.008,0.009,2.0727,0.728852105,,0.007,0.008,1.8424,0.61106907,,0.02,0.021,4.8363,1.576149966,
398,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.019,0.02,4.606,1.527359801,
399,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.01,0.011,2.5333,0.929522801,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.019,0.02,4.606,1.527359801,
400,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.019,0.02,4.606,1.527359801,
401,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.019,0.02,4.606,1.527359801,
402,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.019,0.02,4.606,1.527359801,
403,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.007,0.008,1.8424,0.61106907,,0.019,0.02,4.606,1.527359801,
404,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
405,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
406,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
407,-0.001,0.009,0.01,2.303,0.834212621,,0.01,0.011,2.5333,0.929522801,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.007,0.008,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
408,-0.001,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
409,-0.001,0.009,0.01,2.303,0.834212621,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
410,-0.001,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
411,-0.001,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.006,0.007,1.6121,0.477537677,,0.005,0.006,1.3818,0.323386997,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
412,-0.001,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.006,0.007,1.6121,0.477537677,,0.005,0.006,1.3818,0.323386997,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
413,-0.001,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
414,-0.001,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.006,0.007,1.6121,0.477537677,,0.005,0.006,1.3818,0.323386997,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
415,-0.001,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.006,0.007,1.6121,0.477537677,,0.005,0.006,1.3818,0.323386997,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.019,0.02,4.606,1.527359801,
416,-0.001,0.008,0.009,2.0727,0.728852105,,0.009,0.01,2.303,0.834212621,,0.008,0.009,2.0727,0.728852105,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.006,0.007,1.6121,0.477537677,,0.006,0.007,1.6121,0.477537677,,0.018,0.019,4.3757,1.476066507,
417,-0.001,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.018,0.019,4.3757,1.476066507,
418,-0.001,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.007,0.008,1.8424,0.61106907,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.018,0.019,4.3757,1.476066507,
419,-0.001,0.008,0.009,2.0727,0.728852105,,0.008,0.009,2.0727,0.728852105,,0.007,0.008,1.8424,0.61106907,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.018,0.019,4.3757,1.476066507,
