,MilliQ,F30May19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F30May19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B30May19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B20May19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B30May19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr
211,-0.008,0.105,0.113,26.0239,3.259015347,,0.088,0.096,22.1088,3.095975719,,0.075,0.083,19.1149,2.950468136,,0.146,0.154,35.4662,3.56858013,,0.168,0.176,40.5328,3.702111523,,0.078,0.086,19.8058,2.985974824,,0.086,0.094,21.6482,3.07492231,,0.085,0.093,21.4179,3.064227021,,0.075,0.083,19.1149,2.950468136,,0.089,0.097,22.3391,3.106338506,,0.081,0.089,20.4967,3.020263898,,0.083,0.091,20.9573,3.042487034,
212,-0.007,0.101,0.108,24.8724,3.213758755,,0.086,0.093,21.4179,3.064227021,,0.074,0.081,18.6543,2.926076683,,0.143,0.15,34.545,3.542262822,,0.165,0.172,39.6116,3.679122005,,0.076,0.083,19.1149,2.950468136,,0.084,0.091,20.9573,3.042487034,,0.083,0.09,20.727,3.031437198,,0.074,0.081,18.6543,2.926076683,,0.087,0.094,21.6482,3.07492231,,0.079,0.086,19.8058,2.985974824,,0.082,0.089,20.4967,3.020263898,
213,-0.007,0.097,0.104,23.9512,3.176018427,,0.085,0.092,21.1876,3.053416105,,0.072,0.079,18.1937,2.90107538,,0.139,0.146,33.6238,3.51523415,,0.162,0.169,38.9207,3.661526243,,0.075,0.082,18.8846,2.938346775,,0.082,0.089,20.4967,3.020263898,,0.082,0.089,20.4967,3.020263898,,0.072,0.079,18.1937,2.90107538,,0.085,0.092,21.1876,3.053416105,,0.077,0.084,19.3452,2.962444327,,0.08,0.087,20.0361,2.997535646,
214,-0.007,0.093,0.1,23.03,3.136797714,,0.083,0.09,20.727,3.031437198,,0.07,0.077,17.7331,2.87543295,,0.136,0.143,32.9329,3.494472158,,0.159,0.166,38.2298,3.643615316,,0.073,0.08,18.424,2.913654163,,0.08,0.087,20.0361,2.997535646,,0.08,0.087,20.0361,2.997535646,,0.07,0.077,17.7331,2.87543295,,0.083,0.09,20.727,3.031437198,,0.075,0.082,18.8846,2.938346775,,0.078,0.085,19.5755,2.974278784,
215,-0.007,0.088,0.095,21.8785,3.085504419,,0.082,0.089,20.4967,3.020263898,,0.068,0.075,17.2725,2.849115641,,0.132,0.139,32.0117,3.466101461,,0.156,0.163,37.5389,3.625377729,,0.071,0.078,17.9634,2.888336355,,0.079,0.086,19.8058,2.985974824,,0.079,0.086,19.8058,2.985974824,,0.069,0.076,17.5028,2.862360868,,0.082,0.089,20.4967,3.020263898,,0.074,0.081,18.6543,2.926076683,,0.077,0.084,19.3452,2.962444327,
216,-0.007,0.084,0.091,20.9573,3.042487034,,0.08,0.087,20.0361,2.997535646,,0.067,0.074,17.0422,2.835692621,,0.129,0.136,31.3208,3.444282414,,0.153,0.16,36.848,3.606801343,,0.069,0.076,17.5028,2.862360868,,0.077,0.084,19.3452,2.962444327,,0.077,0.084,19.3452,2.962444327,,0.067,0.074,17.0422,2.835692621,,0.08,0.087,20.0361,2.997535646,,0.072,0.079,18.1937,2.90107538,,0.076,0.083,19.1149,2.950468136,
217,-0.007,0.081,0.088,20.2664,3.008964342,,0.079,0.086,19.8058,2.985974824,,0.065,0.072,16.5816,2.808293647,,0.125,0.132,30.3996,3.41442945,,0.15,0.157,36.1571,3.587873333,,0.068,0.075,17.2725,2.849115641,,0.076,0.083,19.1149,2.950468136,,0.076,0.083,19.1149,2.950468136,,0.066,0.073,16.8119,2.822086969,,0.079,0.086,19.8058,2.985974824,,0.071,0.078,17.9634,2.888336355,,0.075,0.082,18.8846,2.938346775,
218,-0.007,0.077,0.084,19.3452,2.962444327,,0.078,0.085,19.5755,2.974278784,,0.064,0.071,16.3513,2.794307405,,0.122,0.129,29.7087,3.391439932,,0.148,0.155,35.6965,3.575052645,,0.067,0.074,17.0422,2.835692621,,0.075,0.082,18.8846,2.938346775,,0.074,0.081,18.6543,2.926076683,,0.065,0.072,16.5816,2.808293647,,0.077,0.084,19.3452,2.962444327,,0.069,0.076,17.5028,2.862360868,,0.073,0.08,18.424,2.913654163,
219,-0.006,0.073,0.079,18.1937,2.90107538,,0.076,0.082,18.8846,2.938346775,,0.063,0.069,15.8907,2.765734032,,0.118,0.124,28.5572,3.351909093,,0.145,0.151,34.7753,3.548907365,,0.065,0.071,16.3513,2.794307405,,0.073,0.079,18.1937,2.90107538,,0.073,0.079,18.1937,2.90107538,,0.063,0.069,15.8907,2.765734032,,0.075,0.081,18.6543,2.926076683,,0.068,0.074,17.0422,2.835692621,,0.072,0.078,17.9634,2.888336355,
220,-0.006,0.07,0.076,17.5028,2.862360868,,0.075,0.081,18.6543,2.926076683,,0.061,0.067,15.4301,2.736320147,,0.115,0.121,27.8663,3.327418073,,0.142,0.148,34.0844,3.528839802,,0.064,0.07,16.121,2.78012277,,0.072,0.078,17.9634,2.888336355,,0.072,0.078,17.9634,2.888336355,,0.062,0.068,15.6604,2.751135233,,0.074,0.08,18.424,2.913654163,,0.067,0.073,16.8119,2.822086969,,0.071,0.077,17.7331,2.87543295,
