,MilliQ,F30May19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F30May19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B30May19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B20May19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B30May19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr
539,-0.001,0.004,0.005,1.1515,0.14106544,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
540,-0.001,0.004,0.005,1.1515,0.14106544,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.002,0.003,0.6909,-0.369760183,,0.009,0.01,2.303,0.834212621,
541,-0.001,0.004,0.005,1.1515,0.14106544,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.002,0.003,0.6909,-0.369760183,,0.009,0.01,2.303,0.834212621,
542,-0.001,0.004,0.005,1.1515,0.14106544,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
543,-0.001,0.004,0.005,1.1515,0.14106544,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
544,-0.001,0.004,0.005,1.1515,0.14106544,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
545,-0.001,0.004,0.005,1.1515,0.14106544,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
546,-0.001,0.004,0.005,1.1515,0.14106544,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
547,-0.001,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
548,-0.001,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
549,-0.001,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.015,0.016,3.6848,1.30421625,,0.015,0.016,3.6848,1.30421625,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
550,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.015,0.015,3.4545,1.239677729,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
551,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.015,0.015,3.4545,1.239677729,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
552,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.015,0.015,3.4545,1.239677729,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
553,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.015,0.015,3.4545,1.239677729,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
554,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.015,0.015,3.4545,1.239677729,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
555,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
556,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
557,-0.001,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
558,-0.001,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
559,-0.001,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.001,0.002,0.4606,-0.775225292,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.4606,-0.775225292,,0.009,0.01,2.303,0.834212621,
560,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
561,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
562,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
563,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
564,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
565,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
566,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
567,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
568,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,
569,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
570,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
571,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
572,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
573,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
574,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
575,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
576,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
577,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
578,-0.001,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.014,0.015,3.4545,1.239677729,,0.014,0.015,3.4545,1.239677729,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.001,0.002,0.4606,-0.775225292,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.4606,-0.775225292,,0.008,0.009,2.0727,0.728852105,
579,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
580,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
581,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
582,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
583,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
584,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
585,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.013,0.013,2.9939,1.096576885,,0.002,0.002,0.4606,-0.775225292,,0.002,0.002,0.4606,-0.775225292,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
586,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.014,0.014,3.2242,1.170684857,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
587,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.014,0.014,3.2242,1.170684857,,0.013,0.013,2.9939,1.096576885,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
588,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.013,0.013,2.9939,1.096576885,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
589,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.013,0.013,2.9939,1.096576885,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
590,-0.001,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.002,0.003,0.6909,-0.369760183,,0.013,0.014,3.2242,1.170684857,,0.013,0.014,3.2242,1.170684857,,0.002,0.003,0.6909,-0.369760183,,0.003,0.004,0.9212,-0.082078111,,0.008,0.009,2.0727,0.728852105,,0.001,0.002,0.4606,-0.775225292,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.4606,-0.775225292,,0.008,0.009,2.0727,0.728852105,
591,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.013,0.013,2.9939,1.096576885,,0.002,0.002,0.4606,-0.775225292,,0.002,0.002,0.4606,-0.775225292,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
592,0,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.002,0.002,0.4606,-0.775225292,,0.013,0.013,2.9939,1.096576885,,0.013,0.013,2.9939,1.096576885,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.008,0.008,1.8424,0.61106907,,0.001,0.001,0.2303,-1.468372472,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.2303,-1.468372472,,0.008,0.008,1.8424,0.61106907,
