,MilliQ,B30May19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,F30May19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_Inf_R1,A(CDOM),a(CDOM),ln(a),Sr
228,0.003,0.049,0.046,10.5938,2.360268924,,0.073,0.07,16.121,2.78012277,,0.06,0.057,13.1271,2.574678796,,0.082,0.079,18.1937,2.90107538,,0.071,0.068,15.6604,2.751135233,,0.084,0.081,18.6543,2.926076683,,0.079,0.076,17.5028,2.862360868,,0.079,0.076,17.5028,2.862360868,
229,0.002,0.048,0.046,10.5938,2.360268924,,0.072,0.07,16.121,2.78012277,,0.059,0.057,13.1271,2.574678796,,0.08,0.078,17.9634,2.888336355,,0.069,0.067,15.4301,2.736320147,,0.082,0.08,18.424,2.913654163,,0.078,0.076,17.5028,2.862360868,,0.076,0.074,17.0422,2.835692621,
230,0.002,0.047,0.045,10.3635,2.338290018,,0.07,0.068,15.6604,2.751135233,,0.058,0.056,12.8968,2.556979219,,0.078,0.076,17.5028,2.862360868,,0.067,0.065,14.9695,2.706014798,,0.08,0.078,17.9634,2.888336355,,0.077,0.075,17.2725,2.849115641,,0.073,0.071,16.3513,2.794307405,
231,0.002,0.046,0.044,10.1332,2.315817162,,0.069,0.067,15.4301,2.736320147,,0.057,0.055,12.6665,2.538960713,,0.076,0.074,17.0422,2.835692621,,0.065,0.063,14.5089,2.674762254,,0.079,0.077,17.7331,2.87543295,,0.075,0.073,16.8119,2.822086969,,0.071,0.069,15.8907,2.765734032,
232,0.002,0.046,0.044,10.1332,2.315817162,,0.067,0.065,14.9695,2.706014798,,0.056,0.054,12.4362,2.520611574,,0.074,0.072,16.5816,2.808293647,,0.063,0.061,14.0483,2.642501392,,0.078,0.076,17.5028,2.862360868,,0.074,0.072,16.5816,2.808293647,,0.068,0.066,15.1998,2.72128227,
233,0.002,0.045,0.043,9.9029,2.292827644,,0.066,0.064,14.7392,2.690510611,,0.055,0.053,12.2059,2.501919441,,0.073,0.071,16.3513,2.794307405,,0.062,0.06,13.818,2.62597209,,0.076,0.074,17.0422,2.835692621,,0.073,0.071,16.3513,2.794307405,,0.066,0.064,14.7392,2.690510611,
234,0.003,0.045,0.042,9.6726,2.269297146,,0.065,0.062,14.2786,2.658761913,,0.054,0.051,11.7453,2.463453161,,0.072,0.069,15.8907,2.765734032,,0.061,0.058,13.3574,2.592070538,,0.075,0.072,16.5816,2.808293647,,0.072,0.069,15.8907,2.765734032,,0.065,0.062,14.2786,2.658761913,
235,0.002,0.044,0.042,9.6726,2.269297146,,0.064,0.062,14.2786,2.658761913,,0.053,0.051,11.7453,2.463453161,,0.07,0.068,15.6604,2.751135233,,0.06,0.058,13.3574,2.592070538,,0.074,0.072,16.5816,2.808293647,,0.071,0.069,15.8907,2.765734032,,0.063,0.061,14.0483,2.642501392,
236,0.002,0.043,0.041,9.4423,2.245199595,,0.063,0.061,14.0483,2.642501392,,0.053,0.051,11.7453,2.463453161,,0.069,0.067,15.4301,2.736320147,,0.059,0.057,13.1271,2.574678796,,0.073,0.071,16.3513,2.794307405,,0.07,0.068,15.6604,2.751135233,,0.061,0.059,13.5877,2.609164972,
237,0.002,0.043,0.041,9.4423,2.245199595,,0.062,0.06,13.818,2.62597209,,0.052,0.05,11.515,2.443650533,,0.068,0.066,15.1998,2.72128227,,0.058,0.056,12.8968,2.556979219,,0.072,0.07,16.121,2.78012277,,0.069,0.067,15.4301,2.736320147,,0.06,0.058,13.3574,2.592070538,
238,0.002,0.042,0.04,9.212,2.220506982,,0.062,0.06,13.818,2.62597209,,0.051,0.049,11.2847,2.423447826,,0.067,0.065,14.9695,2.706014798,,0.057,0.055,12.6665,2.538960713,,0.071,0.069,15.8907,2.765734032,,0.068,0.066,15.1998,2.72128227,,0.059,0.057,13.1271,2.574678796,
239,0.003,0.042,0.039,8.9817,2.195189174,,0.061,0.058,13.3574,2.592070538,,0.051,0.048,11.0544,2.402828539,,0.066,0.063,14.5089,2.674762254,,0.056,0.053,12.2059,2.501919441,,0.07,0.067,15.4301,2.736320147,,0.068,0.065,14.9695,2.706014798,,0.058,0.055,12.6665,2.538960713,
240,0.003,0.042,0.039,8.9817,2.195189174,,0.06,0.057,13.1271,2.574678796,,0.05,0.047,10.8241,2.38177513,,0.066,0.063,14.5089,2.674762254,,0.056,0.053,12.2059,2.501919441,,0.069,0.066,15.1998,2.72128227,,0.067,0.064,14.7392,2.690510611,,0.057,0.054,12.4362,2.520611574,
241,0.003,0.041,0.038,8.7514,2.169213688,,0.059,0.056,12.8968,2.556979219,,0.049,0.046,10.5938,2.360268924,,0.065,0.062,14.2786,2.658761913,,0.055,0.052,11.9756,2.482871246,,0.068,0.065,14.9695,2.706014798,,0.066,0.063,14.5089,2.674762254,,0.056,0.053,12.2059,2.501919441,
242,0.003,0.041,0.038,8.7514,2.169213688,,0.059,0.056,12.8968,2.556979219,,0.049,0.046,10.5938,2.360268924,,0.064,0.061,14.0483,2.642501392,,0.055,0.052,11.9756,2.482871246,,0.067,0.064,14.7392,2.690510611,,0.066,0.063,14.5089,2.674762254,,0.055,0.052,11.9756,2.482871246,
243,0.002,0.04,0.038,8.7514,2.169213688,,0.058,0.056,12.8968,2.556979219,,0.048,0.046,10.5938,2.360268924,,0.063,0.061,14.0483,2.642501392,,0.054,0.052,11.9756,2.482871246,,0.066,0.064,14.7392,2.690510611,,0.065,0.063,14.5089,2.674762254,,0.055,0.053,12.2059,2.501919441,
244,0.002,0.04,0.038,8.7514,2.169213688,,0.057,0.055,12.6665,2.538960713,,0.048,0.046,10.5938,2.360268924,,0.062,0.06,13.818,2.62597209,,0.054,0.052,11.9756,2.482871246,,0.065,0.063,14.5089,2.674762254,,0.064,0.062,14.2786,2.658761913,,0.054,0.052,11.9756,2.482871246,
245,0.002,0.04,0.038,8.7514,2.169213688,,0.057,0.055,12.6665,2.538960713,,0.047,0.045,10.3635,2.338290018,,0.062,0.06,13.818,2.62597209,,0.053,0.051,11.7453,2.463453161,,0.065,0.063,14.5089,2.674762254,,0.064,0.062,14.2786,2.658761913,,0.053,0.051,11.7453,2.463453161,
246,0.002,0.039,0.037,8.5211,2.14254544,,0.056,0.054,12.4362,2.520611574,,0.047,0.045,10.3635,2.338290018,,0.062,0.06,13.818,2.62597209,,0.053,0.051,11.7453,2.463453161,,0.064,0.062,14.2786,2.658761913,,0.063,0.061,14.0483,2.642501392,,0.053,0.051,11.7453,2.463453161,
247,0.002,0.039,0.037,8.5211,2.14254544,,0.056,0.054,12.4362,2.520611574,,0.046,0.044,10.1332,2.315817162,,0.061,0.059,13.5877,2.609164972,,0.052,0.05,11.515,2.443650533,,0.064,0.062,14.2786,2.658761913,,0.063,0.061,14.0483,2.642501392,,0.052,0.05,11.515,2.443650533,
248,0.002,0.039,0.037,8.5211,2.14254544,,0.055,0.053,12.2059,2.501919441,,0.046,0.044,10.1332,2.315817162,,0.061,0.059,13.5877,2.609164972,,0.052,0.05,11.515,2.443650533,,0.063,0.061,14.0483,2.642501392,,0.062,0.06,13.818,2.62597209,,0.051,0.049,11.2847,2.423447826,
249,0.002,0.038,0.036,8.2908,2.115146466,,0.055,0.053,12.2059,2.501919441,,0.046,0.044,10.1332,2.315817162,,0.06,0.058,13.3574,2.592070538,,0.052,0.05,11.515,2.443650533,,0.062,0.06,13.818,2.62597209,,0.062,0.06,13.818,2.62597209,,0.051,0.049,11.2847,2.423447826,
250,0.002,0.038,0.036,8.2908,2.115146466,,0.054,0.052,11.9756,2.482871246,,0.045,0.043,9.9029,2.292827644,,0.06,0.058,13.3574,2.592070538,,0.052,0.05,11.515,2.443650533,,0.062,0.06,13.818,2.62597209,,0.061,0.059,13.5877,2.609164972,,0.05,0.048,11.0544,2.402828539,
251,0.002,0.038,0.036,8.2908,2.115146466,,0.054,0.052,11.9756,2.482871246,,0.045,0.043,9.9029,2.292827644,,0.06,0.058,13.3574,2.592070538,,0.052,0.05,11.515,2.443650533,,0.061,0.059,13.5877,2.609164972,,0.061,0.059,13.5877,2.609164972,,0.05,0.048,11.0544,2.402828539,
252,0.002,0.038,0.036,8.2908,2.115146466,,0.054,0.052,11.9756,2.482871246,,0.044,0.042,9.6726,2.269297146,,0.059,0.057,13.1271,2.574678796,,0.052,0.05,11.515,2.443650533,,0.061,0.059,13.5877,2.609164972,,0.061,0.059,13.5877,2.609164972,,0.049,0.047,10.8241,2.38177513,
253,0.002,0.037,0.035,8.0605,2.086975589,,0.053,0.051,11.7453,2.463453161,,0.044,0.042,9.6726,2.269297146,,0.059,0.057,13.1271,2.574678796,,0.052,0.05,11.515,2.443650533,,0.06,0.058,13.3574,2.592070538,,0.06,0.058,13.3574,2.592070538,,0.049,0.047,10.8241,2.38177513,
254,0.002,0.037,0.035,8.0605,2.086975589,,0.053,0.051,11.7453,2.463453161,,0.044,0.042,9.6726,2.269297146,,0.059,0.057,13.1271,2.574678796,,0.052,0.05,11.515,2.443650533,,0.06,0.058,13.3574,2.592070538,,0.06,0.058,13.3574,2.592070538,,0.049,0.047,10.8241,2.38177513,
255,0.002,0.037,0.035,8.0605,2.086975589,,0.053,0.051,11.7453,2.463453161,,0.043,0.041,9.4423,2.245199595,,0.059,0.057,13.1271,2.574678796,,0.052,0.05,11.515,2.443650533,,0.059,0.057,13.1271,2.574678796,,0.06,0.058,13.3574,2.592070538,,0.048,0.046,10.5938,2.360268924,
256,0.002,0.037,0.035,8.0605,2.086975589,,0.053,0.051,11.7453,2.463453161,,0.043,0.041,9.4423,2.245199595,,0.059,0.057,13.1271,2.574678796,,0.052,0.05,11.515,2.443650533,,0.059,0.057,13.1271,2.574678796,,0.059,0.057,13.1271,2.574678796,,0.048,0.046,10.5938,2.360268924,
257,0.002,0.037,0.035,8.0605,2.086975589,,0.052,0.05,11.515,2.443650533,,0.043,0.041,9.4423,2.245199595,,0.059,0.057,13.1271,2.574678796,,0.052,0.05,11.515,2.443650533,,0.059,0.057,13.1271,2.574678796,,0.059,0.057,13.1271,2.574678796,,0.048,0.046,10.5938,2.360268924,
258,0.002,0.037,0.035,8.0605,2.086975589,,0.052,0.05,11.515,2.443650533,,0.042,0.04,9.212,2.220506982,,0.059,0.057,13.1271,2.574678796,,0.052,0.05,11.515,2.443650533,,0.058,0.056,12.8968,2.556979219,,0.059,0.057,13.1271,2.574678796,,0.047,0.045,10.3635,2.338290018,
259,0.002,0.036,0.034,7.8302,2.057988052,,0.052,0.05,11.515,2.443650533,,0.042,0.04,9.212,2.220506982,,0.059,0.057,13.1271,2.574678796,,0.052,0.05,11.515,2.443650533,,0.058,0.056,12.8968,2.556979219,,0.059,0.057,13.1271,2.574678796,,0.047,0.045,10.3635,2.338290018,
260,0.002,0.036,0.034,7.8302,2.057988052,,0.052,0.05,11.515,2.443650533,,0.042,0.04,9.212,2.220506982,,0.058,0.056,12.8968,2.556979219,,0.052,0.05,11.515,2.443650533,,0.057,0.055,12.6665,2.538960713,,0.058,0.056,12.8968,2.556979219,,0.047,0.045,10.3635,2.338290018,
