,Blank,F22Jul19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Jul19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
231,-0.003,0.11,0.113,26.0239,3.259015347,,0.055,0.058,26.7148,3.285217719,,0.058,0.061,14.0483,2.642501392,,0.117,0.12,27.636,3.319119271,,0.055,0.058,26.7148,3.285217719,
232,-0.002,0.109,0.111,25.5633,3.241157729,,0.055,0.057,26.2542,3.267825976,,0.058,0.06,13.818,2.62597209,,0.117,0.119,27.4057,3.310751021,,0.055,0.057,26.2542,3.267825976,
233,-0.002,0.108,0.11,25.333,3.232107894,,0.055,0.057,26.2542,3.267825976,,0.058,0.06,13.818,2.62597209,,0.117,0.119,27.4057,3.310751021,,0.055,0.057,26.2542,3.267825976,
234,-0.001,0.107,0.108,24.8724,3.213758755,,0.054,0.055,25.333,3.232107894,,0.057,0.058,13.3574,2.592070538,,0.116,0.117,26.9451,3.293801463,,0.055,0.056,25.7936,3.250126399,
235,-0.001,0.106,0.107,24.6421,3.204456362,,0.054,0.055,25.333,3.232107894,,0.057,0.058,13.3574,2.592070538,,0.116,0.117,26.9451,3.293801463,,0.055,0.056,25.7936,3.250126399,
236,0,0.105,0.105,24.1815,3.185587878,,0.054,0.054,24.8724,3.213758755,,0.057,0.057,13.1271,2.574678796,,0.115,0.115,26.4845,3.276559656,,0.055,0.055,25.333,3.232107894,
237,0,0.104,0.104,23.9512,3.176018427,,0.053,0.053,24.4118,3.195066622,,0.056,0.056,12.8968,2.556979219,,0.115,0.115,26.4845,3.276559656,,0.055,0.055,25.333,3.232107894,
238,0,0.103,0.103,23.7209,3.166356516,,0.053,0.053,24.4118,3.195066622,,0.056,0.056,12.8968,2.556979219,,0.114,0.114,26.2542,3.267825976,,0.055,0.055,25.333,3.232107894,
239,0,0.101,0.101,23.2603,3.146748045,,0.052,0.052,23.9512,3.176018427,,0.055,0.055,12.6665,2.538960713,,0.114,0.114,26.2542,3.267825976,,0.055,0.055,25.333,3.232107894,
240,0,0.1,0.1,23.03,3.136797714,,0.052,0.052,23.9512,3.176018427,,0.055,0.055,12.6665,2.538960713,,0.113,0.113,26.0239,3.259015347,,0.054,0.054,24.8724,3.213758755,
241,0,0.099,0.099,22.7997,3.126747378,,0.051,0.051,23.4906,3.156600341,,0.054,0.054,12.4362,2.520611574,,0.113,0.113,26.0239,3.259015347,,0.054,0.054,24.8724,3.213758755,
242,0,0.098,0.098,22.5694,3.116595007,,0.051,0.051,23.4906,3.156600341,,0.054,0.054,12.4362,2.520611574,,0.112,0.112,25.7936,3.250126399,,0.054,0.054,24.8724,3.213758755,
243,0,0.097,0.097,22.3391,3.106338506,,0.05,0.05,23.03,3.136797714,,0.053,0.053,12.2059,2.501919441,,0.111,0.111,25.5633,3.241157729,,0.053,0.053,24.4118,3.195066622,
244,0,0.096,0.096,22.1088,3.095975719,,0.05,0.05,23.03,3.136797714,,0.053,0.053,12.2059,2.501919441,,0.111,0.111,25.5633,3.241157729,,0.053,0.053,24.4118,3.195066622,
245,0,0.095,0.095,21.8785,3.085504419,,0.049,0.049,22.5694,3.116595007,,0.052,0.052,11.9756,2.482871246,,0.111,0.111,25.5633,3.241157729,,0.053,0.053,24.4118,3.195066622,
246,0,0.094,0.094,21.6482,3.07492231,,0.049,0.049,22.5694,3.116595007,,0.052,0.052,11.9756,2.482871246,,0.11,0.11,25.333,3.232107894,,0.053,0.053,24.4118,3.195066622,
247,0,0.093,0.093,21.4179,3.064227021,,0.048,0.048,22.1088,3.095975719,,0.051,0.051,11.7453,2.463453161,,0.11,0.11,25.333,3.232107894,,0.053,0.053,24.4118,3.195066622,
248,0,0.093,0.093,21.4179,3.064227021,,0.048,0.048,22.1088,3.095975719,,0.051,0.051,11.7453,2.463453161,,0.109,0.109,25.1027,3.22297541,,0.052,0.052,23.9512,3.176018427,
249,0,0.092,0.092,21.1876,3.053416105,,0.047,0.047,21.6482,3.07492231,,0.051,0.051,11.7453,2.463453161,,0.109,0.109,25.1027,3.22297541,,0.052,0.052,23.9512,3.176018427,
250,0,0.091,0.091,20.9573,3.042487034,,0.047,0.047,21.6482,3.07492231,,0.05,0.05,11.515,2.443650533,,0.108,0.108,24.8724,3.213758755,,0.052,0.052,23.9512,3.176018427,
251,0,0.091,0.091,20.9573,3.042487034,,0.047,0.047,21.6482,3.07492231,,0.05,0.05,11.515,2.443650533,,0.108,0.108,24.8724,3.213758755,,0.052,0.052,23.9512,3.176018427,
252,0,0.09,0.09,20.727,3.031437198,,0.047,0.047,21.6482,3.07492231,,0.05,0.05,11.515,2.443650533,,0.108,0.108,24.8724,3.213758755,,0.051,0.051,23.4906,3.156600341,
253,0,0.09,0.09,20.727,3.031437198,,0.046,0.046,21.1876,3.053416105,,0.049,0.049,11.2847,2.423447826,,0.107,0.107,24.6421,3.204456362,,0.051,0.051,23.4906,3.156600341,
254,0,0.089,0.089,20.4967,3.020263898,,0.046,0.046,21.1876,3.053416105,,0.049,0.049,11.2847,2.423447826,,0.107,0.107,24.6421,3.204456362,,0.051,0.051,23.4906,3.156600341,
