,Blank,F11Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
549,-0.001,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.034,0.035,8.0605,2.086975589,,0.016,0.017,7.8302,2.057988052,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,
550,-0.001,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.034,0.035,8.0605,2.086975589,,0.016,0.017,7.8302,2.057988052,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,
551,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
552,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
553,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
554,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.034,0.034,7.8302,2.057988052,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
555,-0.001,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.034,0.035,8.0605,2.086975589,,0.015,0.016,7.3696,1.997363431,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,
556,-0.001,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,7.3696,1.997363431,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,
557,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.034,0.034,7.8302,2.057988052,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
558,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
559,-0.001,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,7.3696,1.997363431,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,
560,-0.001,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,7.3696,1.997363431,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,
561,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
562,-0.001,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,7.3696,1.997363431,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,
563,-0.001,0.019,0.02,4.606,1.527359801,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,7.3696,1.997363431,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,
564,0,0.019,0.019,4.3757,1.476066507,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
565,-0.001,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.033,0.034,7.8302,2.057988052,,0.015,0.016,7.3696,1.997363431,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,
566,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
567,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
568,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
569,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
570,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,
571,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
572,-0.001,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.001,0.002,0.4606,-0.775225292,,-0.001,0,0,#NUM!,,0.032,0.033,7.5999,2.028135089,,0.015,0.016,7.3696,1.997363431,,0.001,0.002,0.4606,-0.775225292,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.005,0.006,1.3818,0.323386997,,0.003,0.004,1.8424,0.61106907,
573,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
574,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
575,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
576,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
577,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
578,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
579,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
580,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
581,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.032,0.032,7.3696,1.997363431,,0.015,0.015,6.909,1.93282491,,0.001,0.001,0.2303,-1.468372472,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
582,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
583,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
584,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
585,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
586,-0.001,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0,0.001,0.2303,-1.468372472,,-0.001,0,0,#NUM!,,0.031,0.032,7.3696,1.997363431,,0.014,0.015,6.909,1.93282491,,0.001,0.002,0.4606,-0.775225292,,0.004,0.005,1.1515,0.14106544,,0.003,0.004,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.002,0.003,1.3818,0.323386997,,0.005,0.006,1.3818,0.323386997,,0.002,0.003,1.3818,0.323386997,
587,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
588,0,0.018,0.018,4.1454,1.421999286,,0.007,0.007,3.2242,1.170684857,,0.001,0.001,0.2303,-1.468372472,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
589,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
590,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
591,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
592,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
593,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
594,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
595,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
596,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
597,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
598,0,0.017,0.017,3.9151,1.364840872,,0.007,0.007,3.2242,1.170684857,,0,0,0,#NUM!,,-0.001,-0.001,-0.4606,#NUM!,,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.001,0.001,0.2303,-1.468372472,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
