,Blank,F11Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
212,-0.009,0.133,0.142,32.7026,3.487454585,,0.066,0.075,34.545,3.542262822,,0.164,0.173,39.8419,3.684919122,,0.036,0.045,20.727,3.031437198,,0.227,0.236,54.3508,3.995459333,,0.101,0.11,50.666,3.925255074,,0.041,0.05,11.515,2.443650533,,0.131,0.14,32.242,3.47326995,,0.066,0.075,34.545,3.542262822,,0.133,0.142,32.7026,3.487454585,,0.066,0.075,34.545,3.542262822,,0.138,0.147,33.8541,3.522060115,,0.066,0.075,34.545,3.542262822,
213,-0.009,0.132,0.141,32.4723,3.480387418,,0.065,0.074,34.0844,3.528839802,,0.158,0.167,38.4601,3.64962134,,0.034,0.043,19.8058,2.985974824,,0.225,0.234,53.8902,3.986948643,,0.101,0.11,50.666,3.925255074,,0.04,0.049,11.2847,2.423447826,,0.128,0.137,31.5511,3.451608454,,0.064,0.073,33.6238,3.51523415,,0.13,0.139,32.0117,3.466101461,,0.064,0.073,33.6238,3.51523415,,0.134,0.143,32.9329,3.494472158,,0.064,0.073,33.6238,3.51523415,
214,-0.009,0.131,0.14,32.242,3.47326995,,0.065,0.074,34.0844,3.528839802,,0.154,0.163,37.5389,3.625377729,,0.033,0.042,19.3452,2.962444327,,0.223,0.232,53.4296,3.9783649,,0.1,0.109,50.2054,3.916122591,,0.039,0.048,11.0544,2.402828539,,0.124,0.133,30.6299,3.421976656,,0.062,0.071,32.7026,3.487454585,,0.126,0.135,31.0905,3.436902306,,0.062,0.071,32.7026,3.487454585,,0.13,0.139,32.0117,3.466101461,,0.062,0.071,32.7026,3.487454585,
215,-0.009,0.13,0.139,32.0117,3.466101461,,0.064,0.073,33.6238,3.51523415,,0.149,0.158,36.3874,3.594222561,,0.032,0.041,18.8846,2.938346775,,0.221,0.23,52.969,3.969706837,,0.099,0.108,49.7448,3.906905936,,0.038,0.047,10.8241,2.38177513,,0.121,0.13,29.939,3.399161978,,0.061,0.07,32.242,3.47326995,,0.124,0.133,30.6299,3.421976656,,0.06,0.069,31.7814,3.458881213,,0.127,0.136,31.3208,3.444282414,,0.061,0.07,32.242,3.47326995,
216,-0.009,0.129,0.138,31.7814,3.458881213,,0.063,0.072,33.1632,3.501440827,,0.145,0.154,35.4662,3.56858013,,0.031,0.04,18.424,2.913654163,,0.219,0.228,52.5084,3.960973157,,0.098,0.107,49.2842,3.897603543,,0.037,0.046,10.5938,2.360268924,,0.119,0.128,29.4784,3.383657792,,0.059,0.068,31.3208,3.444282414,,0.121,0.13,29.939,3.399161978,,0.059,0.068,31.3208,3.444282414,,0.124,0.133,30.6299,3.421976656,,0.059,0.068,31.3208,3.444282414,
217,-0.009,0.128,0.137,31.5511,3.451608454,,0.063,0.072,33.1632,3.501440827,,0.141,0.15,34.545,3.542262822,,0.03,0.039,17.9634,2.888336355,,0.217,0.226,52.0478,3.952162527,,0.097,0.106,48.8236,3.888213803,,0.036,0.045,10.3635,2.338290018,,0.116,0.125,28.7875,3.359941265,,0.058,0.067,30.8602,3.429467328,,0.118,0.127,29.2481,3.375814614,,0.057,0.066,30.3996,3.41442945,,0.121,0.13,29.939,3.399161978,,0.058,0.067,30.8602,3.429467328,
218,-0.008,0.128,0.136,31.3208,3.444282414,,0.063,0.071,32.7026,3.487454585,,0.138,0.146,33.6238,3.51523415,,0.029,0.037,17.0422,2.835692621,,0.216,0.224,51.5872,3.94327358,,0.096,0.104,47.9024,3.869165608,,0.035,0.043,9.9029,2.292827644,,0.113,0.121,27.8663,3.327418073,,0.057,0.065,29.939,3.399161978,,0.116,0.124,28.5572,3.351909093,,0.056,0.064,29.4784,3.383657792,,0.119,0.127,29.2481,3.375814614,,0.057,0.065,29.939,3.399161978,
219,-0.008,0.127,0.135,31.0905,3.436902306,,0.062,0.07,32.242,3.47326995,,0.135,0.143,32.9329,3.494472158,,0.028,0.036,16.5816,2.808293647,,0.214,0.222,51.1266,3.93430491,,0.095,0.103,47.4418,3.859503697,,0.035,0.043,9.9029,2.292827644,,0.111,0.119,27.4057,3.310751021,,0.056,0.064,29.4784,3.383657792,,0.113,0.121,27.8663,3.327418073,,0.055,0.063,29.0178,3.367909435,,0.117,0.125,28.7875,3.359941265,,0.056,0.064,29.4784,3.383657792,
220,-0.008,0.126,0.134,30.8602,3.429467328,,0.061,0.069,31.7814,3.458881213,,0.132,0.14,32.242,3.47326995,,0.027,0.035,16.121,2.78012277,,0.213,0.221,50.8963,3.929790229,,0.095,0.103,47.4418,3.859503697,,0.034,0.042,9.6726,2.269297146,,0.109,0.117,26.9451,3.293801463,,0.055,0.063,29.0178,3.367909435,,0.111,0.119,27.4057,3.310751021,,0.054,0.062,28.5572,3.351909093,,0.114,0.122,28.0966,3.335648573,,0.055,0.063,29.0178,3.367909435,
221,-0.008,0.125,0.133,30.6299,3.421976656,,0.061,0.069,31.7814,3.458881213,,0.13,0.138,31.7814,3.458881213,,0.027,0.035,16.121,2.78012277,,0.211,0.219,50.4357,3.920699258,,0.094,0.102,46.9812,3.849747522,,0.033,0.041,9.4423,2.245199595,,0.107,0.115,26.4845,3.276559656,,0.054,0.062,28.5572,3.351909093,,0.109,0.117,26.9451,3.293801463,,0.053,0.061,28.0966,3.335648573,,0.112,0.12,27.636,3.319119271,,0.054,0.062,28.5572,3.351909093,
