,MilliQ,F16Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
513,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,
514,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,
515,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,
516,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,
517,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,
518,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,
519,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,
520,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
521,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
522,0,0.01,0.01,2.303,0.834212621,,0.012,0.012,2.7636,1.016534178,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
523,0,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
524,0,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
525,0,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
526,0,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.011,0.011,2.5333,0.929522801,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
527,0,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
528,0,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
529,0,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
530,0,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
531,0,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
532,0,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
533,0,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
534,0,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
535,0,0.01,0.01,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
536,0.001,0.01,0.009,2.0727,0.728852105,,0.011,0.01,2.303,0.834212621,,0.011,0.01,2.303,0.834212621,,0.009,0.008,1.8424,0.61106907,,0.01,0.009,2.0727,0.728852105,,0.01,0.009,2.0727,0.728852105,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,1.1515,0.14106544,,0.009,0.008,1.8424,0.61106907,,0.01,0.009,2.0727,0.728852105,,0.011,0.01,2.303,0.834212621,,0.007,0.006,1.3818,0.323386997,,0.009,0.008,1.8424,0.61106907,
537,0,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
538,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,
539,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,
540,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,
541,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.01,0.01,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,
542,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,
543,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,
544,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,
545,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
546,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
547,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
548,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
549,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
550,0,0.009,0.009,2.0727,0.728852105,,0.01,0.01,2.303,0.834212621,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
551,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
552,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
553,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
554,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
555,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
556,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
557,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
558,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
559,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
560,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
561,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
562,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
563,0,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.008,0.008,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.005,0.005,1.1515,0.14106544,,0.008,0.008,1.8424,0.61106907,,0.008,0.008,1.8424,0.61106907,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,
