,MilliQ,F16Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
210,0.007,0.16,0.153,35.2359,3.562065449,,0.186,0.179,41.2237,3.719013334,,0.086,0.079,18.1937,2.90107538,,0.119,0.112,25.7936,3.250126399,,0.146,0.139,32.0117,3.466101461,,0.161,0.154,35.4662,3.56858013,,0.142,0.135,31.0905,3.436902306,,0.095,0.088,20.2664,3.008964342,,0.145,0.138,31.7814,3.458881213,,0.154,0.147,33.8541,3.522060115,,0.154,0.147,33.8541,3.522060115,,0.142,0.135,31.0905,3.436902306,,0.1,0.093,21.4179,3.064227021,
211,0.006,0.156,0.15,34.545,3.542262822,,0.18,0.174,40.0722,3.690682827,,0.084,0.078,17.9634,2.888336355,,0.116,0.11,25.333,3.232107894,,0.143,0.137,31.5511,3.451608454,,0.156,0.15,34.545,3.542262822,,0.139,0.133,30.6299,3.421976656,,0.093,0.087,20.0361,2.997535646,,0.141,0.135,31.0905,3.436902306,,0.15,0.144,33.1632,3.501440827,,0.15,0.144,33.1632,3.501440827,,0.138,0.132,30.3996,3.41442945,,0.097,0.091,20.9573,3.042487034,
212,0.006,0.152,0.146,33.6238,3.51523415,,0.175,0.169,38.9207,3.661526243,,0.081,0.075,17.2725,2.849115641,,0.113,0.107,24.6421,3.204456362,,0.139,0.133,30.6299,3.421976656,,0.152,0.146,33.6238,3.51523415,,0.135,0.129,29.7087,3.391439932,,0.091,0.085,19.5755,2.974278784,,0.137,0.131,30.1693,3.406824851,,0.146,0.14,32.242,3.47326995,,0.146,0.14,32.242,3.47326995,,0.134,0.128,29.4784,3.383657792,,0.095,0.089,20.4967,3.020263898,
213,0.006,0.148,0.142,32.7026,3.487454585,,0.171,0.165,37.9995,3.637573002,,0.079,0.073,16.8119,2.822086969,,0.11,0.104,23.9512,3.176018427,,0.136,0.13,29.939,3.399161978,,0.147,0.141,32.4723,3.480387418,,0.132,0.126,29.0178,3.367909435,,0.089,0.083,19.1149,2.950468136,,0.133,0.127,29.2481,3.375814614,,0.143,0.137,31.5511,3.451608454,,0.142,0.136,31.3208,3.444282414,,0.13,0.124,28.5572,3.351909093,,0.093,0.087,20.0361,2.997535646,
214,0.006,0.144,0.138,31.7814,3.458881213,,0.167,0.161,37.0783,3.613031893,,0.078,0.072,16.5816,2.808293647,,0.108,0.102,23.4906,3.156600341,,0.132,0.126,29.0178,3.367909435,,0.143,0.137,31.5511,3.451608454,,0.129,0.123,28.3269,3.343811883,,0.088,0.082,18.8846,2.938346775,,0.129,0.123,28.3269,3.343811883,,0.139,0.133,30.6299,3.421976656,,0.139,0.133,30.6299,3.421976656,,0.127,0.121,27.8663,3.327418073,,0.091,0.085,19.5755,2.974278784,
215,0.006,0.141,0.135,31.0905,3.436902306,,0.163,0.157,36.1571,3.587873333,,0.076,0.07,16.121,2.78012277,,0.105,0.099,22.7997,3.126747378,,0.13,0.124,28.5572,3.351909093,,0.139,0.133,30.6299,3.421976656,,0.127,0.121,27.8663,3.327418073,,0.086,0.08,18.424,2.913654163,,0.126,0.12,27.636,3.319119271,,0.136,0.13,29.939,3.399161978,,0.136,0.13,29.939,3.399161978,,0.124,0.118,27.1754,3.302312152,,0.089,0.083,19.1149,2.950468136,
216,0.006,0.138,0.132,30.3996,3.41442945,,0.159,0.153,35.2359,3.562065449,,0.074,0.068,15.6604,2.751135233,,0.103,0.097,22.3391,3.106338506,,0.127,0.121,27.8663,3.327418073,,0.136,0.13,29.939,3.399161978,,0.124,0.118,27.1754,3.302312152,,0.084,0.078,17.9634,2.888336355,,0.123,0.117,26.9451,3.293801463,,0.133,0.127,29.2481,3.375814614,,0.133,0.127,29.2481,3.375814614,,0.121,0.115,26.4845,3.276559656,,0.087,0.081,18.6543,2.926076683,
217,0.006,0.135,0.129,29.7087,3.391439932,,0.155,0.149,34.3147,3.535573834,,0.073,0.067,15.4301,2.736320147,,0.101,0.095,21.8785,3.085504419,,0.124,0.118,27.1754,3.302312152,,0.133,0.127,29.2481,3.375814614,,0.122,0.116,26.7148,3.285217719,,0.083,0.077,17.7331,2.87543295,,0.12,0.114,26.2542,3.267825976,,0.13,0.124,28.5572,3.351909093,,0.13,0.124,28.5572,3.351909093,,0.118,0.112,25.7936,3.250126399,,0.085,0.079,18.1937,2.90107538,
218,0.006,0.133,0.127,29.2481,3.375814614,,0.153,0.147,33.8541,3.522060115,,0.071,0.065,14.9695,2.706014798,,0.099,0.093,21.4179,3.064227021,,0.122,0.116,26.7148,3.285217719,,0.13,0.124,28.5572,3.351909093,,0.12,0.114,26.2542,3.267825976,,0.082,0.076,17.5028,2.862360868,,0.118,0.112,25.7936,3.250126399,,0.128,0.122,28.0966,3.335648573,,0.127,0.121,27.8663,3.327418073,,0.116,0.11,25.333,3.232107894,,0.084,0.078,17.9634,2.888336355,
219,0.005,0.13,0.125,28.7875,3.359941265,,0.15,0.145,33.3935,3.50836127,,0.07,0.065,14.9695,2.706014798,,0.097,0.092,21.1876,3.053416105,,0.12,0.115,26.4845,3.276559656,,0.127,0.122,28.0966,3.335648573,,0.118,0.113,26.0239,3.259015347,,0.081,0.076,17.5028,2.862360868,,0.115,0.11,25.333,3.232107894,,0.125,0.12,27.636,3.319119271,,0.125,0.12,27.636,3.319119271,,0.113,0.108,24.8724,3.213758755,,0.082,0.077,17.7331,2.87543295,
220,0.005,0.128,0.123,28.3269,3.343811883,,0.147,0.142,32.7026,3.487454585,,0.068,0.063,14.5089,2.674762254,,0.096,0.091,20.9573,3.042487034,,0.118,0.113,26.0239,3.259015347,,0.124,0.119,27.4057,3.310751021,,0.116,0.111,25.5633,3.241157729,,0.079,0.074,17.0422,2.835692621,,0.113,0.108,24.8724,3.213758755,,0.123,0.118,27.1754,3.302312152,,0.123,0.118,27.1754,3.302312152,,0.111,0.106,24.4118,3.195066622,,0.081,0.076,17.5028,2.862360868,
221,0.005,0.126,0.121,27.8663,3.327418073,,0.145,0.14,32.242,3.47326995,,0.067,0.062,14.2786,2.658761913,,0.094,0.089,20.4967,3.020263898,,0.116,0.111,25.5633,3.241157729,,0.121,0.116,26.7148,3.285217719,,0.114,0.109,25.1027,3.22297541,,0.078,0.073,16.8119,2.822086969,,0.111,0.106,24.4118,3.195066622,,0.12,0.115,26.4845,3.276559656,,0.121,0.116,26.7148,3.285217719,,0.109,0.104,23.9512,3.176018427,,0.079,0.074,17.0422,2.835692621,
222,0.005,0.123,0.118,27.1754,3.302312152,,0.142,0.137,31.5511,3.451608454,,0.066,0.061,14.0483,2.642501392,,0.092,0.087,20.0361,2.997535646,,0.114,0.109,25.1027,3.22297541,,0.119,0.114,26.2542,3.267825976,,0.112,0.107,24.6421,3.204456362,,0.077,0.072,16.5816,2.808293647,,0.109,0.104,23.9512,3.176018427,,0.118,0.113,26.0239,3.259015347,,0.118,0.113,26.0239,3.259015347,,0.107,0.102,23.4906,3.156600341,,0.078,0.073,16.8119,2.822086969,
223,0.005,0.121,0.116,26.7148,3.285217719,,0.14,0.135,31.0905,3.436902306,,0.065,0.06,13.818,2.62597209,,0.09,0.085,19.5755,2.974278784,,0.111,0.106,24.4118,3.195066622,,0.116,0.111,25.5633,3.241157729,,0.11,0.105,24.1815,3.185587878,,0.076,0.071,16.3513,2.794307405,,0.107,0.102,23.4906,3.156600341,,0.116,0.111,25.5633,3.241157729,,0.116,0.111,25.5633,3.241157729,,0.104,0.099,22.7997,3.126747378,,0.076,0.071,16.3513,2.794307405,
