,MilliQ,F5Aug19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_Inf_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_Wet_R1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_101_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_30_R1,A(CDOM),a(CDOM),ln(a),Sr
210,-0.006,0.153,0.159,36.6177,3.60053173,,0.175,0.181,41.6843,3.730124559,,0.16,0.166,38.2298,3.643615316,,0.159,0.165,37.9995,3.637573002,,0.096,0.102,23.4906,3.156600341,,0.072,0.078,17.9634,2.888336355,,0.073,0.079,18.1937,2.90107538,,0.076,0.082,18.8846,2.938346775,
211,-0.006,0.15,0.156,35.9268,3.581483535,,0.169,0.175,40.3025,3.696413502,,0.157,0.163,37.5389,3.625377729,,0.154,0.16,36.848,3.606801343,,0.092,0.098,22.5694,3.116595007,,0.07,0.076,17.5028,2.862360868,,0.071,0.077,17.7331,2.87543295,,0.074,0.08,18.424,2.913654163,
212,-0.006,0.148,0.154,35.4662,3.56858013,,0.163,0.169,38.9207,3.661526243,,0.154,0.16,36.848,3.606801343,,0.149,0.155,35.6965,3.575052645,,0.089,0.095,21.8785,3.085504419,,0.069,0.075,17.2725,2.849115641,,0.069,0.075,17.2725,2.849115641,,0.072,0.078,17.9634,2.888336355,
213,-0.005,0.145,0.15,34.545,3.542262822,,0.156,0.161,37.0783,3.613031893,,0.15,0.155,35.6965,3.575052645,,0.145,0.15,34.545,3.542262822,,0.086,0.091,20.9573,3.042487034,,0.067,0.072,16.5816,2.808293647,,0.067,0.072,16.5816,2.808293647,,0.071,0.076,17.5028,2.862360868,
214,-0.005,0.143,0.148,34.0844,3.528839802,,0.149,0.154,35.4662,3.56858013,,0.147,0.152,35.0056,3.555508049,,0.14,0.145,33.3935,3.50836127,,0.083,0.088,20.2664,3.008964342,,0.066,0.071,16.3513,2.794307405,,0.065,0.07,16.121,2.78012277,,0.069,0.074,17.0422,2.835692621,
215,-0.005,0.14,0.145,33.3935,3.50836127,,0.142,0.147,33.8541,3.522060115,,0.143,0.148,34.0844,3.528839802,,0.136,0.141,32.4723,3.480387418,,0.08,0.085,19.5755,2.974278784,,0.065,0.07,16.121,2.78012277,,0.063,0.068,15.6604,2.751135233,,0.068,0.073,16.8119,2.822086969,
216,-0.005,0.138,0.143,32.9329,3.494472158,,0.135,0.14,32.242,3.47326995,,0.14,0.145,33.3935,3.50836127,,0.132,0.137,31.5511,3.451608454,,0.077,0.082,18.8846,2.938346775,,0.064,0.069,15.8907,2.765734032,,0.061,0.066,15.1998,2.72128227,,0.067,0.072,16.5816,2.808293647,
217,-0.005,0.135,0.14,32.242,3.47326995,,0.128,0.133,30.6299,3.421976656,,0.137,0.142,32.7026,3.487454585,,0.127,0.132,30.3996,3.41442945,,0.074,0.079,18.1937,2.90107538,,0.062,0.067,15.4301,2.736320147,,0.059,0.064,14.7392,2.690510611,,0.065,0.07,16.121,2.78012277,
218,-0.005,0.133,0.138,31.7814,3.458881213,,0.122,0.127,29.2481,3.375814614,,0.134,0.139,32.0117,3.466101461,,0.123,0.128,29.4784,3.383657792,,0.072,0.077,17.7331,2.87543295,,0.061,0.066,15.1998,2.72128227,,0.058,0.063,14.5089,2.674762254,,0.064,0.069,15.8907,2.765734032,
219,-0.005,0.13,0.135,31.0905,3.436902306,,0.116,0.121,27.8663,3.327418073,,0.131,0.136,31.3208,3.444282414,,0.119,0.124,28.5572,3.351909093,,0.069,0.074,17.0422,2.835692621,,0.06,0.065,14.9695,2.706014798,,0.056,0.061,14.0483,2.642501392,,0.063,0.068,15.6604,2.751135233,
220,-0.005,0.128,0.133,30.6299,3.421976656,,0.109,0.114,26.2542,3.267825976,,0.128,0.133,30.6299,3.421976656,,0.115,0.12,27.636,3.319119271,,0.067,0.072,16.5816,2.808293647,,0.059,0.064,14.7392,2.690510611,,0.054,0.059,13.5877,2.609164972,,0.062,0.067,15.4301,2.736320147,
221,-0.005,0.126,0.131,30.1693,3.406824851,,0.104,0.109,25.1027,3.22297541,,0.125,0.13,29.939,3.399161978,,0.112,0.117,26.9451,3.293801463,,0.064,0.069,15.8907,2.765734032,,0.058,0.063,14.5089,2.674762254,,0.053,0.058,13.3574,2.592070538,,0.061,0.066,15.1998,2.72128227,
222,-0.005,0.124,0.129,29.7087,3.391439932,,0.099,0.104,23.9512,3.176018427,,0.122,0.127,29.2481,3.375814614,,0.109,0.114,26.2542,3.267825976,,0.062,0.067,15.4301,2.736320147,,0.057,0.062,14.2786,2.658761913,,0.052,0.057,13.1271,2.574678796,,0.06,0.065,14.9695,2.706014798,
223,-0.005,0.122,0.127,29.2481,3.375814614,,0.094,0.099,22.7997,3.126747378,,0.12,0.125,28.7875,3.359941265,,0.106,0.111,25.5633,3.241157729,,0.061,0.066,15.1998,2.72128227,,0.056,0.061,14.0483,2.642501392,,0.05,0.055,12.6665,2.538960713,,0.059,0.064,14.7392,2.690510611,
224,-0.005,0.12,0.125,28.7875,3.359941265,,0.089,0.094,21.6482,3.07492231,,0.118,0.123,28.3269,3.343811883,,0.103,0.108,24.8724,3.213758755,,0.059,0.064,14.7392,2.690510611,,0.055,0.06,13.818,2.62597209,,0.049,0.054,12.4362,2.520611574,,0.058,0.063,14.5089,2.674762254,
225,-0.005,0.119,0.124,28.5572,3.351909093,,0.085,0.09,20.727,3.031437198,,0.115,0.12,27.636,3.319119271,,0.1,0.105,24.1815,3.185587878,,0.057,0.062,14.2786,2.658761913,,0.055,0.06,13.818,2.62597209,,0.048,0.053,12.2059,2.501919441,,0.057,0.062,14.2786,2.658761913,
226,-0.004,0.117,0.121,27.8663,3.327418073,,0.08,0.084,19.3452,2.962444327,,0.113,0.117,26.9451,3.293801463,,0.097,0.101,23.2603,3.146748045,,0.056,0.06,13.818,2.62597209,,0.054,0.058,13.3574,2.592070538,,0.046,0.05,11.515,2.443650533,,0.056,0.06,13.818,2.62597209,
227,-0.005,0.115,0.12,27.636,3.319119271,,0.077,0.082,18.8846,2.938346775,,0.111,0.116,26.7148,3.285217719,,0.095,0.1,23.03,3.136797714,,0.054,0.059,13.5877,2.609164972,,0.053,0.058,13.3574,2.592070538,,0.045,0.05,11.515,2.443650533,,0.055,0.06,13.818,2.62597209,
228,-0.004,0.114,0.118,27.1754,3.302312152,,0.074,0.078,17.9634,2.888336355,,0.109,0.113,26.0239,3.259015347,,0.092,0.096,22.1088,3.095975719,,0.053,0.057,13.1271,2.574678796,,0.052,0.056,12.8968,2.556979219,,0.044,0.048,11.0544,2.402828539,,0.055,0.059,13.5877,2.609164972,
229,-0.004,0.112,0.116,26.7148,3.285217719,,0.071,0.075,17.2725,2.849115641,,0.107,0.111,25.5633,3.241157729,,0.09,0.094,21.6482,3.07492231,,0.051,0.055,12.6665,2.538960713,,0.051,0.055,12.6665,2.538960713,,0.043,0.047,10.8241,2.38177513,,0.054,0.058,13.3574,2.592070538,
230,-0.004,0.111,0.115,26.4845,3.276559656,,0.068,0.072,16.5816,2.808293647,,0.106,0.11,25.333,3.232107894,,0.088,0.092,21.1876,3.053416105,,0.05,0.054,12.4362,2.520611574,,0.051,0.055,12.6665,2.538960713,,0.043,0.047,10.8241,2.38177513,,0.053,0.057,13.1271,2.574678796,
231,-0.004,0.109,0.113,26.0239,3.259015347,,0.066,0.07,16.121,2.78012277,,0.104,0.108,24.8724,3.213758755,,0.086,0.09,20.727,3.031437198,,0.049,0.053,12.2059,2.501919441,,0.05,0.054,12.4362,2.520611574,,0.041,0.045,10.3635,2.338290018,,0.052,0.056,12.8968,2.556979219,
232,-0.004,0.108,0.112,25.7936,3.250126399,,0.063,0.067,15.4301,2.736320147,,0.102,0.106,24.4118,3.195066622,,0.084,0.088,20.2664,3.008964342,,0.048,0.052,11.9756,2.482871246,,0.049,0.053,12.2059,2.501919441,,0.041,0.045,10.3635,2.338290018,,0.051,0.055,12.6665,2.538960713,
233,-0.004,0.106,0.11,25.333,3.232107894,,0.062,0.066,15.1998,2.72128227,,0.101,0.105,24.1815,3.185587878,,0.082,0.086,19.8058,2.985974824,,0.047,0.051,11.7453,2.463453161,,0.049,0.053,12.2059,2.501919441,,0.04,0.044,10.1332,2.315817162,,0.051,0.055,12.6665,2.538960713,
