,Blank,F8Jul19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F1Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr
226,0.001,0.075,0.074,17.0422,2.835692621,,0.078,0.077,17.7331,2.87543295,,0.07,0.069,15.8907,2.765734032,,0.137,0.136,31.3208,3.444282414,,0.035,0.034,15.6604,2.751135233,,0.086,0.085,19.5755,2.974278784,,0.041,0.04,18.424,2.913654163,,0.056,0.055,12.6665,2.538960713,
227,0.001,0.074,0.073,16.8119,2.822086969,,0.077,0.076,17.5028,2.862360868,,0.069,0.068,15.6604,2.751135233,,0.133,0.132,30.3996,3.41442945,,0.034,0.033,15.1998,2.72128227,,0.085,0.084,19.3452,2.962444327,,0.04,0.039,17.9634,2.888336355,,0.055,0.054,12.4362,2.520611574,
228,0.001,0.074,0.073,16.8119,2.822086969,,0.076,0.075,17.2725,2.849115641,,0.069,0.068,15.6604,2.751135233,,0.13,0.129,29.7087,3.391439932,,0.033,0.032,14.7392,2.690510611,,0.083,0.082,18.8846,2.938346775,,0.04,0.039,17.9634,2.888336355,,0.054,0.053,12.2059,2.501919441,
229,0.001,0.073,0.072,16.5816,2.808293647,,0.075,0.074,17.0422,2.835692621,,0.068,0.067,15.4301,2.736320147,,0.127,0.126,29.0178,3.367909435,,0.032,0.031,14.2786,2.658761913,,0.082,0.081,18.6543,2.926076683,,0.039,0.038,17.5028,2.862360868,,0.054,0.053,12.2059,2.501919441,
230,0.001,0.072,0.071,16.3513,2.794307405,,0.074,0.073,16.8119,2.822086969,,0.067,0.066,15.1998,2.72128227,,0.123,0.122,28.0966,3.335648573,,0.032,0.031,14.2786,2.658761913,,0.081,0.08,18.424,2.913654163,,0.038,0.037,17.0422,2.835692621,,0.053,0.052,11.9756,2.482871246,
231,0.001,0.071,0.07,16.121,2.78012277,,0.073,0.072,16.5816,2.808293647,,0.066,0.065,14.9695,2.706014798,,0.12,0.119,27.4057,3.310751021,,0.031,0.03,13.818,2.62597209,,0.079,0.078,17.9634,2.888336355,,0.038,0.037,17.0422,2.835692621,,0.052,0.051,11.7453,2.463453161,
232,0.001,0.071,0.07,16.121,2.78012277,,0.072,0.071,16.3513,2.794307405,,0.065,0.064,14.7392,2.690510611,,0.117,0.116,26.7148,3.285217719,,0.03,0.029,13.3574,2.592070538,,0.078,0.077,17.7331,2.87543295,,0.037,0.036,16.5816,2.808293647,,0.052,0.051,11.7453,2.463453161,
233,0.001,0.07,0.069,15.8907,2.765734032,,0.071,0.07,16.121,2.78012277,,0.064,0.063,14.5089,2.674762254,,0.114,0.113,26.0239,3.259015347,,0.029,0.028,12.8968,2.556979219,,0.076,0.075,17.2725,2.849115641,,0.036,0.035,16.121,2.78012277,,0.051,0.05,11.515,2.443650533,
234,0.001,0.069,0.068,15.6604,2.751135233,,0.07,0.069,15.8907,2.765734032,,0.064,0.063,14.5089,2.674762254,,0.111,0.11,25.333,3.232107894,,0.028,0.027,12.4362,2.520611574,,0.075,0.074,17.0422,2.835692621,,0.036,0.035,16.121,2.78012277,,0.05,0.049,11.2847,2.423447826,
235,0.001,0.069,0.068,15.6604,2.751135233,,0.07,0.069,15.8907,2.765734032,,0.063,0.062,14.2786,2.658761913,,0.109,0.108,24.8724,3.213758755,,0.027,0.026,11.9756,2.482871246,,0.074,0.073,16.8119,2.822086969,,0.035,0.034,15.6604,2.751135233,,0.05,0.049,11.2847,2.423447826,
236,0.001,0.068,0.067,15.4301,2.736320147,,0.069,0.068,15.6604,2.751135233,,0.062,0.061,14.0483,2.642501392,,0.106,0.105,24.1815,3.185587878,,0.027,0.026,11.9756,2.482871246,,0.073,0.072,16.5816,2.808293647,,0.035,0.034,15.6604,2.751135233,,0.049,0.048,11.0544,2.402828539,
237,0,0.067,0.067,15.4301,2.736320147,,0.068,0.068,15.6604,2.751135233,,0.062,0.062,14.2786,2.658761913,,0.104,0.104,23.9512,3.176018427,,0.026,0.026,11.9756,2.482871246,,0.072,0.072,16.5816,2.808293647,,0.034,0.034,15.6604,2.751135233,,0.049,0.049,11.2847,2.423447826,
238,0.001,0.067,0.066,15.1998,2.72128227,,0.067,0.066,15.1998,2.72128227,,0.061,0.06,13.818,2.62597209,,0.102,0.101,23.2603,3.146748045,,0.026,0.025,11.515,2.443650533,,0.071,0.07,16.121,2.78012277,,0.034,0.033,15.1998,2.72128227,,0.048,0.047,10.8241,2.38177513,
239,0,0.066,0.066,15.1998,2.72128227,,0.067,0.067,15.4301,2.736320147,,0.061,0.061,14.0483,2.642501392,,0.101,0.101,23.2603,3.146748045,,0.025,0.025,11.515,2.443650533,,0.07,0.07,16.121,2.78012277,,0.033,0.033,15.1998,2.72128227,,0.047,0.047,10.8241,2.38177513,
240,0.001,0.066,0.065,14.9695,2.706014798,,0.066,0.065,14.9695,2.706014798,,0.06,0.059,13.5877,2.609164972,,0.099,0.098,22.5694,3.116595007,,0.025,0.024,11.0544,2.402828539,,0.069,0.068,15.6604,2.751135233,,0.033,0.032,14.7392,2.690510611,,0.047,0.046,10.5938,2.360268924,
241,0,0.065,0.065,14.9695,2.706014798,,0.066,0.066,15.1998,2.72128227,,0.06,0.06,13.818,2.62597209,,0.098,0.098,22.5694,3.116595007,,0.025,0.025,11.515,2.443650533,,0.068,0.068,15.6604,2.751135233,,0.032,0.032,14.7392,2.690510611,,0.046,0.046,10.5938,2.360268924,
242,0,0.064,0.064,14.7392,2.690510611,,0.065,0.065,14.9695,2.706014798,,0.059,0.059,13.5877,2.609164972,,0.097,0.097,22.3391,3.106338506,,0.024,0.024,11.0544,2.402828539,,0.067,0.067,15.4301,2.736320147,,0.032,0.032,14.7392,2.690510611,,0.046,0.046,10.5938,2.360268924,
243,0.001,0.064,0.063,14.5089,2.674762254,,0.065,0.064,14.7392,2.690510611,,0.059,0.058,13.3574,2.592070538,,0.095,0.094,21.6482,3.07492231,,0.024,0.023,10.5938,2.360268924,,0.067,0.066,15.1998,2.72128227,,0.032,0.031,14.2786,2.658761913,,0.046,0.045,10.3635,2.338290018,
244,0.001,0.064,0.063,14.5089,2.674762254,,0.064,0.063,14.5089,2.674762254,,0.058,0.057,13.1271,2.574678796,,0.094,0.093,21.4179,3.064227021,,0.024,0.023,10.5938,2.360268924,,0.066,0.065,14.9695,2.706014798,,0.031,0.03,13.818,2.62597209,,0.045,0.044,10.1332,2.315817162,
245,0,0.063,0.063,14.5089,2.674762254,,0.064,0.064,14.7392,2.690510611,,0.058,0.058,13.3574,2.592070538,,0.093,0.093,21.4179,3.064227021,,0.023,0.023,10.5938,2.360268924,,0.065,0.065,14.9695,2.706014798,,0.031,0.031,14.2786,2.658761913,,0.045,0.045,10.3635,2.338290018,
246,0,0.063,0.063,14.5089,2.674762254,,0.063,0.063,14.5089,2.674762254,,0.057,0.057,13.1271,2.574678796,,0.092,0.092,21.1876,3.053416105,,0.023,0.023,10.5938,2.360268924,,0.064,0.064,14.7392,2.690510611,,0.031,0.031,14.2786,2.658761913,,0.044,0.044,10.1332,2.315817162,
