,MilliQ,PonyLake,A(CDOM),a(CDOM),ln(a),Sr,SuwanneeRiver,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr
255,0,0.153,0.153,35.2359,3.562065449,,0.201,0.201,46.2903,3.834932436,,0.068,0.068,15.6604,2.751135233,,0.038,0.038,8.7514,2.169213688,
256,0,0.152,0.152,35.0056,3.555508049,,0.2,0.2,46.06,3.829944894,,0.068,0.068,15.6604,2.751135233,,0.037,0.037,8.5211,2.14254544,
257,0,0.15,0.15,34.545,3.542262822,,0.198,0.198,45.5994,3.819894559,,0.067,0.067,15.4301,2.736320147,,0.037,0.037,8.5211,2.14254544,
258,0,0.148,0.148,34.0844,3.528839802,,0.196,0.196,45.1388,3.809742187,,0.066,0.066,15.1998,2.72128227,,0.037,0.037,8.5211,2.14254544,
259,0,0.146,0.146,33.6238,3.51523415,,0.194,0.194,44.6782,3.799485687,,0.066,0.066,15.1998,2.72128227,,0.036,0.036,8.2908,2.115146466,
260,0,0.145,0.145,33.3935,3.50836127,,0.193,0.193,44.4479,3.794317717,,0.066,0.066,15.1998,2.72128227,,0.036,0.036,8.2908,2.115146466,
261,0,0.143,0.143,32.9329,3.494472158,,0.191,0.191,43.9873,3.783900956,,0.065,0.065,14.9695,2.706014798,,0.036,0.036,8.2908,2.115146466,
262,0,0.142,0.142,32.7026,3.487454585,,0.189,0.189,43.5267,3.773374543,,0.065,0.065,14.9695,2.706014798,,0.036,0.036,8.2908,2.115146466,
263,0,0.14,0.14,32.242,3.47326995,,0.187,0.187,43.0661,3.762736145,,0.064,0.064,14.7392,2.690510611,,0.035,0.035,8.0605,2.086975589,
264,0,0.138,0.138,31.7814,3.458881213,,0.185,0.185,42.6055,3.751983353,,0.064,0.064,14.7392,2.690510611,,0.035,0.035,8.0605,2.086975589,
265,0,0.137,0.137,31.5511,3.451608454,,0.183,0.183,42.1449,3.741113681,,0.064,0.064,14.7392,2.690510611,,0.035,0.035,8.0605,2.086975589,
266,0,0.136,0.136,31.3208,3.444282414,,0.181,0.181,41.6843,3.730124559,,0.063,0.063,14.5089,2.674762254,,0.034,0.034,7.8302,2.057988052,
267,0,0.134,0.134,30.8602,3.429467328,,0.178,0.178,40.9934,3.713411078,,0.063,0.063,14.5089,2.674762254,,0.034,0.034,7.8302,2.057988052,
268,0,0.133,0.133,30.6299,3.421976656,,0.176,0.176,40.5328,3.702111523,,0.062,0.062,14.2786,2.658761913,,0.034,0.034,7.8302,2.057988052,
269,0,0.132,0.132,30.3996,3.41442945,,0.174,0.174,40.0722,3.690682827,,0.062,0.062,14.2786,2.658761913,,0.033,0.033,7.5999,2.028135089,
270,0,0.131,0.131,30.1693,3.406824851,,0.172,0.172,39.6116,3.679122005,,0.061,0.061,14.0483,2.642501392,,0.033,0.033,7.5999,2.028135089,
271,0,0.129,0.129,29.7087,3.391439932,,0.17,0.17,39.151,3.667425965,,0.061,0.061,14.0483,2.642501392,,0.033,0.033,7.5999,2.028135089,
272,0,0.128,0.128,29.4784,3.383657792,,0.168,0.168,38.6904,3.655591507,,0.06,0.06,13.818,2.62597209,,0.033,0.033,7.5999,2.028135089,
273,0,0.127,0.127,29.2481,3.375814614,,0.165,0.165,37.9995,3.637573002,,0.06,0.06,13.818,2.62597209,,0.032,0.032,7.3696,1.997363431,
274,0,0.126,0.126,29.0178,3.367909435,,0.163,0.163,37.5389,3.625377729,,0.059,0.059,13.5877,2.609164972,,0.032,0.032,7.3696,1.997363431,
275,0,0.124,0.124,28.5572,3.351909093,,0.161,0.161,37.0783,3.613031893,,0.059,0.059,13.5877,2.609164972,,0.032,0.032,7.3696,1.997363431,
276,0,0.123,0.123,28.3269,3.343811883,,0.159,0.159,36.6177,3.60053173,,0.058,0.058,13.3574,2.592070538,,0.031,0.031,7.1393,1.965614732,
277,0,0.122,0.122,28.0966,3.335648573,,0.157,0.157,36.1571,3.587873333,,0.058,0.058,13.3574,2.592070538,,0.031,0.031,7.1393,1.965614732,
278,0,0.121,0.121,27.8663,3.327418073,,0.155,0.155,35.6965,3.575052645,,0.057,0.057,13.1271,2.574678796,,0.031,0.031,7.1393,1.965614732,
279,0,0.12,0.12,27.636,3.319119271,,0.153,0.153,35.2359,3.562065449,,0.057,0.057,13.1271,2.574678796,,0.03,0.03,6.909,1.93282491,
280,0,0.119,0.119,27.4057,3.310751021,,0.151,0.151,34.7753,3.548907365,,0.056,0.056,12.8968,2.556979219,,0.03,0.03,6.909,1.93282491,
281,0,0.117,0.117,26.9451,3.293801463,,0.149,0.149,34.3147,3.535573834,,0.055,0.055,12.6665,2.538960713,,0.03,0.03,6.909,1.93282491,
282,0,0.116,0.116,26.7148,3.285217719,,0.147,0.147,33.8541,3.522060115,,0.055,0.055,12.6665,2.538960713,,0.03,0.03,6.909,1.93282491,
283,0,0.115,0.115,26.4845,3.276559656,,0.145,0.145,33.3935,3.50836127,,0.054,0.054,12.4362,2.520611574,,0.029,0.029,6.6787,1.898923358,
284,0,0.114,0.114,26.2542,3.267825976,,0.143,0.143,32.9329,3.494472158,,0.053,0.053,12.2059,2.501919441,,0.029,0.029,6.6787,1.898923358,
285,0,0.112,0.112,25.7936,3.250126399,,0.141,0.141,32.4723,3.480387418,,0.053,0.053,12.2059,2.501919441,,0.029,0.029,6.6787,1.898923358,
286,0,0.111,0.111,25.5633,3.241157729,,0.139,0.139,32.0117,3.466101461,,0.052,0.052,11.9756,2.482871246,,0.028,0.028,6.4484,1.863832038,
287,0,0.109,0.109,25.1027,3.22297541,,0.137,0.137,31.5511,3.451608454,,0.051,0.051,11.7453,2.463453161,,0.028,0.028,6.4484,1.863832038,
288,0,0.108,0.108,24.8724,3.213758755,,0.135,0.135,31.0905,3.436902306,,0.051,0.051,11.7453,2.463453161,,0.028,0.028,6.4484,1.863832038,
289,0,0.106,0.106,24.4118,3.195066622,,0.133,0.133,30.6299,3.421976656,,0.05,0.05,11.515,2.443650533,,0.027,0.027,6.2181,1.827464394,
290,0,0.105,0.105,24.1815,3.185587878,,0.131,0.131,30.1693,3.406824851,,0.049,0.049,11.2847,2.423447826,,0.027,0.027,6.2181,1.827464394,
291,0,0.103,0.103,23.7209,3.166356516,,0.129,0.129,29.7087,3.391439932,,0.048,0.048,11.0544,2.402828539,,0.026,0.026,5.9878,1.789724066,
292,0,0.102,0.102,23.4906,3.156600341,,0.128,0.128,29.4784,3.383657792,,0.048,0.048,11.0544,2.402828539,,0.026,0.026,5.9878,1.789724066,
293,0,0.101,0.101,23.2603,3.146748045,,0.126,0.126,29.0178,3.367909435,,0.047,0.047,10.8241,2.38177513,,0.026,0.026,5.9878,1.789724066,
294,0,0.099,0.099,22.7997,3.126747378,,0.124,0.124,28.5572,3.351909093,,0.046,0.046,10.5938,2.360268924,,0.025,0.025,5.7575,1.750503353,
295,0,0.097,0.097,22.3391,3.106338506,,0.123,0.123,28.3269,3.343811883,,0.045,0.045,10.3635,2.338290018,,0.025,0.025,5.7575,1.750503353,
296,0,0.096,0.096,22.1088,3.095975719,,0.121,0.121,27.8663,3.327418073,,0.045,0.045,10.3635,2.338290018,,0.025,0.025,5.7575,1.750503353,
297,0,0.095,0.095,21.8785,3.085504419,,0.12,0.12,27.636,3.319119271,,0.045,0.045,10.3635,2.338290018,,0.025,0.025,5.7575,1.750503353,
298,0,0.093,0.093,21.4179,3.064227021,,0.118,0.118,27.1754,3.302312152,,0.044,0.044,10.1332,2.315817162,,0.025,0.025,5.7575,1.750503353,
299,0,0.092,0.092,21.1876,3.053416105,,0.116,0.116,26.7148,3.285217719,,0.043,0.043,9.9029,2.292827644,,0.024,0.024,5.5272,1.709681358,
300,0,0.091,0.091,20.9573,3.042487034,,0.114,0.114,26.2542,3.267825976,,0.042,0.042,9.6726,2.269297146,,0.024,0.024,5.5272,1.709681358,
301,0,0.089,0.089,20.4967,3.020263898,,0.113,0.113,26.0239,3.259015347,,0.042,0.042,9.6726,2.269297146,,0.024,0.024,5.5272,1.709681358,
302,0,0.088,0.088,20.2664,3.008964342,,0.111,0.111,25.5633,3.241157729,,0.041,0.041,9.4423,2.245199595,,0.023,0.023,5.2969,1.667121744,
303,0,0.086,0.086,19.8058,2.985974824,,0.11,0.11,25.333,3.232107894,,0.04,0.04,9.212,2.220506982,,0.023,0.023,5.2969,1.667121744,
304,0,0.085,0.085,19.5755,2.974278784,,0.108,0.108,24.8724,3.213758755,,0.04,0.04,9.212,2.220506982,,0.023,0.023,5.2969,1.667121744,
305,0,0.084,0.084,19.3452,2.962444327,,0.107,0.107,24.6421,3.204456362,,0.039,0.039,8.9817,2.195189174,,0.023,0.023,5.2969,1.667121744,
306,0,0.082,0.082,18.8846,2.938346775,,0.105,0.105,24.1815,3.185587878,,0.038,0.038,8.7514,2.169213688,,0.023,0.023,5.2969,1.667121744,
307,0,0.081,0.081,18.6543,2.926076683,,0.103,0.103,23.7209,3.166356516,,0.038,0.038,8.7514,2.169213688,,0.022,0.022,5.0666,1.622669981,
308,0,0.08,0.08,18.424,2.913654163,,0.101,0.101,23.2603,3.146748045,,0.038,0.038,8.7514,2.169213688,,0.022,0.022,5.0666,1.622669981,
309,0,0.079,0.079,18.1937,2.90107538,,0.1,0.1,23.03,3.136797714,,0.037,0.037,8.5211,2.14254544,,0.022,0.022,5.0666,1.622669981,
310,0,0.078,0.078,17.9634,2.888336355,,0.098,0.098,22.5694,3.116595007,,0.036,0.036,8.2908,2.115146466,,0.022,0.022,5.0666,1.622669981,
311,0,0.076,0.076,17.5028,2.862360868,,0.097,0.097,22.3391,3.106338506,,0.036,0.036,8.2908,2.115146466,,0.022,0.022,5.0666,1.622669981,
312,0,0.075,0.075,17.2725,2.849115641,,0.096,0.096,22.1088,3.095975719,,0.036,0.036,8.2908,2.115146466,,0.022,0.022,5.0666,1.622669981,
313,0,0.074,0.074,17.0422,2.835692621,,0.094,0.094,21.6482,3.07492231,,0.035,0.035,8.0605,2.086975589,,0.021,0.021,4.8363,1.576149966,
314,0,0.073,0.073,16.8119,2.822086969,,0.093,0.093,21.4179,3.064227021,,0.035,0.035,8.0605,2.086975589,,0.021,0.021,4.8363,1.576149966,
315,0,0.072,0.072,16.5816,2.808293647,,0.091,0.091,20.9573,3.042487034,,0.034,0.034,7.8302,2.057988052,,0.021,0.021,4.8363,1.576149966,
316,0,0.071,0.071,16.3513,2.794307405,,0.09,0.09,20.727,3.031437198,,0.034,0.034,7.8302,2.057988052,,0.021,0.021,4.8363,1.576149966,
317,0,0.07,0.07,16.121,2.78012277,,0.088,0.088,20.2664,3.008964342,,0.034,0.034,7.8302,2.057988052,,0.021,0.021,4.8363,1.576149966,
318,0,0.068,0.068,15.6604,2.751135233,,0.087,0.087,20.0361,2.997535646,,0.033,0.033,7.5999,2.028135089,,0.02,0.02,4.606,1.527359801,
319,0,0.068,0.068,15.6604,2.751135233,,0.086,0.086,19.8058,2.985974824,,0.032,0.032,7.3696,1.997363431,,0.02,0.02,4.606,1.527359801,
320,0,0.067,0.067,15.4301,2.736320147,,0.085,0.085,19.5755,2.974278784,,0.032,0.032,7.3696,1.997363431,,0.02,0.02,4.606,1.527359801,
321,0,0.066,0.066,15.1998,2.72128227,,0.084,0.084,19.3452,2.962444327,,0.032,0.032,7.3696,1.997363431,,0.02,0.02,4.606,1.527359801,
322,0,0.065,0.065,14.9695,2.706014798,,0.083,0.083,19.1149,2.950468136,,0.031,0.031,7.1393,1.965614732,,0.02,0.02,4.606,1.527359801,
323,0,0.064,0.064,14.7392,2.690510611,,0.081,0.081,18.6543,2.926076683,,0.031,0.031,7.1393,1.965614732,,0.019,0.019,4.3757,1.476066507,
324,0,0.063,0.063,14.5089,2.674762254,,0.08,0.08,18.424,2.913654163,,0.031,0.031,7.1393,1.965614732,,0.019,0.019,4.3757,1.476066507,
325,0,0.062,0.062,14.2786,2.658761913,,0.079,0.079,18.1937,2.90107538,,0.031,0.031,7.1393,1.965614732,,0.019,0.019,4.3757,1.476066507,
326,0,0.061,0.061,14.0483,2.642501392,,0.078,0.078,17.9634,2.888336355,,0.03,0.03,6.909,1.93282491,,0.019,0.019,4.3757,1.476066507,
327,0,0.06,0.06,13.818,2.62597209,,0.077,0.077,17.7331,2.87543295,,0.03,0.03,6.909,1.93282491,,0.019,0.019,4.3757,1.476066507,
328,0,0.059,0.059,13.5877,2.609164972,,0.076,0.076,17.5028,2.862360868,,0.03,0.03,6.909,1.93282491,,0.019,0.019,4.3757,1.476066507,
329,0,0.059,0.059,13.5877,2.609164972,,0.075,0.075,17.2725,2.849115641,,0.029,0.029,6.6787,1.898923358,,0.019,0.019,4.3757,1.476066507,
330,0,0.057,0.057,13.1271,2.574678796,,0.074,0.074,17.0422,2.835692621,,0.029,0.029,6.6787,1.898923358,,0.019,0.019,4.3757,1.476066507,
331,0,0.057,0.057,13.1271,2.574678796,,0.073,0.073,16.8119,2.822086969,,0.029,0.029,6.6787,1.898923358,,0.018,0.018,4.1454,1.421999286,
332,0,0.056,0.056,12.8968,2.556979219,,0.072,0.072,16.5816,2.808293647,,0.028,0.028,6.4484,1.863832038,,0.018,0.018,4.1454,1.421999286,
333,0,0.055,0.055,12.6665,2.538960713,,0.071,0.071,16.3513,2.794307405,,0.028,0.028,6.4484,1.863832038,,0.018,0.018,4.1454,1.421999286,
334,0,0.054,0.054,12.4362,2.520611574,,0.07,0.07,16.121,2.78012277,,0.028,0.028,6.4484,1.863832038,,0.018,0.018,4.1454,1.421999286,
335,0,0.053,0.053,12.2059,2.501919441,,0.069,0.069,15.8907,2.765734032,,0.028,0.028,6.4484,1.863832038,,0.018,0.018,4.1454,1.421999286,
336,0,0.052,0.052,11.9756,2.482871246,,0.068,0.068,15.6604,2.751135233,,0.028,0.028,6.4484,1.863832038,,0.017,0.017,3.9151,1.364840872,
337,0,0.052,0.052,11.9756,2.482871246,,0.066,0.066,15.1998,2.72128227,,0.027,0.027,6.2181,1.827464394,,0.017,0.017,3.9151,1.364840872,
338,0,0.051,0.051,11.7453,2.463453161,,0.065,0.065,14.9695,2.706014798,,0.027,0.027,6.2181,1.827464394,,0.017,0.017,3.9151,1.364840872,
339,0,0.05,0.05,11.515,2.443650533,,0.065,0.065,14.9695,2.706014798,,0.027,0.027,6.2181,1.827464394,,0.017,0.017,3.9151,1.364840872,
340,0.002,0.051,0.049,11.2847,2.423447826,,0.065,0.063,14.5089,2.674762254,,0.028,0.026,5.9878,1.789724066,,0.018,0.016,3.6848,1.30421625,
341,0,0.049,0.049,11.2847,2.423447826,,0.063,0.063,14.5089,2.674762254,,0.027,0.027,6.2181,1.827464394,,0.017,0.017,3.9151,1.364840872,
342,0,0.048,0.048,11.0544,2.402828539,,0.061,0.061,14.0483,2.642501392,,0.026,0.026,5.9878,1.789724066,,0.016,0.016,3.6848,1.30421625,
343,0,0.047,0.047,10.8241,2.38177513,,0.06,0.06,13.818,2.62597209,,0.026,0.026,5.9878,1.789724066,,0.016,0.016,3.6848,1.30421625,
344,0,0.047,0.047,10.8241,2.38177513,,0.059,0.059,13.5877,2.609164972,,0.026,0.026,5.9878,1.789724066,,0.016,0.016,3.6848,1.30421625,
345,0,0.046,0.046,10.5938,2.360268924,,0.059,0.059,13.5877,2.609164972,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,
346,0,0.045,0.045,10.3635,2.338290018,,0.057,0.057,13.1271,2.574678796,,0.025,0.025,5.7575,1.750503353,,0.016,0.016,3.6848,1.30421625,
347,0,0.044,0.044,10.1332,2.315817162,,0.056,0.056,12.8968,2.556979219,,0.024,0.024,5.5272,1.709681358,,0.016,0.016,3.6848,1.30421625,
348,0,0.043,0.043,9.9029,2.292827644,,0.055,0.055,12.6665,2.538960713,,0.024,0.024,5.5272,1.709681358,,0.015,0.015,3.4545,1.239677729,
349,0,0.043,0.043,9.9029,2.292827644,,0.054,0.054,12.4362,2.520611574,,0.024,0.024,5.5272,1.709681358,,0.016,0.016,3.6848,1.30421625,
350,0,0.042,0.042,9.6726,2.269297146,,0.054,0.054,12.4362,2.520611574,,0.024,0.024,5.5272,1.709681358,,0.016,0.016,3.6848,1.30421625,
