,MilliQ,PonyLake,A(CDOM),a(CDOM),ln(a),Sr,PonyLake Dil 1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,PonyLake Dil 1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,SuwanneeRiver,A(CDOM),a(CDOM),ln(a),Sr,SuwanneeRiver Dil 1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,SuwanneeRiver Dil 1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F15Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F15Jul19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F3Jul19_5mR1_Flt,A(CDOM),a(CDOM),ln(a),Sr,F3Jul19_5mR1_FltDil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_5mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_0.1mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_9mR2_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F14Aug19_9mR2_Flt,A(CDOM),a(CDOM),ln(a),Sr,F14Aug19_9mR2_FltDil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_9mR2_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
521,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,3.2242,1.170684857,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.023,0.023,5.2969,1.667121744,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,
522,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.023,0.023,5.2969,1.667121744,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
523,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
524,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
525,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
526,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,3.2242,1.170684857,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
527,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
528,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
529,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
530,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
531,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
532,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,
533,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,
534,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,
535,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.022,0.022,5.0666,1.622669981,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.025,0.025,5.7575,1.750503353,,0.012,0.012,5.5272,1.709681358,
536,0.001,0.003,0.002,0.4606,-0.775225292,,0.002,0.001,0.4606,-0.775225292,,0.002,0.001,0.9212,-0.082078111,,0.003,0.002,0.4606,-0.775225292,,0.002,0.001,0.4606,-0.775225292,,0.002,0.001,0.9212,-0.082078111,,0.009,0.008,1.8424,0.61106907,,0.006,0.005,2.303,0.834212621,,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,,0.005,0.004,0.9212,-0.082078111,,0.003,0.002,0.9212,-0.082078111,,0.022,0.021,4.8363,1.576149966,,0.014,0.013,5.9878,1.789724066,,0.007,0.006,1.3818,0.323386997,,0.005,0.004,1.8424,0.61106907,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.025,0.024,5.5272,1.709681358,,0.013,0.012,5.5272,1.709681358,
537,0,0.003,0.003,0.6909,-0.369760183,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.013,0.013,5.9878,1.789724066,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.012,0.012,5.5272,1.709681358,
538,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.013,0.013,5.9878,1.789724066,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,
539,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.013,0.013,5.9878,1.789724066,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,
540,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.013,0.013,5.9878,1.789724066,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,
541,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.013,0.013,5.9878,1.789724066,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,
542,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,
543,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,
544,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,
545,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,
546,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,
547,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.01,0.01,2.303,0.834212621,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.008,0.008,3.6848,1.30421625,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,
548,0,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.001,0.001,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.021,0.021,4.8363,1.576149966,,0.012,0.012,5.5272,1.709681358,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.018,0.018,4.1454,1.421999286,,0.009,0.009,4.1454,1.421999286,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,
