,Blank,F10Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F10Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F10Jun19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
280,0,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.034,0.034,7.8302,2.057988052,,0.015,0.015,6.909,1.93282491,,0.044,0.044,10.1332,2.315817162,,0.018,0.018,8.2908,2.115146466,
281,0,0.034,0.034,7.8302,2.057988052,,0.015,0.015,6.909,1.93282491,,0.034,0.034,7.8302,2.057988052,,0.015,0.015,6.909,1.93282491,,0.043,0.043,9.9029,2.292827644,,0.018,0.018,8.2908,2.115146466,
282,0,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.033,0.033,7.5999,2.028135089,,0.015,0.015,6.909,1.93282491,,0.043,0.043,9.9029,2.292827644,,0.018,0.018,8.2908,2.115146466,
283,0.001,0.033,0.032,7.3696,1.997363431,,0.015,0.014,6.4484,1.863832038,,0.033,0.032,7.3696,1.997363431,,0.015,0.014,6.4484,1.863832038,,0.042,0.041,9.4423,2.245199595,,0.018,0.017,7.8302,2.057988052,
284,0.001,0.033,0.032,7.3696,1.997363431,,0.015,0.014,6.4484,1.863832038,,0.032,0.031,7.1393,1.965614732,,0.014,0.013,5.9878,1.789724066,,0.042,0.041,9.4423,2.245199595,,0.017,0.016,7.3696,1.997363431,
285,0,0.032,0.032,7.3696,1.997363431,,0.014,0.014,6.4484,1.863832038,,0.032,0.032,7.3696,1.997363431,,0.014,0.014,6.4484,1.863832038,,0.041,0.041,9.4423,2.245199595,,0.017,0.017,7.8302,2.057988052,
286,0,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.04,0.04,9.212,2.220506982,,0.016,0.016,7.3696,1.997363431,
287,0,0.031,0.031,7.1393,1.965614732,,0.014,0.014,6.4484,1.863832038,,0.03,0.03,6.909,1.93282491,,0.013,0.013,5.9878,1.789724066,,0.04,0.04,9.212,2.220506982,,0.016,0.016,7.3696,1.997363431,
288,0,0.03,0.03,6.909,1.93282491,,0.014,0.014,6.4484,1.863832038,,0.03,0.03,6.909,1.93282491,,0.013,0.013,5.9878,1.789724066,,0.039,0.039,8.9817,2.195189174,,0.016,0.016,7.3696,1.997363431,
289,0,0.03,0.03,6.909,1.93282491,,0.013,0.013,5.9878,1.789724066,,0.029,0.029,6.6787,1.898923358,,0.013,0.013,5.9878,1.789724066,,0.038,0.038,8.7514,2.169213688,,0.015,0.015,6.909,1.93282491,
290,0,0.03,0.03,6.909,1.93282491,,0.013,0.013,5.9878,1.789724066,,0.029,0.029,6.6787,1.898923358,,0.012,0.012,5.5272,1.709681358,,0.038,0.038,8.7514,2.169213688,,0.015,0.015,6.909,1.93282491,
291,0,0.029,0.029,6.6787,1.898923358,,0.013,0.013,5.9878,1.789724066,,0.028,0.028,6.4484,1.863832038,,0.012,0.012,5.5272,1.709681358,,0.037,0.037,8.5211,2.14254544,,0.015,0.015,6.909,1.93282491,
292,0,0.029,0.029,6.6787,1.898923358,,0.012,0.012,5.5272,1.709681358,,0.028,0.028,6.4484,1.863832038,,0.012,0.012,5.5272,1.709681358,,0.037,0.037,8.5211,2.14254544,,0.014,0.014,6.4484,1.863832038,
293,0,0.028,0.028,6.4484,1.863832038,,0.012,0.012,5.5272,1.709681358,,0.027,0.027,6.2181,1.827464394,,0.012,0.012,5.5272,1.709681358,,0.036,0.036,8.2908,2.115146466,,0.014,0.014,6.4484,1.863832038,
