,Blank,F10Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F10Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F10Jun19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F10Jun19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
404,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
405,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
406,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
407,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
408,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
409,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0,0,0,#NUM!,
410,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,0,0,0,#NUM!,
411,0,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,0,0,0,#NUM!,
412,0,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,0,0,0,#NUM!,
413,0,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,0,0,0,#NUM!,
414,0,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,0,0,0,#NUM!,
415,0,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,0,0,0,#NUM!,
416,0,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,0,0,0,#NUM!,
417,0,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,-0.001,-0.001,-0.4606,#NUM!,
418,0,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,-0.001,-0.001,-0.4606,#NUM!,
419,0,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,-0.001,-0.001,-0.4606,#NUM!,
420,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,-0.001,-0.001,-0.4606,#NUM!,
421,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,-0.001,-0.001,-0.4606,#NUM!,
422,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
423,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
424,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
425,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
426,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
427,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
428,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
429,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
430,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
431,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
432,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
433,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
434,0,0.005,0.005,1.1515,0.14106544,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
435,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,-0.001,-0.001,-0.4606,#NUM!,
436,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
437,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
438,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
439,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
440,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
441,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
442,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
443,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
444,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,
445,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.002,-0.002,-0.9212,#NUM!,
446,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.002,-0.002,-0.9212,#NUM!,
447,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.002,-0.002,-0.9212,#NUM!,
448,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.002,-0.002,-0.9212,#NUM!,
449,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.002,-0.002,-0.9212,#NUM!,
450,0,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.004,0.004,0.9212,-0.082078111,,-0.002,-0.002,-0.9212,#NUM!,
451,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
452,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
453,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
454,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
455,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
456,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
457,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
458,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
459,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
460,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
461,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
462,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
463,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
464,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
465,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
466,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
467,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
468,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
469,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
470,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
471,0,0.004,0.004,0.9212,-0.082078111,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
472,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
473,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
474,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
475,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.002,-0.002,-0.9212,#NUM!,
476,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
477,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
478,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
479,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
480,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
481,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
482,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
483,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.004,0.004,0.9212,-0.082078111,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
484,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
485,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
486,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
487,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
488,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
489,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
490,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
491,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
492,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
493,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
494,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
495,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
496,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
497,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
498,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.002,-0.002,-0.9212,#NUM!,
499,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
500,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
501,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
502,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
503,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
504,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
505,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
506,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
507,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,-0.003,-0.003,-1.3818,#NUM!,
508,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.001,0.001,0.2303,-1.468372472,,-0.003,-0.003,-1.3818,#NUM!,
509,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,-0.003,-0.003,-1.3818,#NUM!,
510,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,-0.003,-0.003,-1.3818,#NUM!,
511,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,-0.003,-0.003,-1.3818,#NUM!,
512,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,-0.003,-0.003,-1.3818,#NUM!,
513,0,0.003,0.003,0.6909,-0.369760183,,-0.001,-0.001,-0.4606,#NUM!,,0.003,0.003,0.6909,-0.369760183,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,-0.003,-0.003,-1.3818,#NUM!,
