,Blank,F20Sep19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_Surf_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R1_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F22Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_WET_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
525,0.001,0.013,0.012,2.7636,1.016534178,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.008,0.007,35.9268,3.581483535,,0.023,0.022,5.0666,1.622669981,,0.011,0.01,4.606,1.527359801,
526,0.001,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.008,0.007,35.9268,3.581483535,,0.023,0.022,5.0666,1.622669981,,0.011,0.01,4.606,1.527359801,
527,0.001,0.013,0.012,2.7636,1.016534178,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.008,0.007,35.9268,3.581483535,,0.023,0.022,5.0666,1.622669981,,0.011,0.01,4.606,1.527359801,
528,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.04,0.039,8.9817,2.195189174,,0.02,0.019,8.7514,2.169213688,,0.008,0.007,35.9268,3.581483535,,0.023,0.022,5.0666,1.622669981,,0.011,0.01,4.606,1.527359801,
529,0.001,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.039,0.038,8.7514,2.169213688,,0.02,0.019,8.7514,2.169213688,,0.008,0.007,35.0056,3.555508049,,0.022,0.021,4.8363,1.576149966,,0.01,0.009,4.1454,1.421999286,
530,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.039,0.038,8.7514,2.169213688,,0.02,0.019,8.7514,2.169213688,,0.008,0.007,35.0056,3.555508049,,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,
531,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,35.0056,3.555508049,,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,
532,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,35.0056,3.555508049,,0.022,0.021,4.8363,1.576149966,,0.01,0.009,4.1454,1.421999286,
533,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,35.0056,3.555508049,,0.022,0.021,4.8363,1.576149966,,0.01,0.009,4.1454,1.421999286,
534,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,34.0844,3.528839802,,0.022,0.021,4.8363,1.576149966,,0.01,0.009,4.1454,1.421999286,
535,0.001,0.013,0.012,2.7636,1.016534178,,0.007,0.006,2.7636,1.016534178,,0.007,0.006,1.3818,0.323386997,,0.003,0.002,0.9212,-0.082078111,,0.039,0.038,8.7514,2.169213688,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,35.0056,3.555508049,,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,
536,0.002,0.013,0.011,2.5333,0.929522801,,0.007,0.005,2.303,0.834212621,,0.007,0.005,1.1515,0.14106544,,0.004,0.002,0.9212,-0.082078111,,0.039,0.037,8.5211,2.14254544,,0.02,0.018,8.2908,2.115146466,,0.009,0.007,34.0844,3.528839802,,0.023,0.021,4.8363,1.576149966,,0.011,0.009,4.1454,1.421999286,
537,0.001,0.012,0.011,2.5333,0.929522801,,0.007,0.006,2.7636,1.016534178,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,34.0844,3.528839802,,0.022,0.021,4.8363,1.576149966,,0.011,0.01,4.606,1.527359801,
538,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,34.0844,3.528839802,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
539,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,34.0844,3.528839802,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
540,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,34.0844,3.528839802,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
541,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.038,0.037,8.5211,2.14254544,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,34.0844,3.528839802,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
542,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
543,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
544,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
545,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
546,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
547,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.019,0.018,8.2908,2.115146466,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
548,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
549,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
550,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.037,0.036,8.2908,2.115146466,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,33.1632,3.501440827,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,
551,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,32.242,3.47326995,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
552,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,32.242,3.47326995,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
553,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,32.242,3.47326995,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
554,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,32.242,3.47326995,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
555,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,32.242,3.47326995,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
556,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,32.242,3.47326995,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
557,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,32.242,3.47326995,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
558,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.036,0.035,8.0605,2.086975589,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,32.242,3.47326995,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
559,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
560,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
561,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
562,0.001,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
563,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
564,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
565,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
566,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,
567,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,31.3208,3.444282414,,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,
568,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.035,0.034,7.8302,2.057988052,,0.018,0.017,7.8302,2.057988052,,0.007,0.006,31.3208,3.444282414,,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,
569,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.018,0.017,7.8302,2.057988052,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
570,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
571,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.018,0.017,7.8302,2.057988052,,0.008,0.007,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.01,0.009,4.1454,1.421999286,
572,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
573,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
574,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
575,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
576,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
577,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.002,0.001,0.4606,-0.775225292,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
578,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
579,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.034,0.033,7.5999,2.028135089,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,30.3996,3.41442945,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,
580,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
581,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
582,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
583,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
584,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.002,0.001,0.4606,-0.775225292,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
585,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.002,0.001,0.4606,-0.775225292,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
586,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
587,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.002,0.001,0.4606,-0.775225292,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
588,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
589,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.033,0.032,7.3696,1.997363431,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,29.4784,3.383657792,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
590,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,28.5572,3.351909093,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
591,0.001,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,28.5572,3.351909093,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
592,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.002,0.001,0.4606,-0.775225292,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,28.5572,3.351909093,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
593,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,28.5572,3.351909093,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
594,0.001,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,28.5572,3.351909093,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
595,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,28.5572,3.351909093,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
596,0.001,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.006,0.005,1.1515,0.14106544,,0.003,0.002,0.9212,-0.082078111,,0.032,0.031,7.1393,1.965614732,,0.017,0.016,7.3696,1.997363431,,0.007,0.006,28.5572,3.351909093,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
597,0.001,0.011,0.01,2.303,0.834212621,,0.005,0.004,1.8424,0.61106907,,0.005,0.004,0.9212,-0.082078111,,0.002,0.001,0.4606,-0.775225292,,0.032,0.031,7.1393,1.965614732,,0.016,0.015,6.909,1.93282491,,0.007,0.006,28.5572,3.351909093,,0.018,0.017,3.9151,1.364840872,,0.009,0.008,3.6848,1.30421625,
