,MilliQ,F04Oct19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_102_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_01_R2,A(CDOM),a(CDOM),ln(a),Sr
506,0,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.037,0.037,8.5211,2.14254544,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,
507,0,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.037,0.037,8.5211,2.14254544,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,
508,0,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,
509,0,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
510,0,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,
511,0,0.021,0.021,4.8363,1.576149966,,0.019,0.019,4.3757,1.476066507,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,
512,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
513,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
514,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
515,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
516,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.036,0.036,8.2908,2.115146466,,0.012,0.012,2.7636,1.016534178,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
517,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
518,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
519,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
520,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
521,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
522,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
523,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
524,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
525,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.006,0.006,1.3818,0.323386997,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
526,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.035,0.035,8.0605,2.086975589,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
527,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
528,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
529,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
530,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
531,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
532,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
533,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
534,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
535,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.01,0.01,2.303,0.834212621,,0.003,0.003,0.6909,-0.369760183,,0.004,0.004,0.9212,-0.082078111,
536,0.001,0.021,0.02,4.606,1.527359801,,0.018,0.017,3.9151,1.364840872,,0.005,0.004,0.9212,-0.082078111,,0.004,0.003,0.6909,-0.369760183,,0.035,0.034,7.8302,2.057988052,,0.011,0.01,2.303,0.834212621,,0.008,0.007,1.6121,0.477537677,,0.006,0.005,1.1515,0.14106544,,0.01,0.009,2.0727,0.728852105,,0.004,0.003,0.6909,-0.369760183,,0.004,0.003,0.6909,-0.369760183,
537,0,0.021,0.021,4.8363,1.576149966,,0.018,0.018,4.1454,1.421999286,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.034,0.034,7.8302,2.057988052,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
538,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
539,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
540,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
541,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,
542,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
543,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
544,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
545,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
546,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
547,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.033,0.033,7.5999,2.028135089,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
548,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
549,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.004,0.004,0.9212,-0.082078111,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.005,0.005,1.1515,0.14106544,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
550,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
551,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
552,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
553,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
554,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
555,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
556,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
557,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
558,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
559,0,0.02,0.02,4.606,1.527359801,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.032,0.032,7.3696,1.997363431,,0.01,0.01,2.303,0.834212621,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
560,0,0.019,0.019,4.3757,1.476066507,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.031,0.031,7.1393,1.965614732,,0.009,0.009,2.0727,0.728852105,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
561,0,0.019,0.019,4.3757,1.476066507,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.031,0.031,7.1393,1.965614732,,0.009,0.009,2.0727,0.728852105,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
562,0,0.019,0.019,4.3757,1.476066507,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.031,0.031,7.1393,1.965614732,,0.009,0.009,2.0727,0.728852105,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
563,0,0.019,0.019,4.3757,1.476066507,,0.017,0.017,3.9151,1.364840872,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.031,0.031,7.1393,1.965614732,,0.009,0.009,2.0727,0.728852105,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
564,0,0.019,0.019,4.3757,1.476066507,,0.016,0.016,3.6848,1.30421625,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.031,0.031,7.1393,1.965614732,,0.009,0.009,2.0727,0.728852105,,0.006,0.006,1.3818,0.323386997,,0.004,0.004,0.9212,-0.082078111,,0.009,0.009,2.0727,0.728852105,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,
