,MilliQ,F04Oct19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_102_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_01_R2,A(CDOM),a(CDOM),ln(a),Sr
210,0.004,0.201,0.197,45.3691,3.814831257,,0.129,0.125,28.7875,3.359941265,,0.135,0.131,30.1693,3.406824851,,0.145,0.141,32.4723,3.480387418,,0.202,0.198,45.5994,3.819894559,,0.21,0.206,47.4418,3.859503697,,0.132,0.128,29.4784,3.383657792,,0.225,0.221,50.8963,3.929790229,,0.148,0.144,33.1632,3.501440827,,0.148,0.144,33.1632,3.501440827,,0.145,0.141,32.4723,3.480387418,
211,0.004,0.194,0.19,43.757,3.7786516,,0.127,0.123,28.3269,3.343811883,,0.132,0.128,29.4784,3.383657792,,0.142,0.138,31.7814,3.458881213,,0.2,0.196,45.1388,3.809742187,,0.204,0.2,46.06,3.829944894,,0.128,0.124,28.5572,3.351909093,,0.218,0.214,49.2842,3.897603543,,0.142,0.138,31.7814,3.458881213,,0.145,0.141,32.4723,3.480387418,,0.141,0.137,31.5511,3.451608454,
212,0.004,0.188,0.184,42.3752,3.746563285,,0.125,0.121,27.8663,3.327418073,,0.128,0.124,28.5572,3.351909093,,0.138,0.134,30.8602,3.429467328,,0.198,0.194,44.6782,3.799485687,,0.198,0.194,44.6782,3.799485687,,0.124,0.12,27.636,3.319119271,,0.21,0.206,47.4418,3.859503697,,0.136,0.132,30.3996,3.41442945,,0.141,0.137,31.5511,3.451608454,,0.138,0.134,30.8602,3.429467328,
213,0.004,0.181,0.177,40.7631,3.70777726,,0.122,0.118,27.1754,3.302312152,,0.124,0.12,27.636,3.319119271,,0.135,0.131,30.1693,3.406824851,,0.196,0.192,44.2176,3.7891229,,0.192,0.188,43.2964,3.768069491,,0.12,0.116,26.7148,3.285217719,,0.204,0.2,46.06,3.829944894,,0.13,0.126,29.0178,3.367909435,,0.138,0.134,30.8602,3.429467328,,0.135,0.131,30.1693,3.406824851,
214,0.003,0.175,0.172,39.6116,3.679122005,,0.12,0.117,26.9451,3.293801463,,0.12,0.117,26.9451,3.293801463,,0.131,0.128,29.4784,3.383657792,,0.195,0.192,44.2176,3.7891229,,0.187,0.184,42.3752,3.746563285,,0.115,0.112,25.7936,3.250126399,,0.198,0.195,44.9085,3.804627086,,0.123,0.12,27.636,3.319119271,,0.134,0.131,30.1693,3.406824851,,0.132,0.129,29.7087,3.391439932,
215,0.003,0.168,0.165,37.9995,3.637573002,,0.118,0.115,26.4845,3.276559656,,0.116,0.113,26.0239,3.259015347,,0.128,0.125,28.7875,3.359941265,,0.193,0.19,43.757,3.7786516,,0.183,0.18,41.454,3.724584379,,0.111,0.108,24.8724,3.213758755,,0.192,0.189,43.5267,3.773374543,,0.117,0.114,26.2542,3.267825976,,0.131,0.128,29.4784,3.383657792,,0.129,0.126,29.0178,3.367909435,
216,0.003,0.162,0.159,36.6177,3.60053173,,0.116,0.113,26.0239,3.259015347,,0.113,0.11,25.333,3.232107894,,0.126,0.123,28.3269,3.343811883,,0.192,0.189,43.5267,3.773374543,,0.178,0.175,40.3025,3.696413502,,0.107,0.104,23.9512,3.176018427,,0.187,0.184,42.3752,3.746563285,,0.11,0.107,24.6421,3.204456362,,0.128,0.125,28.7875,3.359941265,,0.126,0.123,28.3269,3.343811883,
217,0.003,0.156,0.153,35.2359,3.562065449,,0.114,0.111,25.5633,3.241157729,,0.109,0.106,24.4118,3.195066622,,0.123,0.12,27.636,3.319119271,,0.19,0.187,43.0661,3.762736145,,0.175,0.172,39.6116,3.679122005,,0.103,0.1,23.03,3.136797714,,0.183,0.18,41.454,3.724584379,,0.104,0.101,23.2603,3.146748045,,0.126,0.123,28.3269,3.343811883,,0.124,0.121,27.8663,3.327418073,
218,0.003,0.15,0.147,33.8541,3.522060115,,0.112,0.109,25.1027,3.22297541,,0.105,0.102,23.4906,3.156600341,,0.12,0.117,26.9451,3.293801463,,0.189,0.186,42.8358,3.757374202,,0.171,0.168,38.6904,3.655591507,,0.099,0.096,22.1088,3.095975719,,0.178,0.175,40.3025,3.696413502,,0.098,0.095,21.8785,3.085504419,,0.123,0.12,27.636,3.319119271,,0.121,0.118,27.1754,3.302312152,
219,0.003,0.144,0.141,32.4723,3.480387418,,0.11,0.107,24.6421,3.204456362,,0.102,0.099,22.7997,3.126747378,,0.118,0.115,26.4845,3.276559656,,0.188,0.185,42.6055,3.751983353,,0.168,0.165,37.9995,3.637573002,,0.095,0.092,21.1876,3.053416105,,0.174,0.171,39.3813,3.673291084,,0.092,0.089,20.4967,3.020263898,,0.12,0.117,26.9451,3.293801463,,0.119,0.116,26.7148,3.285217719,
