,MilliQ,F22Aug19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr
346,-0.001,0.048,0.049,11.2847,2.423447826,,0.05,0.051,11.7453,2.463453161,,0.036,0.037,8.5211,2.14254544,,0.041,0.042,9.6726,2.269297146,,0.021,0.022,5.0666,1.622669981,,0.087,0.088,20.2664,3.008964342,,0.017,0.018,4.1454,1.421999286,,0.018,0.019,4.3757,1.476066507,
347,-0.001,0.048,0.049,11.2847,2.423447826,,0.05,0.051,11.7453,2.463453161,,0.036,0.037,8.5211,2.14254544,,0.04,0.041,9.4423,2.245199595,,0.021,0.022,5.0666,1.622669981,,0.086,0.087,20.0361,2.997535646,,0.017,0.018,4.1454,1.421999286,,0.018,0.019,4.3757,1.476066507,
348,-0.001,0.048,0.049,11.2847,2.423447826,,0.05,0.051,11.7453,2.463453161,,0.036,0.037,8.5211,2.14254544,,0.04,0.041,9.4423,2.245199595,,0.02,0.021,4.8363,1.576149966,,0.086,0.087,20.0361,2.997535646,,0.017,0.018,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,
349,-0.001,0.047,0.048,11.0544,2.402828539,,0.05,0.051,11.7453,2.463453161,,0.036,0.037,8.5211,2.14254544,,0.039,0.04,9.212,2.220506982,,0.02,0.021,4.8363,1.576149966,,0.086,0.087,20.0361,2.997535646,,0.017,0.018,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,
350,-0.001,0.047,0.048,11.0544,2.402828539,,0.049,0.05,11.515,2.443650533,,0.035,0.036,8.2908,2.115146466,,0.039,0.04,9.212,2.220506982,,0.02,0.021,4.8363,1.576149966,,0.085,0.086,19.8058,2.985974824,,0.017,0.018,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,
351,-0.001,0.047,0.048,11.0544,2.402828539,,0.049,0.05,11.515,2.443650533,,0.035,0.036,8.2908,2.115146466,,0.039,0.04,9.212,2.220506982,,0.02,0.021,4.8363,1.576149966,,0.085,0.086,19.8058,2.985974824,,0.017,0.018,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,
352,-0.001,0.046,0.047,10.8241,2.38177513,,0.049,0.05,11.515,2.443650533,,0.035,0.036,8.2908,2.115146466,,0.039,0.04,9.212,2.220506982,,0.02,0.021,4.8363,1.576149966,,0.084,0.085,19.5755,2.974278784,,0.017,0.018,4.1454,1.421999286,,0.017,0.018,4.1454,1.421999286,
353,-0.001,0.046,0.047,10.8241,2.38177513,,0.048,0.049,11.2847,2.423447826,,0.034,0.035,8.0605,2.086975589,,0.038,0.039,8.9817,2.195189174,,0.02,0.021,4.8363,1.576149966,,0.084,0.085,19.5755,2.974278784,,0.017,0.018,4.1454,1.421999286,,0.016,0.017,3.9151,1.364840872,
354,-0.001,0.045,0.046,10.5938,2.360268924,,0.048,0.049,11.2847,2.423447826,,0.033,0.034,7.8302,2.057988052,,0.038,0.039,8.9817,2.195189174,,0.019,0.02,4.606,1.527359801,,0.083,0.084,19.3452,2.962444327,,0.016,0.017,3.9151,1.364840872,,0.016,0.017,3.9151,1.364840872,
355,-0.001,0.045,0.046,10.5938,2.360268924,,0.048,0.049,11.2847,2.423447826,,0.033,0.034,7.8302,2.057988052,,0.038,0.039,8.9817,2.195189174,,0.019,0.02,4.606,1.527359801,,0.083,0.084,19.3452,2.962444327,,0.016,0.017,3.9151,1.364840872,,0.016,0.017,3.9151,1.364840872,
356,-0.001,0.044,0.045,10.3635,2.338290018,,0.047,0.048,11.0544,2.402828539,,0.033,0.034,7.8302,2.057988052,,0.037,0.038,8.7514,2.169213688,,0.019,0.02,4.606,1.527359801,,0.082,0.083,19.1149,2.950468136,,0.016,0.017,3.9151,1.364840872,,0.016,0.017,3.9151,1.364840872,
357,-0.001,0.044,0.045,10.3635,2.338290018,,0.047,0.048,11.0544,2.402828539,,0.033,0.034,7.8302,2.057988052,,0.037,0.038,8.7514,2.169213688,,0.019,0.02,4.606,1.527359801,,0.082,0.083,19.1149,2.950468136,,0.016,0.017,3.9151,1.364840872,,0.016,0.017,3.9151,1.364840872,
358,-0.001,0.044,0.045,10.3635,2.338290018,,0.047,0.048,11.0544,2.402828539,,0.033,0.034,7.8302,2.057988052,,0.037,0.038,8.7514,2.169213688,,0.019,0.02,4.606,1.527359801,,0.082,0.083,19.1149,2.950468136,,0.016,0.017,3.9151,1.364840872,,0.015,0.016,3.6848,1.30421625,
359,-0.001,0.044,0.045,10.3635,2.338290018,,0.046,0.047,10.8241,2.38177513,,0.032,0.033,7.5999,2.028135089,,0.036,0.037,8.5211,2.14254544,,0.019,0.02,4.606,1.527359801,,0.081,0.082,18.8846,2.938346775,,0.016,0.017,3.9151,1.364840872,,0.015,0.016,3.6848,1.30421625,
360,-0.001,0.043,0.044,10.1332,2.315817162,,0.046,0.047,10.8241,2.38177513,,0.032,0.033,7.5999,2.028135089,,0.036,0.037,8.5211,2.14254544,,0.019,0.02,4.606,1.527359801,,0.081,0.082,18.8846,2.938346775,,0.016,0.017,3.9151,1.364840872,,0.015,0.016,3.6848,1.30421625,
361,-0.001,0.043,0.044,10.1332,2.315817162,,0.045,0.046,10.5938,2.360268924,,0.031,0.032,7.3696,1.997363431,,0.035,0.036,8.2908,2.115146466,,0.018,0.019,4.3757,1.476066507,,0.08,0.081,18.6543,2.926076683,,0.015,0.016,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,
362,-0.001,0.042,0.043,9.9029,2.292827644,,0.045,0.046,10.5938,2.360268924,,0.031,0.032,7.3696,1.997363431,,0.035,0.036,8.2908,2.115146466,,0.018,0.019,4.3757,1.476066507,,0.08,0.081,18.6543,2.926076683,,0.016,0.017,3.9151,1.364840872,,0.014,0.015,3.4545,1.239677729,
363,-0.001,0.042,0.043,9.9029,2.292827644,,0.045,0.046,10.5938,2.360268924,,0.031,0.032,7.3696,1.997363431,,0.035,0.036,8.2908,2.115146466,,0.018,0.019,4.3757,1.476066507,,0.08,0.081,18.6543,2.926076683,,0.016,0.017,3.9151,1.364840872,,0.014,0.015,3.4545,1.239677729,
364,-0.001,0.042,0.043,9.9029,2.292827644,,0.045,0.046,10.5938,2.360268924,,0.031,0.032,7.3696,1.997363431,,0.035,0.036,8.2908,2.115146466,,0.018,0.019,4.3757,1.476066507,,0.08,0.081,18.6543,2.926076683,,0.016,0.017,3.9151,1.364840872,,0.014,0.015,3.4545,1.239677729,
365,-0.001,0.041,0.042,9.6726,2.269297146,,0.044,0.045,10.3635,2.338290018,,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.018,0.019,4.3757,1.476066507,,0.079,0.08,18.424,2.913654163,,0.015,0.016,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,
366,-0.001,0.041,0.042,9.6726,2.269297146,,0.044,0.045,10.3635,2.338290018,,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.018,0.019,4.3757,1.476066507,,0.079,0.08,18.424,2.913654163,,0.015,0.016,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,
367,-0.001,0.04,0.041,9.4423,2.245199595,,0.043,0.044,10.1332,2.315817162,,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.018,0.019,4.3757,1.476066507,,0.079,0.08,18.424,2.913654163,,0.015,0.016,3.6848,1.30421625,,0.014,0.015,3.4545,1.239677729,
368,-0.001,0.04,0.041,9.4423,2.245199595,,0.043,0.044,10.1332,2.315817162,,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.017,0.018,4.1454,1.421999286,,0.078,0.079,18.1937,2.90107538,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,
369,-0.001,0.04,0.041,9.4423,2.245199595,,0.043,0.044,10.1332,2.315817162,,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.018,0.019,4.3757,1.476066507,,0.078,0.079,18.1937,2.90107538,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,
370,-0.001,0.039,0.04,9.212,2.220506982,,0.042,0.043,9.9029,2.292827644,,0.029,0.03,6.909,1.93282491,,0.033,0.034,7.8302,2.057988052,,0.017,0.018,4.1454,1.421999286,,0.077,0.078,17.9634,2.888336355,,0.014,0.015,3.4545,1.239677729,,0.013,0.014,3.2242,1.170684857,
371,-0.001,0.039,0.04,9.212,2.220506982,,0.042,0.043,9.9029,2.292827644,,0.029,0.03,6.909,1.93282491,,0.033,0.034,7.8302,2.057988052,,0.017,0.018,4.1454,1.421999286,,0.077,0.078,17.9634,2.888336355,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,
372,-0.001,0.038,0.039,8.9817,2.195189174,,0.041,0.042,9.6726,2.269297146,,0.029,0.03,6.909,1.93282491,,0.032,0.033,7.5999,2.028135089,,0.017,0.018,4.1454,1.421999286,,0.076,0.077,17.7331,2.87543295,,0.015,0.016,3.6848,1.30421625,,0.013,0.014,3.2242,1.170684857,
373,-0.001,0.038,0.039,8.9817,2.195189174,,0.041,0.042,9.6726,2.269297146,,0.029,0.03,6.909,1.93282491,,0.032,0.033,7.5999,2.028135089,,0.017,0.018,4.1454,1.421999286,,0.076,0.077,17.7331,2.87543295,,0.014,0.015,3.4545,1.239677729,,0.013,0.014,3.2242,1.170684857,
374,-0.001,0.038,0.039,8.9817,2.195189174,,0.041,0.042,9.6726,2.269297146,,0.028,0.029,6.6787,1.898923358,,0.032,0.033,7.5999,2.028135089,,0.017,0.018,4.1454,1.421999286,,0.075,0.076,17.5028,2.862360868,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,
375,-0.001,0.037,0.038,8.7514,2.169213688,,0.04,0.041,9.4423,2.245199595,,0.028,0.029,6.6787,1.898923358,,0.031,0.032,7.3696,1.997363431,,0.016,0.017,3.9151,1.364840872,,0.075,0.076,17.5028,2.862360868,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,
376,-0.001,0.037,0.038,8.7514,2.169213688,,0.04,0.041,9.4423,2.245199595,,0.027,0.028,6.4484,1.863832038,,0.031,0.032,7.3696,1.997363431,,0.016,0.017,3.9151,1.364840872,,0.074,0.075,17.2725,2.849115641,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,
377,-0.001,0.036,0.037,8.5211,2.14254544,,0.04,0.041,9.4423,2.245199595,,0.027,0.028,6.4484,1.863832038,,0.031,0.032,7.3696,1.997363431,,0.016,0.017,3.9151,1.364840872,,0.074,0.075,17.2725,2.849115641,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,
378,-0.001,0.036,0.037,8.5211,2.14254544,,0.039,0.04,9.212,2.220506982,,0.027,0.028,6.4484,1.863832038,,0.031,0.032,7.3696,1.997363431,,0.016,0.017,3.9151,1.364840872,,0.074,0.075,17.2725,2.849115641,,0.014,0.015,3.4545,1.239677729,,0.012,0.013,2.9939,1.096576885,
379,-0.001,0.036,0.037,8.5211,2.14254544,,0.039,0.04,9.212,2.220506982,,0.027,0.028,6.4484,1.863832038,,0.031,0.032,7.3696,1.997363431,,0.016,0.017,3.9151,1.364840872,,0.074,0.075,17.2725,2.849115641,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,
380,-0.001,0.036,0.037,8.5211,2.14254544,,0.039,0.04,9.212,2.220506982,,0.027,0.028,6.4484,1.863832038,,0.03,0.031,7.1393,1.965614732,,0.016,0.017,3.9151,1.364840872,,0.073,0.074,17.0422,2.835692621,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,
381,-0.001,0.035,0.036,8.2908,2.115146466,,0.038,0.039,8.9817,2.195189174,,0.027,0.028,6.4484,1.863832038,,0.03,0.031,7.1393,1.965614732,,0.016,0.017,3.9151,1.364840872,,0.073,0.074,17.0422,2.835692621,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,
382,-0.001,0.035,0.036,8.2908,2.115146466,,0.038,0.039,8.9817,2.195189174,,0.026,0.027,6.2181,1.827464394,,0.03,0.031,7.1393,1.965614732,,0.016,0.017,3.9151,1.364840872,,0.073,0.074,17.0422,2.835692621,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,
383,-0.001,0.035,0.036,8.2908,2.115146466,,0.038,0.039,8.9817,2.195189174,,0.026,0.027,6.2181,1.827464394,,0.029,0.03,6.909,1.93282491,,0.016,0.017,3.9151,1.364840872,,0.072,0.073,16.8119,2.822086969,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,
384,-0.001,0.034,0.035,8.0605,2.086975589,,0.038,0.039,8.9817,2.195189174,,0.026,0.027,6.2181,1.827464394,,0.029,0.03,6.909,1.93282491,,0.016,0.017,3.9151,1.364840872,,0.072,0.073,16.8119,2.822086969,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,
385,-0.001,0.034,0.035,8.0605,2.086975589,,0.037,0.038,8.7514,2.169213688,,0.026,0.027,6.2181,1.827464394,,0.029,0.03,6.909,1.93282491,,0.016,0.017,3.9151,1.364840872,,0.071,0.072,16.5816,2.808293647,,0.014,0.015,3.4545,1.239677729,,0.011,0.012,2.7636,1.016534178,
386,-0.001,0.034,0.035,8.0605,2.086975589,,0.037,0.038,8.7514,2.169213688,,0.025,0.026,5.9878,1.789724066,,0.029,0.03,6.909,1.93282491,,0.016,0.017,3.9151,1.364840872,,0.071,0.072,16.5816,2.808293647,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,
387,-0.001,0.033,0.034,7.8302,2.057988052,,0.037,0.038,8.7514,2.169213688,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.015,0.016,3.6848,1.30421625,,0.071,0.072,16.5816,2.808293647,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,
388,-0.001,0.033,0.034,7.8302,2.057988052,,0.036,0.037,8.5211,2.14254544,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.015,0.016,3.6848,1.30421625,,0.07,0.071,16.3513,2.794307405,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,
389,-0.001,0.032,0.033,7.5999,2.028135089,,0.036,0.037,8.5211,2.14254544,,0.025,0.026,5.9878,1.789724066,,0.028,0.029,6.6787,1.898923358,,0.015,0.016,3.6848,1.30421625,,0.07,0.071,16.3513,2.794307405,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,
390,-0.001,0.032,0.033,7.5999,2.028135089,,0.036,0.037,8.5211,2.14254544,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.015,0.016,3.6848,1.30421625,,0.069,0.07,16.121,2.78012277,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,
391,-0.001,0.032,0.033,7.5999,2.028135089,,0.035,0.036,8.2908,2.115146466,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.015,0.016,3.6848,1.30421625,,0.069,0.07,16.121,2.78012277,,0.013,0.014,3.2242,1.170684857,,0.01,0.011,2.5333,0.929522801,
392,-0.001,0.031,0.032,7.3696,1.997363431,,0.035,0.036,8.2908,2.115146466,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.015,0.016,3.6848,1.30421625,,0.069,0.07,16.121,2.78012277,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,
393,-0.001,0.031,0.032,7.3696,1.997363431,,0.035,0.036,8.2908,2.115146466,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.015,0.016,3.6848,1.30421625,,0.068,0.069,15.8907,2.765734032,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,
394,-0.001,0.031,0.032,7.3696,1.997363431,,0.035,0.036,8.2908,2.115146466,,0.024,0.025,5.7575,1.750503353,,0.027,0.028,6.4484,1.863832038,,0.015,0.016,3.6848,1.30421625,,0.068,0.069,15.8907,2.765734032,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,
395,-0.001,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.024,0.025,5.7575,1.750503353,,0.026,0.027,6.2181,1.827464394,,0.015,0.016,3.6848,1.30421625,,0.068,0.069,15.8907,2.765734032,,0.013,0.014,3.2242,1.170684857,,0.009,0.01,2.303,0.834212621,
396,-0.001,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.023,0.024,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,,0.014,0.015,3.4545,1.239677729,,0.067,0.068,15.6604,2.751135233,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,
397,-0.001,0.03,0.031,7.1393,1.965614732,,0.034,0.035,8.0605,2.086975589,,0.023,0.024,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,,0.014,0.015,3.4545,1.239677729,,0.067,0.068,15.6604,2.751135233,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,
398,-0.001,0.029,0.03,6.909,1.93282491,,0.034,0.035,8.0605,2.086975589,,0.023,0.024,5.5272,1.709681358,,0.026,0.027,6.2181,1.827464394,,0.014,0.015,3.4545,1.239677729,,0.067,0.068,15.6604,2.751135233,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,
399,-0.001,0.029,0.03,6.909,1.93282491,,0.033,0.034,7.8302,2.057988052,,0.023,0.024,5.5272,1.709681358,,0.025,0.026,5.9878,1.789724066,,0.014,0.015,3.4545,1.239677729,,0.066,0.067,15.4301,2.736320147,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,
400,-0.001,0.029,0.03,6.909,1.93282491,,0.033,0.034,7.8302,2.057988052,,0.022,0.023,5.2969,1.667121744,,0.025,0.026,5.9878,1.789724066,,0.014,0.015,3.4545,1.239677729,,0.066,0.067,15.4301,2.736320147,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,
401,-0.001,0.028,0.029,6.6787,1.898923358,,0.033,0.034,7.8302,2.057988052,,0.022,0.023,5.2969,1.667121744,,0.025,0.026,5.9878,1.789724066,,0.014,0.015,3.4545,1.239677729,,0.066,0.067,15.4301,2.736320147,,0.012,0.013,2.9939,1.096576885,,0.009,0.01,2.303,0.834212621,
402,-0.001,0.028,0.029,6.6787,1.898923358,,0.033,0.034,7.8302,2.057988052,,0.022,0.023,5.2969,1.667121744,,0.025,0.026,5.9878,1.789724066,,0.014,0.015,3.4545,1.239677729,,0.065,0.066,15.1998,2.72128227,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
403,-0.001,0.028,0.029,6.6787,1.898923358,,0.033,0.034,7.8302,2.057988052,,0.022,0.023,5.2969,1.667121744,,0.024,0.025,5.7575,1.750503353,,0.014,0.015,3.4545,1.239677729,,0.065,0.066,15.1998,2.72128227,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
404,-0.001,0.028,0.029,6.6787,1.898923358,,0.032,0.033,7.5999,2.028135089,,0.022,0.023,5.2969,1.667121744,,0.024,0.025,5.7575,1.750503353,,0.014,0.015,3.4545,1.239677729,,0.065,0.066,15.1998,2.72128227,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
405,-0.001,0.027,0.028,6.4484,1.863832038,,0.032,0.033,7.5999,2.028135089,,0.021,0.022,5.0666,1.622669981,,0.024,0.025,5.7575,1.750503353,,0.014,0.015,3.4545,1.239677729,,0.064,0.065,14.9695,2.706014798,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
406,-0.001,0.027,0.028,6.4484,1.863832038,,0.032,0.033,7.5999,2.028135089,,0.021,0.022,5.0666,1.622669981,,0.024,0.025,5.7575,1.750503353,,0.014,0.015,3.4545,1.239677729,,0.064,0.065,14.9695,2.706014798,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
407,-0.001,0.027,0.028,6.4484,1.863832038,,0.032,0.033,7.5999,2.028135089,,0.021,0.022,5.0666,1.622669981,,0.023,0.024,5.5272,1.709681358,,0.014,0.015,3.4545,1.239677729,,0.064,0.065,14.9695,2.706014798,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
408,-0.001,0.027,0.028,6.4484,1.863832038,,0.032,0.033,7.5999,2.028135089,,0.021,0.022,5.0666,1.622669981,,0.023,0.024,5.5272,1.709681358,,0.013,0.014,3.2242,1.170684857,,0.064,0.065,14.9695,2.706014798,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
409,-0.001,0.026,0.027,6.2181,1.827464394,,0.032,0.033,7.5999,2.028135089,,0.021,0.022,5.0666,1.622669981,,0.023,0.024,5.5272,1.709681358,,0.013,0.014,3.2242,1.170684857,,0.063,0.064,14.7392,2.690510611,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
410,-0.001,0.026,0.027,6.2181,1.827464394,,0.031,0.032,7.3696,1.997363431,,0.021,0.022,5.0666,1.622669981,,0.023,0.024,5.5272,1.709681358,,0.013,0.014,3.2242,1.170684857,,0.063,0.064,14.7392,2.690510611,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
411,-0.001,0.026,0.027,6.2181,1.827464394,,0.031,0.032,7.3696,1.997363431,,0.021,0.022,5.0666,1.622669981,,0.022,0.023,5.2969,1.667121744,,0.013,0.014,3.2242,1.170684857,,0.063,0.064,14.7392,2.690510611,,0.012,0.013,2.9939,1.096576885,,0.008,0.009,2.0727,0.728852105,
412,-0.001,0.026,0.027,6.2181,1.827464394,,0.031,0.032,7.3696,1.997363431,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,,0.013,0.014,3.2242,1.170684857,,0.062,0.063,14.5089,2.674762254,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
413,-0.001,0.025,0.026,5.9878,1.789724066,,0.031,0.032,7.3696,1.997363431,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,,0.013,0.014,3.2242,1.170684857,,0.062,0.063,14.5089,2.674762254,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
414,-0.001,0.025,0.026,5.9878,1.789724066,,0.031,0.032,7.3696,1.997363431,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,,0.013,0.014,3.2242,1.170684857,,0.062,0.063,14.5089,2.674762254,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
415,-0.001,0.025,0.026,5.9878,1.789724066,,0.03,0.031,7.1393,1.965614732,,0.02,0.021,4.8363,1.576149966,,0.022,0.023,5.2969,1.667121744,,0.013,0.014,3.2242,1.170684857,,0.062,0.063,14.5089,2.674762254,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
416,-0.001,0.025,0.026,5.9878,1.789724066,,0.03,0.031,7.1393,1.965614732,,0.02,0.021,4.8363,1.576149966,,0.021,0.022,5.0666,1.622669981,,0.013,0.014,3.2242,1.170684857,,0.061,0.062,14.2786,2.658761913,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
417,-0.001,0.024,0.025,5.7575,1.750503353,,0.03,0.031,7.1393,1.965614732,,0.019,0.02,4.606,1.527359801,,0.021,0.022,5.0666,1.622669981,,0.013,0.014,3.2242,1.170684857,,0.061,0.062,14.2786,2.658761913,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
418,-0.001,0.024,0.025,5.7575,1.750503353,,0.03,0.031,7.1393,1.965614732,,0.02,0.021,4.8363,1.576149966,,0.021,0.022,5.0666,1.622669981,,0.013,0.014,3.2242,1.170684857,,0.061,0.062,14.2786,2.658761913,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
419,-0.001,0.024,0.025,5.7575,1.750503353,,0.03,0.031,7.1393,1.965614732,,0.019,0.02,4.606,1.527359801,,0.021,0.022,5.0666,1.622669981,,0.013,0.014,3.2242,1.170684857,,0.061,0.062,14.2786,2.658761913,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
420,-0.001,0.024,0.025,5.7575,1.750503353,,0.029,0.03,6.909,1.93282491,,0.019,0.02,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,,0.013,0.014,3.2242,1.170684857,,0.06,0.061,14.0483,2.642501392,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
421,-0.001,0.024,0.025,5.7575,1.750503353,,0.029,0.03,6.909,1.93282491,,0.019,0.02,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,,0.013,0.014,3.2242,1.170684857,,0.06,0.061,14.0483,2.642501392,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
422,-0.001,0.024,0.025,5.7575,1.750503353,,0.029,0.03,6.909,1.93282491,,0.019,0.02,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,,0.012,0.013,2.9939,1.096576885,,0.06,0.061,14.0483,2.642501392,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
423,-0.001,0.023,0.024,5.5272,1.709681358,,0.029,0.03,6.909,1.93282491,,0.019,0.02,4.606,1.527359801,,0.02,0.021,4.8363,1.576149966,,0.012,0.013,2.9939,1.096576885,,0.06,0.061,14.0483,2.642501392,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
424,-0.001,0.023,0.024,5.5272,1.709681358,,0.028,0.029,6.6787,1.898923358,,0.018,0.019,4.3757,1.476066507,,0.019,0.02,4.606,1.527359801,,0.012,0.013,2.9939,1.096576885,,0.059,0.06,13.818,2.62597209,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
425,-0.001,0.023,0.024,5.5272,1.709681358,,0.028,0.029,6.6787,1.898923358,,0.018,0.019,4.3757,1.476066507,,0.019,0.02,4.606,1.527359801,,0.012,0.013,2.9939,1.096576885,,0.059,0.06,13.818,2.62597209,,0.011,0.012,2.7636,1.016534178,,0.007,0.008,1.8424,0.61106907,
426,-0.001,0.023,0.024,5.5272,1.709681358,,0.028,0.029,6.6787,1.898923358,,0.018,0.019,4.3757,1.476066507,,0.019,0.02,4.606,1.527359801,,0.012,0.013,2.9939,1.096576885,,0.059,0.06,13.818,2.62597209,,0.011,0.012,2.7636,1.016534178,,0.006,0.007,1.6121,0.477537677,
427,0,0.023,0.023,5.2969,1.667121744,,0.028,0.028,6.4484,1.863832038,,0.018,0.018,4.1454,1.421999286,,0.019,0.019,4.3757,1.476066507,,0.012,0.012,2.7636,1.016534178,,0.059,0.059,13.5877,2.609164972,,0.011,0.011,2.5333,0.929522801,,0.007,0.007,1.6121,0.477537677,
