,MilliQ,F22Aug19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr
217,-0.001,0.176,0.177,40.7631,3.70777726,,0.148,0.149,34.3147,3.535573834,,0.148,0.149,34.3147,3.535573834,,0.157,0.158,36.3874,3.594222561,,0.13,0.131,30.1693,3.406824851,,0.166,0.167,38.4601,3.64962134,,0.075,0.076,17.5028,2.862360868,,0.092,0.093,21.4179,3.064227021,
218,-0.001,0.174,0.175,40.3025,3.696413502,,0.145,0.146,33.6238,3.51523415,,0.146,0.147,33.8541,3.522060115,,0.154,0.155,35.6965,3.575052645,,0.123,0.124,28.5572,3.351909093,,0.166,0.167,38.4601,3.64962134,,0.072,0.073,16.8119,2.822086969,,0.09,0.091,20.9573,3.042487034,
219,-0.001,0.171,0.172,39.6116,3.679122005,,0.143,0.144,33.1632,3.501440827,,0.144,0.145,33.3935,3.50836127,,0.152,0.153,35.2359,3.562065449,,0.117,0.118,27.1754,3.302312152,,0.165,0.166,38.2298,3.643615316,,0.07,0.071,16.3513,2.794307405,,0.088,0.089,20.4967,3.020263898,
220,-0.001,0.168,0.169,38.9207,3.661526243,,0.141,0.142,32.7026,3.487454585,,0.141,0.142,32.7026,3.487454585,,0.149,0.15,34.545,3.542262822,,0.111,0.112,25.7936,3.250126399,,0.164,0.165,37.9995,3.637573002,,0.068,0.069,15.8907,2.765734032,,0.086,0.087,20.0361,2.997535646,
221,-0.001,0.165,0.166,38.2298,3.643615316,,0.138,0.139,32.0117,3.466101461,,0.139,0.14,32.242,3.47326995,,0.146,0.147,33.8541,3.522060115,,0.105,0.106,24.4118,3.195066622,,0.163,0.164,37.7692,3.631493956,,0.066,0.067,15.4301,2.736320147,,0.084,0.085,19.5755,2.974278784,
222,-0.001,0.163,0.164,37.7692,3.631493956,,0.136,0.137,31.5511,3.451608454,,0.138,0.139,32.0117,3.466101461,,0.144,0.145,33.3935,3.50836127,,0.099,0.1,23.03,3.136797714,,0.163,0.164,37.7692,3.631493956,,0.064,0.065,14.9695,2.706014798,,0.083,0.084,19.3452,2.962444327,
223,-0.001,0.161,0.162,37.3086,3.619223863,,0.134,0.135,31.0905,3.436902306,,0.136,0.137,31.5511,3.451608454,,0.142,0.143,32.9329,3.494472158,,0.094,0.095,21.8785,3.085504419,,0.162,0.163,37.5389,3.625377729,,0.063,0.064,14.7392,2.690510611,,0.081,0.082,18.8846,2.938346775,
224,0,0.159,0.159,36.6177,3.60053173,,0.132,0.132,30.3996,3.41442945,,0.134,0.134,30.8602,3.429467328,,0.14,0.14,32.242,3.47326995,,0.089,0.089,20.4967,3.020263898,,0.161,0.161,37.0783,3.613031893,,0.061,0.061,14.0483,2.642501392,,0.08,0.08,18.424,2.913654163,
225,0,0.157,0.157,36.1571,3.587873333,,0.13,0.13,29.939,3.399161978,,0.133,0.133,30.6299,3.421976656,,0.138,0.138,31.7814,3.458881213,,0.085,0.085,19.5755,2.974278784,,0.16,0.16,36.848,3.606801343,,0.059,0.059,13.5877,2.609164972,,0.079,0.079,18.1937,2.90107538,
226,-0.001,0.154,0.155,35.6965,3.575052645,,0.128,0.129,29.7087,3.391439932,,0.131,0.132,30.3996,3.41442945,,0.135,0.136,31.3208,3.444282414,,0.08,0.081,18.6543,2.926076683,,0.16,0.161,37.0783,3.613031893,,0.058,0.059,13.5877,2.609164972,,0.077,0.078,17.9634,2.888336355,
227,-0.001,0.152,0.153,35.2359,3.562065449,,0.126,0.127,29.2481,3.375814614,,0.129,0.13,29.939,3.399161978,,0.133,0.134,30.8602,3.429467328,,0.077,0.078,17.9634,2.888336355,,0.159,0.16,36.848,3.606801343,,0.056,0.057,13.1271,2.574678796,,0.075,0.076,17.5028,2.862360868,
228,-0.001,0.15,0.151,34.7753,3.548907365,,0.124,0.125,28.7875,3.359941265,,0.127,0.128,29.4784,3.383657792,,0.131,0.132,30.3996,3.41442945,,0.073,0.074,17.0422,2.835692621,,0.158,0.159,36.6177,3.60053173,,0.054,0.055,12.6665,2.538960713,,0.074,0.075,17.2725,2.849115641,
229,-0.001,0.148,0.149,34.3147,3.535573834,,0.122,0.123,28.3269,3.343811883,,0.126,0.127,29.2481,3.375814614,,0.129,0.13,29.939,3.399161978,,0.07,0.071,16.3513,2.794307405,,0.157,0.158,36.3874,3.594222561,,0.053,0.054,12.4362,2.520611574,,0.072,0.073,16.8119,2.822086969,
230,-0.001,0.146,0.147,33.8541,3.522060115,,0.121,0.122,28.0966,3.335648573,,0.124,0.125,28.7875,3.359941265,,0.127,0.128,29.4784,3.383657792,,0.067,0.068,15.6604,2.751135233,,0.156,0.157,36.1571,3.587873333,,0.052,0.053,12.2059,2.501919441,,0.071,0.072,16.5816,2.808293647,
231,-0.001,0.144,0.145,33.3935,3.50836127,,0.119,0.12,27.636,3.319119271,,0.122,0.123,28.3269,3.343811883,,0.125,0.126,29.0178,3.367909435,,0.065,0.066,15.1998,2.72128227,,0.156,0.157,36.1571,3.587873333,,0.051,0.052,11.9756,2.482871246,,0.07,0.071,16.3513,2.794307405,
232,-0.001,0.142,0.143,32.9329,3.494472158,,0.117,0.118,27.1754,3.302312152,,0.121,0.122,28.0966,3.335648573,,0.123,0.124,28.5572,3.351909093,,0.063,0.064,14.7392,2.690510611,,0.155,0.156,35.9268,3.581483535,,0.05,0.051,11.7453,2.463453161,,0.068,0.069,15.8907,2.765734032,
233,-0.001,0.14,0.141,32.4723,3.480387418,,0.116,0.117,26.9451,3.293801463,,0.119,0.12,27.636,3.319119271,,0.122,0.123,28.3269,3.343811883,,0.061,0.062,14.2786,2.658761913,,0.154,0.155,35.6965,3.575052645,,0.049,0.05,11.515,2.443650533,,0.067,0.068,15.6604,2.751135233,
234,-0.001,0.138,0.139,32.0117,3.466101461,,0.115,0.116,26.7148,3.285217719,,0.117,0.118,27.1754,3.302312152,,0.12,0.121,27.8663,3.327418073,,0.059,0.06,13.818,2.62597209,,0.153,0.154,35.4662,3.56858013,,0.048,0.049,11.2847,2.423447826,,0.066,0.067,15.4301,2.736320147,
235,-0.001,0.136,0.137,31.5511,3.451608454,,0.113,0.114,26.2542,3.267825976,,0.116,0.117,26.9451,3.293801463,,0.118,0.119,27.4057,3.310751021,,0.057,0.058,13.3574,2.592070538,,0.153,0.154,35.4662,3.56858013,,0.047,0.048,11.0544,2.402828539,,0.065,0.066,15.1998,2.72128227,
236,-0.001,0.134,0.135,31.0905,3.436902306,,0.112,0.113,26.0239,3.259015347,,0.114,0.115,26.4845,3.276559656,,0.116,0.117,26.9451,3.293801463,,0.056,0.057,13.1271,2.574678796,,0.152,0.153,35.2359,3.562065449,,0.046,0.047,10.8241,2.38177513,,0.064,0.065,14.9695,2.706014798,
