,Blank,F17Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F24Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F24Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_9R2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
218,-0.003,0.085,0.088,20.2664,3.008964342,,0.04,0.043,19.8058,2.985974824,,0.088,0.091,20.9573,3.042487034,,0.045,0.048,22.1088,3.095975719,,0.072,0.075,17.2725,2.849115641,,0.029,0.032,14.7392,2.690510611,,0.057,0.06,13.818,2.62597209,,0.053,0.056,12.8968,2.556979219,,0.101,0.104,23.9512,3.176018427,,0.051,0.054,24.8724,3.213758755,
219,-0.003,0.084,0.087,20.0361,2.997535646,,0.039,0.042,19.3452,2.962444327,,0.086,0.089,20.4967,3.020263898,,0.044,0.047,21.6482,3.07492231,,0.071,0.074,17.0422,2.835692621,,0.029,0.032,14.7392,2.690510611,,0.056,0.059,13.5877,2.609164972,,0.052,0.055,12.6665,2.538960713,,0.098,0.101,23.2603,3.146748045,,0.05,0.053,24.4118,3.195066622,
220,-0.003,0.082,0.085,19.5755,2.974278784,,0.038,0.041,18.8846,2.938346775,,0.084,0.087,20.0361,2.997535646,,0.043,0.046,21.1876,3.053416105,,0.069,0.072,16.5816,2.808293647,,0.028,0.031,14.2786,2.658761913,,0.055,0.058,13.3574,2.592070538,,0.051,0.054,12.4362,2.520611574,,0.095,0.098,22.5694,3.116595007,,0.048,0.051,23.4906,3.156600341,
221,-0.003,0.081,0.084,19.3452,2.962444327,,0.038,0.041,18.8846,2.938346775,,0.083,0.086,19.8058,2.985974824,,0.042,0.045,20.727,3.031437198,,0.067,0.07,16.121,2.78012277,,0.028,0.031,14.2786,2.658761913,,0.055,0.058,13.3574,2.592070538,,0.05,0.053,12.2059,2.501919441,,0.092,0.095,21.8785,3.085504419,,0.047,0.05,23.03,3.136797714,
222,-0.003,0.08,0.083,19.1149,2.950468136,,0.037,0.04,18.424,2.913654163,,0.081,0.084,19.3452,2.962444327,,0.041,0.044,20.2664,3.008964342,,0.066,0.069,15.8907,2.765734032,,0.027,0.03,13.818,2.62597209,,0.054,0.057,13.1271,2.574678796,,0.049,0.052,11.9756,2.482871246,,0.09,0.093,21.4179,3.064227021,,0.045,0.048,22.1088,3.095975719,
223,-0.003,0.079,0.082,18.8846,2.938346775,,0.036,0.039,17.9634,2.888336355,,0.079,0.082,18.8846,2.938346775,,0.04,0.043,19.8058,2.985974824,,0.064,0.067,15.4301,2.736320147,,0.027,0.03,13.818,2.62597209,,0.053,0.056,12.8968,2.556979219,,0.048,0.051,11.7453,2.463453161,,0.087,0.09,20.727,3.031437198,,0.044,0.047,21.6482,3.07492231,
224,-0.003,0.077,0.08,18.424,2.913654163,,0.036,0.039,17.9634,2.888336355,,0.078,0.081,18.6543,2.926076683,,0.04,0.043,19.8058,2.985974824,,0.063,0.066,15.1998,2.72128227,,0.026,0.029,13.3574,2.592070538,,0.052,0.055,12.6665,2.538960713,,0.047,0.05,11.515,2.443650533,,0.084,0.087,20.0361,2.997535646,,0.043,0.046,21.1876,3.053416105,
225,-0.002,0.076,0.078,17.9634,2.888336355,,0.035,0.037,17.0422,2.835692621,,0.076,0.078,17.9634,2.888336355,,0.039,0.041,18.8846,2.938346775,,0.062,0.064,14.7392,2.690510611,,0.026,0.028,12.8968,2.556979219,,0.051,0.053,12.2059,2.501919441,,0.047,0.049,11.2847,2.423447826,,0.082,0.084,19.3452,2.962444327,,0.041,0.043,19.8058,2.985974824,
226,-0.002,0.075,0.077,17.7331,2.87543295,,0.035,0.037,17.0422,2.835692621,,0.075,0.077,17.7331,2.87543295,,0.039,0.041,18.8846,2.938346775,,0.06,0.062,14.2786,2.658761913,,0.026,0.028,12.8968,2.556979219,,0.051,0.053,12.2059,2.501919441,,0.046,0.048,11.0544,2.402828539,,0.079,0.081,18.6543,2.926076683,,0.04,0.042,19.3452,2.962444327,
227,-0.002,0.074,0.076,17.5028,2.862360868,,0.034,0.036,16.5816,2.808293647,,0.074,0.076,17.5028,2.862360868,,0.038,0.04,18.424,2.913654163,,0.059,0.061,14.0483,2.642501392,,0.025,0.027,12.4362,2.520611574,,0.05,0.052,11.9756,2.482871246,,0.046,0.048,11.0544,2.402828539,,0.076,0.078,17.9634,2.888336355,,0.039,0.041,18.8846,2.938346775,
228,-0.002,0.073,0.075,17.2725,2.849115641,,0.034,0.036,16.5816,2.808293647,,0.073,0.075,17.2725,2.849115641,,0.038,0.04,18.424,2.913654163,,0.058,0.06,13.818,2.62597209,,0.025,0.027,12.4362,2.520611574,,0.049,0.051,11.7453,2.463453161,,0.045,0.047,10.8241,2.38177513,,0.074,0.076,17.5028,2.862360868,,0.037,0.039,17.9634,2.888336355,
