,Blank,F22Jul19_IN_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_INF_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Jun19_Surf_R2_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_Surf_R2_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F27Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_R_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Jun19_9_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Jun19_9_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_9_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
482,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
483,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
484,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
485,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,
486,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
487,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
488,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
489,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
490,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
491,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
492,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
493,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
494,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
495,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
496,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
497,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
498,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
499,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
500,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,
501,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
502,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
503,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
504,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
505,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
506,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
507,0,0.006,0.006,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
508,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.002,0.002,0.4606,-0.775225292,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
509,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
510,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
511,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
512,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
513,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
514,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
515,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
516,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
517,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
518,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
519,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
520,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
521,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
522,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
523,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
524,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
525,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
526,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
527,0,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.001,0.001,0.4606,-0.775225292,,0,0,0,#NUM!,,0.001,0.001,0.2303,-1.468372472,,0.001,0.001,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.002,0.002,0.9212,-0.082078111,,0.004,0.004,0.9212,-0.082078111,,0.002,0.002,0.9212,-0.082078111,
