,Blank,F22Jul19_IN_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_INF_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_5_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Jun19_Surf_R2_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_Surf_R2_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F27Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Jun19_R_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Jun19_9_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Jun19_9_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_9_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
210,-0.005,0.164,0.169,38.9207,3.661526243,,0.077,0.082,37.7692,3.631493956,,0.073,0.078,17.9634,2.888336355,,0.094,0.099,22.7997,3.126747378,,0.039,0.044,20.2664,3.008964342,,0.261,0.266,61.2598,4.115123837,,0.115,0.12,55.272,4.012266451,,0.056,0.061,56.1932,4.028795753,,0.102,0.107,24.6421,3.204456362,,0.055,0.06,27.636,3.319119271,,0.125,0.13,29.939,3.399161978,,0.062,0.067,30.8602,3.429467328,,0.102,0.107,24.6421,3.204456362,,0.053,0.058,26.7148,3.285217719,
211,-0.005,0.159,0.164,37.7692,3.631493956,,0.074,0.079,36.3874,3.594222561,,0.072,0.077,17.7331,2.87543295,,0.092,0.097,22.3391,3.106338506,,0.038,0.043,19.8058,2.985974824,,0.251,0.256,58.9568,4.076804972,,0.111,0.116,53.4296,3.9783649,,0.054,0.059,54.3508,3.995459333,,0.1,0.105,24.1815,3.185587878,,0.054,0.059,27.1754,3.302312152,,0.121,0.126,29.0178,3.367909435,,0.06,0.065,29.939,3.399161978,,0.099,0.104,23.9512,3.176018427,,0.051,0.056,25.7936,3.250126399,
212,-0.004,0.153,0.157,36.1571,3.587873333,,0.072,0.076,35.0056,3.555508049,,0.071,0.075,17.2725,2.849115641,,0.089,0.093,21.4179,3.064227021,,0.037,0.041,18.8846,2.938346775,,0.241,0.245,56.4235,4.032885738,,0.106,0.11,50.666,3.925255074,,0.052,0.056,51.5872,3.94327358,,0.097,0.101,23.2603,3.146748045,,0.052,0.056,25.7936,3.250126399,,0.117,0.121,27.8663,3.327418073,,0.058,0.062,28.5572,3.351909093,,0.096,0.1,23.03,3.136797714,,0.05,0.054,24.8724,3.213758755,
213,-0.004,0.147,0.151,34.7753,3.548907365,,0.069,0.073,33.6238,3.51523415,,0.069,0.073,16.8119,2.822086969,,0.087,0.091,20.9573,3.042487034,,0.036,0.04,18.424,2.913654163,,0.23,0.234,53.8902,3.986948643,,0.101,0.105,48.363,3.878735059,,0.049,0.053,48.8236,3.888213803,,0.095,0.099,22.7997,3.126747378,,0.051,0.055,25.333,3.232107894,,0.113,0.117,26.9451,3.293801463,,0.056,0.06,27.636,3.319119271,,0.093,0.097,22.3391,3.106338506,,0.048,0.052,23.9512,3.176018427,
214,-0.004,0.141,0.145,33.3935,3.50836127,,0.066,0.07,32.242,3.47326995,,0.068,0.072,16.5816,2.808293647,,0.084,0.088,20.2664,3.008964342,,0.036,0.04,18.424,2.913654163,,0.219,0.223,51.3569,3.938799299,,0.096,0.1,46.06,3.829944894,,0.047,0.051,46.9812,3.849747522,,0.092,0.096,22.1088,3.095975719,,0.05,0.054,24.8724,3.213758755,,0.109,0.113,26.0239,3.259015347,,0.054,0.058,26.7148,3.285217719,,0.09,0.094,21.6482,3.07492231,,0.047,0.051,23.4906,3.156600341,
215,-0.004,0.135,0.139,32.0117,3.466101461,,0.063,0.067,30.8602,3.429467328,,0.067,0.071,16.3513,2.794307405,,0.082,0.086,19.8058,2.985974824,,0.035,0.039,17.9634,2.888336355,,0.209,0.213,49.0539,3.892919694,,0.092,0.096,44.2176,3.7891229,,0.044,0.048,44.2176,3.7891229,,0.09,0.094,21.6482,3.07492231,,0.049,0.053,24.4118,3.195066622,,0.106,0.11,25.333,3.232107894,,0.052,0.056,25.7936,3.250126399,,0.087,0.091,20.9573,3.042487034,,0.045,0.049,22.5694,3.116595007,
216,-0.004,0.128,0.132,30.3996,3.41442945,,0.06,0.064,29.4784,3.383657792,,0.066,0.07,16.121,2.78012277,,0.08,0.084,19.3452,2.962444327,,0.034,0.038,17.5028,2.862360868,,0.198,0.202,46.5206,3.839895225,,0.087,0.091,41.9146,3.735634215,,0.042,0.046,42.3752,3.746563285,,0.088,0.092,21.1876,3.053416105,,0.048,0.052,23.9512,3.176018427,,0.103,0.107,24.6421,3.204456362,,0.051,0.055,25.333,3.232107894,,0.085,0.089,20.4967,3.020263898,,0.044,0.048,22.1088,3.095975719,
217,-0.004,0.122,0.126,29.0178,3.367909435,,0.056,0.06,27.636,3.319119271,,0.065,0.069,15.8907,2.765734032,,0.077,0.081,18.6543,2.926076683,,0.033,0.037,17.0422,2.835692621,,0.188,0.192,44.2176,3.7891229,,0.082,0.086,39.6116,3.679122005,,0.039,0.043,39.6116,3.679122005,,0.086,0.09,20.727,3.031437198,,0.047,0.051,23.4906,3.156600341,,0.099,0.103,23.7209,3.166356516,,0.049,0.053,24.4118,3.195066622,,0.082,0.086,19.8058,2.985974824,,0.042,0.046,21.1876,3.053416105,
218,-0.004,0.116,0.12,27.636,3.319119271,,0.054,0.058,26.7148,3.285217719,,0.064,0.068,15.6604,2.751135233,,0.075,0.079,18.1937,2.90107538,,0.033,0.037,17.0422,2.835692621,,0.178,0.182,41.9146,3.735634215,,0.078,0.082,37.7692,3.631493956,,0.037,0.041,37.7692,3.631493956,,0.085,0.089,20.4967,3.020263898,,0.046,0.05,23.03,3.136797714,,0.096,0.1,23.03,3.136797714,,0.047,0.051,23.4906,3.156600341,,0.08,0.084,19.3452,2.962444327,,0.041,0.045,20.727,3.031437198,
219,-0.004,0.11,0.114,26.2542,3.267825976,,0.051,0.055,25.333,3.232107894,,0.063,0.067,15.4301,2.736320147,,0.073,0.077,17.7331,2.87543295,,0.032,0.036,16.5816,2.808293647,,0.169,0.173,39.8419,3.684919122,,0.073,0.077,35.4662,3.56858013,,0.035,0.039,35.9268,3.581483535,,0.083,0.087,20.0361,2.997535646,,0.045,0.049,22.5694,3.116595007,,0.094,0.098,22.5694,3.116595007,,0.046,0.05,23.03,3.136797714,,0.077,0.081,18.6543,2.926076683,,0.04,0.044,20.2664,3.008964342,
220,-0.003,0.104,0.107,24.6421,3.204456362,,0.049,0.052,23.9512,3.176018427,,0.062,0.065,14.9695,2.706014798,,0.072,0.075,17.2725,2.849115641,,0.032,0.035,16.121,2.78012277,,0.16,0.163,37.5389,3.625377729,,0.069,0.072,33.1632,3.501440827,,0.033,0.036,33.1632,3.501440827,,0.082,0.085,19.5755,2.974278784,,0.044,0.047,21.6482,3.07492231,,0.091,0.094,21.6482,3.07492231,,0.045,0.048,22.1088,3.095975719,,0.075,0.078,17.9634,2.888336355,,0.039,0.042,19.3452,2.962444327,
221,-0.003,0.099,0.102,23.4906,3.156600341,,0.046,0.049,22.5694,3.116595007,,0.061,0.064,14.7392,2.690510611,,0.07,0.073,16.8119,2.822086969,,0.031,0.034,15.6604,2.751135233,,0.151,0.154,35.4662,3.56858013,,0.065,0.068,31.3208,3.444282414,,0.031,0.034,31.3208,3.444282414,,0.08,0.083,19.1149,2.950468136,,0.043,0.046,21.1876,3.053416105,,0.088,0.091,20.9573,3.042487034,,0.043,0.046,21.1876,3.053416105,,0.073,0.076,17.5028,2.862360868,,0.038,0.041,18.8846,2.938346775,
222,-0.003,0.094,0.097,22.3391,3.106338506,,0.044,0.047,21.6482,3.07492231,,0.06,0.063,14.5089,2.674762254,,0.068,0.071,16.3513,2.794307405,,0.03,0.033,15.1998,2.72128227,,0.144,0.147,33.8541,3.522060115,,0.062,0.065,29.939,3.399161978,,0.029,0.032,29.4784,3.383657792,,0.079,0.082,18.8846,2.938346775,,0.043,0.046,21.1876,3.053416105,,0.086,0.089,20.4967,3.020263898,,0.042,0.045,20.727,3.031437198,,0.071,0.074,17.0422,2.835692621,,0.037,0.04,18.424,2.913654163,
223,-0.003,0.09,0.093,21.4179,3.064227021,,0.041,0.044,20.2664,3.008964342,,0.059,0.062,14.2786,2.658761913,,0.067,0.07,16.121,2.78012277,,0.03,0.033,15.1998,2.72128227,,0.136,0.139,32.0117,3.466101461,,0.059,0.062,28.5572,3.351909093,,0.028,0.031,28.5572,3.351909093,,0.077,0.08,18.424,2.913654163,,0.042,0.045,20.727,3.031437198,,0.083,0.086,19.8058,2.985974824,,0.041,0.044,20.2664,3.008964342,,0.07,0.073,16.8119,2.822086969,,0.036,0.039,17.9634,2.888336355,
224,-0.003,0.085,0.088,20.2664,3.008964342,,0.039,0.042,19.3452,2.962444327,,0.059,0.062,14.2786,2.658761913,,0.065,0.068,15.6604,2.751135233,,0.029,0.032,14.7392,2.690510611,,0.129,0.132,30.3996,3.41442945,,0.055,0.058,26.7148,3.285217719,,0.026,0.029,26.7148,3.285217719,,0.076,0.079,18.1937,2.90107538,,0.041,0.044,20.2664,3.008964342,,0.081,0.084,19.3452,2.962444327,,0.039,0.042,19.3452,2.962444327,,0.068,0.071,16.3513,2.794307405,,0.035,0.038,17.5028,2.862360868,
225,-0.003,0.081,0.084,19.3452,2.962444327,,0.037,0.04,18.424,2.913654163,,0.058,0.061,14.0483,2.642501392,,0.063,0.066,15.1998,2.72128227,,0.029,0.032,14.7392,2.690510611,,0.123,0.126,29.0178,3.367909435,,0.052,0.055,25.333,3.232107894,,0.024,0.027,24.8724,3.213758755,,0.075,0.078,17.9634,2.888336355,,0.041,0.044,20.2664,3.008964342,,0.079,0.082,18.8846,2.938346775,,0.038,0.041,18.8846,2.938346775,,0.066,0.069,15.8907,2.765734032,,0.034,0.037,17.0422,2.835692621,
226,-0.003,0.078,0.081,18.6543,2.926076683,,0.036,0.039,17.9634,2.888336355,,0.057,0.06,13.818,2.62597209,,0.062,0.065,14.9695,2.706014798,,0.029,0.032,14.7392,2.690510611,,0.116,0.119,27.4057,3.310751021,,0.049,0.052,23.9512,3.176018427,,0.023,0.026,23.9512,3.176018427,,0.074,0.077,17.7331,2.87543295,,0.04,0.043,19.8058,2.985974824,,0.077,0.08,18.424,2.913654163,,0.038,0.041,18.8846,2.938346775,,0.064,0.067,15.4301,2.736320147,,0.034,0.037,17.0422,2.835692621,
227,-0.003,0.074,0.077,17.7331,2.87543295,,0.034,0.037,17.0422,2.835692621,,0.057,0.06,13.818,2.62597209,,0.061,0.064,14.7392,2.690510611,,0.028,0.031,14.2786,2.658761913,,0.111,0.114,26.2542,3.267825976,,0.047,0.05,23.03,3.136797714,,0.021,0.024,22.1088,3.095975719,,0.072,0.075,17.2725,2.849115641,,0.039,0.042,19.3452,2.962444327,,0.075,0.078,17.9634,2.888336355,,0.037,0.04,18.424,2.913654163,,0.063,0.066,15.1998,2.72128227,,0.033,0.036,16.5816,2.808293647,
228,-0.003,0.071,0.074,17.0422,2.835692621,,0.033,0.036,16.5816,2.808293647,,0.056,0.059,13.5877,2.609164972,,0.059,0.062,14.2786,2.658761913,,0.027,0.03,13.818,2.62597209,,0.106,0.109,25.1027,3.22297541,,0.044,0.047,21.6482,3.07492231,,0.02,0.023,21.1876,3.053416105,,0.071,0.074,17.0422,2.835692621,,0.039,0.042,19.3452,2.962444327,,0.073,0.076,17.5028,2.862360868,,0.036,0.039,17.9634,2.888336355,,0.061,0.064,14.7392,2.690510611,,0.032,0.035,16.121,2.78012277,
229,-0.003,0.069,0.072,16.5816,2.808293647,,0.032,0.035,16.121,2.78012277,,0.055,0.058,13.3574,2.592070538,,0.058,0.061,14.0483,2.642501392,,0.027,0.03,13.818,2.62597209,,0.101,0.104,23.9512,3.176018427,,0.042,0.045,20.727,3.031437198,,0.019,0.022,20.2664,3.008964342,,0.07,0.073,16.8119,2.822086969,,0.038,0.041,18.8846,2.938346775,,0.071,0.074,17.0422,2.835692621,,0.035,0.038,17.5028,2.862360868,,0.06,0.063,14.5089,2.674762254,,0.031,0.034,15.6604,2.751135233,
230,-0.003,0.066,0.069,15.8907,2.765734032,,0.03,0.033,15.1998,2.72128227,,0.055,0.058,13.3574,2.592070538,,0.057,0.06,13.818,2.62597209,,0.027,0.03,13.818,2.62597209,,0.096,0.099,22.7997,3.126747378,,0.04,0.043,19.8058,2.985974824,,0.018,0.021,19.3452,2.962444327,,0.069,0.072,16.5816,2.808293647,,0.038,0.041,18.8846,2.938346775,,0.07,0.073,16.8119,2.822086969,,0.034,0.037,17.0422,2.835692621,,0.058,0.061,14.0483,2.642501392,,0.031,0.034,15.6604,2.751135233,
