,Blank,F13Jun19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_5mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep19_9mR2,A(CDOM),a(CDOM),ln(a),Sr
518,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.006,0.007,3.2242,1.170684857,,0.028,0.029,6.6787,1.898923358,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
519,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.006,0.007,3.2242,1.170684857,,0.028,0.029,6.6787,1.898923358,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
520,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.006,0.007,3.2242,1.170684857,,0.028,0.029,6.6787,1.898923358,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
521,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.006,0.007,3.2242,1.170684857,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
522,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
523,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
524,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.006,0.007,3.2242,1.170684857,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
525,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
526,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
527,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
528,-0.001,0.007,0.008,1.8424,0.61106907,,0.004,0.005,1.1515,0.14106544,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.008,0.009,2.0727,0.728852105,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
529,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
530,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
531,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
532,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
533,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
534,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.008,0.009,4.1454,1.421999286,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
535,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.006,0.007,3.2242,1.170684857,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
536,0,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.006,0.006,2.7636,1.016534178,,0.028,0.028,6.4484,1.863832038,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,,0.019,0.019,4.3757,1.476066507,,0.008,0.008,3.6848,1.30421625,,0.007,0.007,1.6121,0.477537677,
537,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.006,0.007,3.2242,1.170684857,,0.027,0.028,6.4484,1.863832038,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
538,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.018,0.019,4.3757,1.476066507,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
539,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
540,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
541,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
542,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
543,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
544,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
545,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,
546,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
547,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
548,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
549,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
550,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
551,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
552,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
553,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
554,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
555,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
556,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
557,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
558,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
559,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.007,0.008,1.8424,0.61106907,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
560,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
561,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
562,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
563,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
564,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
565,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
566,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
567,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
568,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
569,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
570,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
571,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
572,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
573,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.017,0.018,4.1454,1.421999286,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
574,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.004,0.005,2.303,0.834212621,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
575,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
576,-0.001,0.007,0.008,1.8424,0.61106907,,0.002,0.003,0.6909,-0.369760183,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
577,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
578,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
579,-0.001,0.007,0.008,1.8424,0.61106907,,0.003,0.004,0.9212,-0.082078111,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.009,0.01,4.606,1.527359801,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
580,-0.001,0.006,0.007,1.6121,0.477537677,,0.002,0.003,0.6909,-0.369760183,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
581,-0.001,0.006,0.007,1.6121,0.477537677,,0.002,0.003,0.6909,-0.369760183,,0.005,0.006,2.7636,1.016534178,,0.025,0.026,5.9878,1.789724066,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
582,-0.001,0.006,0.007,1.6121,0.477537677,,0.002,0.003,0.6909,-0.369760183,,0.005,0.006,2.7636,1.016534178,,0.026,0.027,6.2181,1.827464394,,0.008,0.009,4.1454,1.421999286,,0.006,0.007,1.6121,0.477537677,,0.003,0.004,1.8424,0.61106907,,0.016,0.017,3.9151,1.364840872,,0.007,0.008,3.6848,1.30421625,,0.005,0.006,1.3818,0.323386997,
