,Blank,F13Jun19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_5mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep19_9mR2,A(CDOM),a(CDOM),ln(a),Sr
212,-0.006,0.103,0.109,25.1027,3.22297541,,0.171,0.177,40.7631,3.70777726,,0.088,0.094,43.2964,3.768069491,,0.148,0.154,35.4662,3.56858013,,0.06,0.066,30.3996,3.41442945,,0.176,0.182,41.9146,3.735634215,,0.085,0.091,41.9146,3.735634215,,0.127,0.133,30.6299,3.421976656,,0.059,0.065,29.939,3.399161978,,0.058,0.064,14.7392,2.690510611,
213,-0.006,0.101,0.107,24.6421,3.204456362,,0.166,0.172,39.6116,3.679122005,,0.085,0.091,41.9146,3.735634215,,0.146,0.152,35.0056,3.555508049,,0.059,0.065,29.939,3.399161978,,0.172,0.178,40.9934,3.713411078,,0.083,0.089,40.9934,3.713411078,,0.126,0.132,30.3996,3.41442945,,0.058,0.064,29.4784,3.383657792,,0.056,0.062,14.2786,2.658761913,
214,-0.006,0.099,0.105,24.1815,3.185587878,,0.162,0.168,38.6904,3.655591507,,0.083,0.089,40.9934,3.713411078,,0.144,0.15,34.545,3.542262822,,0.058,0.064,29.4784,3.383657792,,0.169,0.175,40.3025,3.696413502,,0.082,0.088,40.5328,3.702111523,,0.125,0.131,30.1693,3.406824851,,0.058,0.064,29.4784,3.383657792,,0.055,0.061,14.0483,2.642501392,
215,-0.006,0.097,0.103,23.7209,3.166356516,,0.159,0.165,37.9995,3.637573002,,0.082,0.088,40.5328,3.702111523,,0.143,0.149,34.3147,3.535573834,,0.057,0.063,29.0178,3.367909435,,0.166,0.172,39.6116,3.679122005,,0.08,0.086,39.6116,3.679122005,,0.124,0.13,29.939,3.399161978,,0.058,0.064,29.4784,3.383657792,,0.054,0.06,13.818,2.62597209,
216,-0.006,0.095,0.101,23.2603,3.146748045,,0.155,0.161,37.0783,3.613031893,,0.08,0.086,39.6116,3.679122005,,0.141,0.147,33.8541,3.522060115,,0.057,0.063,29.0178,3.367909435,,0.162,0.168,38.6904,3.655591507,,0.079,0.085,39.151,3.667425965,,0.122,0.128,29.4784,3.383657792,,0.057,0.063,29.0178,3.367909435,,0.053,0.059,13.5877,2.609164972,
217,-0.006,0.093,0.099,22.7997,3.126747378,,0.152,0.158,36.3874,3.594222561,,0.079,0.085,39.151,3.667425965,,0.14,0.146,33.6238,3.51523415,,0.056,0.062,28.5572,3.351909093,,0.159,0.165,37.9995,3.637573002,,0.077,0.083,38.2298,3.643615316,,0.122,0.128,29.4784,3.383657792,,0.057,0.063,29.0178,3.367909435,,0.051,0.057,13.1271,2.574678796,
218,-0.006,0.092,0.098,22.5694,3.116595007,,0.149,0.155,35.6965,3.575052645,,0.077,0.083,38.2298,3.643615316,,0.138,0.144,33.1632,3.501440827,,0.056,0.062,28.5572,3.351909093,,0.156,0.162,37.3086,3.619223863,,0.076,0.082,37.7692,3.631493956,,0.121,0.127,29.2481,3.375814614,,0.056,0.062,28.5572,3.351909093,,0.05,0.056,12.8968,2.556979219,
219,-0.006,0.09,0.096,22.1088,3.095975719,,0.147,0.153,35.2359,3.562065449,,0.076,0.082,37.7692,3.631493956,,0.137,0.143,32.9329,3.494472158,,0.055,0.061,28.0966,3.335648573,,0.154,0.16,36.848,3.606801343,,0.075,0.081,37.3086,3.619223863,,0.12,0.126,29.0178,3.367909435,,0.056,0.062,28.5572,3.351909093,,0.05,0.056,12.8968,2.556979219,
220,-0.006,0.089,0.095,21.8785,3.085504419,,0.144,0.15,34.545,3.542262822,,0.075,0.081,37.3086,3.619223863,,0.136,0.142,32.7026,3.487454585,,0.055,0.061,28.0966,3.335648573,,0.151,0.157,36.1571,3.587873333,,0.074,0.08,36.848,3.606801343,,0.119,0.125,28.7875,3.359941265,,0.055,0.061,28.0966,3.335648573,,0.049,0.055,12.6665,2.538960713,
221,-0.006,0.087,0.093,21.4179,3.064227021,,0.142,0.148,34.0844,3.528839802,,0.074,0.08,36.848,3.606801343,,0.135,0.141,32.4723,3.480387418,,0.054,0.06,27.636,3.319119271,,0.149,0.155,35.6965,3.575052645,,0.073,0.079,36.3874,3.594222561,,0.118,0.124,28.5572,3.351909093,,0.055,0.061,28.0966,3.335648573,,0.048,0.054,12.4362,2.520611574,
