,MilliQ,F13Jun19_0.1R5,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_0.1R5_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_0.1R5_Dil1:2_ReRun,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_3.8R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_3.8R1_Dil1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F28Aug19_3.8R1_Dil1:8,A(CDOM),Dilution 1:8 a(CDOM),Dilution 1:8 ln(a),Sr,F28Aug19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_9mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep190.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_0.1mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
525,-0.001,0.004,0.005,1.1515,0.14106544,,0.002,0.003,1.3818,0.323386997,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,,0.005,0.006,2.7636,1.016534178,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,
526,-0.001,0.004,0.005,1.1515,0.14106544,,0.002,0.003,1.3818,0.323386997,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,,0.005,0.006,2.7636,1.016534178,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,
527,-0.001,0.004,0.005,1.1515,0.14106544,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
528,-0.001,0.004,0.005,1.1515,0.14106544,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
529,-0.001,0.004,0.005,1.1515,0.14106544,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
530,-0.001,0.004,0.005,1.1515,0.14106544,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.012,0.013,2.9939,1.096576885,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
531,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
532,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
533,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
534,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
535,-0.001,0.004,0.005,1.1515,0.14106544,,0.002,0.003,1.3818,0.323386997,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
536,0,0.005,0.005,1.1515,0.14106544,,0.003,0.003,1.3818,0.323386997,,0.003,0.003,1.3818,0.323386997,,0.012,0.012,2.7636,1.016534178,,0.002,0.002,1.8424,0.61106907,,0.002,0.002,3.6848,1.30421625,,0.012,0.012,2.7636,1.016534178,,0.006,0.006,2.7636,1.016534178,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.9212,-0.082078111,
537,-0.001,0.004,0.005,1.1515,0.14106544,,0.002,0.003,1.3818,0.323386997,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,
538,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
539,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
540,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
541,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
542,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
543,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
544,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
545,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
546,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
547,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
548,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
549,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
550,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
551,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.011,0.012,2.7636,1.016534178,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
552,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
553,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
554,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.011,0.012,2.7636,1.016534178,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
555,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
556,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
557,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
558,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
559,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
560,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
561,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
562,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0,0.001,1.8424,0.61106907,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
563,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
564,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
565,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
566,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
567,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
568,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
569,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
570,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
571,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
572,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
573,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
574,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
575,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
576,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
577,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
578,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
579,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
580,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
581,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.004,0.005,2.303,0.834212621,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
582,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.004,0.005,2.303,0.834212621,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
583,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
584,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.01,0.011,2.5333,0.929522801,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
585,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.002,0.003,1.3818,0.323386997,,0.009,0.01,2.303,0.834212621,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0.001,0.002,0.9212,-0.082078111,
586,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.004,0.005,2.303,0.834212621,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
587,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.004,0.005,2.303,0.834212621,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
588,-0.001,0.003,0.004,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.001,0.002,0.9212,-0.082078111,,0.009,0.01,2.303,0.834212621,,0.001,0.002,1.8424,0.61106907,,0.001,0.002,3.6848,1.30421625,,0.01,0.011,2.5333,0.929522801,,0.005,0.006,2.7636,1.016534178,,0.002,0.003,0.6909,-0.369760183,,0,0.001,0.4606,-0.775225292,
