,MilliQ,F13Jun19_0.1R5,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_0.1R5_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_0.1R5_Dil1:2_ReRun,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_3.8R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_3.8R1_Dil1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F28Aug19_3.8R1_Dil1:8,A(CDOM),Dilution 1:8 a(CDOM),Dilution 1:8 ln(a),Sr,F28Aug19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_9mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep190.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_0.1mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
217,-0.006,0.113,0.119,27.4057,3.310751021,,0.107,0.113,52.0478,3.952162527,,0.109,0.115,52.969,3.969706837,,0.382,0.388,89.3564,4.492632867,,0.116,0.122,112.3864,4.721942934,,0.051,0.057,105.0168,4.654120337,,0.099,0.105,24.1815,3.185587878,,0.048,0.054,24.8724,3.213758755,,0.125,0.131,30.1693,3.406824851,,0.058,0.064,29.4784,3.383657792,
218,-0.006,0.11,0.116,26.7148,3.285217719,,0.103,0.109,50.2054,3.916122591,,0.105,0.111,51.1266,3.93430491,,0.359,0.365,84.0595,4.431524881,,0.108,0.114,105.0168,4.654120337,,0.048,0.054,99.4896,4.600053116,,0.097,0.103,23.7209,3.166356516,,0.047,0.053,24.4118,3.195066622,,0.122,0.128,29.4784,3.383657792,,0.056,0.062,28.5572,3.351909093,
219,-0.006,0.106,0.112,25.7936,3.250126399,,0.099,0.105,48.363,3.878735059,,0.101,0.107,49.2842,3.897603543,,0.336,0.342,78.7626,4.366438265,,0.101,0.107,98.5684,4.590750723,,0.044,0.05,92.12,4.523092075,,0.095,0.101,23.2603,3.146748045,,0.046,0.052,23.9512,3.176018427,,0.12,0.126,29.0178,3.367909435,,0.055,0.061,28.0966,3.335648573,
220,-0.006,0.103,0.109,25.1027,3.22297541,,0.095,0.101,46.5206,3.839895225,,0.096,0.102,46.9812,3.849747522,,0.313,0.319,73.4657,4.296818631,,0.094,0.1,92.12,4.523092075,,0.041,0.047,86.5928,4.461216671,,0.094,0.1,23.03,3.136797714,,0.046,0.052,23.9512,3.176018427,,0.117,0.123,28.3269,3.343811883,,0.054,0.06,27.636,3.319119271,
221,-0.005,0.099,0.104,23.9512,3.176018427,,0.091,0.096,44.2176,3.7891229,,0.093,0.098,45.1388,3.809742187,,0.292,0.297,68.3991,4.225359667,,0.087,0.092,84.7504,4.439710466,,0.038,0.043,79.2232,4.372269185,,0.092,0.097,22.3391,3.106338506,,0.045,0.05,23.03,3.136797714,,0.115,0.12,27.636,3.319119271,,0.053,0.058,26.7148,3.285217719,
222,-0.005,0.096,0.101,23.2603,3.146748045,,0.087,0.092,42.3752,3.746563285,,0.089,0.094,43.2964,3.768069491,,0.273,0.278,64.0234,4.159248642,,0.08,0.085,78.302,4.360573145,,0.035,0.04,73.696,4.299948524,,0.091,0.096,22.1088,3.095975719,,0.044,0.049,22.5694,3.116595007,,0.113,0.118,27.1754,3.302312152,,0.052,0.057,26.2542,3.267825976,
223,-0.005,0.093,0.098,22.5694,3.116595007,,0.083,0.088,40.5328,3.702111523,,0.085,0.09,41.454,3.724584379,,0.255,0.26,59.878,4.092309159,,0.074,0.079,72.7748,4.287369741,,0.032,0.037,68.1688,4.221986982,,0.09,0.095,21.8785,3.085504419,,0.044,0.049,22.5694,3.116595007,,0.11,0.115,26.4845,3.276559656,,0.051,0.056,25.7936,3.250126399,
224,-0.005,0.09,0.095,21.8785,3.085504419,,0.079,0.084,38.6904,3.655591507,,0.081,0.086,39.6116,3.679122005,,0.237,0.242,55.7326,4.020565254,,0.068,0.073,67.2476,4.20838133,,0.029,0.034,62.6416,4.137429594,,0.088,0.093,21.4179,3.064227021,,0.043,0.048,22.1088,3.095975719,,0.108,0.113,26.0239,3.259015347,,0.05,0.055,25.333,3.232107894,
225,-0.005,0.087,0.092,21.1876,3.053416105,,0.075,0.08,36.848,3.606801343,,0.077,0.082,37.7692,3.631493956,,0.22,0.225,51.8175,3.94772793,,0.063,0.068,62.6416,4.137429594,,0.027,0.032,58.9568,4.076804972,,0.087,0.092,21.1876,3.053416105,,0.043,0.048,22.1088,3.095975719,,0.106,0.111,25.5633,3.241157729,,0.049,0.054,24.8724,3.213758755,
226,-0.005,0.085,0.09,20.727,3.031437198,,0.072,0.077,35.4662,3.56858013,,0.074,0.079,36.3874,3.594222561,,0.205,0.21,48.363,3.878735059,,0.058,0.063,58.0356,4.061056615,,0.024,0.029,53.4296,3.9783649,,0.086,0.091,20.9573,3.042487034,,0.042,0.047,21.6482,3.07492231,,0.104,0.109,25.1027,3.22297541,,0.048,0.053,24.4118,3.195066622,
