Wavelength,MilliQ,MilliQ_2,MilliQ_3,C19nov21_CCT_r1,MilliQ_4_newcuvette,C19nov21_1.5m,C19nov21_21m,C19nov21_SMB,C19nov21_9m,C19nov21_TCT,C19nov21_0.1m,C19nov21_HPB,C19nov21_6m
244,0.004,0.004,0.004,0.052,-0.002,0.052,0.05,0.048,0.049,0.025,0.053,0.059,0.053
245,0.004,0.004,0.004,0.052,-0.002,0.051,0.049,0.048,0.049,0.024,0.052,0.058,0.053
246,0.004,0.004,0.004,0.051,-0.001,0.051,0.049,0.047,0.048,0.024,0.052,0.057,0.052
247,0.004,0.004,0.004,0.051,-0.001,0.05,0.048,0.047,0.047,0.024,0.051,0.057,0.051
248,0.004,0.004,0.004,0.051,-0.002,0.049,0.047,0.046,0.047,0.023,0.05,0.056,0.051
249,0.004,0.004,0.003,0.051,-0.002,0.049,0.047,0.046,0.046,0.023,0.05,0.055,0.05
250,0.004,0.004,0.003,0.051,-0.002,0.048,0.047,0.045,0.046,0.022,0.05,0.055,0.05
251,0.004,0.004,0.003,0.051,-0.001,0.048,0.046,0.045,0.045,0.022,0.049,0.054,0.05
252,0.004,0.004,0.004,0.051,-0.001,0.047,0.046,0.044,0.045,0.022,0.049,0.054,0.049
253,0.003,0.003,0.003,0.051,-0.002,0.047,0.045,0.044,0.044,0.022,0.048,0.053,0.049
254,0.003,0.003,0.003,0.051,-0.002,0.047,0.045,0.043,0.044,0.021,0.048,0.053,0.048
255,0.003,0.003,0.003,0.051,-0.002,0.046,0.044,0.043,0.044,0.021,0.047,0.052,0.048
256,0.003,0.003,0.003,0.051,-0.002,0.046,0.044,0.042,0.043,0.021,0.047,0.052,0.047
257,0.003,0.003,0.003,0.052,-0.002,0.045,0.043,0.042,0.043,0.021,0.046,0.051,0.047
258,0.003,0.003,0.003,0.052,-0.001,0.045,0.043,0.042,0.043,0.021,0.046,0.051,0.047
259,0.003,0.003,0.003,0.052,-0.001,0.045,0.043,0.042,0.042,0.02,0.046,0.051,0.046
260,0.003,0.003,0.003,0.053,-0.001,0.044,0.042,0.041,0.042,0.02,0.045,0.05,0.046
261,0.003,0.003,0.003,0.053,-0.001,0.044,0.042,0.041,0.042,0.02,0.045,0.05,0.045
262,0.003,0.003,0.003,0.053,-0.001,0.043,0.042,0.041,0.041,0.02,0.044,0.049,0.045
263,0.003,0.003,0.003,0.053,-0.002,0.043,0.041,0.04,0.041,0.02,0.044,0.049,0.045
264,0.003,0.003,0.003,0.054,-0.001,0.043,0.041,0.04,0.04,0.02,0.043,0.049,0.044
265,0.003,0.003,0.003,0.054,-0.001,0.042,0.04,0.04,0.04,0.02,0.043,0.048,0.044
266,0.003,0.003,0.003,0.054,-0.001,0.042,0.04,0.039,0.039,0.019,0.042,0.048,0.043
