Wavelength,MilliQ,C23sep21_CCT_r1,C23sep21_20m_r2,C23sep21_SMB_r1,C23sep21_0.1m_r2,C23sep21_HPB_r2,C23sep21_9m_r1,C23sep21_TCT_r2
366,0.003,0.047,0.02,0.01,0.008,0.033,0.007,0.041
367,0.003,0.047,0.019,0.01,0.007,0.033,0.007,0.041
368,0.003,0.046,0.019,0.01,0.007,0.033,0.007,0.041
369,0.003,0.046,0.019,0.01,0.007,0.032,0.007,0.04
370,0.003,0.046,0.018,0.01,0.007,0.031,0.007,0.04
371,0.003,0.046,0.018,0.009,0.007,0.031,0.007,0.039
372,0.003,0.045,0.018,0.009,0.007,0.031,0.007,0.039
373,0.003,0.045,0.018,0.009,0.007,0.03,0.007,0.039
374,0.003,0.045,0.018,0.009,0.006,0.03,0.006,0.038
375,0.003,0.045,0.018,0.009,0.006,0.03,0.006,0.038
376,0.003,0.044,0.017,0.009,0.006,0.029,0.006,0.038
377,0.003,0.044,0.017,0.009,0.006,0.029,0.006,0.038
378,0.003,0.044,0.017,0.009,0.006,0.029,0.006,0.037
379,0.003,0.044,0.017,0.008,0.006,0.028,0.006,0.037
380,0.003,0.043,0.017,0.008,0.006,0.028,0.006,0.037
381,0.003,0.043,0.016,0.008,0.006,0.027,0.006,0.036
382,0.003,0.043,0.016,0.008,0.006,0.027,0.006,0.036
383,0.002,0.043,0.016,0.008,0.005,0.027,0.005,0.036
384,0.002,0.042,0.016,0.008,0.005,0.027,0.005,0.036
385,0.002,0.042,0.016,0.008,0.005,0.026,0.005,0.035
386,0.003,0.042,0.016,0.008,0.005,0.026,0.005,0.035
387,0.002,0.042,0.015,0.008,0.005,0.025,0.005,0.035
388,0.002,0.041,0.015,0.008,0.005,0.025,0.005,0.035
389,0.002,0.041,0.015,0.008,0.005,0.025,0.005,0.034
390,0.002,0.041,0.015,0.007,0.005,0.025,0.005,0.034
391,0.002,0.041,0.015,0.007,0.005,0.024,0.005,0.034
