Wavelength,MilliQ,C28feb22_9mr1,C28feb22_CCTr1,C28feb22_21mr2,C28feb22_SMBr2,C28feb22_1.5mr2,C28feb22_HPBr2,C28feb22_0.1mr2,C28feb22_6mr1,C28feb22_TCTr1,C28feb22_HPBr1
788,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
789,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
790,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
791,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
792,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
793,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
794,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
795,0,0.001,0.005,0,0.001,0.001,0.002,0.002,0.001,0.002,0.002
796,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
797,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
798,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
799,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
800,0,0.001,0.005,0,0.001,0,0.002,0.003,0.001,0.002,0.002
801,0,0.001,0.005,0,0.001,0,0.002,0.003,0.001,0.002,0.002
802,0,0.001,0.005,0,0.001,0,0.002,0.003,0.001,0.002,0.002
803,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
804,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
805,0,0,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
806,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
807,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
808,0,0.001,0.005,0,0.001,0,0.002,0.003,0.001,0.002,0.002
809,0,0,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
810,0,0,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
811,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
812,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
813,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
814,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
815,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
816,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
817,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
818,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
819,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
820,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
821,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
822,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
823,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
824,0,0,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
825,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
826,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
827,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
828,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
829,0,0.001,0.004,0,0.001,0.001,0.002,0.002,0.001,0.002,0.002
830,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
831,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
832,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
833,0,0.001,0.004,0,0.002,0.001,0.002,0.002,0.001,0.002,0.002
834,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
835,0,0.001,0.004,0,0.002,0.001,0.002,0.002,0.001,0.002,0.002
836,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
837,0,0.001,0.004,0,0.002,0.001,0.002,0.002,0.001,0.002,0.002
838,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
839,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
840,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
841,0,0.001,0.005,0,0.002,0,0.002,0.003,0.001,0.002,0.002
842,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
843,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
844,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
845,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
846,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
847,0,0.001,0.005,0,0.002,0,0.002,0.003,0.001,0.002,0.002
848,0,0.001,0.005,0,0.002,0,0.002,0.003,0.001,0.002,0.002
849,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
850,0,0.001,0.005,0,0.002,0,0.002,0.003,0.001,0.002,0.002
