Wavelength,MilliQ,C28feb22_9mr1,C28feb22_CCTr1,C28feb22_21mr2,C28feb22_SMBr2,C28feb22_1.5mr2,C28feb22_HPBr2,C28feb22_0.1mr2,C28feb22_6mr1,C28feb22_TCTr1,C28feb22_HPBr1
382,-0.003,0.003,0.009,0.004,0.002,0.004,0.007,0.006,0.003,0.006,0.006
383,-0.003,0.003,0.009,0.004,0.002,0.004,0.007,0.006,0.003,0.006,0.006
384,-0.002,0.003,0.009,0.003,0.002,0.004,0.007,0.005,0.003,0.006,0.006
385,-0.002,0.003,0.009,0.003,0.002,0.003,0.007,0.006,0.003,0.006,0.006
386,-0.002,0.003,0.009,0.003,0.002,0.004,0.007,0.006,0.003,0.006,0.006
387,-0.002,0.003,0.009,0.003,0.002,0.003,0.007,0.005,0.003,0.006,0.006
388,-0.002,0.003,0.009,0.003,0.002,0.003,0.007,0.005,0.003,0.006,0.006
389,-0.002,0.003,0.009,0.003,0.002,0.003,0.007,0.005,0.003,0.006,0.006
390,-0.002,0.003,0.009,0.003,0.002,0.003,0.007,0.005,0.003,0.006,0.006
391,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.006,0.006
392,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.006,0.006
393,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.006,0.006
394,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.006,0.006
395,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.006,0.006
396,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.006,0.005
397,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
398,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
399,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
400,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
401,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
402,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
403,-0.002,0.003,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
404,-0.002,0.002,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
405,-0.002,0.002,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
406,-0.002,0.002,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
407,-0.002,0.002,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
408,-0.002,0.002,0.008,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
409,-0.002,0.002,0.007,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
410,-0.001,0.002,0.007,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
411,-0.001,0.002,0.007,0.002,0.002,0.003,0.006,0.005,0.003,0.005,0.005
412,-0.001,0.002,0.007,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
413,-0.001,0.002,0.007,0.003,0.002,0.003,0.006,0.004,0.003,0.005,0.005
414,-0.001,0.002,0.007,0.002,0.002,0.003,0.006,0.005,0.003,0.005,0.005
415,-0.001,0.002,0.007,0.003,0.002,0.003,0.006,0.005,0.003,0.005,0.005
416,-0.001,0.002,0.007,0.003,0.002,0.003,0.006,0.004,0.003,0.005,0.005
417,-0.001,0.002,0.007,0.002,0.002,0.002,0.006,0.004,0.002,0.005,0.005
418,-0.001,0.002,0.007,0.002,0.002,0.002,0.006,0.004,0.002,0.005,0.005
419,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.005
420,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.005
421,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.005
422,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.005
423,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.005
424,-0.001,0.002,0.007,0.002,0.002,0.002,0.006,0.004,0.002,0.005,0.005
425,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.005
