Wavelength,MilliQ,C17Nov22_0_1m_r2,C14oct22_0_1m_r1,C17nov22_SMB_r2,C17nov22_21m_r1,C17nov22_1_5m_r2,C17nov22_6m_r2,C14oct22_CCS_r2,C17nov22_1_5m_r1,C17nov22_9m_r2,C17nov22_CCS_r2,C17nov22_CCT_r1,C14oct22_TCT_r2,C17nov22_TCT_r1
380,-0.003,0.005,0.002,0.002,0.012,0.005,0.006,0.005,0.008,0.005,0.017,0.004,0.002,0.007
381,-0.003,0.005,0.002,0.002,0.012,0.005,0.006,0.005,0.008,0.005,0.017,0.004,0.002,0.007
382,-0.003,0.005,0.002,0.002,0.012,0.005,0.006,0.005,0.008,0.005,0.017,0.004,0.002,0.007
383,-0.003,0.005,0.002,0.002,0.012,0.005,0.005,0.005,0.007,0.005,0.016,0.004,0.002,0.007
384,-0.003,0.005,0.002,0.002,0.012,0.005,0.006,0.005,0.007,0.005,0.016,0.004,0.002,0.007
385,-0.003,0.005,0.002,0.002,0.012,0.005,0.005,0.005,0.007,0.005,0.016,0.003,0.002,0.006
386,-0.003,0.005,0.002,0.002,0.011,0.005,0.005,0.005,0.007,0.005,0.016,0.004,0.001,0.006
387,-0.003,0.004,0.002,0.002,0.011,0.004,0.005,0.005,0.007,0.005,0.016,0.003,0.001,0.006
388,-0.003,0.004,0.002,0.002,0.011,0.005,0.005,0.005,0.007,0.004,0.016,0.003,0.001,0.006
389,-0.002,0.005,0.002,0.002,0.011,0.004,0.005,0.005,0.007,0.004,0.016,0.003,0.001,0.006
390,-0.003,0.004,0.002,0.002,0.011,0.004,0.005,0.004,0.007,0.004,0.016,0.003,0.001,0.006
391,-0.003,0.004,0.002,0.002,0.011,0.004,0.005,0.004,0.007,0.004,0.015,0.003,0.001,0.006
392,-0.003,0.004,0.002,0.001,0.01,0.004,0.005,0.004,0.007,0.004,0.015,0.003,0.001,0.006
