Wavelength,MilliQ,C17Nov22_0_1m_r2,C14oct22_0_1m_r1,C17nov22_SMB_r2,C17nov22_21m_r1,C17nov22_1_5m_r2,C17nov22_6m_r2,C14oct22_CCS_r2,C17nov22_1_5m_r1,C17nov22_9m_r2,C17nov22_CCS_r2,C17nov22_CCT_r1,C14oct22_TCT_r2,C17nov22_TCT_r1
664,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
665,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
666,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
667,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
668,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0.001
669,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
670,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
671,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
672,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
673,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
674,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
675,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
676,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
677,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
678,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
679,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
680,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
681,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
682,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0
683,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0
684,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
685,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
686,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
687,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
688,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
689,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
690,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
691,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
692,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0.001
693,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0.001
694,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
695,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0.001
696,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
697,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
698,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
699,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
700,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
701,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
702,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
703,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
704,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0.001,0,0.001
705,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0.001,0,0.001
706,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
707,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0
708,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0.001,0,0.001
709,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
710,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
711,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0.001,0,0.001
712,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
713,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0.001
714,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0,0,0
715,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0,0,0
716,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0,0,0.001
717,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0,0,0.001
718,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
719,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
720,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
721,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
722,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.006,0,0,0
723,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0.001,0,0.001
724,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0.001,0,0
725,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.006,0.001,0,0
726,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.006,0,0,0.001
727,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0,0,0.001
728,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.006,0,0,0.001
729,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0,0.006,0,0,0
730,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0,0.006,0,0,0
731,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0,0.006,0,0,0
732,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0,0.006,0,0,0
733,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
734,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
735,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
736,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
737,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
738,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
739,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
740,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
741,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
742,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
743,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
744,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
745,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
746,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
747,0,0,0,0,0.001,0.001,0.001,0,0.001,0,0.006,0,0,0
748,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
749,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
750,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
751,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
752,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
753,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
754,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
755,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
756,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
757,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
758,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0.001
759,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0.001,0,0.001
760,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.001,0.007,0.002,0.001,0.002
761,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
762,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
763,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
764,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
765,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
766,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
767,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
768,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
769,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
770,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
771,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
772,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
773,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0,0,0
774,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
775,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
776,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
777,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
778,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
779,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
780,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
781,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
782,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
783,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
784,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0
785,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
786,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
787,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
788,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
789,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
790,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
791,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
792,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
793,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
794,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
795,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
796,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
797,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
798,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
799,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
800,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
801,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
802,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
803,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
804,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
805,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
806,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
807,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
808,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
809,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
810,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
811,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
812,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
813,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
814,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
815,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
816,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
817,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
818,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
819,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
820,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
821,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0,0.001
822,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
823,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
824,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
825,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
826,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
827,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
828,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
829,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0,0,0
830,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0
831,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0
832,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0
833,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
834,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
835,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
836,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
837,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.006,0.001,0,0.001
838,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
839,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
840,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
841,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0,0,0.001
842,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
843,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0
844,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
845,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
846,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
847,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
848,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
849,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0.001
850,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.005,0.001,0,0
