Wavelength nm.,MilliQ,CP2_11jul24_BOTr2,CC4_11jul24_9r2,CC3_11jul24_01r2,CC4_11jul24_6r1,CP2_11jul24_01r1,CC4_11jul24_01r1,CS1_11jul24_01r1,CC1_11jul24_01r1,CC4_11jul24_15r1,CC4_11jul24_BOTr2,CC1_11jul24_BOTr2,CC3_11jul24_15r2,CC2_11jul24_01r1,CP1_11jul24_01r2
305,-0.001,0.033,0.025,0.017,0.03,0.033,0.017,0.039,0.024,0.017,0.02,0.022,0.017,0.019,0.046
306,-0.001,0.032,0.024,0.017,0.03,0.033,0.016,0.038,0.023,0.017,0.02,0.022,0.017,0.019,0.045
307,-0.001,0.032,0.024,0.016,0.029,0.032,0.016,0.038,0.023,0.016,0.019,0.021,0.016,0.018,0.044
308,-0.001,0.031,0.024,0.016,0.029,0.032,0.016,0.037,0.022,0.016,0.019,0.021,0.016,0.018,0.044
309,0,0.031,0.023,0.015,0.028,0.031,0.015,0.036,0.022,0.016,0.018,0.02,0.016,0.018,0.043
310,-0.001,0.03,0.023,0.015,0.028,0.031,0.015,0.036,0.021,0.015,0.018,0.02,0.015,0.017,0.042
311,-0.001,0.03,0.022,0.015,0.028,0.03,0.015,0.035,0.021,0.015,0.017,0.02,0.015,0.017,0.042
312,-0.001,0.03,0.022,0.015,0.028,0.03,0.014,0.035,0.021,0.015,0.017,0.019,0.015,0.017,0.041
313,-0.001,0.029,0.022,0.014,0.027,0.03,0.014,0.034,0.021,0.014,0.017,0.019,0.014,0.016,0.04
314,0,0.029,0.021,0.014,0.027,0.029,0.014,0.034,0.02,0.014,0.017,0.019,0.014,0.016,0.04
315,-0.001,0.028,0.021,0.014,0.026,0.029,0.013,0.033,0.02,0.013,0.016,0.018,0.014,0.016,0.039
316,-0.001,0.027,0.02,0.014,0.026,0.028,0.013,0.033,0.019,0.013,0.016,0.018,0.014,0.016,0.039
317,-0.001,0.027,0.02,0.014,0.026,0.028,0.013,0.032,0.019,0.013,0.016,0.018,0.013,0.015,0.038
318,-0.001,0.027,0.02,0.013,0.025,0.027,0.013,0.032,0.019,0.012,0.015,0.017,0.013,0.015,0.038
319,-0.001,0.026,0.019,0.013,0.025,0.027,0.012,0.031,0.019,0.012,0.015,0.017,0.012,0.014,0.037
320,-0.001,0.026,0.019,0.013,0.025,0.027,0.012,0.031,0.018,0.012,0.015,0.017,0.012,0.014,0.036
321,-0.001,0.026,0.019,0.013,0.024,0.027,0.012,0.03,0.018,0.012,0.015,0.017,0.012,0.014,0.036
322,-0.001,0.025,0.019,0.012,0.024,0.026,0.012,0.03,0.018,0.011,0.014,0.016,0.012,0.014,0.036
323,-0.001,0.025,0.018,0.012,0.024,0.026,0.011,0.03,0.018,0.011,0.014,0.016,0.012,0.014,0.035
324,-0.001,0.025,0.018,0.012,0.024,0.026,0.011,0.03,0.018,0.011,0.014,0.016,0.012,0.014,0.035
325,-0.001,0.024,0.018,0.011,0.024,0.025,0.011,0.029,0.017,0.011,0.014,0.016,0.011,0.014,0.034
326,-0.001,0.024,0.018,0.011,0.023,0.025,0.011,0.029,0.017,0.011,0.013,0.015,0.011,0.013,0.034
327,-0.001,0.024,0.017,0.011,0.023,0.025,0.011,0.029,0.017,0.01,0.013,0.015,0.011,0.013,0.033
328,-0.001,0.023,0.017,0.011,0.023,0.024,0.01,0.028,0.017,0.01,0.013,0.015,0.011,0.013,0.033
329,0,0.023,0.017,0.011,0.023,0.024,0.01,0.028,0.017,0.01,0.013,0.015,0.011,0.013,0.033
330,0,0.023,0.017,0.011,0.023,0.024,0.01,0.027,0.016,0.01,0.013,0.015,0.011,0.013,0.032
331,-0.001,0.022,0.016,0.011,0.022,0.023,0.01,0.027,0.016,0.01,0.012,0.014,0.01,0.012,0.032
332,-0.001,0.022,0.016,0.01,0.022,0.023,0.01,0.026,0.016,0.01,0.012,0.014,0.01,0.012,0.031
333,0,0.022,0.016,0.01,0.022,0.023,0.009,0.026,0.016,0.009,0.012,0.014,0.01,0.012,0.031
334,-0.001,0.021,0.016,0.01,0.021,0.023,0.009,0.025,0.015,0.009,0.012,0.013,0.01,0.012,0.03
335,-0.001,0.021,0.015,0.01,0.021,0.022,0.009,0.025,0.015,0.009,0.012,0.013,0.01,0.011,0.029
336,0,0.021,0.015,0.01,0.021,0.022,0.009,0.025,0.015,0.009,0.011,0.013,0.009,0.011,0.029
337,-0.001,0.02,0.015,0.009,0.02,0.022,0.009,0.025,0.014,0.009,0.011,0.013,0.009,0.011,0.029
338,-0.001,0.02,0.015,0.009,0.02,0.021,0.008,0.024,0.014,0.009,0.011,0.012,0.009,0.011,0.028
339,-0.001,0.02,0.015,0.01,0.02,0.021,0.009,0.024,0.014,0.009,0.011,0.013,0.009,0.011,0.028
340,0,0.021,0.016,0.01,0.021,0.022,0.01,0.025,0.015,0.01,0.012,0.013,0.01,0.012,0.029
341,0,0.02,0.015,0.009,0.02,0.021,0.009,0.023,0.014,0.009,0.011,0.013,0.009,0.011,0.028
342,-0.001,0.019,0.014,0.009,0.019,0.021,0.008,0.023,0.014,0.008,0.01,0.012,0.008,0.01,0.027
343,-0.001,0.019,0.014,0.008,0.019,0.02,0.008,0.023,0.014,0.008,0.01,0.012,0.008,0.01,0.026
344,-0.001,0.019,0.014,0.008,0.019,0.02,0.008,0.022,0.013,0.008,0.01,0.011,0.008,0.01,0.026
345,0,0.018,0.014,0.008,0.019,0.02,0.008,0.022,0.013,0.008,0.009,0.011,0.008,0.01,0.026
346,-0.001,0.018,0.013,0.008,0.019,0.019,0.007,0.022,0.013,0.007,0.009,0.011,0.008,0.009,0.025
347,0,0.018,0.013,0.008,0.019,0.019,0.007,0.022,0.013,0.008,0.009,0.011,0.008,0.01,0.025
348,0,0.017,0.013,0.008,0.018,0.019,0.007,0.021,0.013,0.007,0.009,0.011,0.007,0.009,0.025
349,-0.001,0.017,0.013,0.008,0.018,0.018,0.007,0.021,0.013,0.007,0.009,0.011,0.007,0.009,0.024
350,-0.001,0.017,0.012,0.007,0.018,0.018,0.007,0.02,0.012,0.007,0.009,0.01,0.007,0.009,0.024
351,-0.001,0.017,0.013,0.008,0.018,0.018,0.007,0.02,0.012,0.007,0.009,0.011,0.008,0.009,0.024
352,0,0.017,0.012,0.007,0.018,0.018,0.007,0.02,0.012,0.007,0.008,0.011,0.007,0.009,0.023
353,0,0.016,0.012,0.007,0.017,0.018,0.007,0.02,0.012,0.007,0.009,0.01,0.007,0.009,0.023
354,-0.001,0.016,0.012,0.007,0.017,0.018,0.007,0.019,0.012,0.006,0.008,0.01,0.007,0.008,0.023
