Wavelength,MilliQ,C9jun22_1_5m_r2,C9jun22_9m_r2,C9jun22_SMB_r1,C9jun22_0_1m_r2,C9jun22_TCT_r2,C9jun22_CCS_r2,C9jun22_CCT_r2,C9jun22_21m_r2,C9jun22_6m_r2,C9jun22_1_5m_r1
364,-0.003,0.01,0.004,0.007,0.005,0.007,0.005,0.01,0.012,0.008,0.016
365,-0.003,0.01,0.005,0.007,0.004,0.007,0.005,0.01,0.013,0.008,0.016
366,-0.003,0.01,0.004,0.007,0.004,0.007,0.005,0.009,0.013,0.008,0.016
367,-0.003,0.01,0.004,0.006,0.004,0.007,0.004,0.009,0.013,0.008,0.015
368,-0.003,0.009,0.004,0.006,0.004,0.007,0.005,0.009,0.012,0.007,0.016
369,-0.003,0.009,0.004,0.006,0.004,0.007,0.004,0.009,0.012,0.007,0.015
370,-0.003,0.009,0.004,0.006,0.004,0.007,0.004,0.009,0.012,0.007,0.015
371,-0.002,0.009,0.004,0.006,0.004,0.007,0.004,0.009,0.012,0.007,0.015
372,-0.003,0.009,0.004,0.006,0.004,0.006,0.004,0.009,0.012,0.007,0.015
373,-0.003,0.009,0.004,0.006,0.004,0.006,0.004,0.009,0.012,0.007,0.015
374,-0.002,0.009,0.004,0.006,0.004,0.006,0.004,0.009,0.012,0.007,0.015
375,-0.003,0.009,0.004,0.006,0.004,0.006,0.004,0.009,0.012,0.007,0.015
376,-0.003,0.009,0.004,0.006,0.004,0.006,0.004,0.009,0.012,0.007,0.015
377,-0.003,0.009,0.004,0.006,0.003,0.006,0.004,0.009,0.012,0.007,0.014
378,-0.002,0.009,0.004,0.006,0.004,0.006,0.004,0.009,0.012,0.006,0.015
379,-0.002,0.009,0.004,0.006,0.003,0.006,0.004,0.009,0.011,0.006,0.014
380,-0.002,0.008,0.004,0.005,0.003,0.006,0.004,0.009,0.011,0.006,0.014
381,-0.003,0.008,0.003,0.005,0.003,0.006,0.004,0.009,0.011,0.006,0.014
382,-0.002,0.008,0.003,0.005,0.003,0.006,0.004,0.009,0.011,0.006,0.014
