Wavelength,blank,B5may22_0.1m_r0,C20apr22_9m_r2,C20apr22_1.5m_r1,B5may22_3m_r0,C20apr22_21m_r2,B25jul22_3m_r2,C20apr22_0.1m_r2,C20apr22_21m_r1,B25jul22_0.1m_r1,B5may22_9m_r0,B25jul22_8m_r1
758,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
759,0,0.002,0.001,0.001,0.003,0.001,0.003,0.001,0,0.002,0.003,0.008
760,0.001,0.003,0.002,0.002,0.003,0.002,0.004,0.002,0.001,0.002,0.004,0.009
761,0,0.002,0.001,0.001,0.003,0.001,0.003,0.001,0,0.002,0.003,0.008
762,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
763,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
764,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
765,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
766,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
767,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
768,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
769,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
770,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
771,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
772,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
773,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
774,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
775,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
776,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
777,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
778,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
779,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
780,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
781,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
782,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
783,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
784,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
785,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
786,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
787,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
788,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
789,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
790,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
791,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
792,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
793,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
794,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
795,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
796,0,0.002,0.001,0.001,0.003,0.001,0.003,0.001,0,0.001,0.003,0.007
797,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
798,0,0.002,0.001,0.001,0.003,0.001,0.003,0.001,0,0.001,0.003,0.007
799,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
800,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
801,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
802,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
803,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
804,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
805,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
806,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
807,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
808,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
809,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
810,0,0.002,0.001,0.001,0.003,0.001,0.003,0.001,0,0.001,0.003,0.007
811,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
812,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
813,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
814,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
815,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
816,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
817,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
818,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
819,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
820,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
821,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
822,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
823,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
824,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
825,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
826,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
827,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
828,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
829,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
830,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
831,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
832,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
833,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
834,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
835,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
836,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
837,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
838,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
839,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
840,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
841,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
842,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
843,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
844,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
845,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
846,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
847,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
848,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
849,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
850,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.007
