Wavelength nm.,MilliQ,C50_30sep24_01R1,C50_17feb25_15R1,CP2_15aug24_01R1,C50_28oct24_01R1,CP1_17feb25_01R1,C50_28oct24_6R1,C50_30sep24_15R1,CP1_17feb25_BOTR1,C50_30sep24_9R1,C50_30sep24_6R1,C50_28oct24_15R1,CC3_17feb25_01R2,C50_30sep24_20R1,C50_17feb25_01R1
291,0,0.028,0.041,0.04,0.033,0.026,0.033,0.024,0.03,0.035,0.032,0.033,0.032,0.026,0.036
292,0,0.028,0.04,0.039,0.032,0.026,0.032,0.023,0.029,0.034,0.031,0.032,0.031,0.025,0.035
293,0,0.027,0.039,0.038,0.031,0.025,0.032,0.023,0.029,0.034,0.031,0.031,0.031,0.025,0.035
294,0,0.027,0.039,0.037,0.031,0.025,0.031,0.022,0.029,0.033,0.03,0.031,0.03,0.024,0.034
295,0,0.026,0.038,0.037,0.03,0.024,0.031,0.022,0.028,0.032,0.03,0.03,0.03,0.024,0.033
296,0,0.025,0.037,0.036,0.029,0.024,0.03,0.021,0.028,0.032,0.029,0.03,0.029,0.023,0.032
297,0,0.025,0.037,0.036,0.029,0.023,0.029,0.021,0.027,0.031,0.028,0.029,0.028,0.023,0.032
298,0,0.024,0.036,0.035,0.028,0.023,0.029,0.02,0.027,0.031,0.028,0.028,0.028,0.022,0.031
299,0,0.024,0.036,0.035,0.027,0.023,0.028,0.02,0.026,0.03,0.027,0.028,0.027,0.022,0.03
300,0,0.023,0.035,0.034,0.027,0.022,0.027,0.019,0.026,0.029,0.027,0.027,0.027,0.021,0.029
301,0,0.023,0.035,0.033,0.026,0.022,0.027,0.019,0.026,0.029,0.026,0.026,0.026,0.021,0.029
302,0,0.022,0.034,0.033,0.026,0.022,0.027,0.018,0.025,0.029,0.026,0.026,0.026,0.021,0.028
303,0,0.022,0.034,0.032,0.025,0.022,0.026,0.018,0.025,0.028,0.025,0.025,0.025,0.02,0.028
304,0,0.021,0.033,0.032,0.025,0.022,0.025,0.017,0.025,0.028,0.025,0.025,0.025,0.02,0.027
305,0,0.021,0.033,0.032,0.024,0.021,0.025,0.017,0.024,0.027,0.025,0.025,0.025,0.02,0.027
306,0,0.021,0.032,0.031,0.024,0.021,0.025,0.017,0.024,0.027,0.024,0.024,0.024,0.019,0.026
307,0,0.02,0.032,0.03,0.023,0.02,0.024,0.016,0.024,0.027,0.024,0.023,0.024,0.019,0.025
308,0,0.02,0.031,0.03,0.023,0.02,0.023,0.016,0.023,0.026,0.023,0.023,0.023,0.018,0.025
309,0,0.019,0.031,0.029,0.022,0.02,0.023,0.015,0.023,0.025,0.023,0.022,0.023,0.018,0.024
310,0,0.019,0.03,0.029,0.022,0.02,0.023,0.015,0.023,0.025,0.022,0.022,0.022,0.018,0.024
311,0,0.019,0.03,0.029,0.021,0.019,0.022,0.015,0.022,0.025,0.022,0.022,0.022,0.017,0.023
312,0,0.019,0.03,0.028,0.021,0.019,0.022,0.015,0.022,0.024,0.022,0.021,0.022,0.017,0.023
313,0,0.018,0.029,0.028,0.021,0.019,0.022,0.014,0.022,0.024,0.021,0.021,0.021,0.017,0.023
314,0,0.018,0.029,0.028,0.021,0.019,0.022,0.014,0.021,0.023,0.021,0.021,0.021,0.017,0.022
315,0,0.017,0.028,0.027,0.02,0.018,0.021,0.014,0.021,0.023,0.021,0.02,0.021,0.016,0.022
316,0,0.017,0.028,0.026,0.019,0.018,0.02,0.013,0.02,0.022,0.02,0.02,0.02,0.016,0.021
317,0,0.017,0.028,0.026,0.019,0.018,0.02,0.013,0.02,0.022,0.02,0.019,0.02,0.015,0.021
318,0,0.017,0.027,0.026,0.019,0.018,0.02,0.013,0.02,0.022,0.019,0.019,0.02,0.015,0.021
319,0,0.016,0.027,0.025,0.019,0.017,0.02,0.013,0.02,0.022,0.019,0.019,0.019,0.015,0.02
320,0,0.016,0.027,0.025,0.018,0.017,0.019,0.013,0.019,0.021,0.019,0.018,0.019,0.015,0.02
