Wavelenght,MilliQ,C14oct22_6m_r1,C14oct22_1_5m_r1,C29sep22_1_5m_r2,C14oct22_6m_r2,C29sep22_SMB_r1,C14oct22_SMB_r1,C14oct22_9m_r1,C29sep22_CCS_r2,C29sep22_0_1m_r2
318,0.005,0.021,0.022,0.018,0.022,0.018,0.029,0.05,0.015,0.018
319,0.004,0.021,0.021,0.017,0.021,0.017,0.028,0.049,0.015,0.017
320,0.005,0.02,0.021,0.017,0.021,0.017,0.028,0.049,0.015,0.017
321,0.005,0.02,0.02,0.017,0.021,0.017,0.028,0.049,0.015,0.017
322,0.005,0.019,0.02,0.017,0.02,0.017,0.028,0.049,0.014,0.017
323,0.004,0.019,0.019,0.016,0.02,0.017,0.027,0.048,0.014,0.016
324,0.004,0.018,0.019,0.016,0.019,0.017,0.027,0.048,0.014,0.016
325,0.004,0.018,0.019,0.016,0.019,0.016,0.027,0.048,0.014,0.016
326,0.004,0.017,0.018,0.016,0.019,0.016,0.026,0.047,0.014,0.016
327,0.004,0.017,0.018,0.015,0.018,0.016,0.026,0.048,0.014,0.015
328,0.005,0.017,0.018,0.015,0.018,0.016,0.026,0.047,0.014,0.015
329,0.004,0.017,0.017,0.015,0.018,0.016,0.026,0.047,0.014,0.015
330,0.004,0.016,0.017,0.015,0.018,0.016,0.025,0.047,0.013,0.015
331,0.005,0.016,0.017,0.015,0.018,0.016,0.025,0.046,0.013,0.015
332,0.004,0.016,0.017,0.014,0.017,0.015,0.025,0.046,0.013,0.015
333,0.004,0.016,0.017,0.014,0.017,0.015,0.025,0.046,0.013,0.015
334,0.004,0.015,0.016,0.014,0.017,0.015,0.024,0.045,0.013,0.014
335,0.004,0.015,0.016,0.014,0.017,0.015,0.024,0.045,0.013,0.014
336,0.004,0.015,0.016,0.014,0.016,0.014,0.024,0.045,0.013,0.013
337,0.004,0.014,0.016,0.013,0.016,0.015,0.023,0.045,0.012,0.013
338,0.004,0.014,0.015,0.013,0.016,0.014,0.023,0.044,0.012,0.013
339,0.004,0.015,0.016,0.013,0.016,0.014,0.023,0.045,0.013,0.013
340,0.006,0.016,0.016,0.014,0.016,0.015,0.024,0.045,0.014,0.014
341,0.004,0.014,0.015,0.013,0.015,0.014,0.023,0.044,0.012,0.013
342,0.004,0.014,0.015,0.013,0.015,0.014,0.023,0.043,0.012,0.013
343,0.004,0.014,0.015,0.012,0.015,0.014,0.022,0.043,0.012,0.013
344,0.004,0.014,0.014,0.012,0.015,0.014,0.022,0.043,0.012,0.012
345,0.004,0.013,0.014,0.012,0.015,0.013,0.022,0.043,0.012,0.012
346,0.004,0.013,0.014,0.012,0.014,0.013,0.021,0.042,0.011,0.012
347,0.004,0.013,0.014,0.012,0.014,0.013,0.021,0.043,0.012,0.012
348,0.004,0.013,0.013,0.012,0.014,0.013,0.021,0.042,0.011,0.012
349,0.004,0.013,0.013,0.011,0.014,0.013,0.02,0.042,0.011,0.012
350,0.004,0.012,0.013,0.011,0.014,0.012,0.02,0.042,0.011,0.011
351,0.004,0.012,0.013,0.011,0.013,0.012,0.02,0.041,0.011,0.011
352,0.004,0.012,0.013,0.011,0.013,0.012,0.02,0.041,0.011,0.011
353,0.003,0.012,0.013,0.011,0.013,0.012,0.019,0.041,0.011,0.011
354,0.003,0.011,0.012,0.01,0.013,0.012,0.019,0.041,0.01,0.01
355,0.003,0.011,0.012,0.01,0.013,0.012,0.019,0.041,0.01,0.01
356,0.003,0.011,0.012,0.01,0.012,0.011,0.019,0.04,0.01,0.01
357,0.003,0.011,0.012,0.01,0.012,0.011,0.019,0.04,0.01,0.01
358,0.003,0.011,0.012,0.01,0.012,0.011,0.018,0.04,0.01,0.01
359,0.003,0.011,0.012,0.01,0.012,0.011,0.018,0.04,0.01,0.01
360,0.003,0.011,0.012,0.01,0.012,0.011,0.018,0.04,0.01,0.01
361,0.003,0.011,0.011,0.01,0.012,0.011,0.018,0.039,0.01,0.01
362,0.003,0.01,0.011,0.01,0.012,0.011,0.017,0.039,0.01,0.009
363,0.003,0.01,0.011,0.009,0.012,0.011,0.017,0.039,0.01,0.009
364,0.003,0.01,0.011,0.009,0.011,0.01,0.017,0.039,0.009,0.009
365,0.003,0.01,0.011,0.009,0.011,0.01,0.017,0.039,0.009,0.009
366,0.003,0.01,0.011,0.009,0.011,0.01,0.016,0.038,0.009,0.009
367,0.003,0.01,0.011,0.009,0.011,0.01,0.016,0.038,0.009,0.009
368,0.003,0.01,0.011,0.009,0.011,0.01,0.016,0.038,0.009,0.009
369,0.003,0.01,0.01,0.008,0.011,0.01,0.016,0.038,0.009,0.009
370,0.003,0.009,0.01,0.008,0.01,0.01,0.016,0.038,0.009,0.008
371,0.003,0.009,0.01,0.008,0.01,0.009,0.016,0.037,0.009,0.008
372,0.003,0.009,0.01,0.008,0.01,0.01,0.015,0.038,0.009,0.008
373,0.003,0.009,0.01,0.008,0.01,0.01,0.015,0.037,0.009,0.008
374,0.003,0.009,0.01,0.008,0.01,0.009,0.015,0.037,0.009,0.008
375,0.003,0.009,0.01,0.008,0.01,0.009,0.015,0.037,0.008,0.008
376,0.003,0.009,0.01,0.008,0.01,0.009,0.015,0.037,0.008,0.008
377,0.003,0.008,0.01,0.008,0.01,0.009,0.015,0.037,0.008,0.008
378,0.003,0.008,0.009,0.008,0.01,0.009,0.015,0.037,0.008,0.008
379,0.003,0.008,0.009,0.007,0.01,0.009,0.014,0.037,0.008,0.007
380,0.002,0.008,0.009,0.007,0.009,0.009,0.014,0.036,0.008,0.007
381,0.002,0.008,0.009,0.007,0.01,0.009,0.014,0.036,0.008,0.007
382,0.003,0.008,0.009,0.007,0.009,0.009,0.014,0.036,0.008,0.007
383,0.002,0.008,0.009,0.007,0.009,0.009,0.014,0.036,0.008,0.007
384,0.002,0.008,0.009,0.007,0.009,0.008,0.013,0.036,0.008,0.007
385,0.002,0.008,0.009,0.007,0.009,0.008,0.013,0.036,0.008,0.007
386,0.002,0.008,0.008,0.007,0.009,0.008,0.013,0.036,0.007,0.006
387,0.002,0.007,0.008,0.006,0.009,0.008,0.013,0.035,0.008,0.006
388,0.002,0.007,0.008,0.006,0.009,0.008,0.013,0.035,0.007,0.007
389,0.002,0.007,0.008,0.006,0.009,0.008,0.013,0.035,0.007,0.006
390,0.002,0.007,0.008,0.006,0.009,0.008,0.013,0.035,0.007,0.006
391,0.002,0.007,0.008,0.006,0.009,0.008,0.012,0.035,0.007,0.006
392,0.002,0.007,0.008,0.006,0.009,0.008,0.012,0.035,0.007,0.006
393,0.002,0.007,0.008,0.006,0.008,0.007,0.012,0.035,0.007,0.006
394,0.002,0.007,0.008,0.006,0.008,0.007,0.012,0.034,0.007,0.006
