wavelenght,MilliQ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
341,0.005,0.018,0.013,0.018,0.012,0.015,0.019,0.026,0.017,0.018,0.02,0.027
342,0.005,0.017,0.012,0.017,0.011,0.014,0.018,0.025,0.017,0.017,0.02,0.027
343,0.005,0.017,0.012,0.017,0.012,0.014,0.018,0.025,0.017,0.017,0.02,0.026
344,0.005,0.017,0.012,0.016,0.011,0.014,0.018,0.025,0.016,0.017,0.019,0.026
345,0.005,0.017,0.012,0.016,0.011,0.014,0.018,0.024,0.016,0.016,0.019,0.026
346,0.005,0.017,0.012,0.016,0.011,0.014,0.018,0.024,0.016,0.016,0.019,0.025
347,0.005,0.017,0.012,0.016,0.011,0.013,0.017,0.024,0.016,0.016,0.019,0.025
348,0.005,0.016,0.012,0.016,0.011,0.013,0.017,0.024,0.015,0.016,0.018,0.025
349,0.005,0.016,0.011,0.016,0.01,0.013,0.017,0.023,0.015,0.016,0.018,0.024
350,0.005,0.016,0.011,0.015,0.01,0.013,0.017,0.023,0.015,0.015,0.018,0.024
351,0.005,0.016,0.011,0.015,0.01,0.012,0.017,0.022,0.014,0.015,0.017,0.024
352,0.005,0.016,0.011,0.015,0.01,0.012,0.017,0.022,0.014,0.015,0.018,0.024
353,0.005,0.015,0.011,0.015,0.01,0.012,0.016,0.022,0.014,0.015,0.017,0.023
354,0.005,0.015,0.01,0.014,0.01,0.012,0.016,0.022,0.014,0.014,0.017,0.023
355,0.005,0.015,0.01,0.014,0.01,0.012,0.016,0.022,0.014,0.014,0.016,0.023
356,0.004,0.015,0.01,0.014,0.01,0.011,0.015,0.021,0.013,0.014,0.016,0.022
357,0.005,0.015,0.01,0.014,0.009,0.011,0.015,0.021,0.013,0.014,0.016,0.022
358,0.004,0.014,0.01,0.014,0.009,0.011,0.015,0.021,0.013,0.014,0.016,0.022
359,0.004,0.014,0.01,0.013,0.009,0.011,0.015,0.02,0.013,0.014,0.015,0.022
360,0.004,0.014,0.01,0.013,0.009,0.011,0.015,0.02,0.013,0.014,0.015,0.022
361,0.004,0.014,0.01,0.013,0.009,0.01,0.015,0.02,0.013,0.013,0.015,0.021
362,0.004,0.013,0.009,0.013,0.008,0.01,0.014,0.019,0.012,0.013,0.015,0.021
363,0.004,0.013,0.009,0.013,0.009,0.01,0.014,0.02,0.012,0.013,0.015,0.02
364,0.004,0.013,0.009,0.012,0.008,0.01,0.014,0.019,0.012,0.013,0.015,0.02
365,0.004,0.013,0.009,0.012,0.008,0.01,0.014,0.019,0.012,0.013,0.015,0.02
366,0.004,0.013,0.009,0.012,0.008,0.01,0.014,0.019,0.012,0.013,0.014,0.02
367,0.004,0.013,0.009,0.012,0.008,0.009,0.014,0.019,0.012,0.012,0.014,0.02
368,0.004,0.012,0.008,0.012,0.008,0.009,0.013,0.018,0.011,0.012,0.014,0.019
369,0.004,0.012,0.008,0.011,0.008,0.009,0.013,0.018,0.011,0.012,0.013,0.019
370,0.004,0.012,0.008,0.011,0.008,0.009,0.013,0.018,0.011,0.012,0.013,0.019
371,0.004,0.012,0.008,0.011,0.007,0.009,0.013,0.017,0.011,0.011,0.013,0.018
372,0.004,0.012,0.008,0.011,0.008,0.009,0.012,0.017,0.011,0.011,0.013,0.018
373,0.003,0.012,0.008,0.011,0.007,0.009,0.012,0.017,0.01,0.011,0.013,0.018
374,0.003,0.011,0.008,0.011,0.007,0.009,0.012,0.017,0.01,0.011,0.013,0.018
375,0.003,0.011,0.008,0.01,0.007,0.008,0.012,0.017,0.01,0.011,0.012,0.018
376,0.003,0.011,0.008,0.01,0.007,0.008,0.012,0.017,0.01,0.011,0.012,0.017
377,0.003,0.011,0.007,0.01,0.007,0.008,0.012,0.017,0.01,0.011,0.012,0.017
378,0.003,0.011,0.007,0.01,0.007,0.008,0.012,0.016,0.01,0.011,0.012,0.017
379,0.003,0.011,0.007,0.01,0.007,0.008,0.012,0.016,0.01,0.01,0.012,0.017
380,0.003,0.011,0.007,0.01,0.007,0.008,0.011,0.016,0.01,0.01,0.012,0.017
381,0.003,0.011,0.007,0.01,0.007,0.008,0.011,0.016,0.009,0.01,0.012,0.016
382,0.003,0.01,0.007,0.009,0.007,0.008,0.011,0.016,0.009,0.01,0.011,0.016
383,0.003,0.01,0.007,0.009,0.007,0.008,0.011,0.016,0.009,0.01,0.011,0.016
384,0.003,0.01,0.007,0.009,0.007,0.007,0.011,0.015,0.009,0.01,0.011,0.016
385,0.003,0.01,0.007,0.009,0.007,0.007,0.011,0.015,0.009,0.01,0.011,0.015
386,0.003,0.01,0.007,0.009,0.007,0.007,0.011,0.015,0.009,0.01,0.011,0.015
387,0.003,0.01,0.006,0.009,0.006,0.007,0.01,0.015,0.008,0.01,0.011,0.015
388,0.003,0.009,0.006,0.008,0.006,0.007,0.01,0.014,0.008,0.009,0.01,0.015
389,0.003,0.009,0.006,0.008,0.006,0.007,0.01,0.014,0.008,0.009,0.01,0.014
390,0.003,0.009,0.006,0.008,0.006,0.007,0.01,0.014,0.008,0.009,0.01,0.014
391,0.003,0.009,0.006,0.008,0.006,0.007,0.01,0.014,0.008,0.009,0.01,0.014
392,0.003,0.009,0.006,0.008,0.006,0.007,0.01,0.014,0.008,0.009,0.01,0.014
393,0.003,0.009,0.006,0.008,0.006,0.006,0.01,0.014,0.008,0.009,0.01,0.014
394,0.003,0.009,0.006,0.008,0.006,0.006,0.01,0.014,0.008,0.009,0.01,0.014
