Wavelength nm.,MilliQ,CS1_15aug24_01r1,CC3_15aug24_15r2,CC4_15aug24_6r2,CC4_15aug24_01r2,CP2_15aug24_01r2,CC3_15aug24_BOTr1,CC2_15aug24_BOTr1,CC4_15aug24_6r1,CS2_15aug24_01r1,CC4_15aug24_15r1,CC3_15aug24_01r2,CC2_15aug24_01r2,CS1_15aug24_01r2
264,0.001,0.068,0.043,0.044,0.038,0.064,0.047,0.041,0.05,0.058,0.041,0.043,0.04,0.06
265,0.001,0.067,0.042,0.043,0.037,0.064,0.046,0.041,0.049,0.057,0.04,0.043,0.04,0.06
266,0.001,0.067,0.042,0.043,0.037,0.063,0.046,0.04,0.049,0.057,0.04,0.042,0.039,0.059
267,0.002,0.066,0.041,0.042,0.036,0.062,0.045,0.04,0.048,0.056,0.039,0.042,0.039,0.058
268,0.002,0.065,0.041,0.042,0.036,0.062,0.045,0.039,0.048,0.056,0.039,0.041,0.038,0.058
269,0.001,0.065,0.04,0.041,0.035,0.061,0.044,0.039,0.047,0.055,0.038,0.041,0.037,0.057
270,0.002,0.064,0.04,0.041,0.035,0.06,0.044,0.038,0.047,0.054,0.038,0.04,0.037,0.056
271,0.001,0.064,0.039,0.04,0.034,0.059,0.043,0.037,0.046,0.053,0.037,0.039,0.036,0.056
272,0.001,0.063,0.038,0.039,0.033,0.058,0.042,0.036,0.045,0.053,0.036,0.039,0.035,0.055
273,0.001,0.062,0.038,0.038,0.033,0.057,0.041,0.036,0.045,0.052,0.035,0.038,0.035,0.054
274,0.002,0.062,0.037,0.038,0.032,0.057,0.041,0.035,0.044,0.052,0.035,0.038,0.034,0.054
275,0.001,0.061,0.036,0.037,0.031,0.056,0.04,0.035,0.043,0.051,0.034,0.037,0.033,0.053
276,0.001,0.06,0.036,0.036,0.03,0.055,0.039,0.034,0.043,0.05,0.033,0.036,0.033,0.052
277,0.001,0.059,0.035,0.036,0.03,0.054,0.038,0.033,0.042,0.05,0.033,0.035,0.032,0.052
278,0.001,0.059,0.034,0.035,0.029,0.053,0.038,0.032,0.041,0.049,0.032,0.034,0.031,0.051
279,0.001,0.058,0.034,0.034,0.028,0.052,0.037,0.031,0.04,0.048,0.031,0.034,0.03,0.051
280,0.001,0.058,0.033,0.033,0.028,0.052,0.036,0.031,0.04,0.048,0.03,0.033,0.03,0.05
281,0.001,0.057,0.032,0.033,0.027,0.051,0.036,0.03,0.039,0.048,0.03,0.033,0.029,0.049
282,0.001,0.056,0.031,0.032,0.027,0.05,0.035,0.03,0.038,0.047,0.029,0.032,0.028,0.049
283,0.001,0.055,0.031,0.031,0.026,0.049,0.034,0.029,0.037,0.046,0.029,0.031,0.028,0.048
284,0.001,0.055,0.03,0.03,0.025,0.048,0.033,0.028,0.036,0.045,0.028,0.03,0.027,0.047
285,0.001,0.054,0.029,0.03,0.024,0.047,0.032,0.027,0.035,0.045,0.027,0.029,0.026,0.047
