Wavelength nm.,MilliQ,CP2_16apr25_BOTR1,CP1_16apr25_01R2,CP1_16apr25_01R1,CC3_16apr25_01R1,CS1_16apr25_01R1,CC3_16apr25_BOTR1,CP2_16apr25_01R1,CS2_16apr25_01R1,CC4_16apr25_6R2,CC3_16apr25_15R1,CC4_16apr25_BOTR2,CC2_16apr25_01R1
262,0.001,0.055,0.041,0.041,0.055,0.038,0.058,0.056,0.037,0.053,0.055,0.052,0.053
263,0,0.054,0.04,0.041,0.054,0.037,0.058,0.055,0.036,0.053,0.054,0.051,0.052
264,0,0.053,0.04,0.04,0.053,0.037,0.057,0.055,0.036,0.052,0.054,0.05,0.052
265,0,0.053,0.04,0.04,0.053,0.036,0.057,0.054,0.036,0.051,0.053,0.05,0.051
266,0,0.052,0.039,0.04,0.052,0.036,0.056,0.053,0.035,0.051,0.053,0.049,0.05
267,0,0.052,0.039,0.039,0.052,0.036,0.055,0.053,0.035,0.05,0.052,0.049,0.05
268,0.001,0.051,0.039,0.039,0.051,0.035,0.055,0.052,0.034,0.049,0.052,0.048,0.049
269,0,0.05,0.038,0.038,0.05,0.035,0.054,0.051,0.034,0.049,0.051,0.047,0.048
270,0,0.05,0.038,0.038,0.05,0.035,0.053,0.051,0.034,0.048,0.05,0.047,0.048
271,0,0.049,0.037,0.038,0.049,0.034,0.053,0.05,0.033,0.047,0.049,0.046,0.047
272,0,0.049,0.037,0.037,0.048,0.034,0.052,0.05,0.033,0.047,0.049,0.045,0.046
273,0,0.048,0.036,0.037,0.048,0.033,0.051,0.049,0.032,0.046,0.048,0.044,0.045
274,0,0.047,0.036,0.037,0.047,0.033,0.05,0.048,0.032,0.045,0.047,0.044,0.045
275,0,0.047,0.035,0.036,0.046,0.033,0.05,0.047,0.032,0.044,0.046,0.043,0.044
276,0,0.046,0.035,0.035,0.045,0.032,0.049,0.046,0.031,0.044,0.046,0.042,0.043
277,0,0.045,0.035,0.035,0.044,0.032,0.048,0.046,0.031,0.043,0.045,0.042,0.043
278,0,0.044,0.034,0.035,0.044,0.031,0.048,0.045,0.03,0.042,0.044,0.041,0.042
279,0,0.044,0.034,0.035,0.043,0.031,0.047,0.044,0.03,0.041,0.043,0.041,0.041
280,0,0.043,0.033,0.034,0.042,0.031,0.046,0.043,0.029,0.04,0.043,0.04,0.04
281,0,0.042,0.033,0.033,0.041,0.03,0.045,0.042,0.029,0.04,0.042,0.039,0.039
282,0,0.042,0.033,0.033,0.04,0.03,0.044,0.042,0.029,0.039,0.041,0.038,0.039
283,0,0.041,0.032,0.032,0.04,0.029,0.044,0.041,0.028,0.038,0.04,0.037,0.038
284,0,0.04,0.032,0.032,0.039,0.029,0.043,0.04,0.028,0.037,0.039,0.036,0.037
