Wavelength,MilliQ,C19aug22_6m_r1,C19aug22_20m_r2,C19aug22_1_5m_r1,C29sep22_21m_r1,C19aug22_9m_r1,C19aug22_CCS_r2,C29sep22_9m_r2,C19aug22_0_1m_r2,C19aug22_SMB_r1,C29sep22_6m_r2
290,-0.006,0.018,0.038,0.018,0.024,0.021,0.02,0.016,0.018,0.02,0.017
291,-0.006,0.018,0.037,0.017,0.024,0.02,0.02,0.016,0.017,0.02,0.016
292,-0.006,0.017,0.036,0.016,0.023,0.02,0.02,0.015,0.017,0.02,0.016
293,-0.006,0.017,0.036,0.016,0.023,0.019,0.019,0.015,0.016,0.02,0.015
294,-0.006,0.016,0.035,0.015,0.022,0.019,0.019,0.014,0.016,0.019,0.015
295,-0.006,0.016,0.035,0.015,0.022,0.018,0.019,0.014,0.015,0.019,0.014
296,-0.006,0.015,0.034,0.015,0.021,0.018,0.018,0.014,0.015,0.018,0.014
297,-0.006,0.015,0.033,0.014,0.021,0.017,0.018,0.013,0.014,0.018,0.013
298,-0.006,0.015,0.033,0.014,0.021,0.017,0.018,0.013,0.014,0.018,0.013
299,-0.006,0.014,0.032,0.013,0.02,0.017,0.017,0.012,0.013,0.018,0.013
300,-0.006,0.014,0.032,0.013,0.02,0.016,0.017,0.012,0.013,0.017,0.012
301,-0.006,0.013,0.031,0.012,0.019,0.016,0.017,0.012,0.012,0.017,0.012
302,-0.006,0.013,0.031,0.012,0.019,0.015,0.016,0.011,0.012,0.017,0.011
303,-0.006,0.013,0.03,0.012,0.019,0.015,0.016,0.011,0.012,0.016,0.011
304,-0.006,0.012,0.03,0.012,0.018,0.015,0.016,0.011,0.012,0.016,0.011
305,-0.005,0.012,0.03,0.011,0.018,0.015,0.016,0.011,0.011,0.016,0.01
306,-0.005,0.012,0.029,0.011,0.018,0.014,0.015,0.01,0.011,0.016,0.01
307,-0.005,0.011,0.028,0.011,0.017,0.014,0.015,0.01,0.011,0.016,0.01
308,-0.005,0.011,0.028,0.01,0.017,0.013,0.015,0.01,0.01,0.016,0.009
309,-0.005,0.011,0.027,0.01,0.017,0.013,0.015,0.009,0.01,0.016,0.009
310,-0.005,0.011,0.027,0.01,0.017,0.013,0.014,0.009,0.01,0.015,0.009
311,-0.005,0.01,0.027,0.01,0.016,0.013,0.014,0.009,0.009,0.015,0.009
312,-0.005,0.01,0.027,0.009,0.016,0.012,0.014,0.009,0.009,0.015,0.008
313,-0.005,0.01,0.026,0.009,0.016,0.012,0.014,0.009,0.009,0.015,0.008
