"Reservoir","Site","DateTime","Depth_m","Rep","Dilution","a254_m","a350_m","S275_295","S350_400","Sr","Max_FL_Ex","Max_FL_Em","Max_FL","B","T","A","C","M","N","FI","BIX","HIX","T_B","T_M","T_N","T_C","A_T","A_C","A_M","M_C","C_N","Fmax1","Fmax2","Fmax3","Fmax4","abs_Flag","fl_Flag"
"BVR",200,2019-06-27 12:49:00,0.1,2,1,20.4967,8.9817,2.821144981,2.042096277,1.381494601,300,300,19.85167952,0.194148804,0.176511558,0.298261324,0.138353777,0.140530529,0.160673834,1.506016141,0.611282547,2.503688529,0.909156043,1.256037097,1.09857065,1.27579862,1.689755207,2.155787361,2.122395226,1.015733231,0.861084683,0.687169907,0.786884047,0.419011447,0.414223082,0,0
"BVR",50,2019-06-27 13:46:00,0.1,1,1,10.5938,3.6848,2.059993,1.071126,1.923204,300,300,12.08545603,0.06034954,0.0642231,0.140448675,0.061812732,0.060818019,0.05844303,1.422583582,0.68157998,2.696941077,1.064185424,1.055988036,1.098900945,1.038994691,2.186887191,2.272164181,2.30932671,0.983907635,1.057657902,0.286141629,0.392050167,0.151488628,0.199474759,0,0
"BVR",45,2019-07-18 11:39:00,0.1,1,1,12.8968,5.7575,2.321390276,1.586628151,1.463096614,300,300,24.93516234,0.084436426,0.086018906,0.179148927,0.076566465,0.0783548,0.081703817,1.433211101,0.743237546,2.56446008,1.018741665,1.09781284,1.05281379,1.123454057,2.082669215,2.33978318,2.286381005,1.023356638,0.937122247,0.299473877,0.477941104,0.639491491,0.151616102,0,0
"BVR",1,2019-07-18 12:00:00,0.1,1,1,12.4362,4.8363,2.242095235,1.307359968,1.714979264,300,300,16.09687101,0.068509075,0.073724997,0.162861972,0.072850954,0.07187363,0.06771685,1.459153217,0.733196953,2.687712335,1.076134755,1.025758647,1.088724551,1.011997696,2.209046841,2.235550312,2.265948899,0.986584611,1.075817223,0.324944733,0.430779626,0.236450722,0.225900188,0,0
"BVR",20,2019-07-18 12:03:00,0.1,1,1,13.5877,5.2969,2.338705897,1.462571503,1.599036964,300,300,21.09333859,0.095295933,0.101641477,0.174388266,0.075549877,0.085436009,0.086162155,1.431255306,0.733157819,2.074957966,1.06658777,1.189679597,1.179653364,1.345355955,1.715719523,2.308253478,2.04115651,1.130855701,0.876833644,0.331559363,0.474097078,0.288582423,0.29675783,0,0
"BVR",100,2019-07-18 12:21:00,0.1,1,1,15.1998,6.909,2.464597764,1.754795458,1.404492901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"BVR",100,2019-07-18 12:21:00,0.1,2,1,16.121,7.8302,2.577669669,1.905185405,1.352975759,300,300,24.29486697,0.045084255,0.057211441,0.260012084,0.129961357,0.091997506,0.077163421,1.376651838,0.55767421,5.158283539,1.268989375,0.621880344,0.741432143,0.440218864,4.544756775,2.000687664,2.826294904,0.707883548,1.684235284,0.651289365,0.555221185,0.769686762,0.095231354,0,0
"BVR",30,2019-07-18 13:28:00,0.1,2,1,14.5089,6.4484,2.412395621,1.68828197,1.428905635,300,300,23.54170229,0.080449898,0.084018992,0.182461317,0.076574187,0.078407179,0.077729146,1.470865669,0.745183814,2.383014833,1.044364181,1.071572698,1.080920048,1.097223424,2.171667538,2.382804493,2.327099643,1.023937458,0.985141242,0.343963914,0.445110506,0.498146201,0.242606217,0,0
"BVR",200,2019-07-18 13:49:00,0.1,2,1,22.3391,11.9756,2.919277903,2.325663869,1.255244982,300,300,32.56383506,0.095062304,0.101698147,0.292025894,0.13820114,0.119353093,0.111753975,1.460981172,0.637419835,3.182316252,1.069805197,0.852078017,0.910018161,0.735870534,2.871496707,2.113049815,2.446739219,0.863618729,1.236655252,0.62170554,0.712344895,0.900016177,0.23492634,0,0
"BVR",50,2019-07-18 14:25:00,0.1,1,1,12.6665,4.606,2.240919397,1.287026762,1.741159906,300,300,17.82193809,0.071754597,0.08141413,0.1628581,0.071684781,0.072334032,0.072948085,1.428689193,0.719037009,2.262748538,1.134619008,1.125530103,1.11605576,1.135724059,2.000366514,2.271864376,2.251472728,1.009057026,0.982682151,0.311022138,0.448618355,0.219273043,0.256565293,0,0
"BVR",45,2019-08-22 10:50:00,0.1,1,1,13.3574,4.3757,2.283752,1.146935,1.991179,300,300,14.97988002,0.075554648,0.07987884,0.17996757,0.082414814,0.081112843,0.076666815,1.479204669,0.724915793,2.917005983,1.057232639,0.984786592,1.041895898,0.969229146,2.253006805,2.183679862,2.218730894,0.984202216,1.074973759,0.3553705,0.50170392,0.161658811,0.247964214,0,0
"BVR",20,2019-08-22 11:18:00,0.1,1,1,14.0483,4.606,2.327614342,1.228758975,1.894280644,300,300,17.17197277,0.077104159,0.082402732,0.184014861,0.083643869,0.08315382,0.080021243,1.455140582,0.713281511,2.686162012,1.068719681,0.990967486,1.029760709,0.985161657,2.233116005,2.199980265,2.212945354,0.994141252,1.045270795,0.366418576,0.495740313,0.213918388,0.264126306,0,0
"BVR",100,2019-08-22 11:35:00,0.1,2,1,13.818,5.9878,2.35855345,1.563418716,1.508587192,300,300,14.14035144,0.034766689,0.04428563,0.266302305,0.138163081,0.093242754,0.072864878,1.409090737,0.520198042,7.355144379,1.273794869,0.47494983,0.607777455,0.320531577,6.013289299,1.927449099,2.856010727,0.674874601,1.896154698,0.757491994,0.604840596,0.283828699,0.09159068,0,0
"BVR",1,2019-08-22 12:00:00,0.1,1,1,13.5877,4.606,2.291667888,1.1887424,1.927808655,300,300,15.28224766,0.078348459,0.081683578,0.181058684,0.082636546,0.083034207,0.079173235,1.445024541,0.710008866,2.789811025,1.042567766,0.983734063,1.031706972,0.988467964,2.216586098,2.191024347,2.180531249,1.004812175,1.04374346,0.355889267,0.504658861,0.177816587,0.255368336,0,0
"BVR",30,2019-08-22 12:23:00,0.1,2,1,14.0483,5.0666,2.348826811,1.318049808,1.782047079,300,300,18.20104388,0.075660853,0.081719127,0.183238005,0.082135897,0.082019396,0.078341418,1.427777346,0.724405571,2.711414034,1.080071451,0.996339054,1.043115242,0.994925856,2.24229029,2.230912586,2.234081388,0.998581609,1.048435153,0.354610962,0.494772556,0.237517951,0.263742985,0,0
"BVR",200,2019-08-22 12:40:00,0.1,1,1,18.424,8.0605,2.672418564,1.889316037,1.41448996,300,300,18.01771994,0.052295653,0.073635732,0.281546424,0.141903125,0.114875339,0.094438059,1.48930441,0.616783685,5.027382098,1.408066004,0.641005566,0.779725175,0.518915504,3.823502758,1.984074862,2.450886548,0.80953354,1.502605276,0.632709417,0.80587629,0.341719654,0.14690088,0,0
"BVR",50,2019-08-22 13:50:00,0.1,2,1,14.5089,5.9878,2.421594,1.566054,1.546303,300,300,18.60261585,0.147797187,0.181348181,0.190535806,0.077691634,0.096373992,0.116323741,1.480726486,0.780437855,1.617908948,1.227006991,1.881712872,1.558995436,2.334204756,1.050662899,2.452462336,1.977045901,1.240468082,0.667891466,0.301927786,0.506515546,0.388868646,0.478039264,0,0
"BVR",1,2019-09-20 12:00:00,0.1,2,1,15.6604,5.5272,2.68813,1.453309,1.849662,300,300,20.46153163,0.078696304,0.089541211,0.202296256,0.091601541,0.090775441,0.086331985,1.461326411,0.717927036,2.449153206,1.137807068,0.986403484,1.037173084,0.977507699,2.259253069,2.208437269,2.228535098,0.990981596,1.061038276,0.396809039,0.545108329,0.230997699,0.314853537,0,0
"BVR",50,2019-09-20 13:10:00,0.1,1,1,14.5089,4.8363,2.609234,1.305791,1.998202,300,300,17.00404087,0.077316099,0.087602536,0.191999043,0.088313695,0.086546197,0.083039543,1.473492344,0.70854167,2.826563261,1.133043912,1.012205494,1.054949636,0.991947347,2.191706457,2.174057406,2.218457318,0.979986132,1.063513743,0.370984262,0.541795418,0.163231081,0.284009744,0,0
"BVR",45,2019-09-20 13:11:00,0.1,1,1,15.1998,5.7575,2.656537,1.516144,1.752167,300,300,19.70710815,0.079114633,0.086514236,0.199631738,0.089858244,0.09067505,0.087271128,1.485265697,0.709464075,2.7332274,1.093530146,0.954112908,0.991327118,0.962785742,2.307501605,2.221629645,2.201617068,1.009089945,1.029644577,0.405853494,0.528371542,0.276535733,0.260934824,0,0
"BVR",20,2019-09-20 13:48:00,0.1,2,1,15.8907,5.5272,2.704233,1.475082,1.833276,300,300,19.36427604,0.088248232,0.094669457,0.198267748,0.091721562,0.090386193,0.087560943,1.494272456,0.711920619,2.511503794,1.072763217,1.047388475,1.081183617,1.032139614,2.094315882,2.161626386,2.193562317,0.985441065,1.04751683,0.399352487,0.55395297,0.194378709,0.31196915,0,0
"BVR",30,2019-09-20 14:04:00,0.1,2,1,15.8907,5.7575,2.702038,0.784501,3.444277,300,300,18.64056243,0.080212285,0.094126944,0.206906425,0.09295385,0.091424604,0.089422831,1.42126053,0.715767977,2.756373372,1.173472912,1.029558127,1.052605282,1.012620179,2.198163624,2.225904842,2.263137223,0.983548333,1.039486773,0.39745508,0.576229818,0.265802015,0.274468311,0,0
"BVR",45,2019-10-04 11:07:00,0.1,2,1,16.8119,5.5272,2.512941127,1.372349133,1.831123777,300,300,17.6149519,0.086378032,0.096033174,0.198782767,0.091018885,0.089353999,0.086385631,1.497559563,0.729781668,2.647600163,1.111777745,1.07474959,1.111679953,1.055090646,2.069938539,2.183972789,2.224665597,0.981708349,1.053634546,0.402854773,0.531371824,0.188817254,0.297819893,0,0
"BVR",20,2019-10-04 11:27:00,0.1,2,1,16.8119,5.5272,2.505903356,1.383129858,1.811762896,300,300,17.1649188,0.086982054,0.095658368,0.201149002,0.093143236,0.090529717,0.088433875,1.496668412,0.707919309,2.672730772,1.099748321,1.05665157,1.081693727,1.027002845,2.102785214,2.159566397,2.221911299,0.971940868,1.053252903,0.405731292,0.555402038,0.148449836,0.315851377,0,0
"BVR",100,2019-10-04 11:47:00,0.1,1,1,16.3513,7.8302,2.572381751,1.871645344,1.374395934,300,300,20.9752344,0.044609806,0.057891999,0.30713462,0.151506223,0.107163818,0.088262714,1.418737299,0.535502045,5.446976168,1.297741541,0.540219635,0.65590549,0.382109708,5.305303451,2.027207953,2.866029093,0.70732288,1.7165371,0.76439207,0.704698528,0.652012137,0.118160981,0,0
"BVR",1,2019-10-04 12:00:00,0.1,2,1,17.0422,5.7575,2.546301,1.431043,1.779332,300,300,19.91298256,0.087044614,0.101525187,0.202535832,0.092665125,0.09148326,0.089379282,1.466541425,0.72331676,2.549408809,1.166358054,1.109767912,1.135891721,1.095613767,1.994931886,2.185674838,2.213911394,0.987245851,1.036762913,0.404779389,0.544645031,0.238928866,0.315604224,0,0
"BVR",30,2019-10-04 12:33:00,0.1,2,1,17.0422,5.7575,2.544849582,1.460583521,1.74235129,300,300,19.43148592,0.087638062,0.099424174,0.211008865,0.097974966,0.094414374,0.091934987,1.468251567,0.723255993,2.743998357,1.134486217,1.053061829,1.081461767,1.014791617,2.122309458,2.153701848,2.23492308,0.963658153,1.065698365,0.417000198,0.581773168,0.205554344,0.327001643,0,0
"BVR",200,2019-10-04 12:53:00,0.1,1,1,9.9029,4.1454,2.027223472,1.213282303,1.670858848,300,300,7.416756816,0.045906479,0.057143932,0.212571703,0.119225741,0.091273332,0.07904643,1.696508408,0.662287468,5.28962014,1.24479014,0.626074791,0.72291604,0.479291899,3.71993482,1.782934625,2.328957414,0.765550548,1.508300143,0.477218839,0.618308572,0.143838524,0.140444006,0,0
"BVR",50,2019-10-04 13:45:00,0.1,1,1,16.8119,5.5272,2.521707407,1.374372353,1.834806558,300,300,17.59893928,0.091022867,0.096975283,0.198429554,0.089105698,0.088810014,0.088418319,1.451263294,0.714861486,2.560142788,1.065394727,1.09194086,1.096778177,1.088317422,2.046186902,2.226900854,2.234315084,0.996681654,1.007774161,0.394748699,0.535810581,0.182264844,0.309750903,0,0
"BVR",1,2020-03-30 12:00:00,0.1,2,1,12.8968,4.606,2.266312603,1.263020145,1.794359822,300,300,14.3364888,0.061085766,0.066400774,0.165522987,0.079658922,0.072473528,0.068617771,1.43134743,0.655802078,3.023973515,1.087008957,0.916207288,0.96769063,0.833563554,2.492787003,2.077896393,2.28390962,0.909797995,1.160908039,0.346158611,0.444656072,0.178581273,0.216024922,0,0
"BVR",20,2020-03-30 12:00:00,0.1,1,1,12.4362,4.3757,2.217215,1.185358,1.870503,300,300,13.33609346,0.070790649,0.063345828,0.162725607,0.077835595,0.070813014,0.065468684,1.408841451,0.676211062,2.58008378,0.894833275,0.894550648,0.967574483,0.813841381,2.568844905,2.090632285,2.297961874,0.90977675,1.188898114,0.341243454,0.4360978,0.141374092,0.229392157,0,0
"BVR",30,2020-03-30 12:00:00,0.1,2,1,14.5089,5.9878,2.391378572,1.503965973,1.590048322,300,300,18.70734046,0.080610003,0.080197785,0.172964024,0.081203285,0.074999631,0.073607427,1.418292807,0.669575537,2.772983878,0.994886265,1.069309059,1.089533863,0.987617488,2.156718224,2.130012634,2.306198334,0.923603405,1.103194179,0.356806058,0.471351378,0.267761817,0.242921454,0,0
"BVR",45,2020-03-30 12:00:00,0.1,2,1,14.0483,4.8363,2.33726743,1.287224146,1.815742376,305,304,15.02588529,0.067391346,0.072074451,0.166698536,0.079370221,0.073137593,0.070086579,1.410118309,0.678186464,2.717263644,1.069491194,0.985463814,1.02836309,0.908079249,2.312865846,2.100265481,2.279245598,0.921473966,1.13245963,0.332422509,0.437356505,0.246389052,0.215966263,0,0
"BVR",50,2020-03-30 12:00:00,0.1,2,1,14.7392,5.9878,2.411832076,1.569899099,1.53629751,300,300,23.05134795,0.09113886,0.092165788,0.180403962,0.080906349,0.077541114,0.081438918,1.407813264,0.691407869,2.490649117,1.011267724,1.188605406,1.13171675,1.139166323,1.957385347,2.229787469,2.326558805,0.958405807,0.993460504,0.362962722,0.47893235,0.417709525,0.212010218,0,0
"BVR",100,2020-03-30 12:00:00,0.1,2,1,11.2847,5.5272,2.202461096,1.545648693,1.424942877,240,484,18.37134369,0.03230886,0.036138059,0.148121003,0.068387626,0.050329941,0.042736995,1.35914501,0.542473118,3.277353594,1.118518536,0.718023074,0.845591951,0.528429798,4.098753668,2.165903573,2.94299971,0.735950998,1.600197328,0.371144798,0.257894413,0.560940702,0.050562675,0,0
"BVR",200,2020-03-30 12:00:00,0.1,1,1,14.7392,6.4484,2.459720155,1.697183162,1.449295638,300,300,12.44036135,0.084718453,0.085463169,0.198179065,0.100565324,0.080717868,0.082978097,1.440781854,0.591906613,3.000298414,1.00879049,1.058788729,1.029948539,0.849827419,2.318882705,1.970650105,2.455206873,0.802641165,1.211950233,0.463368097,0.527710844,0.266898416,0.210495952,0,0
"BVR",50,2022-05-05 12:00:00,3,1,1,NA,NA,NA,NA,NA,300,300,10.42163209,0.078150164,0.090998857,0.166295762,0.075708884,0.07478355,0.078859324,1.484588644,0.691386099,2.605839184,1.16441032,1.216829859,1.15393909,1.201957445,1.827448912,2.196515826,2.223694401,0.987777738,0.960049871,NA,NA,NA,NA,1,0
"BVR",50,2022-05-05 14:36:00,0.1,1,1,NA,NA,NA,NA,NA,300,300,9.319320251,0.068357576,0.07924328,0.14969614,0.064750629,0.06597685,0.068929783,1.42292912,0.700729897,2.669612193,1.159246482,1.201077048,1.149623235,1.223822553,1.889070465,2.31188704,2.268919177,1.018937591,0.939370852,NA,NA,NA,NA,1,0
"BVR",50,2022-05-17 12:25:00,0.1,1,1,NA,NA,NA,NA,NA,300,300,16.64061422,0.07492414,0.080173703,0.161945889,0.069715163,0.071282446,0.069262432,1.420982045,0.693367159,2.743907884,1.070065031,1.12473277,1.157535193,1.150018154,2.01993776,2.322965095,2.271890193,1.022481237,1.006536452,NA,NA,NA,NA,1,0
"BVR",50,2022-05-17 12:50:00,3,2,1,NA,NA,NA,NA,NA,300,300,10.24212902,0.053729884,0.070430063,0.156191351,0.069619709,0.068679192,0.068110871,1.422442877,0.671673264,3.049866971,1.310817333,1.025493469,1.034050249,1.011639716,2.217680132,2.243493299,2.274216492,0.986490647,1.022152682,NA,NA,NA,NA,1,0
"BVR",50,2022-06-07 11:13:00,0.1,2,1,NA,NA,NA,NA,NA,300,300,22.26311846,0.131886197,0.144358158,0.212259088,0.091612286,0.090610819,0.107001355,1.446207766,0.657018752,2.004936059,1.094566085,1.593166903,1.349124576,1.575751067,1.470364345,2.316928186,2.34253581,0.989068417,0.856178748,NA,NA,NA,NA,1,0
"BVR",50,2022-06-07 11:26:00,3,1,1,NA,NA,NA,NA,NA,300,300,19.77817321,0.111708403,0.122170493,0.214831776,0.099702822,0.092347602,0.102833321,1.48101956,0.661584348,2.334714694,1.093655358,1.322941694,1.188043832,1.22534639,1.758458776,2.154721113,2.326338432,0.926228568,0.96955754,NA,NA,NA,NA,1,0
"BVR",50,2022-06-13 12:00:00,0.1,1,1,NA,NA,NA,NA,NA,300,300,24.23400247,0.18539001,0.210234513,0.212254287,0.087662365,0.090698459,0.1307806,1.450635041,0.658193336,1.556797356,1.134012093,2.317950234,1.607535933,2.398229996,1.00960724,2.421270367,2.340219338,1.034633946,0.670300987,NA,NA,NA,NA,1,0
"BVR",50,2022-06-13 12:08:00,3,1,1,NA,NA,NA,NA,NA,300,300,26.0402057,0.120445373,0.13136706,0.221956093,0.101167238,0.095070002,0.107094626,1.478160736,0.668778628,2.171232311,1.090677507,1.381792959,1.226644736,1.298513847,1.689587131,2.193952285,2.334659602,0.939731121,0.944652796,NA,NA,NA,NA,1,0
"BVR",50,2022-06-13 12:08:00,3,2,1,NA,NA,NA,NA,NA,300,300,25.32785098,0.121412359,0.135795102,0.222017351,0.102026842,0.096867497,0.109060044,1.47199313,0.67165819,2.188381421,1.118461936,1.401864475,1.245140728,1.330974284,1.634943724,2.176068054,2.291969526,0.949431495,0.935510733,NA,NA,NA,NA,1,0
"BVR",50,2022-06-20 12:05:00,0.1,2,1,NA,NA,NA,NA,NA,300,300,31.77009663,0.291566053,0.294070621,0.260558786,0.107074226,0.114666509,0.16966384,1.460408725,0.676032256,1.276222901,1.008590054,2.564572907,1.733254548,2.746418384,0.88604154,2.433440774,2.272318127,1.07090673,0.631096325,NA,NA,NA,NA,1,0
"BVR",50,2022-06-20 12:15:00,3,1,1,NA,NA,NA,NA,NA,300,300,30.18183631,0.185177938,0.188349807,0.253601915,0.109314256,0.110454443,0.13106593,1.46798121,0.677989743,1.755038035,1.017128762,1.705226168,1.437061541,1.723012296,1.346441066,2.319934513,2.295986539,1.010430363,0.834040212,NA,NA,NA,NA,1,0
"BVR",50,2022-07-25 10:01:00,0.1,1,1,NA,NA,NA,NA,NA,300,300,27.80958613,0.171918409,0.18312311,0.309837171,0.143378274,0.145183393,0.147507411,1.593213069,0.757284013,2.268517905,1.065174526,1.261322707,1.241450235,1.277202639,1.691961054,2.160977124,2.134108898,1.012589904,0.972007258,NA,NA,NA,NA,1,0
"BVR",50,2022-07-25 10:05:00,3,2,1,NA,NA,NA,NA,NA,300,300,20.72207141,0.129018642,0.138259682,0.24459807,0.120188223,0.118887144,0.123758932,1.578002261,0.748102826,2.33068994,1.071625617,1.162948973,1.117169324,1.150359649,1.769120733,2.035125104,2.057397139,0.989174655,0.971147871,NA,NA,NA,NA,1,0
"CCR",101,2021-09-23 12:00:00,0.1,2,1,NA,NA,NA,NA,NA,300,300,20.0637527,0.026015186,0.064606443,0.442806622,0.255575218,0.161715672,0.113329238,1.412545109,0.535006555,8.637565481,2.483412687,0.399506383,0.570077453,0.252788371,6.853908073,1.732588258,2.738180021,0.632751771,2.255156952,NA,NA,NA,NA,1,0
"CCR",50,2021-09-23 13:26:00,0.1,2,1,NA,NA,NA,NA,NA,300,300,3.161925537,0.052344414,0.056986332,0.150147742,0.067491596,0.066360173,0.06313831,1.4536081,0.746173998,3.682352578,1.08868029,0.858742957,0.902563457,0.844347076,2.634802723,2.224687974,2.262618282,0.9832361,1.068948402,NA,NA,NA,NA,1,0
