Wavelength nm.,MilliQ,C50_17dec24_15R1,CC4_17dec24_BOTR1,CC3_17dec24_BOTR1,CC3_17dec24_15R1,CP2_17dec24_01R1,CS1_17dec24_01R2,CS2_17dec24_01R1,CS1_17dec24_01R1,CC2_17dec24_01R1,CC4_17dec24_01R1,CC4_17dec24_6R1,CS1_17feb25_01R1
309,0.001,0.02,0.019,0.024,0.024,0.046,0.042,0.043,0.04,0.043,0.02,0.018,0.019
310,0.001,0.019,0.018,0.024,0.024,0.045,0.042,0.042,0.04,0.042,0.02,0.018,0.019
311,0.001,0.019,0.018,0.023,0.023,0.045,0.041,0.041,0.039,0.042,0.019,0.018,0.018
312,0.001,0.019,0.018,0.023,0.023,0.044,0.041,0.041,0.038,0.041,0.019,0.017,0.018
313,0.001,0.018,0.017,0.023,0.023,0.043,0.04,0.041,0.038,0.041,0.019,0.017,0.018
314,0.001,0.018,0.017,0.022,0.022,0.043,0.04,0.04,0.038,0.04,0.018,0.017,0.017
315,0.001,0.018,0.017,0.022,0.021,0.042,0.039,0.039,0.037,0.039,0.018,0.016,0.017
316,0.001,0.017,0.016,0.022,0.021,0.042,0.039,0.039,0.037,0.039,0.018,0.016,0.017
317,0.001,0.017,0.016,0.022,0.021,0.041,0.039,0.039,0.036,0.038,0.017,0.016,0.017
318,0.001,0.017,0.016,0.021,0.02,0.04,0.038,0.038,0.036,0.038,0.017,0.016,0.016
319,0.001,0.017,0.016,0.021,0.02,0.04,0.037,0.038,0.035,0.037,0.017,0.015,0.016
320,0.001,0.016,0.015,0.021,0.02,0.04,0.037,0.037,0.035,0.037,0.016,0.015,0.016
321,0,0.016,0.015,0.02,0.02,0.039,0.036,0.036,0.034,0.036,0.016,0.015,0.016
322,0,0.016,0.014,0.019,0.019,0.038,0.036,0.036,0.034,0.036,0.016,0.014,0.016
323,0.001,0.016,0.014,0.019,0.019,0.038,0.036,0.035,0.033,0.036,0.015,0.014,0.015
324,0.001,0.015,0.014,0.019,0.019,0.037,0.035,0.035,0.033,0.035,0.015,0.014,0.015
325,0.001,0.015,0.014,0.019,0.019,0.037,0.035,0.035,0.033,0.035,0.015,0.014,0.015
326,0.001,0.015,0.014,0.019,0.018,0.036,0.034,0.034,0.032,0.034,0.015,0.013,0.015
327,0.001,0.015,0.014,0.019,0.018,0.036,0.034,0.034,0.032,0.034,0.015,0.013,0.015
328,0.001,0.014,0.013,0.018,0.018,0.035,0.033,0.033,0.031,0.033,0.014,0.013,0.014
329,0.001,0.014,0.013,0.018,0.018,0.035,0.033,0.033,0.031,0.033,0.014,0.013,0.014
330,0,0.014,0.013,0.017,0.017,0.035,0.032,0.032,0.03,0.032,0.014,0.012,0.014
331,0.001,0.014,0.013,0.017,0.017,0.034,0.032,0.032,0.03,0.032,0.014,0.012,0.014
332,0.001,0.014,0.012,0.017,0.017,0.034,0.031,0.031,0.029,0.031,0.014,0.012,0.014
333,0.001,0.013,0.012,0.017,0.017,0.034,0.031,0.031,0.029,0.031,0.014,0.012,0.014
