Wavelength nm.,MilliQ,CC5_22may24_9r2,CC4_19jun24_01r1,CC5_22may24_01r1,CC2_19jun24_01r2,CC3_11jul24_15r1,CC4_19jun24_BOTr2,CC5_22may24_13r1,CC5_22may24_6r2,CC5_22may24_15r2,CS2_11jul24_01r2,CC4_19jun24_9r2,CC3_11jul24_BOTr1,CC2_11jul24_BOTr1,CC4_19jun24_6r1
313,0,0.022,0.016,0.02,0.017,0.015,0.018,0.018,0.019,0.018,0.029,0.02,0.016,0.022,0.019
314,0,0.021,0.016,0.019,0.017,0.015,0.018,0.018,0.019,0.017,0.029,0.02,0.015,0.022,0.018
315,0,0.021,0.016,0.019,0.017,0.014,0.017,0.018,0.019,0.017,0.028,0.02,0.015,0.022,0.018
316,0,0.021,0.015,0.018,0.017,0.014,0.017,0.017,0.018,0.017,0.028,0.019,0.015,0.021,0.017
317,0,0.02,0.015,0.018,0.016,0.014,0.017,0.017,0.018,0.016,0.027,0.019,0.015,0.021,0.017
318,0,0.02,0.015,0.018,0.016,0.013,0.016,0.017,0.018,0.016,0.027,0.018,0.014,0.021,0.017
319,0,0.02,0.014,0.017,0.015,0.013,0.016,0.016,0.017,0.016,0.026,0.018,0.014,0.02,0.016
320,-0.001,0.019,0.014,0.017,0.015,0.013,0.016,0.016,0.017,0.015,0.026,0.018,0.014,0.02,0.016
321,0,0.019,0.014,0.017,0.015,0.013,0.016,0.016,0.017,0.015,0.026,0.018,0.013,0.02,0.016
322,0,0.019,0.014,0.016,0.015,0.012,0.016,0.016,0.016,0.015,0.025,0.017,0.013,0.02,0.016
323,0,0.018,0.013,0.016,0.014,0.012,0.015,0.015,0.016,0.014,0.025,0.017,0.013,0.019,0.015
324,0,0.018,0.013,0.016,0.014,0.012,0.015,0.015,0.016,0.014,0.025,0.017,0.013,0.019,0.015
325,0,0.018,0.013,0.016,0.014,0.012,0.015,0.015,0.016,0.014,0.025,0.017,0.013,0.019,0.015
326,0,0.018,0.013,0.015,0.014,0.012,0.014,0.015,0.015,0.014,0.024,0.017,0.012,0.019,0.015
327,0,0.018,0.013,0.015,0.014,0.012,0.014,0.014,0.015,0.014,0.024,0.016,0.012,0.019,0.015
328,0,0.017,0.012,0.015,0.013,0.011,0.014,0.014,0.015,0.013,0.023,0.016,0.012,0.018,0.014
329,0,0.017,0.012,0.014,0.013,0.011,0.014,0.014,0.015,0.013,0.023,0.016,0.012,0.018,0.014
330,0,0.017,0.012,0.014,0.013,0.011,0.013,0.014,0.015,0.013,0.023,0.015,0.011,0.018,0.014
331,0,0.016,0.012,0.014,0.013,0.011,0.013,0.013,0.014,0.013,0.023,0.015,0.011,0.018,0.014
332,0,0.016,0.011,0.014,0.013,0.01,0.013,0.013,0.014,0.012,0.022,0.015,0.011,0.018,0.013
333,0,0.016,0.011,0.014,0.012,0.01,0.013,0.013,0.014,0.012,0.022,0.015,0.011,0.018,0.013
334,0,0.016,0.011,0.013,0.012,0.01,0.013,0.013,0.013,0.012,0.022,0.014,0.011,0.018,0.013
