Wavelength nm.,MilliQ,CC2_16apr25_BOTR1,C50_16apr25_9R1,C50_16apr25_15R1,CC4_16apr25_15R1,CC4_16apr25_01R1,C50_16apr25_01R1,CC2_16apr25_BOTR2,CC4_16apr25_9R1,CC4_16apr25_6R1,CC4_16apr25_BOTR1
377,0,0.006,0.006,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.006
378,0,0.006,0.006,0.005,0.005,0.006,0.007,0.006,0.006,0.006,0.006
379,0,0.006,0.006,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006
380,0,0.006,0.006,0.005,0.005,0.005,0.006,0.006,0.005,0.006,0.006
381,0,0.006,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005
382,0,0.006,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005
383,0,0.006,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005
384,0,0.006,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005
385,0,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005
386,0,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005
387,0,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005
388,0,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005
389,0,0.005,0.005,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005
390,0,0.005,0.005,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005
391,0,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.005
392,0,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004
393,0,0.005,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004
394,0,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004
395,0,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004
396,0,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004
397,0,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004
398,0,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
399,0,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004
400,0,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
401,0,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004
402,0,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.004,0.004
403,0,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
404,0,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
405,0,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
406,0,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
407,0,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
408,0,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
409,0,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
410,0,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
411,0,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
412,0,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
